"","date","pneg","type"
"1",0,0,"Repeat Donors"
"2",7,0.00103646360618992,"Repeat Donors"
"3",14,0.00146270953616856,"Repeat Donors"
"4",21,0.00183130566785994,"Repeat Donors"
"5",28,0.00249445963683814,"Repeat Donors"
"6",35,0.00332911269128766,"Repeat Donors"
"7",42,0.00469958255019642,"Repeat Donors"
"8",49,0.00648824912196466,"Repeat Donors"
"9",56,0.00771883664012329,"Repeat Donors"
"10",63,0.00900613125546534,"Repeat Donors"
"11",70,0.01060778043128,"Repeat Donors"
"12",77,0.0124259607991525,"Repeat Donors"
"13",84,0.0144587869568745,"Repeat Donors"
"14",91,0.0160647870608617,"Repeat Donors"
"15",98,0.0177966015045075,"Repeat Donors"
"16",105,0.0193299411080118,"Repeat Donors"
"17",112,0.0208917067755772,"Repeat Donors"
"18",119,0.0219681989209553,"Repeat Donors"
"19",126,0.0231569450131873,"Repeat Donors"
"20",133,0.0245436583372739,"Repeat Donors"
"21",140,0.0247749101696493,"Repeat Donors"
"22",147,0.0262342114787493,"Repeat Donors"
"23",154,0.027665884393953,"Repeat Donors"
"24",161,0.0285033655517146,"Repeat Donors"
"25",168,0.0291741336449952,"Repeat Donors"
"26",175,0.0291768167173683,"Repeat Donors"
"27",182,0.0287948052238114,"Repeat Donors"
"28",189,0.0285470198643801,"Repeat Donors"
"29",196,0.0282586258420043,"Repeat Donors"
"30",203,0.0278526117280284,"Repeat Donors"
"31",210,0.0268251400400619,"Repeat Donors"
"32",217,0.0256247189572333,"Repeat Donors"
"33",224,0.0243802084689222,"Repeat Donors"
"34",231,0.0234287329930376,"Repeat Donors"
"35",238,0.0221193936749542,"Repeat Donors"
"36",245,0.0205882295355362,"Repeat Donors"
"37",252,0.019667863196086,"Repeat Donors"
"38",259,0.0183522150321522,"Repeat Donors"
"39",266,0.0174311235380066,"Repeat Donors"
"40",273,0.0162956763158892,"Repeat Donors"
"41",280,0.0156926376711628,"Repeat Donors"
"42",287,0.0144822819690067,"Repeat Donors"
"43",294,0.0133744631407857,"Repeat Donors"
"44",301,0.0127018096452971,"Repeat Donors"
"45",308,0.0118827474167995,"Repeat Donors"
"46",315,0.0109215548679962,"Repeat Donors"
"47",322,0.0101291058168211,"Repeat Donors"
"48",329,0.00919604927020068,"Repeat Donors"
"49",336,0.00858401870725078,"Repeat Donors"
"50",343,0.00864717968122342,"Repeat Donors"
"51",350,0.0080033873426133,"Repeat Donors"
"52",357,0.00780890085329677,"Repeat Donors"
"53",364,0.00774755276606276,"Repeat Donors"
"54",371,0.00706445704295977,"Repeat Donors"
"55",378,0.00625583704207666,"Repeat Donors"
"56",385,0.00623988363877692,"Repeat Donors"
"57",392,0.00594474567773362,"Repeat Donors"
"58",399,0.00560015216646126,"Repeat Donors"
"59",406,0.00567339279070056,"Repeat Donors"
"60",413,0.00575461011658962,"Repeat Donors"
"61",420,0.0054013147489721,"Repeat Donors"
"62",427,0.00487492495555353,"Repeat Donors"
"63",434,0.00474432459490493,"Repeat Donors"
"64",441,0.00481538975505802,"Repeat Donors"
"65",448,0.00457775656136283,"Repeat Donors"
"66",455,0.00420734754293295,"Repeat Donors"
"67",462,0.00378255192234522,"Repeat Donors"
"68",469,0.00348777653864951,"Repeat Donors"
"69",476,0.00334129529017102,"Repeat Donors"
"70",483,0.00324593744772095,"Repeat Donors"
"71",490,0.00326979503720082,"Repeat Donors"
"72",497,0.0037412906201747,"Repeat Donors"
"73",504,0.00348922684804043,"Repeat Donors"
"74",511,0.00298103843747732,"Repeat Donors"
"75",518,0.00266733651623063,"Repeat Donors"
"76",525,0.00236850026624058,"Repeat Donors"
"77",532,0.00209787253390292,"Repeat Donors"
"78",539,0.00185052226728899,"Repeat Donors"
"79",546,0.00175879019831604,"Repeat Donors"
"80",553,0.00163957476638599,"Repeat Donors"
"81",560,0.00148663964111806,"Repeat Donors"
"82",567,0.00147322427925245,"Repeat Donors"
"83",574,0.00157358568910104,"Repeat Donors"
"84",581,0.00181716515129882,"Repeat Donors"
"85",588,0.0016952666469956,"Repeat Donors"
"86",595,0.00182782492532185,"Repeat Donors"
"87",602,0.00181585987284694,"Repeat Donors"
"88",609,0.00191622128269575,"Repeat Donors"
"89",616,0.00185422055623563,"Repeat Donors"
"90",623,0.00158895896864442,"Repeat Donors"
"91",630,0.00157039500844114,"Repeat Donors"
"92",637,0.00152637811842815,"Repeat Donors"
