"","date","ppos","type"
"1",0,1,"Repeat Donors"
"2",7,0.99896353639381,"Repeat Donors"
"3",14,0.997500826857642,"Repeat Donors"
"4",21,0.995669521189782,"Repeat Donors"
"5",28,0.993175061552943,"Repeat Donors"
"6",35,0.989845948861656,"Repeat Donors"
"7",42,0.985146366311459,"Repeat Donors"
"8",49,0.978658117189495,"Repeat Donors"
"9",56,0.970939280549371,"Repeat Donors"
"10",63,0.961933149293906,"Repeat Donors"
"11",70,0.951325368862626,"Repeat Donors"
"12",77,0.938899408063474,"Repeat Donors"
"13",84,0.924440621106599,"Repeat Donors"
"14",91,0.908375834045737,"Repeat Donors"
"15",98,0.89057923254123,"Repeat Donors"
"16",105,0.871249291433218,"Repeat Donors"
"17",112,0.850357584657641,"Repeat Donors"
"18",119,0.828389385736686,"Repeat Donors"
"19",126,0.805232440723498,"Repeat Donors"
"20",133,0.780688782386225,"Repeat Donors"
"21",140,0.755913872216575,"Repeat Donors"
"22",147,0.729679660737826,"Repeat Donors"
"23",154,0.702013776343873,"Repeat Donors"
"24",161,0.673510410792158,"Repeat Donors"
"25",168,0.644336277147163,"Repeat Donors"
"26",175,0.615159460429795,"Repeat Donors"
"27",182,0.586364655205983,"Repeat Donors"
"28",189,0.557817635341603,"Repeat Donors"
"29",196,0.529559009499599,"Repeat Donors"
"30",203,0.501706397771571,"Repeat Donors"
"31",210,0.474881257731509,"Repeat Donors"
"32",217,0.449256538774275,"Repeat Donors"
"33",224,0.424876330305353,"Repeat Donors"
"34",231,0.401447597312316,"Repeat Donors"
"35",238,0.379328203637361,"Repeat Donors"
"36",245,0.358739974101825,"Repeat Donors"
"37",252,0.339072110905739,"Repeat Donors"
"38",259,0.320719895873587,"Repeat Donors"
"39",266,0.30328877233558,"Repeat Donors"
"40",273,0.286993096019691,"Repeat Donors"
"41",280,0.271300458348528,"Repeat Donors"
"42",287,0.256818176379522,"Repeat Donors"
"43",294,0.243443713238736,"Repeat Donors"
"44",301,0.230741903593439,"Repeat Donors"
"45",308,0.218859156176639,"Repeat Donors"
"46",315,0.207937601308643,"Repeat Donors"
"47",322,0.197808495491822,"Repeat Donors"
"48",329,0.188612446221621,"Repeat Donors"
"49",336,0.180028427514371,"Repeat Donors"
"50",343,0.171381247833147,"Repeat Donors"
"51",350,0.163377860490534,"Repeat Donors"
"52",357,0.155568959637237,"Repeat Donors"
"53",364,0.147821406871174,"Repeat Donors"
"54",371,0.140756949828215,"Repeat Donors"
"55",378,0.134501112786138,"Repeat Donors"
"56",385,0.128261229147361,"Repeat Donors"
"57",392,0.122316483469627,"Repeat Donors"
"58",399,0.116716331303166,"Repeat Donors"
"59",406,0.111042938512465,"Repeat Donors"
"60",413,0.105288328395876,"Repeat Donors"
"61",420,0.0998870136469038,"Repeat Donors"
"62",427,0.0950120886913502,"Repeat Donors"
"63",434,0.0902677640964453,"Repeat Donors"
"64",441,0.0854523743413873,"Repeat Donors"
"65",448,0.0808746177800245,"Repeat Donors"
"66",455,0.0766672702370915,"Repeat Donors"
"67",462,0.0728847183147463,"Repeat Donors"
"68",469,0.0693969417760968,"Repeat Donors"
"69",476,0.0660556464859258,"Repeat Donors"
"70",483,0.0628097090382048,"Repeat Donors"
"71",490,0.059539914001004,"Repeat Donors"
"72",497,0.0557986233808293,"Repeat Donors"
"73",504,0.0523093965327889,"Repeat Donors"
"74",511,0.0493283580953116,"Repeat Donors"
"75",518,0.0466610215790809,"Repeat Donors"
"76",525,0.0442925213128403,"Repeat Donors"
"77",532,0.0421946487789374,"Repeat Donors"
"78",539,0.0403441265116484,"Repeat Donors"
"79",546,0.0385853363133324,"Repeat Donors"
"80",553,0.0369457615469464,"Repeat Donors"
"81",560,0.0354591219058283,"Repeat Donors"
"82",567,0.0339858976265759,"Repeat Donors"
"83",574,0.0324123119374748,"Repeat Donors"
