"","month","value","quantile"
"1",10,0.00288608890191465,0.025
"2",11,0.0029740254084538,0.025
"3",12,0.00247709995355948,0.025
"4",13,0.00267877955949769,0.025
"5",14,0.00268491625058221,0.025
"6",15,0.00272814905520231,0.025
"7",16,0.00283836299552161,0.025
"8",17,0.00292917077636395,0.025
"9",18,0.00291913746275771,0.025
"10",19,0.00296503808059847,0.025
"11",20,0.00319387435976035,0.025
"12",21,0.00320495336732065,0.025
"13",22,0.00317938104776667,0.025
"14",23,0.00319104022752625,0.025
"15",24,0.00300364111259602,0.025
"16",25,0.00265633998913389,0.025
"17",26,0.00264144835060764,0.025
"18",27,0.00262253844072471,0.025
"19",28,0.00258933614713826,0.025
"20",29,0.00279313168245947,0.025
"21",30,0.00272583659106713,0.025
"22",31,0.00271795679885319,0.025
"23",32,0.00273387235083452,0.025
"24",33,0.00265601227564229,0.025
"25",34,0.00253126520406611,0.025
"26",35,0.00251159282337964,0.025
"27",36,0.00244087467696591,0.025
"28",37,0.00244696731129929,0.025
"29",38,0.00251127831589629,0.025
"30",39,0.00245834193385076,0.025
"31",40,0.00251134294431046,0.025
"32",41,0.0025210747829607,0.025
"33",42,0.00255982061132429,0.025
"34",43,0.00242249252891258,0.025
"35",44,0.00237457626697884,0.025
"36",45,0.00234340140941665,0.025
"37",46,0.00238340416731805,0.025
"38",47,0.00254505687405019,0.025
"39",48,0.00247303225709123,0.025
"40",49,0.00244603140257551,0.025
"41",50,0.00236436922960741,0.025
"42",51,0.0025094439584183,0.025
"43",52,0.00245915611615106,0.025
"44",53,0.00246007905495499,0.025
"45",54,0.00256558403887016,0.025
"46",55,0.00264918542560023,0.025
"47",56,0.0026292644996635,0.025
"48",57,0.00261860368763227,0.025
"49",58,0.00263783143023495,0.025
"50",59,0.00259318778392594,0.025
"51",60,0.00273042052697091,0.025
"52",61,0.00271670033766918,0.025
"53",62,0.00264996925785276,0.025
"54",63,0.00267274742719443,0.025
"55",64,0.0027343590798597,0.025
"56",65,0.00272763944995001,0.025
"57",10,0.00464680664679308,0.25
"58",11,0.0047767798932656,0.25
"59",12,0.00395484634080302,0.25
"60",13,0.00432991736589251,0.25
"61",14,0.00433403006452261,0.25
"62",15,0.00436013939783452,0.25
"63",16,0.00457084477531464,0.25
"64",17,0.00467041241928762,0.25
"65",18,0.00469486238134127,0.25
"66",19,0.00474057459263921,0.25
"67",20,0.0052030301932102,0.25
"68",21,0.00518592375536797,0.25
"69",22,0.00514440497019848,0.25
"70",23,0.00511708810105873,0.25
"71",24,0.00479618460825025,0.25
"72",25,0.00428163604680606,0.25
"73",26,0.00425782308951646,0.25
"74",27,0.00423450049629248,0.25
"75",28,0.00418079398430052,0.25
"76",29,0.00446559622661644,0.25
"77",30,0.0044058418214418,0.25
"78",31,0.00438461385902783,0.25
"79",32,0.00438973442463071,0.25
"80",33,0.00424239789762825,0.25
"81",34,0.00409213313351015,0.25
"82",35,0.00407280434609589,0.25
"83",36,0.00396388693155403,0.25
"84",37,0.00393615977221605,0.25
"85",38,0.00409247783289319,0.25
"86",39,0.00400983925620708,0.25
"87",40,0.00403736905078723,0.25
"88",41,0.00403490856643665,0.25
"89",42,0.00410852460999169,0.25
"90",43,0.00394552549435996,0.25
"91",44,0.00380263617514069,0.25
"92",45,0.00378363266761834,0.25
"93",46,0.00385092358715472,0.25
"94",47,0.00407271938906846,0.25
"95",48,0.00397545578892185,0.25
"96",49,0.00395643831142935,0.25
"97",50,0.00382156556862272,0.25
"98",51,0.00401537403415254,0.25
"99",52,0.00395111099633351,0.25
"100",53,0.00396476979975966,0.25
"101",54,0.00413705767194447,0.25
"102",55,0.00425963239196656,0.25
"103",56,0.00426139460826469,0.25
"104",57,0.0042505270230969,0.25
"105",58,0.00426038125835012,0.25
"106",59,0.00419136056372652,0.25
"107",60,0.00444491560689893,0.25
"108",61,0.0043672403185559,0.25
"109",62,0.00433729944821271,0.25
"110",63,0.00433589327876266,0.25
"111",64,0.00445812368932879,0.25
"112",65,0.00443530127919776,0.25
"113",10,0.00580214451509934,0.5
"114",11,0.00594981202505617,0.5
"115",12,0.00491038272251095,0.5
"116",13,0.00539978113953496,0.5
"117",14,0.00539231023996078,0.5
"118",15,0.00542383001747432,0.5
"119",16,0.00569862446793406,0.5
"120",17,0.00580748235842468,0.5
"121",18,0.00587593042843765,0.5
"122",19,0.00592181375391301,0.5
"123",20,0.0065218030005389,0.5
"124",21,0.00647977772631126,0.5
"125",22,0.00641183003972447,0.5
"126",23,0.00639922177468728,0.5
"127",24,0.00598638681518843,0.5
"128",25,0.00535815457854904,0.5
"129",26,0.00530434819181122,0.5
"130",27,0.00529063423052069,0.5
"131",28,0.00523097933808869,0.5
"132",29,0.00557819808503411,0.5
"133",30,0.00553475802637343,0.5
"134",31,0.00547599176084778,0.5
"135",32,0.00549649939642961,0.5
"136",33,0.00530717288864087,0.5
"137",34,0.00513004293098943,0.5
"138",35,0.00507571726958191,0.5
