"","month","value","quantile"
"1",10,0.00149039603326969,0.025
"2",11,0.00147112065536905,0.025
"3",12,0.00134165231336703,0.025
"4",13,0.00133439191940834,0.025
"5",14,0.00131752676638737,0.025
"6",15,0.00130413408930498,0.025
"7",16,0.00133381265839156,0.025
"8",17,0.00138358442684282,0.025
"9",18,0.00140993336271982,0.025
"10",19,0.0014074962481495,0.025
"11",20,0.00144907506129642,0.025
"12",21,0.00151138555841317,0.025
"13",22,0.00153175221368862,0.025
"14",23,0.00154365368648039,0.025
"15",24,0.00156226962146174,0.025
"16",25,0.00167410275334528,0.025
"17",26,0.00175995576320881,0.025
"18",27,0.00177571358113058,0.025
"19",28,0.001799908111474,0.025
"20",29,0.00183931013569999,0.025
"21",30,0.00193054311992521,0.025
"22",31,0.00201315477960092,0.025
"23",32,0.00202697925177492,0.025
"24",33,0.00206457512608397,0.025
"25",34,0.00221110175971918,0.025
"26",35,0.00230861413613321,0.025
"27",36,0.00233526515423775,0.025
"28",37,0.00241014878742652,0.025
"29",38,0.00230936430104911,0.025
"30",39,0.0022445002580633,0.025
"31",40,0.00229566794090194,0.025
"32",41,0.00233894652485642,0.025
"33",42,0.00238593907219918,0.025
"34",43,0.00264962128618154,0.025
"35",44,0.00277051958291296,0.025
"36",45,0.0028885883542264,0.025
"37",46,0.00297801922530833,0.025
"38",47,0.00343290610062969,0.025
"39",48,0.00351098505243364,0.025
"40",49,0.00337133848378928,0.025
"41",50,0.00340834314360329,0.025
"42",51,0.00349935510317618,0.025
"43",52,0.00340532241444881,0.025
"44",53,0.00350904709209166,0.025
"45",54,0.00349274747365019,0.025
"46",55,0.00345067811064485,0.025
"47",56,0.00372220359530039,0.025
"48",57,0.00358945851857752,0.025
"49",58,0.00349254458194289,0.025
"50",59,0.00359077485338482,0.025
"51",60,0.00379046606473612,0.025
"52",61,0.00391836863952913,0.025
"53",62,0.00386202578101217,0.025
"54",63,0.00391617787847425,0.025
"55",64,0.00299319790792858,0.025
"56",65,0.00249100294372549,0.025
"57",66,0.00245965566421169,0.025
"58",10,0.00238794041608078,0.25
"59",11,0.00236458852019256,0.25
"60",12,0.00217449971626837,0.25
"61",13,0.00216937649866217,0.25
"62",14,0.00212169580302826,0.25
"63",15,0.00210350221436541,0.25
"64",16,0.00215289186018219,0.25
"65",17,0.00221963054561508,0.25
"66",18,0.00227807348254755,0.25
"67",19,0.00226433411883425,0.25
"68",20,0.00231164630744791,0.25
"69",21,0.00243235865644843,0.25
"70",22,0.00248083086623359,0.25
"71",23,0.00247702035871125,0.25
"72",24,0.00252874591002506,0.25
"73",25,0.00270370493997577,0.25
"74",26,0.00285766773990322,0.25
"75",27,0.00287155618242153,0.25
"76",28,0.00287810608928915,0.25
"77",29,0.00295125173364861,0.25
"78",30,0.0031203862553688,0.25
"79",31,0.00324020532516281,0.25
"80",32,0.00329128888453391,0.25
"81",33,0.00332942281730141,0.25
"82",34,0.00357225498436316,0.25
"83",35,0.00371765416012505,0.25
"84",36,0.00379944613267114,0.25
"85",37,0.00383688610312122,0.25
"86",38,0.00373439506342916,0.25
"87",39,0.00367235421428705,0.25
"88",40,0.00372374395815778,0.25
"89",41,0.00376229573950968,0.25
"90",42,0.00386108571141157,0.25
"91",43,0.00423197868650941,0.25
"92",44,0.00449694868137746,0.25
"93",45,0.00470646621428937,0.25
"94",46,0.00484935051267645,0.25
"95",47,0.00555266746660472,0.25
"96",48,0.00569604824157241,0.25
"97",49,0.00550667007421203,0.25
"98",50,0.00552702902805321,0.25
"99",51,0.00569219271657919,0.25
"100",52,0.00557176681982493,0.25
"101",53,0.00567489635344103,0.25
"102",54,0.00569137417451206,0.25
"103",55,0.00567554425950711,0.25
"104",56,0.00605895348277815,0.25
"105",57,0.00584485646164707,0.25
"106",58,0.00565010252884714,0.25
"107",59,0.00591839771627549,0.25
"108",60,0.00631546228490008,0.25
"109",61,0.00649876068507594,0.25
"110",62,0.00643141852356677,0.25
"111",63,0.00656109340922538,0.25
"112",64,0.00497971924572142,0.25
"113",65,0.0041532033745999,0.25
"114",66,0.00405633985043698,0.25
"115",10,0.00297954837808003,0.5
"116",11,0.0029489879452864,0.5
"117",12,0.00272168283989747,0.5
"118",13,0.00271613247561012,0.5
"119",14,0.00266880782335817,0.5
"120",15,0.00263711901750691,0.5
"121",16,0.00270069125475441,0.5
"122",17,0.00277499931746789,0.5
"123",18,0.00285460301358916,0.5
"124",19,0.002830298614585,0.5
"125",20,0.00290261983530921,0.5
"126",21,0.00304406627750034,0.5
"127",22,0.00311702928700723,0.5
"128",23,0.00311007050823316,0.5
"129",24,0.00318082330940422,0.5
"130",25,0.00339502519957147,0.5
"131",26,0.00358045651764506,0.5
"132",27,0.00359711338090341,0.5
"133",28,0.0036035620645149,0.5
"134",29,0.00368492300309011,0.5
"135",30,0.00389519587781951,0.5
"136",31,0.00404462819925806,0.5
"137",32,0.0041211982294014,0.5
"138",33,0.00416394153332521,0.5
"139",34,0.00445288594879117,0.5
"140",35,0.00463990164917651,0.5
"141",36,0.004748986752943,0.5
"142",37,0.00477498917653349,0.5
"143",38,0.004661196076986,0.5
"144",39,0.00459952896281498,0.5
"145",40,0.00466043147388563,0.5
"146",41,0.0047102356811592,0.5
"147",42,0.00481907387577709,0.5
"148",43,0.0052820194244759,0.5
"149",44,0.00565874329496383,0.5
"150",45,0.00593906860308621,0.5
"151",46,0.00608971073918925,0.5
"152",47,0.00697194778597789,0.5
"153",48,0.00716153060468564,0.5
"154",49,0.00693112819206339,0.5
"155",50,0.00695752979334538,0.5
"156",51,0.00714599097041534,0.5
"157",52,0.00700823349148993,0.5
"158",53,0.00714043879946204,0.5
"159",54,0.00720940770620753,0.5
"160",55,0.00715294770928751,0.5
"161",56,0.00769791495850615,0.5
"162",57,0.00739462592926014,0.5
"163",58,0.00715910464301591,0.5
"164",59,0.00750076477044089,0.5
"165",60,0.00804914562220775,0.5
"166",61,0.0083004416124837,0.5
"167",62,0.00819996518692531,0.5
"168",63,0.00840573617512061,0.5
"169",64,0.00635175623675915,0.5
"170",65,0.00527754033643481,0.5
"171",66,0.00515797367002527,0.5
"172",10,0.003659107961932,0.75
"173",11,0.00362882138631172,0.75
"174",12,0.0033506558911645,0.75
"175",13,0.0033477717000377,0.75
"176",14,0.00329765708833574,0.75
"177",15,0.0032567849433962,0.75
"178",16,0.00333946303575118,0.75
"179",17,0.00342384780513609,0.75
"180",18,0.00351989294262175,0.75
"181",19,0.00349448086936638,0.75
"182",20,0.00357814666061485,0.75
"183",21,0.0037505362586425,0.75
"184",22,0.00384566864576305,0.75
"185",23,0.00384216129882828,0.75
"186",24,0.00391679713045072,0.75
"187",25,0.00417731753971234,0.75
"188",26,0.00442080348454074,0.75
"189",27,0.00442859754212383,0.75
"190",28,0.00446375026268855,0.75
"191",29,0.00455501710610601,0.75
"192",30,0.00479442715262272,0.75
"193",31,0.00498185776848694,0.75
"194",32,0.00507366590263991,0.75
"195",33,0.00511299696165317,0.75
"196",34,0.00547387274393049,0.75
"197",35,0.0057051723572253,0.75
"198",36,0.00586050811596962,0.75
"199",37,0.00587685870506267,0.75
"200",38,0.00575380550335338,0.75
"201",39,0.00567341659728655,0.75
"202",40,0.00574370343869799,0.75
"203",41,0.00580740119020174,0.75
"204",42,0.00594942603764863,0.75
"205",43,0.00650338883025212,0.75
"206",44,0.00697763885504021,0.75
"207",45,0.00732647837792658,0.75
"208",46,0.00749832892845182,0.75
"209",47,0.008629216264563,0.75
"210",48,0.00886206179564248,0.75
"211",49,0.00856653830753134,0.75
