"","month","value","quantile"
"1",10,0.00145151961449957,0.025
"2",11,0.00144309824434874,0.025
"3",12,0.0013323878028182,0.025
"4",13,0.001338910865128,0.025
"5",14,0.00131827555749871,0.025
"6",15,0.0013010569671091,0.025
"7",16,0.00133547068192509,0.025
"8",17,0.00135532536200417,0.025
"9",18,0.00141378053010429,0.025
"10",19,0.00140067162328192,0.025
"11",20,0.00142812911692305,0.025
"12",21,0.00150324101265116,0.025
"13",22,0.00154196677928915,0.025
"14",23,0.0015337592694362,0.025
"15",24,0.00155999142879925,0.025
"16",25,0.00167902342725455,0.025
"17",26,0.00175830834029236,0.025
"18",27,0.0017649021889129,0.025
"19",28,0.0017973040218657,0.025
"20",29,0.00180932848243793,0.025
"21",30,0.00193708617979129,0.025
"22",31,0.00196063221748089,0.025
"23",32,0.0020080966869254,0.025
"24",33,0.00201333354940963,0.025
"25",34,0.00214680839319551,0.025
"26",35,0.00225403830179827,0.025
"27",36,0.00224482839322438,0.025
"28",37,0.00224051248014159,0.025
"29",38,0.00223070643944656,0.025
"30",39,0.00216300378632275,0.025
"31",40,0.00220892451481608,0.025
"32",41,0.00221096055151881,0.025
"33",42,0.00225942961687504,0.025
"34",43,0.00245661549462328,0.025
"35",44,0.00263225883597152,0.025
"36",45,0.00275487384627897,0.025
"37",46,0.00279794109981815,0.025
"38",47,0.00318918335424382,0.025
"39",48,0.00319285614313659,0.025
"40",49,0.00311337008258315,0.025
"41",50,0.00307440932732327,0.025
"42",51,0.00324093697025137,0.025
"43",52,0.0031290477061933,0.025
"44",53,0.00320894701060789,0.025
"45",54,0.00324074416169808,0.025
"46",55,0.0032218883466782,0.025
"47",56,0.00335783730218673,0.025
"48",57,0.00327776216653378,0.025
"49",58,0.00317539601235733,0.025
"50",59,0.00326419249361313,0.025
"51",60,0.00345008683956187,0.025
"52",61,0.00355369248852351,0.025
"53",62,0.00356216627486813,0.025
"54",63,0.00359718009111785,0.025
"55",64,0.00281550642277578,0.025
"56",65,0.00238805129320681,0.025
"57",66,0.00234499568692714,0.025
"58",10,0.00232960484634416,0.25
"59",11,0.00231942531036652,0.25
"60",12,0.00214279769409196,0.25
"61",13,0.00215043277022323,0.25
"62",14,0.00211483398517483,0.25
"63",15,0.00210289550634958,0.25
"64",16,0.00215614835782472,0.25
"65",17,0.00220393477583254,0.25
"66",18,0.00228244359618586,0.25
"67",19,0.0022617687003541,0.25
"68",20,0.00230042015676604,0.25
"69",21,0.00241040699718233,0.25
"70",22,0.00247452356921281,0.25
"71",23,0.00247011767275476,0.25
"72",24,0.00252777213007522,0.25
"73",25,0.00271352358563824,0.25
"74",26,0.00285692488016114,0.25
"75",27,0.00285838488111135,0.25
"76",28,0.00287808568071181,0.25
"77",29,0.00292662321432786,0.25
"78",30,0.00309365034376279,0.25
"79",31,0.00316970505134409,0.25
"80",32,0.00322389729277431,0.25
"81",33,0.00322929657470122,0.25
"82",34,0.00344359067807243,0.25
"83",35,0.00358458383738167,0.25
"84",36,0.00363397761403515,0.25
"85",37,0.00363022225006593,0.25
"86",38,0.00359095706782926,0.25
"87",39,0.00352070875292774,0.25
"88",40,0.00358644858917465,0.25
"89",41,0.00357473988837938,0.25
"90",42,0.00366885659891487,0.25
"91",43,0.00399091930625352,0.25
"92",44,0.00425326743814808,0.25
"93",45,0.00445678155212043,0.25
"94",46,0.00453618010074158,0.25
"95",47,0.00515534060771576,0.25
"96",48,0.00522228474308469,0.25
"97",49,0.00509326130458916,0.25
"98",50,0.00504344579199131,0.25
"99",51,0.00530583083065412,0.25
"100",52,0.00513010860130936,0.25
"101",53,0.00524470683510631,0.25
"102",54,0.00528710936765173,0.25
"103",55,0.00526646048777495,0.25
"104",56,0.00558782504501863,0.25
"105",57,0.00537588132894145,0.25
"106",58,0.00519428930363745,0.25
"107",59,0.00542477153207266,0.25
"108",60,0.00578950128194888,0.25
"109",61,0.0059523308067231,0.25
"110",62,0.00589200174599071,0.25
"111",63,0.00603235544316516,0.25
"112",64,0.0046786291974356,0.25
"113",65,0.00393928374054583,0.25
"114",66,0.00385763336347526,0.25
"115",10,0.00290179339990111,0.5
"116",11,0.00288858251027946,0.5
"117",12,0.00268012479355274,0.5
"118",13,0.00270428283034709,0.5
"119",14,0.00265045330896732,0.5
"120",15,0.00263793354680376,0.5
"121",16,0.00269629779895527,0.5
"122",17,0.00276149242938216,0.5
"123",18,0.00285923699101203,0.5
"124",19,0.00283323326149708,0.5
"125",20,0.00288821224339764,0.5
"126",21,0.00301095169132444,0.5
"127",22,0.00309703672999686,0.5
"128",23,0.00310298163922565,0.5
"129",24,0.00316672873088669,0.5
"130",25,0.00339813984289369,0.5
"131",26,0.00358377767009359,0.5
"132",27,0.00359134066330944,0.5
"133",28,0.00359722646808664,0.5
"134",29,0.00366335029744628,0.5
"135",30,0.00386406060231379,0.5
"136",31,0.0039850966686411,0.5
"137",32,0.00402815108659436,0.5
"138",33,0.00405206900528692,0.5
"139",34,0.00431098117149511,0.5
"140",35,0.00449201844882688,0.5
"141",36,0.00454861965298425,0.5
"142",37,0.00454107940020955,0.5
"143",38,0.00448458604271559,0.5
"144",39,0.00443679547574713,0.5
"145",40,0.00449423330917562,0.5
"146",41,0.00449406958335252,0.5
"147",42,0.00460528598910465,0.5
"148",43,0.00501758541913306,0.5
"149",44,0.00538425279094586,0.5
"150",45,0.00559292511165643,0.5
"151",46,0.00569798944989038,0.5
"152",47,0.00648109164297725,0.5
"153",48,0.00658843457214555,0.5
"154",49,0.00639863679920472,0.5
"155",50,0.0063453089184479,0.5
"156",51,0.00665296047378042,0.5
"157",52,0.00650310637755185,0.5
"158",53,0.00661090381775778,0.5
"159",54,0.00669977840497416,0.5
"160",55,0.00664534051379867,0.5
"161",56,0.00708893198157079,0.5
"162",57,0.00679552095717097,0.5
"163",58,0.00656907371758527,0.5
"164",59,0.0068788934090334,0.5
"165",60,0.00737003048139756,0.5
"166",61,0.00758971005409154,0.5
"167",62,0.00749485790065835,0.5
"168",63,0.0077146987965235,0.5
"169",64,0.00597360037122453,0.5
"170",65,0.00500123173423459,0.5
"171",66,0.00489786456690702,0.5
"172",10,0.00357231364615451,0.75
"173",11,0.00355966745805131,0.75
"174",12,0.00331399511504427,0.75
"175",13,0.00334108416672331,0.75
"176",14,0.00326447707955453,0.75
"177",15,0.00325442154917551,0.75
"178",16,0.00332261153516083,0.75
"179",17,0.00340251992198186,0.75
"180",18,0.00352952081328954,0.75
"181",19,0.00349739022488372,0.75
"182",20,0.00357598629332543,0.75
"183",21,0.0037213644577295,0.75
"184",22,0.00383047637621706,0.75
"185",23,0.00381594328574171,0.75
"186",24,0.00389976940080887,0.75
"187",25,0.00417660882467853,0.75
"188",26,0.00442755135690399,0.75
"189",27,0.00444445795752923,0.75
"190",28,0.00442756120880441,0.75
"191",29,0.00451130806123748,0.75
"192",30,0.0047464786097679,0.75
"193",31,0.00489386977256915,0.75
"194",32,0.00495956383454171,0.75
"195",33,0.00500104233761275,0.75
"196",34,0.00529716860436204,0.75
"197",35,0.00552754865683033,0.75
"198",36,0.0056028502141209,0.75
"199",37,0.0055834304513568,0.75
"200",38,0.00552568335816749,0.75
"201",39,0.00547725915942367,0.75
"202",40,0.00553225709984017,0.75
"203",41,0.00555089803193301,0.75
"204",42,0.00567539125029786,0.75
"205",43,0.00619476156258421,0.75
"206",44,0.0066771611607126,0.75
"207",45,0.00692555005396517,0.75
