"","month","value","quantile"
"1",10,0.00154853088195694,0.025
"2",11,0.00155400399180992,0.025
"3",12,0.00140864994010923,0.025
"4",13,0.00141676305904407,0.025
"5",14,0.0013801285419864,0.025
"6",15,0.00135465475960948,0.025
"7",16,0.0013998464681746,0.025
"8",17,0.00143635837475623,0.025
"9",18,0.0014607310768244,0.025
"10",19,0.00147324937298603,0.025
"11",20,0.00149980114622276,0.025
"12",21,0.00158779546415034,0.025
"13",22,0.00161447133605943,0.025
"14",23,0.00159362312380845,0.025
"15",24,0.00165380234292973,0.025
"16",25,0.00174629632451464,0.025
"17",26,0.00184799859719486,0.025
"18",27,0.00186842502047226,0.025
"19",28,0.00187637301860525,0.025
"20",29,0.00190757930194981,0.025
"21",30,0.00202660181694401,0.025
"22",31,0.0020759128138642,0.025
"23",32,0.00213728098927191,0.025
"24",33,0.00216531036878891,0.025
"25",34,0.00233296008738425,0.025
"26",35,0.00240434491840894,0.025
"27",36,0.00246240427880516,0.025
"28",37,0.00250841922493538,0.025
"29",38,0.00239886908878943,0.025
"30",39,0.00233082816935006,0.025
"31",40,0.00244248376717135,0.025
"32",41,0.0024735869051776,0.025
"33",42,0.00251291612621538,0.025
"34",43,0.00272509998793818,0.025
"35",44,0.00290200802547554,0.025
"36",45,0.00306514112449514,0.025
"37",46,0.0031394282685195,0.025
"38",47,0.00363822363468316,0.025
"39",48,0.0037489387033474,0.025
"40",49,0.00358766410080983,0.025
"41",50,0.00359360097005899,0.025
"42",51,0.00370293100770151,0.025
"43",52,0.00365312371456737,0.025
"44",53,0.00370957891017683,0.025
"45",54,0.00381615635712076,0.025
"46",55,0.00370237552142212,0.025
"47",56,0.00396025398236097,0.025
"48",57,0.0038508561950065,0.025
"49",58,0.00370506668772018,0.025
"50",59,0.00390318192109809,0.025
"51",60,0.00414099324040882,0.025
"52",61,0.00423969223670004,0.025
"53",62,0.00420592041180455,0.025
"54",63,0.00426633170638398,0.025
"55",64,0.00323108305889856,0.025
"56",65,0.00269837846395896,0.025
"57",66,0.00262009292815351,0.025
"58",10,0.00248086964957059,0.25
"59",11,0.00248436376904958,0.25
"60",12,0.00228081718896075,0.25
"61",13,0.00228183855107465,0.25
"62",14,0.00222769535152386,0.25
"63",15,0.00219624660230055,0.25
"64",16,0.00225984031931266,0.25
"65",17,0.0023198447256466,0.25
"66",18,0.00235571593445468,0.25
"67",19,0.00236890316847333,0.25
"68",20,0.00242868804194834,0.25
"69",21,0.00254188787728355,0.25
"70",22,0.0026010604778568,0.25
"71",23,0.0025906623930365,0.25
"72",24,0.00263643515254139,0.25
"73",25,0.00282531647350522,0.25
"74",26,0.0030048030410117,0.25
"75",27,0.0030286643394003,0.25
"76",28,0.00302054171000071,0.25
