"","month","value","quantile"
"1",10,0.00728091064471532,0.025
"2",11,0.00673221083695303,0.025
"3",12,0.00995252355113217,0.025
"4",13,0.00971152795490096,0.025
"5",14,0.00979934425680304,0.025
"6",15,0.0107925892259834,0.025
"7",16,0.0200201490044215,0.025
"8",17,0.0324850127986141,0.025
"9",18,0.0299322232529028,0.025
"10",19,0.0266774410434873,0.025
"11",20,0.0110519883461686,0.025
"12",21,0.0086606318342672,0.025
"13",22,0.00840538486751304,0.025
"14",23,0.00834440020565785,0.025
"15",24,0.00672468251859151,0.025
"16",25,0.00481330772707153,0.025
"17",26,0.00478941730481378,0.025
"18",27,0.00466421021183932,0.025
"19",28,0.00456916478632769,0.025
"20",29,0.00427345857739934,0.025
"21",30,0.00392467076606283,0.025
"22",31,0.00390476933874608,0.025
"23",32,0.00380853064595257,0.025
"24",33,0.00379506257641529,0.025
"25",34,0.00379861394982687,0.025
"26",35,0.0037515814184732,0.025
"27",36,0.00369675622610041,0.025
"28",37,0.00370234819994941,0.025
"29",38,0.00377684462174899,0.025
"30",39,0.00376033468281143,0.025
"31",40,0.00372559039861311,0.025
"32",41,0.00371967927111185,0.025
"33",42,0.00373038701835217,0.025
"34",43,0.0039751253391827,0.025
"35",44,0.00390422932313662,0.025
"36",45,0.00395606325468785,0.025
"37",46,0.0042061425889759,0.025
"38",47,0.00441890028220053,0.025
"39",48,0.00446610514131139,0.025
"40",49,0.00454816558377245,0.025
"41",50,0.00452987467355708,0.025
"42",51,0.00588567673509812,0.025
"43",52,0.00584516090256196,0.025
"44",53,0.00581373069943475,0.025
"45",54,0.00586470593949644,0.025
"46",55,0.00621843636226721,0.025
"47",56,0.00780733695599987,0.025
"48",57,0.0078876738919201,0.025
"49",58,0.00784384160531691,0.025
"50",59,0.00791667612904997,0.025
"51",60,0.00783578642371982,0.025
"52",61,0.00726703629749215,0.025
"53",62,0.0073553072120393,0.025
"54",63,0.00668059518949978,0.025
"55",10,0.0112808046811965,0.25
"56",11,0.0108235507526362,0.25
"57",12,0.0159333851003929,0.25
"58",13,0.0156117877300746,0.25
"59",14,0.0156727395887615,0.25
"60",15,0.0170683789863844,0.25
"61",16,0.0313594594469682,0.25
"62",17,0.052523044574144,0.25
"63",18,0.0474852877745921,0.25
"64",19,0.0434839920699283,0.25
"65",20,0.0175728902483763,0.25
"66",21,0.0138724642089931,0.25
"67",22,0.0135200151776388,0.25
"68",23,0.0132911917953958,0.25
"69",24,0.010724163994019,0.25
"70",25,0.0077129855167063,0.25
"71",26,0.00762954264313069,0.25
"72",27,0.00753261425359214,0.25
"73",28,0.00730914694475542,0.25
"74",29,0.00680696894089207,0.25
"75",30,0.00635044532921946,0.25
"76",31,0.00626881079890988,0.25
"77",32,0.00619767018240641,0.25
"78",33,0.00611081209450101,0.25
"79",34,0.00607254369943845,0.25
"80",35,0.00606601709539293,0.25
"81",36,0.00598834185864717,0.25
"82",37,0.00600370478197925,0.25
"83",38,0.00605982146072651,0.25
"84",39,0.00607761764294307,0.25
"85",40,0.00600192151662947,0.25
"86",41,0.00597737495928721,0.25
"87",42,0.00605538509765146,0.25
"88",43,0.00635943095927717,0.25
"89",44,0.00637850487710581,0.25
"90",45,0.00635995215424881,0.25
"91",46,0.00675848934227408,0.25
"92",47,0.00721569179260899,0.25
"93",48,0.00721854169267736,0.25
"94",49,0.00728059139887492,0.25
"95",50,0.00728694058471088,0.25
"96",51,0.00954292912040012,0.25
"97",52,0.00949905862850964,0.25
"98",53,0.00947693718664165,0.25
"99",54,0.00948870453332038,0.25
"100",55,0.010151622682781,0.25
"101",56,0.0127565458957492,0.25
"102",57,0.0127216980571089,0.25
"103",58,0.012691041425295,0.25
"104",59,0.0129816298844536,0.25
"105",60,0.0126665744357126,0.25
"106",61,0.0118776676375152,0.25
