"","month","value","quantile"
"1",10,0.00751035040301415,0.025
"2",11,0.00692779653641535,0.025
"3",12,0.0102369406638636,0.025
"4",13,0.0103569840355401,0.025
"5",14,0.0101102446805372,0.025
"6",15,0.0110683604416171,0.025
"7",16,0.0206332675375368,0.025
"8",17,0.0359864901926666,0.025
"9",18,0.0315771265871013,0.025
"10",19,0.0288193162773991,0.025
"11",20,0.0124811643903103,0.025
"12",21,0.0100188271747656,0.025
"13",22,0.00980651236222104,0.025
"14",23,0.00949199956286919,0.025
"15",24,0.00762697014266718,0.025
"16",25,0.00568134316725616,0.025
"17",26,0.00557755424826133,0.025
"18",27,0.00546944016130284,0.025
"19",28,0.00534778500616601,0.025
"20",29,0.00524479945400175,0.025
"21",30,0.00497410007503817,0.025
"22",31,0.00492129688105897,0.025
"23",32,0.0048606233139,0.025
"24",33,0.00485254794070839,0.025
"25",34,0.00481549793009372,0.025
"26",35,0.00476341128411203,0.025
"27",36,0.00474133126587004,0.025
"28",37,0.00476021917751028,0.025
"29",38,0.00487384865746728,0.025
"30",39,0.00490099446679496,0.025
"31",40,0.00488335342180586,0.025
"32",41,0.00483430404836997,0.025
"33",42,0.00495990929818652,0.025
"34",43,0.00521665235775986,0.025
"35",44,0.0052910875848459,0.025
"36",45,0.0052424819444137,0.025
"37",46,0.00577417472439228,0.025
"38",47,0.00631226515515309,0.025
"39",48,0.00623623572310022,0.025
"40",49,0.00627560572249079,0.025
"41",50,0.00617085320855424,0.025
"42",51,0.00865539222153916,0.025
"43",52,0.00855957168852638,0.025
"44",53,0.00862282763011522,0.025
"45",54,0.00854608910687489,0.025
"46",55,0.00904096424223632,0.025
"47",56,0.0113087908721127,0.025
"48",57,0.0112732517109749,0.025
"49",58,0.0114080842137558,0.025
"50",59,0.0114398216207655,0.025
"51",60,0.0104818152510955,0.025
"52",61,0.00945302237629012,0.025
"53",62,0.00932719966704835,0.025
"54",63,0.00824660197077168,0.025
"55",10,0.0117390445395115,0.25
"56",11,0.0111758276373711,0.25
"57",12,0.0166852486185217,0.25
"58",13,0.0165494679136904,0.25
"59",14,0.0163349593074386,0.25
"60",15,0.0176420628487115,0.25
"61",16,0.0320141271006601,0.25
"62",17,0.0574762930944308,0.25
"63",18,0.050942416615739,0.25
"64",19,0.0461452861455438,0.25
"65",20,0.019903912304894,0.25
"66",21,0.0158704914015225,0.25
"67",22,0.0154033257181762,0.25
"68",23,0.0150837425207295,0.25
"69",24,0.012240088754397,0.25
"70",25,0.00902765236802579,0.25
"71",26,0.00897321742254039,0.25
"72",27,0.00876674165107437,0.25
"73",28,0.00862153165476266,0.25
"74",29,0.00842078792224127,0.25
"75",30,0.0079090948206449,0.25
"76",31,0.00780949932509694,0.25
"77",32,0.00768568121919965,0.25
"78",33,0.00774982998267678,0.25
"79",34,0.00775262079200099,0.25
"80",35,0.00761840501119283,0.25
"81",36,0.0076042715846684,0.25
"82",37,0.00763897966707206,0.25
"83",38,0.00787082224050002,0.25
"84",39,0.00785789218999948,0.25
"85",40,0.0078063787234946,0.25
"86",41,0.007792699155603,0.25
"87",42,0.00785042404275659,0.25
"88",43,0.00845730125996191,0.25
"89",44,0.00843767969811682,0.25
"90",45,0.00842732817344862,0.25
"91",46,0.00919800453580448,0.25
"92",47,0.010085187872949,0.25
"93",48,0.0100286436074149,0.25
"94",49,0.0101343921647365,0.25
"95",50,0.0100396761613937,0.25
"96",51,0.0140100771555982,0.25
"97",52,0.0138099408163839,0.25
"98",53,0.0138304884521261,0.25
"99",54,0.0137013466835521,0.25
"100",55,0.014556738947868,0.25
"101",56,0.0184022946000057,0.25
"102",57,0.0183483642451164,0.25
"103",58,0.0183936387141587,0.25
"104",59,0.0183401700181897,0.25
"105",60,0.0169306397824963,0.25
"106",61,0.0152944744843186,0.25
"107",62,0.0152031971754664,0.25
"108",63,0.0134453401215475,0.25
"109",10,0.0143841472231389,0.5
"110",11,0.0138632400420928,0.5
"111",12,0.0208507668478244,0.5
"112",13,0.0205859863571484,0.5
"113",14,0.020361738079823,0.5
"114",15,0.0219033725891595,0.5
"115",16,0.0391604540731947,0.5
"116",17,0.0706272411610256,0.5
"117",18,0.0633412794798908,0.5
"118",19,0.0572219797391764,0.5
"119",20,0.0246382505569549,0.5
"120",21,0.0196652908351589,0.5
"121",22,0.0190729375284558,0.5
"122",23,0.0187391739021989,0.5
"123",24,0.0151908053861037,0.5
"124",25,0.0112546400712162,0.5
"125",26,0.0112032909296838,0.5
"126",27,0.0109478820258686,0.5
"127",28,0.0107936468712718,0.5
"128",29,0.010514264042273,0.5
"129",30,0.00985177741032633,0.5
"130",31,0.00973469906688213,0.5
"131",32,0.00961314947370836,0.5
"132",33,0.0096608441890843,0.5
"133",34,0.00965428121928363,0.5
"134",35,0.00950905529700317,0.5
"135",36,0.00952331199959724,0.5
"136",37,0.0095063397132173,0.5
"137",38,0.0098222116357058,0.5
"138",39,0.00978134654039048,0.5
"139",40,0.00974228361803132,0.5
"140",41,0.00975167656859664,0.5
"141",42,0.00984007794930902,0.5
"142",43,0.0105699457174467,0.5
"143",44,0.0105080452256928,0.5
"144",45,0.0105296392515256,0.5
"145",46,0.0115545838100186,0.5
"146",47,0.0126124663153909,0.5
"147",48,0.012533168397858,0.5
"148",49,0.0126280521886751,0.5
"149",50,0.0125954926153806,0.5
"150",51,0.0175470950668976,0.5
"151",52,0.017271576403999,0.5
"152",53,0.0172909678728984,0.5
"153",54,0.0172471631150498,0.5
"154",55,0.018264416999056,0.5
"155",56,0.0230231276467789,0.5
"156",57,0.0230079271499715,0.5
"157",58,0.0230383375128451,0.5
"158",59,0.0229565951887492,0.5
"159",60,0.0212257008049183,0.5
"160",61,0.0192053618239573,0.5
"161",62,0.019154784145193,0.5
"162",63,0.0168367990594276,0.5
"163",10,0.0174369193918536,0.75
"164",11,0.0170755339527903,0.75
"165",12,0.0256560800097888,0.75
"166",13,0.0252121344301778,0.75
"167",14,0.024888690446337,0.75
"168",15,0.0267699025575231,0.75
"169",16,0.0471874605435349,0.75
"170",17,0.0845706322823408,0.75
"171",18,0.0767082411347885,0.75
"172",19,0.06936162705743,0.75
"173",20,0.0299909629823796,0.75
"174",21,0.023940913422413,0.75
"175",22,0.0232759770462642,0.75
"176",23,0.0229125280596917,0.75
"177",24,0.0185780757169654,0.75
"178",25,0.0138609330885023,0.75
"179",26,0.0136913807859565,0.75
"180",27,0.013442871352241,0.75
"181",28,0.0132412954806802,0.75
"182",29,0.0129223098876399,0.75
"183",30,0.0120485525295263,0.75
"184",31,0.0119697619288685,0.75
"185",32,0.0117970172393859,0.75
"186",33,0.0119010405189346,0.75
"187",34,0.0118528136177467,0.75
"188",35,0.011691522762421,0.75
"189",36,0.0116728481423017,0.75
"190",37,0.0116968883296112,0.75
"191",38,0.0120640117109529,0.75
"192",39,0.0120443894049988,0.75
"193",40,0.0119834672278803,0.75
"194",41,0.0120127142455293,0.75
"195",42,0.0120730899020878,0.75
"196",43,0.0129860841921954,0.75
"197",44,0.0129323798728063,0.75
"198",45,0.0129242898807048,0.75
"199",46,0.0142502710433556,0.75
"200",47,0.0155631556884441,0.75
"201",48,0.0154449328754757,0.75
"202",49,0.0154785831002153,0.75
"203",50,0.0155007467431481,0.75
"204",51,0.0216347486500105,0.75
"205",52,0.0212737113732698,0.75
"206",53,0.021309157433478,0.75
"207",54,0.0212782620440707,0.75
"208",55,0.0224615158342779,0.75
"209",56,0.0283127925231426,0.75
"210",57,0.0282312631608963,0.75
"211",58,0.0283440902592158,0.75
"212",59,0.0281357331620729,0.75
"213",60,0.0261080387228029,0.75
"214",61,0.0236554218956277,0.75
"215",62,0.023729199146576,0.75
"216",63,0.02079913111303,0.75
"217",10,0.0240055176209108,0.975
"218",11,0.0244158903898104,0.975
"219",12,0.0363477655853093,0.975
"220",13,0.0355772919842565,0.975
"221",14,0.0351973767213308,0.975
"222",15,0.0374692248864268,0.975
"223",16,0.0632749710415399,0.975
"224",17,0.111996197626663,0.975
"225",18,0.104513536416955,0.975
"226",19,0.0956563295426902,0.975
"227",20,0.0418559229043652,0.975
"228",21,0.033725977408726,0.975
"229",22,0.0326321451492686,0.975
"230",23,0.0321796924996451,0.975
"231",24,0.0262355712076295,0.975
"232",25,0.0196510149307362,0.975
"233",26,0.0194118499425121,0.975
"234",27,0.0191737174171192,0.975
"235",28,0.0188768983419147,0.975
"236",29,0.0183146045839491,0.975
"237",30,0.0171394196375162,0.975
"238",31,0.0169821187973675,0.975
"239",32,0.0168153279493792,0.975
"240",33,0.0169888094528125,0.975
"241",34,0.0168681386108936,0.975
"242",35,0.016619155705466,0.975
"243",36,0.0164843693737869,0.975
"244",37,0.0167475050733088,0.975
"245",38,0.0171179636551537,0.975
"246",39,0.0172795228965103,0.975
"247",40,0.0171535394100283,0.975
"248",41,0.0170927561360161,0.975
"249",42,0.0172152996974339,0.975
"250",43,0.0184222934403876,0.975
"251",44,0.0185509892242994,0.975
"252",45,0.0182432238935247,0.975
"253",46,0.0204291713826505,0.975
"254",47,0.0221676109487115,0.975
"255",48,0.0221389623818111,0.975
"256",49,0.022112966179224,0.975
"257",50,0.0220319515986196,0.975
"258",51,0.0306229418307436,0.975
"259",52,0.0302301442254684,0.975
"260",53,0.030499364285759,0.975
"261",54,0.030752378789616,0.975
"262",55,0.031957827473899,0.975
"263",56,0.0401177917647068,0.975
"264",57,0.0402412999458422,0.975
"265",58,0.0400895377418937,0.975
"266",59,0.0392503157390677,0.975
"267",60,0.0369876249554297,0.975
"268",61,0.0339602343154321,0.975
"269",62,0.0342337178459931,0.975
"270",63,0.0300809186348256,0.975
