"","month","value","quantile"
"1",10,0.00244337363556388,0.025
"2",11,0.00255864398492894,0.025
"3",12,0.00266258434983383,0.025
"4",13,0.0026313704166632,0.025
"5",14,0.00284215507878522,0.025
"6",15,0.00282088626326579,0.025
"7",16,0.0033097395763091,0.025
"8",17,0.00390679827336027,0.025
"9",18,0.0041818713971897,0.025
"10",19,0.00446731269260647,0.025
"11",20,0.00501637712675134,0.025
"12",21,0.0071326529580728,0.025
"13",22,0.00750619886885418,0.025
"14",23,0.00715670582193218,0.025
"15",24,0.00670268001165544,0.025
"16",25,0.00701626530672307,0.025
"17",26,0.00557616525415854,0.025
"18",27,0.00517649439532623,0.025
"19",28,0.00501631428075413,0.025
"20",29,0.00460309161788687,0.025
"21",30,0.00420548954041404,0.025
"22",31,0.00400337066995323,0.025
"23",32,0.00394702904602745,0.025
"24",33,0.00374808708063833,0.025
"25",34,0.00357332025673316,0.025
"26",35,0.00336124342939857,0.025
"27",36,0.00307910994781026,0.025
"28",37,0.00296732501631257,0.025
"29",38,0.00286921017828993,0.025
"30",39,0.00268865513757953,0.025
"31",40,0.00268533991179076,0.025
"32",41,0.00267427914651506,0.025
"33",42,0.00265485667149456,0.025
"34",43,0.00268195216248576,0.025
"35",44,0.00261604046332377,0.025
"36",45,0.00260751357233719,0.025
"37",46,0.0026785353973935,0.025
"38",47,0.00275258623749972,0.025
"39",48,0.00272795937148799,0.025
"40",49,0.00274024767395424,0.025
"41",50,0.00274837721279365,0.025
"42",51,0.00281647155090524,0.025
"43",52,0.00292941002497602,0.025
"44",53,0.00307373200234326,0.025
"45",54,0.00304506427696244,0.025
"46",55,0.00302281918835206,0.025
"47",56,0.00303377345626758,0.025
"48",57,0.00327319139530649,0.025
"49",58,0.00329686327977114,0.025
"50",59,0.00333877684170632,0.025
"51",60,0.00334109598434611,0.025
"52",61,0.00335955118925186,0.025
"53",62,0.00340124669216007,0.025
"54",63,0.0034676535431239,0.025
"55",64,0.00371146788713882,0.025
"56",65,0.00368801453784963,0.025
"57",66,0.00367227375343892,0.025
"58",10,0.00392106390233195,0.25
"59",11,0.00409898465612342,0.25
"60",12,0.00422491170750624,0.25
"61",13,0.00426402547201962,0.25
"62",14,0.00455677858841682,0.25
"63",15,0.00454486967718463,0.25
"64",16,0.00539649260669329,0.25
"65",17,0.00627545454733971,0.25
"66",18,0.00665007643538708,0.25
"67",19,0.00719034726330672,0.25
"68",20,0.00802474492919275,0.25
"69",21,0.0117513019899692,0.25
"70",22,0.0120834399654256,0.25
"71",23,0.0115535355859725,0.25
"72",24,0.0106457648619203,0.25
"73",25,0.0111806978062581,0.25
"74",26,0.00895339320153388,0.25
"75",27,0.0081885757197284,0.25
"76",28,0.00808954497144362,0.25
"77",29,0.00742396594685717,0.25
"78",30,0.0067422883215503,0.25
"79",31,0.00636120048913369,0.25
"80",32,0.00631754911469451,0.25
"81",33,0.00597513841104049,0.25
"82",34,0.00576218445767829,0.25
"83",35,0.00539247623268476,0.25
"84",36,0.00495450694813225,0.25
"85",37,0.00476321140365074,0.25
"86",38,0.00461081601959562,0.25
"87",39,0.00435027624769257,0.25
"88",40,0.00434261418321535,0.25
"89",41,0.00431574514328853,0.25
"90",42,0.00434296148348609,0.25
"91",43,0.00434048738798611,0.25
"92",44,0.0041779095068758,0.25
"93",45,0.00422120043952663,0.25
"94",46,0.00428735182960996,0.25
"95",47,0.00440197395287853,0.25
"96",48,0.0044106365937207,0.25
"97",49,0.00442687540339667,0.25
"98",50,0.00442304799059466,0.25
"99",51,0.004572189154223,0.25
"100",52,0.00467695315945372,0.25
"101",53,0.00490706178593111,0.25
"102",54,0.00492096881152886,0.25
"103",55,0.00489273745627103,0.25
"104",56,0.00489407423150362,0.25
"105",57,0.00528774117076513,0.25
"106",58,0.00531785900334984,0.25
"107",59,0.00536718263752483,0.25
"108",60,0.00543224593001179,0.25
"109",61,0.00548242121640916,0.25
"110",62,0.00554867363570378,0.25
"111",63,0.00564415772949525,0.25
"112",64,0.00601350587893788,0.25
"113",65,0.00600304266130571,0.25
"114",66,0.00605172607406483,0.25
"115",10,0.0049106712325688,0.5
"116",11,0.0051100819953503,0.5
"117",12,0.00527656128955992,0.5
"118",13,0.00534054651599295,0.5
"119",14,0.00570707984440278,0.5
"120",15,0.00568346659864784,0.5
"121",16,0.00672209981184349,0.5
"122",17,0.00785423684312116,0.5
"123",18,0.00831703563771029,0.5
"124",19,0.00900984684021561,0.5
"125",20,0.0100014456741917,0.5
"126",21,0.0147248788765022,0.5
"127",22,0.0150956894352604,0.5
"128",23,0.0143371562361695,0.5
"129",24,0.0132299669416604,0.5
"130",25,0.0139020582740994,0.5
"131",26,0.0112151364105624,0.5
"132",27,0.0102089938077498,0.5
"133",28,0.0101063336560864,0.5
"134",29,0.00924815296527868,0.5
"135",30,0.00840478531596139,0.5
"136",31,0.00791856556745516,0.5
"137",32,0.0078969757056905,0.5
"138",33,0.00748663437752042,0.5
"139",34,0.00720758266496666,0.5
"140",35,0.00674610557665389,0.5
"141",36,0.00622216540001129,0.5
"142",37,0.00593354987881291,0.5
"143",38,0.00578371856196137,0.5
"144",39,0.00545807633823567,0.5
"145",40,0.00543718039494033,0.5
"146",41,0.00542211031835201,0.5
"147",42,0.00542654796356226,0.5
"148",43,0.00544270899917253,0.5
"149",44,0.00521544575128603,0.5
"150",45,0.00528766889708472,0.5
"151",46,0.00535553615170142,0.5
"152",47,0.00550154579838935,0.5
"153",48,0.00553289900792171,0.5
"154",49,0.00553324590959065,0.5
"155",50,0.00554448817740807,0.5
"156",51,0.00573468190420372,0.5
"157",52,0.00584259646380217,0.5
"158",53,0.00614692090554265,0.5
"159",54,0.00615453061924147,0.5
"160",55,0.00612439508195932,0.5
"161",56,0.00611940124919196,0.5
"162",57,0.00660711210322169,0.5
"163",58,0.00667100930582647,0.5
"164",59,0.00675616065606095,0.5
"165",60,0.00683983175266473,0.5
"166",61,0.00691100261904297,0.5
"167",62,0.00694140384656748,0.5
"168",63,0.0071252069918349,0.5
"169",64,0.0075762786848501,0.5
"170",65,0.00754351907132935,0.5
"171",66,0.00764675630844236,0.5
"172",10,0.00603094154539542,0.75
"173",11,0.00627176614449204,0.75
"174",12,0.00647506432711205,0.75
"175",13,0.00659745420253404,0.75
"176",14,0.00703588994345272,0.75
"177",15,0.00698945186661681,0.75
"178",16,0.00828122661365719,0.75
"179",17,0.00965754523082252,0.75
"180",18,0.0102388174238778,0.75
"181",19,0.0110559436422904,0.75
"182",20,0.0122462063401143,0.75
"183",21,0.0181181984865939,0.75
"184",22,0.0185000828554525,0.75
"185",23,0.0175358868729486,0.75
"186",24,0.0161943555304739,0.75
"187",25,0.0169787403641573,0.75
"188",26,0.0137971336929365,0.75
"189",27,0.0125076942389926,0.75
"190",28,0.0123602894216384,0.75
"191",29,0.0113750012593915,0.75
"192",30,0.0103406112884008,0.75
"193",31,0.00975877680876737,0.75
"194",32,0.00973948854193546,0.75
"195",33,0.00922292821653094,0.75
"196",34,0.00882637682768791,0.75
"197",35,0.00833556459662146,0.75
"198",36,0.00768606119266098,0.75
"199",37,0.00729377955360727,0.75
"200",38,0.00714693114599987,0.75
"201",39,0.00673501085520177,0.75
"202",40,0.00672803394964357,0.75
"203",41,0.00668731598049593,0.75
"204",42,0.00667917807828841,0.75
"205",43,0.00668839677703471,0.75
"206",44,0.00642775864701354,0.75
"207",45,0.00650942140815237,0.75
"208",46,0.00659983175109129,0.75
"209",47,0.00678266235523626,0.75
