"","month","value","quantile"
"1",10,0.00236494388178944,0.025
"2",11,0.00244280843385426,0.025
"3",12,0.00253551855582667,0.025
"4",13,0.00256653724510201,0.025
"5",14,0.00271105242545418,0.025
"6",15,0.00274007353292416,0.025
"7",16,0.00325586777415396,0.025
"8",17,0.00376653562326482,0.025
"9",18,0.00402529614184874,0.025
"10",19,0.00442143287641953,0.025
"11",20,0.00481459113649512,0.025
"12",21,0.00674202963837771,0.025
"13",22,0.00708639199408933,0.025
"14",23,0.00702365008865642,0.025
"15",24,0.00638582746540555,0.025
"16",25,0.00667183162494966,0.025
"17",26,0.0052850855337057,0.025
"18",27,0.0048285268259239,0.025
"19",28,0.0047812283076198,0.025
"20",29,0.00438261257515956,0.025
"21",30,0.00397756703578273,0.025
"22",31,0.00372259163785531,0.025
"23",32,0.00370991499981612,0.025
"24",33,0.00350899421629841,0.025
"25",34,0.00332914154156543,0.025
"26",35,0.00310336710791897,0.025
"27",36,0.00287217790571529,0.025
"28",37,0.00274181421564184,0.025
"29",38,0.00262440978553771,0.025
"30",39,0.00248484420793941,0.025
"31",40,0.00243073372916415,0.025
"32",41,0.00244527167533826,0.025
"33",42,0.00244170269941016,0.025
"34",43,0.00241594458028352,0.025
"35",44,0.0023427290825225,0.025
"36",45,0.00233105924747547,0.025
"37",46,0.00237725405650743,0.025
"38",47,0.00242687016671976,0.025
"39",48,0.00243299838378863,0.025
"40",49,0.00239795038179125,0.025
"41",50,0.00240715671610726,0.025
"42",51,0.0024800370113039,0.025
"43",52,0.00251004121418711,0.025
"44",53,0.0026209885687754,0.025
"45",54,0.00262780158419034,0.025
"46",55,0.0025803663625766,0.025
"47",56,0.00263423580262415,0.025
"48",57,0.00282776217039919,0.025
"49",58,0.00280864900544039,0.025
"50",59,0.00288622833522113,0.025
"51",60,0.00294109735816352,0.025
"52",61,0.00298186238254693,0.025
"53",62,0.00299727083381249,0.025
"54",63,0.00308155899514577,0.025
"55",64,0.00334588880298752,0.025
"56",65,0.00337474833961471,0.025
"57",66,0.00340872113029941,0.025
"58",10,0.00378752406219976,0.25
"59",11,0.0039347958603181,0.25
"60",12,0.00410651137645877,0.25
"61",13,0.00412698356495935,0.25
"62",14,0.00435945494176229,0.25
"63",15,0.00443526975207453,0.25
"64",16,0.00522212274569548,0.25
"65",17,0.0060881916285227,0.25
"66",18,0.00647058882431212,0.25
"67",19,0.00701162676535244,0.25
"68",20,0.00765993784368869,0.25
"69",21,0.0110204223562962,0.25
"70",22,0.01144340643027,0.25
"71",23,0.0112425767046215,0.25
"72",24,0.0103347831428517,0.25
"73",25,0.0107186292150428,0.25
"74",26,0.0084716401524828,0.25
"75",27,0.00774874562489882,0.25
"76",28,0.0077597962904697,0.25
"77",29,0.0071219447061339,0.25
"78",30,0.00637442651795768,0.25
"79",31,0.0059975538783238,0.25
"80",32,0.00596163075634616,0.25
"81",33,0.00564576347099889,0.25
"82",34,0.00538500378720184,0.25
"83",35,0.00502331166597959,0.25
"84",36,0.00462104776694551,0.25
"85",37,0.00440240980693842,0.25
"86",38,0.00423275696220447,0.25
"87",39,0.00397728889411404,0.25
"88",40,0.0039708645190806,0.25
"89",41,0.00396592935687061,0.25
"90",42,0.00394736917842254,0.25
"91",43,0.00390624557741541,0.25
"92",44,0.00375789913989465,0.25
"93",45,0.00374820721094463,0.25
"94",46,0.00380906654066576,0.25
"95",47,0.00390764236314596,0.25
"96",48,0.00391131612158199,0.25
"97",49,0.00389054312565655,0.25
"98",50,0.00386918824929976,0.25
"99",51,0.00399890971497592,0.25
"100",52,0.00407451684041704,0.25
"101",53,0.00422930905516937,0.25
"102",54,0.00422945312732042,0.25
"103",55,0.0042084093253433,0.25
"104",56,0.00428088954990892,0.25
"105",57,0.00456111799536578,0.25
"106",58,0.00455444942571289,0.25
"107",59,0.00462535947466182,0.25
"108",60,0.00473654148720734,0.25
"109",61,0.0048286103470005,0.25
"110",62,0.00487830909474287,0.25
"111",63,0.00501572762129982,0.25
"112",64,0.00543698015901266,0.25
"113",65,0.00547440514044896,0.25
"114",66,0.00555309748453821,0.25
"115",10,0.00472799032195569,0.5
"116",11,0.00493910088094345,0.5
"117",12,0.00512224059566989,0.5
"118",13,0.00517051162822789,0.5
"119",14,0.00547779488633779,0.5
"120",15,0.00553686913596725,0.5
"121",16,0.00650422289757934,0.5
"122",17,0.00758878948444018,0.5
