"","month","value","quantile"
"1",10,0.00545591240155482,0.025
"2",11,0.00562108944294358,0.025
"3",12,0.0061171363284397,0.025
"4",13,0.00641230230836704,0.025
"5",14,0.00640665074504114,0.025
"6",15,0.00654563475820902,0.025
"7",16,0.0101497891258585,0.025
"8",17,0.01089814291923,0.025
"9",18,0.0110409926141799,0.025
"10",19,0.0109252525798338,0.025
"11",20,0.0108512733434906,0.025
"12",21,0.00968406253545316,0.025
"13",22,0.00867595619348856,0.025
"14",23,0.00786946539943264,0.025
"15",24,0.00770362547885644,0.025
"16",25,0.00605748629403316,0.025
"17",26,0.00556331292788534,0.025
"18",27,0.00537701934874152,0.025
"19",28,0.00526309168982852,0.025
"20",29,0.00499752584753703,0.025
"21",30,0.00483861665828351,0.025
"22",31,0.00446363173051242,0.025
"23",32,0.00439068203449041,0.025
"24",33,0.00439796545041683,0.025
"25",34,0.004191580392516,0.025
"26",35,0.00392206606257353,0.025
"27",36,0.00380905866146624,0.025
"28",37,0.00368995991081836,0.025
"29",38,0.00356484102495163,0.025
"30",39,0.00340844823003428,0.025
"31",40,0.00340656478918693,0.025
"32",41,0.00336526795442026,0.025
"33",42,0.00334696150811159,0.025
"34",43,0.00345550134953775,0.025
"35",44,0.00342591278843907,0.025
"36",45,0.0033374263120366,0.025
"37",46,0.00342784574714382,0.025
"38",47,0.00349084439497455,0.025
"39",48,0.00362725781388301,0.025
"40",49,0.00362562749390284,0.025
"41",50,0.00350768637740891,0.025
"42",51,0.00361675291984162,0.025
"43",52,0.00372471001199339,0.025
"44",53,0.00361334761736158,0.025
"45",54,0.00368067435871478,0.025
"46",55,0.00383697383341467,0.025
"47",56,0.00404532707867358,0.025
"48",57,0.00396199493295689,0.025
"49",58,0.00399560489833674,0.025
"50",59,0.00430285949773453,0.025
"51",60,0.00482068880455289,0.025
"52",61,0.00491614290867296,0.025
"53",62,0.00494536142732951,0.025
"54",63,0.00491861973866622,0.025
"55",64,0.00508416910983507,0.025
"56",65,0.0051643959398919,0.025
"57",66,0.00537457904370311,0.025
"58",10,0.00874537429587251,0.25
"59",11,0.0090148297274157,0.25
"60",12,0.00982145509439579,0.25
"61",13,0.0104454895386231,0.25
"62",14,0.0104018543223474,0.25
"63",15,0.0105292254940176,0.25
"64",16,0.0166567088897342,0.25
"65",17,0.0176806536456759,0.25
"66",18,0.0181094299623285,0.25
"67",19,0.0177786384838125,0.25
"68",20,0.0175603834724845,0.25
"69",21,0.0156239331896547,0.25
"70",22,0.014016790553895,0.25
"71",23,0.0128033955242187,0.25
"72",24,0.0123796882273663,0.25
"73",25,0.00977825399001236,0.25
"74",26,0.00891860822978273,0.25
"75",27,0.0085415472919071,0.25
