"","month","value","quantile"
"1",10,0.00164130724672283,0.025
"2",11,0.00166254215312097,0.025
"3",12,0.00149516087470427,0.025
"4",13,0.00154601956580753,0.025
"5",14,0.00155089454521332,0.025
"6",15,0.0015644732295145,0.025
"7",16,0.0016419177127001,0.025
"8",17,0.00169194571491385,0.025
"9",18,0.00174805239685761,0.025
"10",19,0.00172577754262249,0.025
"11",20,0.0017411170045561,0.025
"12",21,0.0018379694999894,0.025
"13",22,0.00187719983170549,0.025
"14",23,0.00188459413610789,0.025
"15",24,0.00194165352686338,0.025
"16",25,0.00208259759922612,0.025
"17",26,0.0021873412933779,0.025
"18",27,0.00217416354497579,0.025
"19",28,0.00218193898013087,0.025
"20",29,0.00214418823211044,0.025
"21",30,0.00231272497976334,0.025
"22",31,0.00231022079758413,0.025
"23",32,0.00232027253904605,0.025
"24",33,0.00226935221605496,0.025
"25",34,0.00227319097483174,0.025
"26",35,0.00223924891260681,0.025
"27",36,0.00224125033677203,0.025
"28",37,0.00221911538051337,0.025
"29",38,0.00248369685810405,0.025
"30",39,0.00257543906581243,0.025
"31",40,0.00260731382314963,0.025
"32",41,0.0026195899569295,0.025
"33",42,0.00253722916987423,0.025
"34",43,0.00234334629038546,0.025
"35",44,0.00236308013521461,0.025
"36",45,0.0023713418785367,0.025
"37",46,0.00243353543490998,0.025
"38",47,0.00248651168810808,0.025
"39",48,0.00258421137167303,0.025
"40",49,0.00261154183447822,0.025
"41",50,0.0026777636647451,0.025
"42",51,0.00282947911295938,0.025
"43",52,0.00294011201915838,0.025
"44",53,0.0029224584761355,0.025
"45",54,0.00300200685444967,0.025
"46",55,0.00294220306946578,0.025
"47",56,0.00290167181563931,0.025
"48",57,0.00288956465925453,0.025
"49",58,0.00289585084304414,0.025
"50",59,0.0026872701487459,0.025
"51",60,0.0028243424703088,0.025
"52",61,0.00276298000288427,0.025
"53",62,0.00280944897087695,0.025
"54",63,0.00261222695241283,0.025
"55",64,0.00237024115720082,0.025
"56",65,0.00230885991021463,0.025
"57",66,0.00232101377002577,0.025
"58",10,0.00264953434332257,0.25
"59",11,0.00264810763691167,0.25
"60",12,0.002412603856013,0.25
"61",13,0.00249020701985996,0.25
"62",14,0.00251028418499005,0.25
"63",15,0.00252300739381,0.25
"64",16,0.00260738817307093,0.25
"65",17,0.0027313821345742,0.25
"66",18,0.00277873883066367,0.25
"67",19,0.00279680901057836,0.25
"68",20,0.00279368182995356,0.25
"69",21,0.00296709907391176,0.25
"70",22,0.00299733788904138,0.25
"71",23,0.00300875876544291,0.25
"72",24,0.00310601159724432,0.25
"73",25,0.00334797732000266,0.25
"74",26,0.00349997755809465,0.25
"75",27,0.00352349373467226,0.25
"76",28,0.00350255030230434,0.25
"77",29,0.00346398611746458,0.25
"78",30,0.00369145128691577,0.25
"79",31,0.00370717284499127,0.25
"80",32,0.00372543389274184,0.25
"81",33,0.00365615075847522,0.25
"82",34,0.00363154938827918,0.25
"83",35,0.00361253436386617,0.25
"84",36,0.00361032683098092,0.25
"85",37,0.00363662016338217,0.25
"86",38,0.00400868772968727,0.25
"87",39,0.00414320488828947,0.25
"88",40,0.00416695094567164,0.25
"89",41,0.00420274931688455,0.25
"90",42,0.00405927615525323,0.25
"91",43,0.00380873270063576,0.25
"92",44,0.00382065287877986,0.25
"93",45,0.00381760873073218,0.25
"94",46,0.00392626190042908,0.25
"95",47,0.00396317186773501,0.25
"96",48,0.00418435199779536,0.25
"97",49,0.00418384879026336,0.25
"98",50,0.00435718107709254,0.25
"99",51,0.00463858707224809,0.25
"100",52,0.0047697219618165,0.25
"101",53,0.00476209552874716,0.25
"102",54,0.00487120779070098,0.25
"103",55,0.00476355089889856,0.25
"104",56,0.00470048368453415,0.25
"105",57,0.0046886988302298,0.25
"106",58,0.00473500873262677,0.25
"107",59,0.00437269527488437,0.25
"108",60,0.00459252567016448,0.25
"109",61,0.00454928876672691,0.25
"110",62,0.00458889726460229,0.25
"111",63,0.00427152500135533,0.25
"112",64,0.00385588758844759,0.25
"113",65,0.00380662555031241,0.25
"114",66,0.00382283325617864,0.25
"115",10,0.00331989913577735,0.5
"116",11,0.00330766133991862,0.5
"117",12,0.0030269340108812,0.5
"118",13,0.00311832283833928,0.5
"119",14,0.00315166681849235,0.5
"120",15,0.00315385565846049,0.5
"121",16,0.00326046803095097,0.5
"122",17,0.00341255617383801,0.5
"123",18,0.00347020661852294,0.5
"124",19,0.00349472092617457,0.5
"125",20,0.00348385193678438,0.5
"126",21,0.00370460881301298,0.5
"127",22,0.00374710361000202,0.5
"128",23,0.00376196522136646,0.5
"129",24,0.00387772319045137,0.5
"130",25,0.00417683519168638,0.5
"131",26,0.00437114374442198,0.5
"132",27,0.00440032332534093,0.5
"133",28,0.00438114059962445,0.5
"134",29,0.00434353509400318,0.5
"135",30,0.0046212530591102,0.5
"136",31,0.00461662881866375,0.5
"137",32,0.00465283171392959,0.5
"138",33,0.00457233803889685,0.5
"139",34,0.00453070344590552,0.5
"140",35,0.00451883877151255,0.5
"141",36,0.00453534579022439,0.5
"142",37,0.00455619906509853,0.5
"143",38,0.00501263680805998,0.5
"144",39,0.00518952167675116,0.5
"145",40,0.00524299157666352,0.5
"146",41,0.00523174243167483,0.5
"147",42,0.00506422374141513,0.5
"148",43,0.00475674434020254,0.5
"149",44,0.00480207750689788,0.5
"150",45,0.00478381424671071,0.5
"151",46,0.00490528319916501,0.5
"152",47,0.00494993828527692,0.5
"153",48,0.00523903858787872,0.5
"154",49,0.00523502364896858,0.5
"155",50,0.00545098818758338,0.5
"156",51,0.00582523395471102,0.5
"157",52,0.00598215706425289,0.5
"158",53,0.00598088245659625,0.5
"159",54,0.00610821367344173,0.5
"160",55,0.00598285048836215,0.5
"161",56,0.005895529319141,0.5
"162",57,0.00590063509180162,0.5
"163",58,0.00594196884221389,0.5
"164",59,0.00549526881089548,0.5
"165",60,0.00579173217450124,0.5
"166",61,0.00574449884243138,0.5
"167",62,0.00579624568908546,0.5
"168",63,0.00539158612517915,0.5
"169",64,0.00486443894405489,0.5
"170",65,0.00480250279372184,0.5
"171",66,0.00482746147162348,0.5
"172",10,0.00406886423052292,0.75
"173",11,0.00407288531176763,0.75
"174",12,0.00372762745352518,0.75
"175",13,0.00383369267152804,0.75
"176",14,0.00387841826002333,0.75
"177",15,0.00387219813567687,0.75
"178",16,0.00400992693870224,0.75
"179",17,0.00419920849951778,0.75
"180",18,0.00426360232807173,0.75
"181",19,0.00428421390544598,0.75
"182",20,0.00429424047970328,0.75
"183",21,0.00456252231263476,0.75
"184",22,0.00461482590073409,0.75
"185",23,0.00465412879000869,0.75
"186",24,0.00477124439236398,0.75
"187",25,0.00514243051007853,0.75
"188",26,0.00536665089430738,0.75
"189",27,0.00540829951756899,0.75
"190",28,0.00539677911691852,0.75
"191",29,0.00533349239484361,0.75
"192",30,0.00566407752413131,0.75
"193",31,0.00566491630905074,0.75
"194",32,0.0057154979400239,0.75
"195",33,0.00562579025252156,0.75
"196",34,0.00557453900011239,0.75
"197",35,0.00558036473799374,0.75
"198",36,0.00557360368564514,0.75
"199",37,0.00560710149009446,0.75
"200",38,0.00618874463503036,0.75
"201",39,0.00637741294167,0.75
"202",40,0.00646252902728876,0.75
"203",41,0.00646061903350849,0.75
"204",42,0.00624323569158896,0.75
"205",43,0.00586515875690662,0.75
"206",44,0.00593465762949062,0.75
"207",45,0.00589514784207102,0.75
"208",46,0.00603776622036209,0.75
"209",47,0.0061068505785741,0.75
"210",48,0.00642603653354099,0.75
"211",49,0.00645296902794591,0.75
"212",50,0.00674376456711187,0.75
"213",51,0.00716930921840688,0.75
"214",52,0.00738710797434008,0.75
"215",53,0.00741310917393943,0.75
"216",54,0.00755431181205605,0.75
"217",55,0.007424583805293,0.75
"218",56,0.00729123925510595,0.75
"219",57,0.00729919781191904,0.75
"220",58,0.00736804292898208,0.75
"221",59,0.00679532510293171,0.75
"222",60,0.00718469434678421,0.75
"223",61,0.00714475528225559,0.75
"224",62,0.00724302588765409,0.75
"225",63,0.00673504593278962,0.75
"226",64,0.00605632360625464,0.75
"227",65,0.00599239613311743,0.75
"228",66,0.00600413105526349,0.75
"229",10,0.00578493944455187,0.975
"230",11,0.00583424939173313,0.975
"231",12,0.00533153467334843,0.975
"232",13,0.00545247606818245,0.975
"233",14,0.00558835251993451,0.975
"234",15,0.00556620375925942,0.975
"235",16,0.00575863892389692,0.975
"236",17,0.00601981617733711,0.975
"237",18,0.00609974579624297,0.975
"238",19,0.00609837655506099,0.975
"239",20,0.00615078768038652,0.975
"240",21,0.00649967494835694,0.975
"241",22,0.00658574166840902,0.975
"242",23,0.00665213369508639,0.975
"243",24,0.00682615005995998,0.975
"244",25,0.00735425454291481,0.975
"245",26,0.00764580236039833,0.975
"246",27,0.0077596802912085,0.975
"247",28,0.00766404940715,0.975
"248",29,0.00765094736409422,0.975
"249",30,0.00807354406742446,0.975
"250",31,0.00806041018304213,0.975
"251",32,0.00814958644718613,0.975
"252",33,0.00799256351053823,0.975
"253",34,0.00795014731831574,0.975
"254",35,0.00799375408336515,0.975
"255",36,0.0080171098251383,0.975
"256",37,0.00805683936488175,0.975
"257",38,0.00886866447530353,0.975
"258",39,0.00912682230343224,0.975
"259",40,0.00926170624189072,0.975
"260",41,0.0092043076788686,0.975
"261",42,0.00896224183717922,0.975
"262",43,0.00836828309269056,0.975
"263",44,0.00848627111363002,0.975
"264",45,0.0084129524898857,0.975
"265",46,0.0086163315446803,0.975
"266",47,0.00878880209998919,0.975
"267",48,0.00920004108443785,0.975
"268",49,0.00926020252498964,0.975
"269",50,0.00966626507687818,0.975
"270",51,0.0102765965139204,0.975
"271",52,0.0105916363846245,0.975
"272",53,0.010690046013232,0.975
"273",54,0.0108632629841352,0.975
"274",55,0.0107255175983936,0.975
"275",56,0.0104501167157873,0.975
"276",57,0.010538253088839,0.975
"277",58,0.0106740020088647,0.975
"278",59,0.00984669724155775,0.975
"279",60,0.0105822556262235,0.975
"280",61,0.0104777307014198,0.975
"281",62,0.0106566632196044,0.975
"282",63,0.00992971358969508,0.975
"283",64,0.00892925795513026,0.975
"284",65,0.00885420682953054,0.975
"285",66,0.00887632398320047,0.975
