"","month","value","quantile"
"1",10,0.00174601130465227,0.025
"2",11,0.00176222069416047,0.025
"3",12,0.0015845519374744,0.025
"4",13,0.001651758382232,0.025
"5",14,0.00166853584685184,0.025
"6",15,0.00164408424583049,0.025
"7",16,0.00168387186589838,0.025
"8",17,0.00176353972404845,0.025
"9",18,0.00180113826313089,0.025
"10",19,0.00182507652618902,0.025
"11",20,0.00182407630575629,0.025
"12",21,0.00194236747581763,0.025
"13",22,0.00193324689150704,0.025
"14",23,0.00196133832952343,0.025
"15",24,0.00204097368337909,0.025
"16",25,0.00221820711434787,0.025
"17",26,0.00231983963708436,0.025
"18",27,0.00232264819512644,0.025
"19",28,0.00231722209353692,0.025
"20",29,0.00235458482718798,0.025
"21",30,0.00253253288059224,0.025
"22",31,0.00252644462730604,0.025
"23",32,0.00250347074320843,0.025
"24",33,0.00249894177478498,0.025
"25",34,0.00246140862215282,0.025
"26",35,0.00248475543152941,0.025
"27",36,0.00249848440239556,0.025
"28",37,0.00252336353935637,0.025
"29",38,0.00279406303608378,0.025
"30",39,0.00291820973367713,0.025
"31",40,0.00296529045927699,0.025
"32",41,0.00294564167727242,0.025
"33",42,0.00285461162622051,0.025
"34",43,0.0026817912604177,0.025
"35",44,0.00268873100177626,0.025
"36",45,0.00266562330789821,0.025
"37",46,0.00277159592825687,0.025
"38",47,0.0027949524639837,0.025
"39",48,0.00298773454877685,0.025
"40",49,0.00302612381323333,0.025
"41",50,0.00318543545399274,0.025
"42",51,0.00338271861269828,0.025
"43",52,0.00353260651341742,0.025
"44",53,0.00356179746831857,0.025
"45",54,0.00354119727643933,0.025
"46",55,0.00349204164151899,0.025
"47",56,0.0034079631517688,0.025
"48",57,0.00348172786848322,0.025
"49",58,0.00347367984448716,0.025
"50",59,0.00311370219114665,0.025
"51",60,0.00329680548899321,0.025
"52",61,0.00328698320564444,0.025
"53",62,0.00333813164825603,0.025
"54",63,0.00301378183900523,0.025
"55",64,0.00265948882209641,0.025
"56",65,0.0026227391714539,0.025
"57",66,0.00265817881040245,0.025
"58",10,0.00281856997321877,0.25
"59",11,0.00281659581033868,0.25
"60",12,0.00256986935499537,0.25
"61",13,0.00264222009512895,0.25
"62",14,0.00267878970409927,0.25
"63",15,0.00267132756155958,0.25
"64",16,0.0027458345340017,0.25
"65",17,0.00285865267378006,0.25
"66",18,0.00290846493531454,0.25
"67",19,0.00294557630023883,0.25
"68",20,0.0029506072551313,0.25
"69",21,0.00313318191016895,0.25
"70",22,0.00315423407174261,0.25
"71",23,0.00319584934024301,0.25
"72",24,0.00325881486312235,0.25
"73",25,0.00354229001070115,0.25
"74",26,0.00373919910268515,0.25
