"","month","value","quantile"
"1",10,0.00328867712871424,0.025
"2",11,0.00328766374245822,0.025
"3",12,0.00369371371282449,0.025
"4",13,0.00396766684758172,0.025
"5",14,0.00423008492537001,0.025
"6",15,0.00424334893663428,0.025
"7",16,0.00649043880871717,0.025
"8",17,0.00689039637613473,0.025
"9",18,0.0068792622194018,0.025
"10",19,0.00702177447596051,0.025
"11",20,0.00675625767107225,0.025
"12",21,0.00589407840561087,0.025
"13",22,0.00526054126179444,0.025
"14",23,0.00506212268822984,0.025
"15",24,0.00452255814869207,0.025
"16",25,0.00414485433930603,0.025
"17",26,0.00400599204718332,0.025
"18",27,0.00401820331159048,0.025
"19",28,0.00395106055004007,0.025
"20",29,0.00395561685894461,0.025
"21",30,0.0041183189334555,0.025
"22",31,0.00397534500698063,0.025
"23",32,0.0040254661665489,0.025
"24",33,0.00392389013793257,0.025
"25",34,0.00351115779141986,0.025
"26",35,0.00349816598398669,0.025
"27",36,0.00350027383573525,0.025
"28",37,0.0034050389641608,0.025
"29",38,0.00375977519672764,0.025
"30",39,0.00369783296902835,0.025
"31",40,0.0037686011500309,0.025
"32",41,0.00365956501831581,0.025
"33",42,0.00368590159085042,0.025
"34",43,0.00399206574987024,0.025
"35",44,0.00392402210279193,0.025
"36",45,0.00386536462455577,0.025
"37",46,0.00381457973185003,0.025
"38",47,0.00412380392720496,0.025
"39",48,0.0041626135107407,0.025
"40",49,0.00406689973051054,0.025
"41",50,0.00437641042705626,0.025
"42",51,0.00463468551362018,0.025
"43",52,0.00471399319083008,0.025
"44",53,0.00468529976140513,0.025
"45",54,0.00478922554262506,0.025
"46",55,0.0047533813316998,0.025
"47",56,0.00482078479948261,0.025
"48",57,0.00490125692070394,0.025
"49",58,0.00499216635611033,0.025
"50",59,0.00502292548082064,0.025
"51",60,0.00456514405099599,0.025
"52",61,0.00468817399060938,0.025
"53",62,0.00464689653434976,0.025
"54",63,0.00452352572310154,0.025
"55",64,0.00441218925530964,0.025
"56",65,0.00450850978689311,0.025
"57",10,0.00525067665180327,0.25
"58",11,0.00519938533677031,0.25
"59",12,0.00585526152535745,0.25
"60",13,0.0062917808766111,0.25
"61",14,0.00673364522115088,0.25
"62",15,0.00670781423936655,0.25
"63",16,0.0102473683978174,0.25
"64",17,0.0109628533240118,0.25
"65",18,0.0109390380674279,0.25
"66",19,0.0110907765546662,0.25
"67",20,0.0107644087262472,0.25
"68",21,0.00929147001077412,0.25
"69",22,0.00835347409831815,0.25
"70",23,0.00805504995956197,0.25
"71",24,0.00726725831973162,0.25
"72",25,0.00664989373447481,0.25
"73",26,0.00643466997057314,0.25
"74",27,0.00645238884910928,0.25
"75",28,0.00634587617009929,0.25
"76",29,0.00633406307870174,0.25
"77",30,0.00660171139854157,0.25
"78",31,0.00642617836331551,0.25
"79",32,0.00648801765085969,0.25
"80",33,0.00622680745639575,0.25
"81",34,0.00565543445801793,0.25
"82",35,0.00563642664034493,0.25
"83",36,0.00564044982769615,0.25
"84",37,0.00555194716582638,0.25
"85",38,0.0060397193058719,0.25
"86",39,0.00596612938579052,0.25
"87",40,0.00600993812928618,0.25
"88",41,0.00596502277776625,0.25
"89",42,0.00594547132806109,0.25
"90",43,0.00636818163707428,0.25
"91",44,0.00629800657414371,0.25
"92",45,0.0061663800282971,0.25
"93",46,0.00613159915160832,0.25
"94",47,0.00663128246218262,0.25
"95",48,0.00663522907613343,0.25
"96",49,0.00655417936642776,0.25
"97",50,0.00706015010952421,0.25
"98",51,0.00741100392782846,0.25
"99",52,0.0075624412224593,0.25
"100",53,0.00753185095605768,0.25
"101",54,0.00760688186612545,0.25
"102",55,0.00759293483230769,0.25
"103",56,0.00782890673190931,0.25
"104",57,0.00793109888841502,0.25
"105",58,0.0079505036203947,0.25
"106",59,0.00802115385112307,0.25
"107",60,0.00740082496831044,0.25
"108",61,0.00755841871913365,0.25
"109",62,0.00757834859924175,0.25
"110",63,0.00730790981618629,0.25
"111",64,0.0070977625738298,0.25
"112",65,0.00726180034596224,0.25
"113",10,0.00650325299933495,0.5
"114",11,0.00646108688148732,0.5
"115",12,0.00728199893286995,0.5
"116",13,0.00786347726884655,0.5
