"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.00014078570010991,0.025
"2",11,"F_15-24",0.000155813109769126,0.025
"3",12,"F_15-24",0.000136242296139422,0.025
"4",13,"F_15-24",0.000180173311893401,0.025
"5",14,"F_15-24",0.000152988797412774,0.025
"6",15,"F_15-24",0.000179007426091379,0.025
"7",16,"F_15-24",0.00017306908653922,0.025
"8",17,"F_15-24",0.000157493001875943,0.025
"9",18,"F_15-24",0.000180316476045213,0.025
"10",19,"F_15-24",0.000143001063291691,0.025
"11",20,"F_15-24",0.000169528455841376,0.025
"12",21,"F_15-24",0.000170222049915087,0.025
"13",22,"F_15-24",0.00019968547771208,0.025
"14",23,"F_15-24",0.000185963457046004,0.025
"15",24,"F_15-24",0.000213262259712,0.025
"16",25,"F_15-24",0.00014924421919406,0.025
"17",26,"F_15-24",0.00012810913457732,0.025
"18",27,"F_15-24",0.0001260328794647,0.025
"19",28,"F_15-24",0.000123219489756206,0.025
"20",29,"F_15-24",0.000137021812404961,0.025
"21",30,"F_15-24",0.000140066321225753,0.025
"22",31,"F_15-24",0.000142917200060074,0.025
"23",32,"F_15-24",0.000128764623903253,0.025
"24",33,"F_15-24",0.000126840468084257,0.025
"25",34,"F_15-24",0.000126660394273789,0.025
"26",35,"F_15-24",0.000104787624210711,0.025
"27",36,"F_15-24",9.95452762249126e-05,0.025
"28",37,"F_15-24",0.000125866523863811,0.025
"29",38,"F_15-24",0.000120000448421524,0.025
"30",39,"F_15-24",0.000107232847718706,0.025
"31",40,"F_15-24",0.000105280633185317,0.025
"32",41,"F_15-24",0.000112807082616758,0.025
"33",42,"F_15-24",0.000117111760983437,0.025
"34",43,"F_15-24",0.000118715681642779,0.025
"35",44,"F_15-24",0.000126732648194544,0.025
"36",45,"F_15-24",0.000124615410944066,0.025
"37",46,"F_15-24",0.000123336744184301,0.025
"38",47,"F_15-24",0.00011663083728286,0.025
"39",48,"F_15-24",0.00011502321410266,0.025
"40",49,"F_15-24",0.000116290824130656,0.025
"41",50,"F_15-24",0.000109939556833888,0.025
"42",51,"F_15-24",0.000129748051436483,0.025
"43",52,"F_15-24",0.000132090929115414,0.025
"44",53,"F_15-24",0.000131160869533872,0.025
"45",54,"F_15-24",0.000134499862052893,0.025
"46",55,"F_15-24",0.000133810580590427,0.025
"47",56,"F_15-24",0.000143772076311182,0.025
"48",57,"F_15-24",0.000145171757703373,0.025
"49",58,"F_15-24",0.000145617636047089,0.025
"50",59,"F_15-24",0.000131804868778465,0.025
"51",60,"F_15-24",0.000147647135307825,0.025
"52",61,"F_15-24",0.000144354159273493,0.025
"53",62,"F_15-24",0.000150120799563946,0.025
"54",63,"F_15-24",0.000129484813590511,0.025
"55",64,"F_15-24",0.000139449132762178,0.025
"56",65,"F_15-24",0.000146907776494625,0.025
"57",10,"F_25-34",0.000197213190106973,0.025
"58",11,"F_25-34",0.000185823103676578,0.025
"59",12,"F_25-34",0.000180621720593158,0.025
"60",13,"F_25-34",0.000175500994367249,0.025
"61",14,"F_25-34",0.000165961628642995,0.025
"62",15,"F_25-34",0.000172092222365298,0.025
"63",16,"F_25-34",0.000163141197166582,0.025
"64",17,"F_25-34",0.000160393512736646,0.025
"65",18,"F_25-34",0.000174606865221324,0.025
"66",19,"F_25-34",0.000182134805229687,0.025
"67",20,"F_25-34",0.000170694325445053,0.025
"68",21,"F_25-34",0.000164238671169458,0.025
"69",22,"F_25-34",0.000157094707555538,0.025
"70",23,"F_25-34",0.000148047987487287,0.025
"71",24,"F_25-34",0.000128021571148023,0.025
"72",25,"F_25-34",0.000120259582361591,0.025
"73",26,"F_25-34",0.000128633856119057,0.025
"74",27,"F_25-34",0.000132679640427929,0.025
"75",28,"F_25-34",0.000133627368624998,0.025
"76",29,"F_25-34",0.000131760512966572,0.025
"77",30,"F_25-34",0.000113640518061646,0.025
"78",31,"F_25-34",0.000133064929455522,0.025
"79",32,"F_25-34",0.00013481293410159,0.025
"80",33,"F_25-34",0.000133028786783269,0.025
"81",34,"F_25-34",0.000104823500026231,0.025
"82",35,"F_25-34",0.000105341621579606,0.025
"83",36,"F_25-34",0.000104186557514374,0.025
"84",37,"F_25-34",0.000100896141476876,0.025
"85",38,"F_25-34",0.000153719580987205,0.025
"86",39,"F_25-34",0.000124552846546518,0.025
"87",40,"F_25-34",0.00013426948411841,0.025
"88",41,"F_25-34",0.000140153027782981,0.025
"89",42,"F_25-34",0.00014045745780649,0.025
"90",43,"F_25-34",0.000119498463167785,0.025
"91",44,"F_25-34",0.000119948084993533,0.025
"92",45,"F_25-34",0.000120211912574017,0.025
"93",46,"F_25-34",0.000135759677010678,0.025
"94",47,"F_25-34",0.00014379400365879,0.025
"95",48,"F_25-34",0.000142184668510105,0.025
"96",49,"F_25-34",0.000171049722910192,0.025
"97",50,"F_25-34",0.000131072357243956,0.025
"98",51,"F_25-34",0.000147141326068051,0.025
"99",52,"F_25-34",0.000166383817655656,0.025
"100",53,"F_25-34",0.000154931656369615,0.025
"101",54,"F_25-34",0.000131015343965075,0.025
"102",55,"F_25-34",0.000145127858472086,0.025
"103",56,"F_25-34",0.000165838899760221,0.025
"104",57,"F_25-34",0.000162690139087266,0.025
"105",58,"F_25-34",0.000153057678472629,0.025
"106",59,"F_25-34",0.000162427869554909,0.025
"107",60,"F_25-34",0.000170548678819325,0.025
"108",61,"F_25-34",0.000174603553309147,0.025
"109",62,"F_25-34",0.00019196971899055,0.025
"110",63,"F_25-34",0.000162810856093295,0.025
"111",64,"F_25-34",0.000167554944389961,0.025
"112",65,"F_25-34",0.00014894056722318,0.025
"113",10,"F_35-44",0.000232431689483945,0.025
"114",11,"F_35-44",0.000323913196300104,0.025
"115",12,"F_35-44",0.000154420169047444,0.025
"116",13,"F_35-44",0.000119770428444344,0.025
"117",14,"F_35-44",0.000111373434168547,0.025
"118",15,"F_35-44",0.000117597001954538,0.025
"119",16,"F_35-44",0.000127348484386215,0.025
"120",17,"F_35-44",0.000110975106875787,0.025
"121",18,"F_35-44",0.000106281064729311,0.025
"122",19,"F_35-44",0.000103635829816447,0.025
"123",20,"F_35-44",0.000106790182344412,0.025
"124",21,"F_35-44",0.000111570685491391,0.025
"125",22,"F_35-44",0.000128685208604545,0.025
"126",23,"F_35-44",0.000117095686633579,0.025
"127",24,"F_35-44",0.000151343396224408,0.025
"128",25,"F_35-44",0.000111839240680444,0.025
"129",26,"F_35-44",0.000116587789150124,0.025
"130",27,"F_35-44",0.000140644507507711,0.025
"131",28,"F_35-44",0.000130700187341484,0.025
"132",29,"F_35-44",0.000147508101883199,0.025
"133",30,"F_35-44",0.000150027485768333,0.025
"134",31,"F_35-44",0.000160568248324888,0.025
"135",32,"F_35-44",0.0001633789480439,0.025
"136",33,"F_35-44",0.000147782185753885,0.025
"137",34,"F_35-44",0.000164923910426857,0.025
"138",35,"F_35-44",0.000141905023728975,0.025
"139",36,"F_35-44",0.000181545174353682,0.025
"140",37,"F_35-44",0.000142383686656881,0.025
"141",38,"F_35-44",0.000171044385713188,0.025
"142",39,"F_35-44",0.000180209924901139,0.025
"143",40,"F_35-44",0.000186763549416972,0.025
