"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000118806552225706,0.025
"2",11,"F_15-24",0.000154617209294835,0.025
"3",12,"F_15-24",0.000137245975183805,0.025
"4",13,"F_15-24",0.000167303145493783,0.025
"5",14,"F_15-24",0.000168878221446687,0.025
"6",15,"F_15-24",0.000151209153724888,0.025
"7",16,"F_15-24",0.000143077865227411,0.025
"8",17,"F_15-24",0.000142741811199799,0.025
"9",18,"F_15-24",0.000134789949864736,0.025
"10",19,"F_15-24",0.000140075546590343,0.025
"11",20,"F_15-24",0.000172119283129626,0.025
"12",21,"F_15-24",0.000193601749084375,0.025
"13",22,"F_15-24",0.000197723836820079,0.025
"14",23,"F_15-24",0.000206556563058941,0.025
"15",24,"F_15-24",0.000190265088899139,0.025
"16",25,"F_15-24",0.000129670000257178,0.025
"17",26,"F_15-24",0.000125296150012192,0.025
"18",27,"F_15-24",0.000134290206333464,0.025
"19",28,"F_15-24",0.000112966643911417,0.025
"20",29,"F_15-24",0.000140933626456919,0.025
"21",30,"F_15-24",0.000134871603597614,0.025
"22",31,"F_15-24",0.000125993459651983,0.025
"23",32,"F_15-24",0.000135076518300252,0.025
"24",33,"F_15-24",0.000135531425759624,0.025
"25",34,"F_15-24",0.000121499585040623,0.025
"26",35,"F_15-24",9.57047716720514e-05,0.025
"27",36,"F_15-24",0.000110591930136935,0.025
"28",37,"F_15-24",0.000105816911371676,0.025
"29",38,"F_15-24",0.000120309243898823,0.025
"30",39,"F_15-24",0.000100040062970018,0.025
"31",40,"F_15-24",0.000106880169825502,0.025
"32",41,"F_15-24",0.00010506034940289,0.025
"33",42,"F_15-24",0.000102016292960497,0.025
"34",43,"F_15-24",0.0001155091922723,0.025
"35",44,"F_15-24",0.000110563398601679,0.025
"36",45,"F_15-24",0.000105170393560145,0.025
"37",46,"F_15-24",9.18047792130977e-05,0.025
"38",47,"F_15-24",0.000115772279322298,0.025
"39",48,"F_15-24",0.000102720494856633,0.025
"40",49,"F_15-24",0.000101728963494163,0.025
"41",50,"F_15-24",9.85102920264409e-05,0.025
"42",51,"F_15-24",0.000111696923598372,0.025
"43",52,"F_15-24",9.58623085679079e-05,0.025
"44",53,"F_15-24",0.000108682073635997,0.025
"45",54,"F_15-24",0.000107368784835926,0.025
"46",55,"F_15-24",0.000119940991563073,0.025
"47",56,"F_15-24",0.00010988270752918,0.025
"48",57,"F_15-24",0.000121738320373564,0.025
"49",58,"F_15-24",0.000126143244567144,0.025
"50",59,"F_15-24",0.000114735721867328,0.025
"51",60,"F_15-24",0.00012844783632286,0.025
"52",61,"F_15-24",0.000119804572272351,0.025
"53",62,"F_15-24",0.000121092967929988,0.025
"54",63,"F_15-24",0.000122251287660804,0.025
"55",64,"F_15-24",0.000124066223826881,0.025
"56",65,"F_15-24",0.000121346162389333,0.025
"57",10,"F_25-34",0.000203276770545817,0.025
"58",11,"F_25-34",0.000171696499486695,0.025
"59",12,"F_25-34",0.000160600368894664,0.025
"60",13,"F_25-34",0.000145816638718547,0.025
"61",14,"F_25-34",0.000156582710618201,0.025
"62",15,"F_25-34",0.000174484040618218,0.025
"63",16,"F_25-34",0.000157098389466584,0.025
"64",17,"F_25-34",0.000156286169971023,0.025
"65",18,"F_25-34",0.00016326705402418,0.025
"66",19,"F_25-34",0.000169236338724173,0.025
"67",20,"F_25-34",0.000183596338649451,0.025
"68",21,"F_25-34",0.000162359480814758,0.025
"69",22,"F_25-34",0.000172678215041623,0.025
"70",23,"F_25-34",0.000180748149457043,0.025
"71",24,"F_25-34",0.000129023314353027,0.025
"72",25,"F_25-34",0.000110920967653805,0.025
"73",26,"F_25-34",0.000110386446867415,0.025
"74",27,"F_25-34",0.000125653165556532,0.025
"75",28,"F_25-34",0.000108485100377026,0.025
"76",29,"F_25-34",0.000120464350941251,0.025
"77",30,"F_25-34",0.000122218696017382,0.025
"78",31,"F_25-34",0.000116308048699064,0.025
"79",32,"F_25-34",0.000127810736350808,0.025
"80",33,"F_25-34",0.000117134803467693,0.025
"81",34,"F_25-34",0.000102929671546841,0.025
"82",35,"F_25-34",0.000109855264448588,0.025
"83",36,"F_25-34",0.000101391030182756,0.025
"84",37,"F_25-34",0.000102704781344564,0.025
"85",38,"F_25-34",0.000122923799001269,0.025
"86",39,"F_25-34",0.000113579413610847,0.025
"87",40,"F_25-34",0.000121070559345656,0.025
"88",41,"F_25-34",0.000123126703904852,0.025
"89",42,"F_25-34",0.000119019964573758,0.025
"90",43,"F_25-34",0.000121763555583567,0.025
"91",44,"F_25-34",0.000111137508481885,0.025
"92",45,"F_25-34",9.98689384373003e-05,0.025
"93",46,"F_25-34",0.000104364111059047,0.025
"94",47,"F_25-34",0.00012218412972757,0.025
"95",48,"F_25-34",0.000122174731508977,0.025
"96",49,"F_25-34",0.00012365354997814,0.025
"97",50,"F_25-34",0.000113967498288556,0.025
