"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000141947257921099,0.025
"2",11,"F_15-24",0.000166957502885313,0.025
"3",12,"F_15-24",0.000131250137089798,0.025
"4",13,"F_15-24",0.000176710822606143,0.025
"5",14,"F_15-24",0.000206897605908887,0.025
"6",15,"F_15-24",0.000179766285734931,0.025
"7",16,"F_15-24",0.000161424533448981,0.025
"8",17,"F_15-24",0.00016006652412283,0.025
"9",18,"F_15-24",0.000147790673765937,0.025
"10",19,"F_15-24",0.000154814739515661,0.025
"11",20,"F_15-24",0.000155287476190359,0.025
"12",21,"F_15-24",0.000205146159205953,0.025
"13",22,"F_15-24",0.000211524904077916,0.025
"14",23,"F_15-24",0.000224292733930032,0.025
"15",24,"F_15-24",0.000223898967839017,0.025
"16",25,"F_15-24",0.000177002054342247,0.025
"17",26,"F_15-24",0.000156487674980191,0.025
"18",27,"F_15-24",0.000145109411884349,0.025
"19",28,"F_15-24",0.000144350158774579,0.025
"20",29,"F_15-24",0.000160346583416104,0.025
"21",30,"F_15-24",0.000159988170552409,0.025
"22",31,"F_15-24",0.000134412063933561,0.025
"23",32,"F_15-24",0.000166926877794615,0.025
"24",33,"F_15-24",0.000151988362293692,0.025
"25",34,"F_15-24",0.000123744136495496,0.025
"26",35,"F_15-24",0.000130941476222661,0.025
"27",36,"F_15-24",0.000125774884078652,0.025
"28",37,"F_15-24",0.000123561717110454,0.025
"29",38,"F_15-24",0.000138712489442923,0.025
"30",39,"F_15-24",0.000119625074404243,0.025
"31",40,"F_15-24",0.000125065602689477,0.025
"32",41,"F_15-24",0.00013029940819877,0.025
"33",42,"F_15-24",0.000131692406273888,0.025
"34",43,"F_15-24",0.000131632686146145,0.025
"35",44,"F_15-24",0.00014733025811598,0.025
"36",45,"F_15-24",0.000150439159445543,0.025
"37",46,"F_15-24",0.000118247310746223,0.025
"38",47,"F_15-24",0.000124658326173133,0.025
"39",48,"F_15-24",0.000131825078205836,0.025
"40",49,"F_15-24",0.000122067210910426,0.025
"41",50,"F_15-24",0.000124748547800728,0.025
"42",51,"F_15-24",0.000161673929199082,0.025
"43",52,"F_15-24",0.000148691688383677,0.025
"44",53,"F_15-24",0.000142557239971116,0.025
"45",54,"F_15-24",0.000129097040082138,0.025
"46",55,"F_15-24",0.000140934620839625,0.025
"47",56,"F_15-24",0.000158794506697754,0.025
"48",57,"F_15-24",0.000134484362309447,0.025
"49",58,"F_15-24",0.000144728935969682,0.025
"50",59,"F_15-24",0.000144153452803473,0.025
"51",60,"F_15-24",0.000130700910766284,0.025
"52",61,"F_15-24",0.00015714767078919,0.025
"53",62,"F_15-24",0.000156036369462904,0.025
"54",63,"F_15-24",0.000139575528924067,0.025
"55",64,"F_15-24",0.000148923641229469,0.025
"56",65,"F_15-24",0.000140059140902021,0.025
"57",10,"F_25-34",0.000240025435059943,0.025
"58",11,"F_25-34",0.000197863279717639,0.025
"59",12,"F_25-34",0.000190145283640666,0.025
"60",13,"F_25-34",0.000183317550294647,0.025
"61",14,"F_25-34",0.000167872111681902,0.025
"62",15,"F_25-34",0.000200609410682963,0.025
"63",16,"F_25-34",0.000203095312727155,0.025
"64",17,"F_25-34",0.000164959177546043,0.025
"65",18,"F_25-34",0.000177618151754957,0.025
"66",19,"F_25-34",0.000202555742466185,0.025
"67",20,"F_25-34",0.000192675588668502,0.025
"68",21,"F_25-34",0.000197047090321519,0.025
"69",22,"F_25-34",0.000192658589946308,0.025
"70",23,"F_25-34",0.000171095305455467,0.025
"71",24,"F_25-34",0.000148775890200446,0.025
"72",25,"F_25-34",0.000118915766170809,0.025
"73",26,"F_25-34",0.000150437970810746,0.025
"74",27,"F_25-34",0.000131711696568745,0.025
"75",28,"F_25-34",0.000126717440487741,0.025
"76",29,"F_25-34",0.000126214916697599,0.025
"77",30,"F_25-34",0.000146051039633091,0.025
"78",31,"F_25-34",0.000152076707429526,0.025
"79",32,"F_25-34",0.000152289271363573,0.025
"80",33,"F_25-34",0.000146735640847187,0.025
"81",34,"F_25-34",0.000129129647571991,0.025
"82",35,"F_25-34",0.000119708890669575,0.025
"83",36,"F_25-34",0.000115471323221992,0.025
"84",37,"F_25-34",0.000112635250638362,0.025
"85",38,"F_25-34",0.000145489860529356,0.025
"86",39,"F_25-34",0.000138912607191791,0.025
"87",40,"F_25-34",0.000128125766671097,0.025
"88",41,"F_25-34",0.000137647797969651,0.025
"89",42,"F_25-34",0.000149457675188379,0.025
"90",43,"F_25-34",0.000145094670494784,0.025
"91",44,"F_25-34",0.000131711043791629,0.025
"92",45,"F_25-34",0.000133109069108616,0.025
"93",46,"F_25-34",0.000149768953883512,0.025
"94",47,"F_25-34",0.000137064701738925,0.025
"95",48,"F_25-34",0.000167660254833951,0.025
"96",49,"F_25-34",0.000166756024055735,0.025
"97",50,"F_25-34",0.000133608610500981,0.025
"98",51,"F_25-34",0.000170706980502411,0.025
"99",52,"F_25-34",0.000152460307983737,0.025
"100",53,"F_25-34",0.000171854128882507,0.025
"101",54,"F_25-34",0.000155514462482008,0.025
"102",55,"F_25-34",0.000174431298923625,0.025
"103",56,"F_25-34",0.000158892738067307,0.025
"104",57,"F_25-34",0.000173480673550795,0.025
"105",58,"F_25-34",0.000176279934677047,0.025
"106",59,"F_25-34",0.000148486993039146,0.025
"107",60,"F_25-34",0.000209036127606774,0.025
"108",61,"F_25-34",0.000185012641099864,0.025
"109",62,"F_25-34",0.000201523461337237,0.025
"110",63,"F_25-34",0.00018791539420168,0.025
"111",64,"F_25-34",0.000179372088188879,0.025
"112",65,"F_25-34",0.00015576027152934,0.025
"113",10,"F_35-44",0.000269385092458485,0.025
"114",11,"F_35-44",0.000356849806613069,0.025
"115",12,"F_35-44",0.000153385589201018,0.025
"116",13,"F_35-44",0.000105336956307644,0.025
"117",14,"F_35-44",0.000123107084738608,0.025
