"","month","age_sex","value","quantile"
"1",10,"F_15-24",6.49362345216714e-05,0.025
"2",11,"F_15-24",7.86900672672556e-05,0.025
"3",12,"F_15-24",7.01702120619087e-05,0.025
"4",13,"F_15-24",7.31970100496459e-05,0.025
"5",14,"F_15-24",8.17217759221273e-05,0.025
"6",15,"F_15-24",7.70794489847923e-05,0.025
"7",16,"F_15-24",8.53185658038242e-05,0.025
"8",17,"F_15-24",9.24533453567148e-05,0.025
"9",18,"F_15-24",8.58564067632414e-05,0.025
"10",19,"F_15-24",8.29787132095541e-05,0.025
"11",20,"F_15-24",7.66141487810783e-05,0.025
"12",21,"F_15-24",8.15123424739613e-05,0.025
"13",22,"F_15-24",9.26541668228657e-05,0.025
"14",23,"F_15-24",9.46326456441762e-05,0.025
"15",24,"F_15-24",9.67422671226853e-05,0.025
"16",25,"F_15-24",0.000102005339037365,0.025
"17",26,"F_15-24",0.000114097770380749,0.025
"18",27,"F_15-24",0.000109098546667775,0.025
"19",28,"F_15-24",9.81552923007e-05,0.025
"20",29,"F_15-24",0.000128228258326447,0.025
"21",30,"F_15-24",0.000117706964781145,0.025
"22",31,"F_15-24",0.000129226450827421,0.025
"23",32,"F_15-24",0.000128541573961608,0.025
"24",33,"F_15-24",0.000118125034537709,0.025
"25",34,"F_15-24",0.000117353552912984,0.025
"26",35,"F_15-24",0.000138862704338928,0.025
"27",36,"F_15-24",0.000153350285689257,0.025
"28",37,"F_15-24",0.000144047207388414,0.025
"29",38,"F_15-24",0.000150905512078513,0.025
"30",39,"F_15-24",0.000139700641345529,0.025
"31",40,"F_15-24",0.000148680263731145,0.025
"32",41,"F_15-24",0.000137926986838271,0.025
"33",42,"F_15-24",0.000144913414095468,0.025
"34",43,"F_15-24",0.000154768526391971,0.025
"35",44,"F_15-24",0.000165062020349444,0.025
"36",45,"F_15-24",0.000167054506422909,0.025
"37",46,"F_15-24",0.00018237439954703,0.025
"38",47,"F_15-24",0.000208613001372658,0.025
"39",48,"F_15-24",0.000280249536256332,0.025
"40",49,"F_15-24",0.000242298260613463,0.025
"41",50,"F_15-24",0.000248582135386456,0.025
"42",51,"F_15-24",0.000180202657121202,0.025
"43",52,"F_15-24",0.00019023421441481,0.025
"44",53,"F_15-24",0.000219904378807084,0.025
"45",54,"F_15-24",0.000185071880112314,0.025
"46",55,"F_15-24",0.000204357362647064,0.025
"47",56,"F_15-24",0.000240461820383746,0.025
"48",57,"F_15-24",0.000258483752259661,0.025
"49",58,"F_15-24",0.000216762583020481,0.025
"50",59,"F_15-24",0.000258934725737098,0.025
"51",60,"F_15-24",0.000300166756738074,0.025
"52",61,"F_15-24",0.000274419476237296,0.025
"53",62,"F_15-24",0.000252068807950423,0.025
"54",63,"F_15-24",0.000244201278895715,0.025
"55",64,"F_15-24",0.000195411020841738,0.025
"56",65,"F_15-24",0.000136493293783517,0.025
"57",66,"F_15-24",0.000137539374608479,0.025
"58",10,"F_25-34",8.18017584381207e-05,0.025
"59",11,"F_25-34",9.47970686942977e-05,0.025
"60",12,"F_25-34",6.94546619229471e-05,0.025
"61",13,"F_25-34",6.20554946289331e-05,0.025
"62",14,"F_25-34",6.06539971608554e-05,0.025
"63",15,"F_25-34",5.84984354809437e-05,0.025
"64",16,"F_25-34",5.44616475194739e-05,0.025
"65",17,"F_25-34",5.57625277234137e-05,0.025
"66",18,"F_25-34",5.06210716423029e-05,0.025
"67",19,"F_25-34",5.89276687581517e-05,0.025
"68",20,"F_25-34",6.99084016185561e-05,0.025
"69",21,"F_25-34",7.7345016972742e-05,0.025
"70",22,"F_25-34",6.07503423251775e-05,0.025
"71",23,"F_25-34",7.28396957930055e-05,0.025
"72",24,"F_25-34",7.1064542579463e-05,0.025
"73",25,"F_25-34",7.45750100730962e-05,0.025
"74",26,"F_25-34",9.25373866022481e-05,0.025
"75",27,"F_25-34",9.14011856548533e-05,0.025
"76",28,"F_25-34",0.000108767128265418,0.025
"77",29,"F_25-34",0.000117881443939917,0.025
"78",30,"F_25-34",0.000111611898170851,0.025
"79",31,"F_25-34",0.000107850533371634,0.025
"80",32,"F_25-34",0.000101953201017854,0.025
"81",33,"F_25-34",0.000103202374212149,0.025
"82",34,"F_25-34",0.000119872204199134,0.025
"83",35,"F_25-34",0.000142852183960635,0.025
"84",36,"F_25-34",0.000154577511841551,0.025
"85",37,"F_25-34",0.000141206624428802,0.025
"86",38,"F_25-34",0.00014290084065526,0.025
"87",39,"F_25-34",0.000167164923538464,0.025
"88",40,"F_25-34",0.000146401254771101,0.025
"89",41,"F_25-34",0.000168715178619283,0.025
"90",42,"F_25-34",0.000170103757249747,0.025
"91",43,"F_25-34",0.000200016712339583,0.025
"92",44,"F_25-34",0.00024490627529269,0.025
"93",45,"F_25-34",0.000294988527636152,0.025
"94",46,"F_25-34",0.000259431016487407,0.025
"95",47,"F_25-34",0.000315136187489684,0.025
"96",48,"F_25-34",0.000254852392621456,0.025
"97",49,"F_25-34",0.000285221868050936,0.025
"98",50,"F_25-34",0.000295139319350103,0.025
"99",51,"F_25-34",0.00023711711778978,0.025
"100",52,"F_25-34",0.00024799523120235,0.025
"101",53,"F_25-34",0.000306642384055422,0.025
"102",54,"F_25-34",0.000413320031210808,0.025
"103",55,"F_25-34",0.000331133177790617,0.025
"104",56,"F_25-34",0.000397044916772662,0.025
"105",57,"F_25-34",0.000281759067405163,0.025
"106",58,"F_25-34",0.000277081407270108,0.025
"107",59,"F_25-34",0.000306966782208048,0.025
"108",60,"F_25-34",0.000356723383841651,0.025
"109",61,"F_25-34",0.000457511044931601,0.025
"110",62,"F_25-34",0.000371748636383458,0.025
"111",63,"F_25-34",0.000369629814865727,0.025
"112",64,"F_25-34",0.000233260719600672,0.025
"113",65,"F_25-34",0.00017741226244638,0.025
"114",66,"F_25-34",0.000182311951923476,0.025
"115",10,"F_35-44",0.000103087117976494,0.025
"116",11,"F_35-44",0.000104916535914797,0.025
"117",12,"F_35-44",9.33966724166966e-05,0.025
"118",13,"F_35-44",8.01556448113915e-05,0.025
"119",14,"F_35-44",6.95373238276392e-05,0.025
"120",15,"F_35-44",6.80399577142285e-05,0.025
"121",16,"F_35-44",7.78618907479341e-05,0.025
"122",17,"F_35-44",8.32489395539144e-05,0.025
"123",18,"F_35-44",8.67080361779783e-05,0.025
"124",19,"F_35-44",7.44002126738897e-05,0.025
"125",20,"F_35-44",6.96402400359348e-05,0.025
"126",21,"F_35-44",7.86182658931271e-05,0.025
"127",22,"F_35-44",8.53033484248294e-05,0.025
"128",23,"F_35-44",8.6723555425761e-05,0.025
"129",24,"F_35-44",7.77306734810921e-05,0.025
"130",25,"F_35-44",0.000102380660956657,0.025
"131",26,"F_35-44",9.67083328782364e-05,0.025
"132",27,"F_35-44",9.77102621371891e-05,0.025
"133",28,"F_35-44",0.00010145901146814,0.025
"134",29,"F_35-44",9.30357778943733e-05,0.025
"135",30,"F_35-44",0.000106034577329788,0.025
"136",31,"F_35-44",0.000117169560966525,0.025
"137",32,"F_35-44",0.000114087792477877,0.025
"138",33,"F_35-44",0.000107765273111345,0.025
"139",34,"F_35-44",0.000136736244960077,0.025
"140",35,"F_35-44",0.000158060993267609,0.025
"141",36,"F_35-44",0.000154237173745722,0.025
"142",37,"F_35-44",0.000163138272052488,0.025
"143",38,"F_35-44",0.000119479169061581,0.025
"144",39,"F_35-44",0.000137907643694235,0.025
"145",40,"F_35-44",0.000143899853387131,0.025
"146",41,"F_35-44",0.00014802268318361,0.025
"147",42,"F_35-44",0.000121875403850714,0.025
"148",43,"F_35-44",0.000166986924690783,0.025
"149",44,"F_35-44",0.000190174071707936,0.025
"150",45,"F_35-44",0.000185649884390527,0.025
"151",46,"F_35-44",0.000196004844345024,0.025
"152",47,"F_35-44",0.000231378245056103,0.025
"153",48,"F_35-44",0.000233624467731617,0.025
