"","month","age_sex","value","quantile"
"1",10,"F_15-24",7.66222395432508e-05,0.025
"2",11,"F_15-24",7.0864967523961e-05,0.025
"3",12,"F_15-24",7.81023498996032e-05,0.025
"4",13,"F_15-24",8.45670923000237e-05,0.025
"5",14,"F_15-24",8.1430506046941e-05,0.025
"6",15,"F_15-24",7.16597862570709e-05,0.025
"7",16,"F_15-24",7.61483739420021e-05,0.025
"8",17,"F_15-24",9.87432198370809e-05,0.025
"9",18,"F_15-24",9.09089894254274e-05,0.025
"10",19,"F_15-24",8.75829239136161e-05,0.025
"11",20,"F_15-24",7.14738742568412e-05,0.025
"12",21,"F_15-24",8.39068065913835e-05,0.025
"13",22,"F_15-24",9.29435249863254e-05,0.025
"14",23,"F_15-24",0.000103163132752104,0.025
"15",24,"F_15-24",9.79111178897303e-05,0.025
"16",25,"F_15-24",0.000119145540011654,0.025
"17",26,"F_15-24",0.000119365806562854,0.025
"18",27,"F_15-24",0.00011474311275217,0.025
"19",28,"F_15-24",0.000107733998220276,0.025
"20",29,"F_15-24",0.00012327565676109,0.025
"21",30,"F_15-24",0.000119263242719681,0.025
"22",31,"F_15-24",0.000117956050527326,0.025
"23",32,"F_15-24",0.000113522341813486,0.025
"24",33,"F_15-24",0.000115870793381437,0.025
"25",34,"F_15-24",0.000121928544018402,0.025
"26",35,"F_15-24",0.000143132457973717,0.025
"27",36,"F_15-24",0.000131848776297631,0.025
"28",37,"F_15-24",0.000128914203177931,0.025
"29",38,"F_15-24",0.000165620194028017,0.025
"30",39,"F_15-24",0.000149584050772494,0.025
"31",40,"F_15-24",0.000131394376298953,0.025
"32",41,"F_15-24",0.000147446914801507,0.025
"33",42,"F_15-24",0.000143723644688658,0.025
"34",43,"F_15-24",0.000141504109103329,0.025
"35",44,"F_15-24",0.000146274513111266,0.025
"36",45,"F_15-24",0.000154015136556742,0.025
"37",46,"F_15-24",0.000158425248926128,0.025
"38",47,"F_15-24",0.000174144814684321,0.025
"39",48,"F_15-24",0.00019833274652793,0.025
"40",49,"F_15-24",0.000191543372088181,0.025
"41",50,"F_15-24",0.000218028370292981,0.025
"42",51,"F_15-24",0.000175017529230208,0.025
"43",52,"F_15-24",0.000190243877786191,0.025
"44",53,"F_15-24",0.000194855363210237,0.025
"45",54,"F_15-24",0.000157986163331116,0.025
"46",55,"F_15-24",0.000212169860659637,0.025
"47",56,"F_15-24",0.000218450828208136,0.025
"48",57,"F_15-24",0.000203077009128459,0.025
"49",58,"F_15-24",0.000205983760101261,0.025
"50",59,"F_15-24",0.000235917138793231,0.025
"51",60,"F_15-24",0.000245394492601792,0.025
"52",61,"F_15-24",0.000220967194025439,0.025
"53",62,"F_15-24",0.000243873005170799,0.025
"54",63,"F_15-24",0.000207699507302449,0.025
"55",64,"F_15-24",0.00020555723257013,0.025
"56",65,"F_15-24",0.00014281396408384,0.025
"57",66,"F_15-24",0.000141733193578375,0.025
"58",10,"F_25-34",7.85815527776644e-05,0.025
"59",11,"F_25-34",8.72917078134518e-05,0.025
"60",12,"F_25-34",7.06078659087124e-05,0.025
"61",13,"F_25-34",6.63825292852888e-05,0.025
"62",14,"F_25-34",6.0932039311006e-05,0.025
"63",15,"F_25-34",6.48380778251567e-05,0.025
"64",16,"F_25-34",5.30614015556735e-05,0.025
"65",17,"F_25-34",5.06087957568727e-05,0.025
"66",18,"F_25-34",6.1522522125908e-05,0.025
"67",19,"F_25-34",5.874318361522e-05,0.025
