"","month","age_sex","value","quantile"
"1",10,"F_15-24",6.88453038072714e-05,0.025
"2",11,"F_15-24",8.34776428167411e-05,0.025
"3",12,"F_15-24",8.08145876970656e-05,0.025
"4",13,"F_15-24",8.79805538233369e-05,0.025
"5",14,"F_15-24",8.85547883806713e-05,0.025
"6",15,"F_15-24",6.82960341410308e-05,0.025
"7",16,"F_15-24",8.45460640947241e-05,0.025
"8",17,"F_15-24",9.83127765937307e-05,0.025
"9",18,"F_15-24",9.14573745758382e-05,0.025
"10",19,"F_15-24",8.99554423489032e-05,0.025
"11",20,"F_15-24",8.81565392807777e-05,0.025
"12",21,"F_15-24",9.13216074827491e-05,0.025
"13",22,"F_15-24",0.000100094060270182,0.025
"14",23,"F_15-24",9.27836234216042e-05,0.025
"15",24,"F_15-24",0.000112568304225532,0.025
"16",25,"F_15-24",0.000101357646805088,0.025
"17",26,"F_15-24",0.00013833688566,0.025
"18",27,"F_15-24",0.000116184550760265,0.025
"19",28,"F_15-24",0.00012235213270002,0.025
"20",29,"F_15-24",0.000111729884989852,0.025
"21",30,"F_15-24",0.000135005448101003,0.025
"22",31,"F_15-24",0.00011511799621802,0.025
"23",32,"F_15-24",0.000126203842218817,0.025
"24",33,"F_15-24",0.000110879464635761,0.025
"25",34,"F_15-24",0.00012227514339203,0.025
"26",35,"F_15-24",0.000138914017186406,0.025
"27",36,"F_15-24",0.000160875914859686,0.025
"28",37,"F_15-24",0.00016277712317964,0.025
"29",38,"F_15-24",0.000151872818567259,0.025
"30",39,"F_15-24",0.000145236524693432,0.025
"31",40,"F_15-24",0.000156242934869892,0.025
"32",41,"F_15-24",0.000139530424300595,0.025
"33",42,"F_15-24",0.000163045383747775,0.025
"34",43,"F_15-24",0.000146217713558186,0.025
"35",44,"F_15-24",0.000156736300969984,0.025
"36",45,"F_15-24",0.000159957595585987,0.025
"37",46,"F_15-24",0.000206572783199684,0.025
"38",47,"F_15-24",0.00018833228897755,0.025
"39",48,"F_15-24",0.000257054621980782,0.025
"40",49,"F_15-24",0.000286312909531777,0.025
"41",50,"F_15-24",0.000259814362503639,0.025
"42",51,"F_15-24",0.000185278861010633,0.025
"43",52,"F_15-24",0.00021521385770057,0.025
"44",53,"F_15-24",0.000225551713889791,0.025
"45",54,"F_15-24",0.000193333669210578,0.025
"46",55,"F_15-24",0.000248721414564595,0.025
"47",56,"F_15-24",0.000247917496846475,0.025
"48",57,"F_15-24",0.000248662999823368,0.025
"49",58,"F_15-24",0.000252133250756567,0.025
"50",59,"F_15-24",0.000246163182548305,0.025
"51",60,"F_15-24",0.000327907367916345,0.025
"52",61,"F_15-24",0.000303707463703735,0.025
"53",62,"F_15-24",0.000277088775037222,0.025
"54",63,"F_15-24",0.00023352951274604,0.025
"55",64,"F_15-24",0.000222664117661038,0.025
"56",65,"F_15-24",0.000142663581664515,0.025
"57",66,"F_15-24",0.000164350741810883,0.025
"58",10,"F_25-34",7.88248806565695e-05,0.025
"59",11,"F_25-34",7.84828971161561e-05,0.025
"60",12,"F_25-34",7.15496437172215e-05,0.025
"61",13,"F_25-34",6.60852897917391e-05,0.025
"62",14,"F_25-34",6.18475256952376e-05,0.025
"63",15,"F_25-34",5.73276399402844e-05,0.025
"64",16,"F_25-34",5.89671469665209e-05,0.025
"65",17,"F_25-34",5.24894696301162e-05,0.025
"66",18,"F_25-34",5.46350515535096e-05,0.025
"67",19,"F_25-34",5.91586130053374e-05,0.025
"68",20,"F_25-34",6.23630371221242e-05,0.025
"69",21,"F_25-34",6.96547137597564e-05,0.025
"70",22,"F_25-34",6.87939589541557e-05,0.025
"71",23,"F_25-34",6.82599484522018e-05,0.025
"72",24,"F_25-34",7.57941789457206e-05,0.025
"73",25,"F_25-34",8.96957340439737e-05,0.025
"74",26,"F_25-34",0.000100798169350576,0.025
"75",27,"F_25-34",0.000102054470758123,0.025
"76",28,"F_25-34",0.000103506855268523,0.025
"77",29,"F_25-34",0.00010169150216511,0.025
"78",30,"F_25-34",0.000100081519538814,0.025
"79",31,"F_25-34",9.06768989752913e-05,0.025
"80",32,"F_25-34",9.72470677597767e-05,0.025
"81",33,"F_25-34",9.95570875594265e-05,0.025
"82",34,"F_25-34",0.000137405433458815,0.025
"83",35,"F_25-34",0.000155882887121139,0.025
"84",36,"F_25-34",0.00015763598507163,0.025
"85",37,"F_25-34",0.000170434959445802,0.025
