"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000226831398293169,0.025
"2",11,"F_15-24",0.000297705996744591,0.025
"3",12,"F_15-24",0.00048734149276868,0.025
"4",13,"F_15-24",0.000404714787552168,0.025
"5",14,"F_15-24",0.00042681613527886,0.025
"6",15,"F_15-24",0.000410284899755142,0.025
"7",16,"F_15-24",0.00077186557128409,0.025
"8",17,"F_15-24",0.0018396198551628,0.025
"9",18,"F_15-24",0.00165474790242331,0.025
"10",19,"F_15-24",0.00158826782161126,0.025
"11",20,"F_15-24",0.000610518723038212,0.025
"12",21,"F_15-24",0.000360171095276503,0.025
"13",22,"F_15-24",0.000385093826411519,0.025
"14",23,"F_15-24",0.000342896504605309,0.025
"15",24,"F_15-24",0.000311006783099934,0.025
"16",25,"F_15-24",0.000223817885953975,0.025
"17",26,"F_15-24",0.000200122780794355,0.025
"18",27,"F_15-24",0.000226377833733972,0.025
"19",28,"F_15-24",0.000174717295256282,0.025
"20",29,"F_15-24",0.000218749285976751,0.025
"21",30,"F_15-24",0.000194834536611028,0.025
"22",31,"F_15-24",0.000199045059984532,0.025
"23",32,"F_15-24",0.000207535865428968,0.025
"24",33,"F_15-24",0.000188672048874523,0.025
"25",34,"F_15-24",0.00017350193449141,0.025
"26",35,"F_15-24",0.000161344871042996,0.025
"27",36,"F_15-24",0.000184955909679309,0.025
"28",37,"F_15-24",0.000173910905027624,0.025
"29",38,"F_15-24",0.000174598440880976,0.025
"30",39,"F_15-24",0.000152239605182474,0.025
"31",40,"F_15-24",0.000173292246323041,0.025
"32",41,"F_15-24",0.00015165951930202,0.025
"33",42,"F_15-24",0.00017982137497715,0.025
"34",43,"F_15-24",0.000209198081849138,0.025
"35",44,"F_15-24",0.000240055530296303,0.025
"36",45,"F_15-24",0.00019011676617132,0.025
"37",46,"F_15-24",0.000255021915460964,0.025
"38",47,"F_15-24",0.000249352339123005,0.025
"39",48,"F_15-24",0.000277092283701371,0.025
"40",49,"F_15-24",0.000272719592565899,0.025
"41",50,"F_15-24",0.000296106414386589,0.025
"42",51,"F_15-24",0.000300769145330511,0.025
"43",52,"F_15-24",0.000360864154745046,0.025
"44",53,"F_15-24",0.000349588954648333,0.025
"45",54,"F_15-24",0.000356177068394446,0.025
"46",55,"F_15-24",0.000472897785582475,0.025
"47",56,"F_15-24",0.000732334453713965,0.025
"48",57,"F_15-24",0.000644467178218274,0.025
"49",58,"F_15-24",0.000794073441173791,0.025
"50",59,"F_15-24",0.000740120444058373,0.025
"51",60,"F_15-24",0.00058627594599462,0.025
"52",61,"F_15-24",0.000619943386475149,0.025
"53",62,"F_15-24",0.000534952614538889,0.025
"54",63,"F_15-24",0.000439876503885351,0.025
"55",10,"F_25-34",0.000779623909547643,0.025
"56",11,"F_25-34",0.000507163745946724,0.025
"57",12,"F_25-34",0.000871091708488598,0.025
"58",13,"F_25-34",0.000899182076970408,0.025
"59",14,"F_25-34",0.000811662901169861,0.025
"60",15,"F_25-34",0.000725898193244475,0.025
"61",16,"F_25-34",0.000888413795158555,0.025
"62",17,"F_25-34",0.00174545271380966,0.025
"63",18,"F_25-34",0.00172470561300195,0.025
"64",19,"F_25-34",0.00151657870481806,0.025
"65",20,"F_25-34",0.000629951905700416,0.025
"66",21,"F_25-34",0.000493387891576556,0.025
"67",22,"F_25-34",0.000430529531847861,0.025
"68",23,"F_25-34",0.000421326699302789,0.025
"69",24,"F_25-34",0.000332945934522478,0.025
"70",25,"F_25-34",0.000275181521375727,0.025
"71",26,"F_25-34",0.000276289803353106,0.025
"72",27,"F_25-34",0.000286128409081244,0.025
"73",28,"F_25-34",0.00023633060013265,0.025
"74",29,"F_25-34",0.000219792716162473,0.025
"75",30,"F_25-34",0.000215429837820107,0.025
"76",31,"F_25-34",0.000219181950320052,0.025
"77",32,"F_25-34",0.000195091536414695,0.025
"78",33,"F_25-34",0.000225693948674696,0.025
"79",34,"F_25-34",0.000209936727789711,0.025
"80",35,"F_25-34",0.000224324222273989,0.025
"81",36,"F_25-34",0.000210810791996009,0.025
"82",37,"F_25-34",0.000212921182413212,0.025
"83",38,"F_25-34",0.000229839791024428,0.025
"84",39,"F_25-34",0.000240696705301178,0.025
"85",40,"F_25-34",0.000201855726674382,0.025
"86",41,"F_25-34",0.000199042394536026,0.025
"87",42,"F_25-34",0.000225511295843233,0.025
"88",43,"F_25-34",0.000261550401282015,0.025
"89",44,"F_25-34",0.000257768445358971,0.025
"90",45,"F_25-34",0.000230136635465593,0.025
"91",46,"F_25-34",0.000297632876614581,0.025
"92",47,"F_25-34",0.000355705443065702,0.025
"93",48,"F_25-34",0.000317797377663693,0.025
"94",49,"F_25-34",0.000350242781058356,0.025
"95",50,"F_25-34",0.000356598794809439,0.025
"96",51,"F_25-34",0.00058840959415083,0.025
"97",52,"F_25-34",0.000576909740565433,0.025
"98",53,"F_25-34",0.000663170182081164,0.025
"99",54,"F_25-34",0.000628467514328307,0.025
"100",55,"F_25-34",0.000619749285715509,0.025
"101",56,"F_25-34",0.000740395073302887,0.025
"102",57,"F_25-34",0.000785062129249908,0.025
"103",58,"F_25-34",0.00087439363105991,0.025
"104",59,"F_25-34",0.00052057359756606,0.025
"105",60,"F_25-34",0.000547108949108695,0.025
"106",61,"F_25-34",0.000541109063609219,0.025
"107",62,"F_25-34",0.000598238823159205,0.025
"108",63,"F_25-34",0.000414223041800589,0.025
"109",10,"F_35-44",0.000775706297050016,0.025
"110",11,"F_35-44",0.000457782961952912,0.025
"111",12,"F_35-44",0.000576430084662611,0.025
"112",13,"F_35-44",0.000572072096072446,0.025
"113",14,"F_35-44",0.000627693314979058,0.025
"114",15,"F_35-44",0.000641917781804831,0.025
"115",16,"F_35-44",0.000967939086462365,0.025
"116",17,"F_35-44",0.00140744332381553,0.025
"117",18,"F_35-44",0.00145550396480401,0.025
"118",19,"F_35-44",0.00126687675705661,0.025
"119",20,"F_35-44",0.000582814776763811,0.025
"120",21,"F_35-44",0.000544210251767905,0.025
"121",22,"F_35-44",0.00050520005703515,0.025
"122",23,"F_35-44",0.000516958935364583,0.025
"123",24,"F_35-44",0.000374191611983644,0.025
"124",25,"F_35-44",0.000356644855639741,0.025
"125",26,"F_35-44",0.000308455802761455,0.025
"126",27,"F_35-44",0.000361634298708942,0.025
"127",28,"F_35-44",0.000338872020207593,0.025
"128",29,"F_35-44",0.000287320625342559,0.025
"129",30,"F_35-44",0.000265674621405228,0.025
"130",31,"F_35-44",0.000267703039637431,0.025
"131",32,"F_35-44",0.000266317583339981,0.025
"132",33,"F_35-44",0.000209256549206606,0.025
"133",34,"F_35-44",0.000232814545381648,0.025
"134",35,"F_35-44",0.000192482337629753,0.025
"135",36,"F_35-44",0.000219564456883236,0.025
"136",37,"F_35-44",0.000239165653102354,0.025
"137",38,"F_35-44",0.000268267936403745,0.025
"138",39,"F_35-44",0.000280191444699178,0.025
"139",40,"F_35-44",0.000280033684346351,0.025
"140",41,"F_35-44",0.000264676579579976,0.025
"141",42,"F_35-44",0.000282120327499711,0.025
"142",43,"F_35-44",0.000315668671960097,0.025
"143",44,"F_35-44",0.000274416803493237,0.025
"144",45,"F_35-44",0.000290467299187579,0.025
"145",46,"F_35-44",0.000330042164171964,0.025
"146",47,"F_35-44",0.000389542248741254,0.025
"147",48,"F_35-44",0.000429141916333078,0.025
"148",49,"F_35-44",0.000392610054381634,0.025
"149",50,"F_35-44",0.000414208578864354,0.025
"150",51,"F_35-44",0.00060514500836427,0.025
"151",52,"F_35-44",0.000462287144765867,0.025
"152",53,"F_35-44",0.000467873061725822,0.025
"153",54,"F_35-44",0.000503375194758948,0.025
"154",55,"F_35-44",0.000495453165720399,0.025
"155",56,"F_35-44",0.000603326204797752,0.025
"156",57,"F_35-44",0.000582476274650986,0.025
"157",58,"F_35-44",0.000549569089706346,0.025
"158",59,"F_35-44",0.000693388260790714,0.025
"159",60,"F_35-44",0.000583258252428817,0.025
"160",61,"F_35-44",0.00045803593791735,0.025
"161",62,"F_35-44",0.000488704846789325,0.025
"162",63,"F_35-44",0.000398728995118675,0.025
"163",10,"F_45-54",0.000343992908911074,0.025
"164",11,"F_45-54",0.000386661856976679,0.025
"165",12,"F_45-54",0.000415159874896288,0.025
"166",13,"F_45-54",0.000469311559781749,0.025
"167",14,"F_45-54",0.000477925473625187,0.025
"168",15,"F_45-54",0.000425326482036018,0.025
"169",16,"F_45-54",0.000641173127506329,0.025
