"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000170124533761137,0.025
"2",11,"F_15-24",0.000187632373338874,0.025
"3",12,"F_15-24",0.000148874713574095,0.025
"4",13,"F_15-24",0.000178058290730419,0.025
"5",14,"F_15-24",0.000216842265185404,0.025
"6",15,"F_15-24",0.000191045151039507,0.025
"7",16,"F_15-24",0.000271982216145934,0.025
"8",17,"F_15-24",0.000223746591682626,0.025
"9",18,"F_15-24",0.00028400450751639,0.025
"10",19,"F_15-24",0.000334430558044827,0.025
"11",20,"F_15-24",0.000338806751136056,0.025
"12",21,"F_15-24",0.00032127436703751,0.025
"13",22,"F_15-24",0.000372162567104177,0.025
"14",23,"F_15-24",0.000320581141815862,0.025
"15",24,"F_15-24",0.000383735245150764,0.025
"16",25,"F_15-24",0.00035005053479921,0.025
"17",26,"F_15-24",0.000257370951715373,0.025
"18",27,"F_15-24",0.000255248888622627,0.025
"19",28,"F_15-24",0.000265185367915752,0.025
"20",29,"F_15-24",0.000258538267597692,0.025
"21",30,"F_15-24",0.000200456220644687,0.025
"22",31,"F_15-24",0.000157351868823481,0.025
"23",32,"F_15-24",0.00015546757511018,0.025
"24",33,"F_15-24",0.00016115988839053,0.025
"25",34,"F_15-24",0.000186097449901752,0.025
"26",35,"F_15-24",0.000166303364744454,0.025
"27",36,"F_15-24",0.000143917220158159,0.025
"28",37,"F_15-24",0.000149090551776031,0.025
"29",38,"F_15-24",0.000142152657286471,0.025
"30",39,"F_15-24",0.00013541083056976,0.025
"31",40,"F_15-24",0.000120269071673586,0.025
"32",41,"F_15-24",0.00013157745620587,0.025
"33",42,"F_15-24",0.000131795154536524,0.025
"34",43,"F_15-24",0.000128708013531028,0.025
"35",44,"F_15-24",0.000117947693170526,0.025
"36",45,"F_15-24",0.000132996369924175,0.025
"37",46,"F_15-24",0.000132494888492975,0.025
"38",47,"F_15-24",0.000135453641734079,0.025
"39",48,"F_15-24",0.000135663771243783,0.025
