"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000153799671400867,0.025
"2",11,"F_15-24",0.000171752260363243,0.025
"3",12,"F_15-24",0.000152569605568205,0.025
"4",13,"F_15-24",0.000175251842686059,0.025
"5",14,"F_15-24",0.000190384748354949,0.025
"6",15,"F_15-24",0.000170600192420729,0.025
"7",16,"F_15-24",0.000258427504182553,0.025
"8",17,"F_15-24",0.000234263994309876,0.025
"9",18,"F_15-24",0.000291358748955827,0.025
"10",19,"F_15-24",0.000293121399488923,0.025
"11",20,"F_15-24",0.000298531966303401,0.025
"12",21,"F_15-24",0.000341966738516751,0.025
"13",22,"F_15-24",0.000384624680729358,0.025
"14",23,"F_15-24",0.000329814649918488,0.025
"15",24,"F_15-24",0.000352703473203911,0.025
"16",25,"F_15-24",0.000352364393156314,0.025
"17",26,"F_15-24",0.000282315832175166,0.025
"18",27,"F_15-24",0.000241330898695668,0.025
"19",28,"F_15-24",0.000228696653927813,0.025
"20",29,"F_15-24",0.000207047808619862,0.025
"21",30,"F_15-24",0.000198576401034977,0.025
"22",31,"F_15-24",0.000149788038141528,0.025
"23",32,"F_15-24",0.000161712910403464,0.025
"24",33,"F_15-24",0.000139138785474306,0.025
"25",34,"F_15-24",0.000144972907565531,0.025
"26",35,"F_15-24",0.000168850120111669,0.025
"27",36,"F_15-24",0.000149254498466404,0.025
"28",37,"F_15-24",0.000140731476156945,0.025
"29",38,"F_15-24",0.000105468625327299,0.025
"30",39,"F_15-24",0.00010989653784505,0.025
"31",40,"F_15-24",0.000111303885193937,0.025
"32",41,"F_15-24",0.000121075152009126,0.025
"33",42,"F_15-24",0.000128225306791595,0.025
"34",43,"F_15-24",0.000106588064777745,0.025
"35",44,"F_15-24",0.000112933145388183,0.025
"36",45,"F_15-24",0.000115605535008572,0.025
"37",46,"F_15-24",0.000129438902140372,0.025
"38",47,"F_15-24",0.000120200684188607,0.025
"39",48,"F_15-24",0.000117298731028246,0.025
"40",49,"F_15-24",0.000129442524760142,0.025
"41",50,"F_15-24",0.000117701763539127,0.025
"42",51,"F_15-24",0.000130021161057572,0.025
"43",52,"F_15-24",0.000120114328124619,0.025
"44",53,"F_15-24",0.000114894584900834,0.025
"45",54,"F_15-24",0.000118219467023764,0.025
"46",55,"F_15-24",0.000119680878989802,0.025
"47",56,"F_15-24",0.000124542132929483,0.025
"48",57,"F_15-24",0.000129455823425233,0.025
"49",58,"F_15-24",0.000113900615170889,0.025
"50",59,"F_15-24",0.000140250288823963,0.025
"51",60,"F_15-24",0.000131399366132437,0.025
"52",61,"F_15-24",0.000150666958858692,0.025
"53",62,"F_15-24",0.000169101138180966,0.025
"54",63,"F_15-24",0.000134110234698509,0.025
"55",64,"F_15-24",0.000150548839806653,0.025
"56",65,"F_15-24",0.000174446993008256,0.025
"57",66,"F_15-24",0.000156849527329756,0.025
"58",10,"F_25-34",0.000117978108288954,0.025
"59",11,"F_25-34",0.000104323380469572,0.025
"60",12,"F_25-34",0.000127213981415229,0.025
"61",13,"F_25-34",0.000117838862364873,0.025
"62",14,"F_25-34",9.95603388777785e-05,0.025
"63",15,"F_25-34",0.000105882610743195,0.025
"64",16,"F_25-34",0.000141877394736708,0.025
"65",17,"F_25-34",0.000173704951642236,0.025
