"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000161501188417903,0.025
"2",11,"F_15-24",0.000164250844576018,0.025
"3",12,"F_15-24",0.000144501706800525,0.025
"4",13,"F_15-24",0.000196311941145906,0.025
"5",14,"F_15-24",0.000206031261376642,0.025
"6",15,"F_15-24",0.000211406348285288,0.025
"7",16,"F_15-24",0.00028561950900895,0.025
"8",17,"F_15-24",0.000277880266249628,0.025
"9",18,"F_15-24",0.000287190795487879,0.025
"10",19,"F_15-24",0.000336947501732758,0.025
"11",20,"F_15-24",0.000331163194277211,0.025
"12",21,"F_15-24",0.000364552950258672,0.025
"13",22,"F_15-24",0.000437242380492645,0.025
"14",23,"F_15-24",0.000360028855457155,0.025
"15",24,"F_15-24",0.000386609203869304,0.025
"16",25,"F_15-24",0.000369374067361425,0.025
"17",26,"F_15-24",0.000276830049619398,0.025
"18",27,"F_15-24",0.000311156274934959,0.025
"19",28,"F_15-24",0.000279297990198977,0.025
"20",29,"F_15-24",0.000268403932668361,0.025
"21",30,"F_15-24",0.000203141707469261,0.025
"22",31,"F_15-24",0.000179459676676433,0.025
"23",32,"F_15-24",0.000184006086711836,0.025
"24",33,"F_15-24",0.000182681051203884,0.025
"25",34,"F_15-24",0.00016612445724871,0.025
"26",35,"F_15-24",0.000201775308012497,0.025
"27",36,"F_15-24",0.000159844406181127,0.025
"28",37,"F_15-24",0.000154750517760713,0.025
"29",38,"F_15-24",0.000135745452020187,0.025
"30",39,"F_15-24",0.000147748823469418,0.025
"31",40,"F_15-24",0.000139662185548778,0.025
"32",41,"F_15-24",0.000129253583632367,0.025
"33",42,"F_15-24",0.000142923587695971,0.025
"34",43,"F_15-24",0.000151128662745293,0.025
"35",44,"F_15-24",0.000145145997247248,0.025
"36",45,"F_15-24",0.000136566125983449,0.025
"37",46,"F_15-24",0.000126872153182381,0.025
"38",47,"F_15-24",0.000148566547655767,0.025
"39",48,"F_15-24",0.000146669576908083,0.025
"40",49,"F_15-24",0.000156915569363448,0.025
"41",50,"F_15-24",0.000163178135717277,0.025
"42",51,"F_15-24",0.000159555426552875,0.025
"43",52,"F_15-24",0.00013355493117772,0.025
"44",53,"F_15-24",0.00016489297410272,0.025
"45",54,"F_15-24",0.000167947389374054,0.025
"46",55,"F_15-24",0.000158778788885085,0.025
"47",56,"F_15-24",0.000155439290044485,0.025
"48",57,"F_15-24",0.000160046342470777,0.025
"49",58,"F_15-24",0.000162212117778023,0.025
"50",59,"F_15-24",0.0001663051595142,0.025
"51",60,"F_15-24",0.000168909017398916,0.025
"52",61,"F_15-24",0.000175877464161529,0.025
"53",62,"F_15-24",0.000185210018313419,0.025
"54",63,"F_15-24",0.000177463586297433,0.025
"55",64,"F_15-24",0.000204168049119584,0.025
"56",65,"F_15-24",0.000197301772898856,0.025
"57",66,"F_15-24",0.000202058037512145,0.025
"58",10,"F_25-34",9.63282343089764e-05,0.025
"59",11,"F_25-34",0.00011162232698614,0.025
"60",12,"F_25-34",0.000139846628433417,0.025
"61",13,"F_25-34",0.000122769947912673,0.025
"62",14,"F_25-34",0.000112409895530987,0.025
"63",15,"F_25-34",0.000100987791356566,0.025
"64",16,"F_25-34",0.000160977041252936,0.025
"65",17,"F_25-34",0.000199245345185404,0.025
"66",18,"F_25-34",0.000230551994305464,0.025
"67",19,"F_25-34",0.00027200152212471,0.025
"68",20,"F_25-34",0.000344445392227276,0.025
"69",21,"F_25-34",0.000375584590431359,0.025
"70",22,"F_25-34",0.000433665902641012,0.025
"71",23,"F_25-34",0.000451125949517649,0.025
"72",24,"F_25-34",0.000430363698722361,0.025
"73",25,"F_25-34",0.000562969749264397,0.025
"74",26,"F_25-34",0.000584441841545112,0.025
"75",27,"F_25-34",0.000424260774916114,0.025
"76",28,"F_25-34",0.000391807399713666,0.025
"77",29,"F_25-34",0.000304174221163146,0.025
"78",30,"F_25-34",0.000289546446659583,0.025
"79",31,"F_25-34",0.000282435893790872,0.025
"80",32,"F_25-34",0.000268089954939342,0.025
"81",33,"F_25-34",0.000240876807268745,0.025
"82",34,"F_25-34",0.000214340298121529,0.025
"83",35,"F_25-34",0.000149112589729082,0.025
"84",36,"F_25-34",0.000132333014088901,0.025
"85",37,"F_25-34",0.00014663212064115,0.025
"86",38,"F_25-34",0.000137627532353315,0.025
"87",39,"F_25-34",0.000137577500959051,0.025
"88",40,"F_25-34",0.000138181085187343,0.025
"89",41,"F_25-34",0.000133159837249917,0.025
"90",42,"F_25-34",0.000145682212305113,0.025
"91",43,"F_25-34",0.000155694083807624,0.025
"92",44,"F_25-34",0.000145705726467668,0.025
"93",45,"F_25-34",0.000122370250559566,0.025
"94",46,"F_25-34",0.00012831090528325,0.025
"95",47,"F_25-34",0.00012002008364697,0.025
"96",48,"F_25-34",0.0001365328510637,0.025
"97",49,"F_25-34",0.000136872761728661,0.025
"98",50,"F_25-34",0.000143136892116199,0.025
"99",51,"F_25-34",0.000137454951480279,0.025
"100",52,"F_25-34",0.000158071692606203,0.025
"101",53,"F_25-34",0.000178372962168088,0.025
"102",54,"F_25-34",0.00018222165665524,0.025
"103",55,"F_25-34",0.000182324473562056,0.025
"104",56,"F_25-34",0.000194572271512009,0.025
"105",57,"F_25-34",0.00019726246557915,0.025
"106",58,"F_25-34",0.000164221756386569,0.025
"107",59,"F_25-34",0.000179960698784309,0.025
"108",60,"F_25-34",0.000210236419372093,0.025
"109",61,"F_25-34",0.000207966692182702,0.025
"110",62,"F_25-34",0.000216440926472785,0.025
"111",63,"F_25-34",0.000234131707213291,0.025
"112",64,"F_25-34",0.000242223964266474,0.025
"113",65,"F_25-34",0.000239133976123582,0.025
"114",66,"F_25-34",0.000203467499897305,0.025
"115",10,"F_35-44",0.000113603096942846,0.025
"116",11,"F_35-44",0.000126041808074388,0.025
"117",12,"F_35-44",0.000102773732797632,0.025
"118",13,"F_35-44",0.000116195414643632,0.025
"119",14,"F_35-44",0.000150808126087692,0.025
"120",15,"F_35-44",0.000156822922154194,0.025
"121",16,"F_35-44",0.000144675573523402,0.025
"122",17,"F_35-44",0.000174774252590713,0.025
