"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000297111661164522,0.025
"2",11,"F_15-24",0.000236850032826741,0.025
"3",12,"F_15-24",0.000277412110345295,0.025
"4",13,"F_15-24",0.00035550011821561,0.025
"5",14,"F_15-24",0.000385089321453001,0.025
"6",15,"F_15-24",0.000365767572155369,0.025
"7",16,"F_15-24",0.000831254904733505,0.025
"8",17,"F_15-24",0.00091500586202295,0.025
"9",18,"F_15-24",0.000883200437582694,0.025
"10",19,"F_15-24",0.00077399411216056,0.025
"11",20,"F_15-24",0.00102717110124037,0.025
"12",21,"F_15-24",0.000693258989797311,0.025
"13",22,"F_15-24",0.00031833880917071,0.025
"14",23,"F_15-24",0.000286221005917701,0.025
"15",24,"F_15-24",0.000261565151192036,0.025
"16",25,"F_15-24",0.000198485483941137,0.025
"17",26,"F_15-24",0.000173046075838757,0.025
"18",27,"F_15-24",0.000205498624846787,0.025
"19",28,"F_15-24",0.000175539380068474,0.025
"20",29,"F_15-24",0.000182099258938993,0.025
"21",30,"F_15-24",0.000179568955806617,0.025
"22",31,"F_15-24",0.000161375438595754,0.025
"23",32,"F_15-24",0.00016384493286509,0.025
"24",33,"F_15-24",0.000188417106844792,0.025
"25",34,"F_15-24",0.000143777821806037,0.025
"26",35,"F_15-24",0.000141915256503617,0.025
"27",36,"F_15-24",0.000104770767878781,0.025
"28",37,"F_15-24",0.000105626037247797,0.025
"29",38,"F_15-24",0.000102822668580633,0.025
"30",39,"F_15-24",0.00010593715121456,0.025
"31",40,"F_15-24",0.000107599511981894,0.025
"32",41,"F_15-24",0.000111993060222106,0.025
"33",42,"F_15-24",0.000114937553068157,0.025
"34",43,"F_15-24",0.000122584358826918,0.025
"35",44,"F_15-24",9.9428348104007e-05,0.025
"36",45,"F_15-24",0.000113895703873221,0.025
"37",46,"F_15-24",0.000111530508117007,0.025
"38",47,"F_15-24",0.000107923498934407,0.025
"39",48,"F_15-24",0.000147440825737845,0.025
"40",49,"F_15-24",0.000132378969632361,0.025
"41",50,"F_15-24",0.000135715552576986,0.025
"42",51,"F_15-24",0.000131053271767188,0.025
"43",52,"F_15-24",0.00016274230416392,0.025
"44",53,"F_15-24",0.000137039278207808,0.025
"45",54,"F_15-24",0.000131942206747716,0.025
"46",55,"F_15-24",0.000186514532229239,0.025
"47",56,"F_15-24",0.000220308620308365,0.025
"48",57,"F_15-24",0.00019992112288425,0.025
"49",58,"F_15-24",0.000198585280491348,0.025
"50",59,"F_15-24",0.000233417770745414,0.025
"51",60,"F_15-24",0.000262615624803398,0.025
"52",61,"F_15-24",0.000280688985030277,0.025
"53",62,"F_15-24",0.000231017251922516,0.025
"54",63,"F_15-24",0.000274505685173286,0.025
"55",64,"F_15-24",0.00026084751076673,0.025
"56",65,"F_15-24",0.000235607974442764,0.025
"57",66,"F_15-24",0.000253616861500036,0.025
"58",10,"F_25-34",0.000229745619658477,0.025
"59",11,"F_25-34",0.000224881039158814,0.025
"60",12,"F_25-34",0.000264753261166107,0.025
"61",13,"F_25-34",0.000325898702122464,0.025
"62",14,"F_25-34",0.000337015422784689,0.025
"63",15,"F_25-34",0.000325360612898604,0.025
"64",16,"F_25-34",0.000514982345005209,0.025
"65",17,"F_25-34",0.000590992117629895,0.025
"66",18,"F_25-34",0.000556912424724437,0.025
"67",19,"F_25-34",0.000611066017889499,0.025
"68",20,"F_25-34",0.00058159608254791,0.025
"69",21,"F_25-34",0.000489403088737846,0.025
"70",22,"F_25-34",0.000578338857899663,0.025
"71",23,"F_25-34",0.000459125280094158,0.025
"72",24,"F_25-34",0.000413774800204106,0.025
"73",25,"F_25-34",0.000345034289160764,0.025
"74",26,"F_25-34",0.000302344058423102,0.025
"75",27,"F_25-34",0.000286076779700976,0.025
"76",28,"F_25-34",0.000257023706086266,0.025
"77",29,"F_25-34",0.000289497774284674,0.025
"78",30,"F_25-34",0.000274152489274505,0.025
"79",31,"F_25-34",0.000231202525319321,0.025
"80",32,"F_25-34",0.000271942450279897,0.025
"81",33,"F_25-34",0.000208831653919559,0.025
"82",34,"F_25-34",0.000176781544816276,0.025
"83",35,"F_25-34",0.000141547796899887,0.025
"84",36,"F_25-34",0.000136986772864669,0.025
"85",37,"F_25-34",0.000156005447720022,0.025
"86",38,"F_25-34",0.000143621948920516,0.025
"87",39,"F_25-34",0.000148933761206105,0.025
"88",40,"F_25-34",0.000164197958628385,0.025
"89",41,"F_25-34",0.000170440722892062,0.025
"90",42,"F_25-34",0.000152658684519361,0.025
"91",43,"F_25-34",0.000160729471425223,0.025
"92",44,"F_25-34",0.000145669908176119,0.025
"93",45,"F_25-34",0.000150082695082446,0.025
"94",46,"F_25-34",0.000160854976965825,0.025
"95",47,"F_25-34",0.000176981610123334,0.025
"96",48,"F_25-34",0.000164627073144642,0.025
"97",49,"F_25-34",0.000178228413816552,0.025
"98",50,"F_25-34",0.00018384368607733,0.025
"99",51,"F_25-34",0.000203387083945831,0.025
"100",52,"F_25-34",0.000207396759940233,0.025
"101",53,"F_25-34",0.000205253926918782,0.025
"102",54,"F_25-34",0.000214633845777102,0.025
"103",55,"F_25-34",0.000236176454214193,0.025
"104",56,"F_25-34",0.000269905829778356,0.025
"105",57,"F_25-34",0.000294686547683077,0.025
"106",58,"F_25-34",0.000263984372396093,0.025
"107",59,"F_25-34",0.000265892580941619,0.025
"108",60,"F_25-34",0.000272571262460562,0.025
"109",61,"F_25-34",0.0002719748516338,0.025
"110",62,"F_25-34",0.000253680213882894,0.025
"111",63,"F_25-34",0.000264968264421932,0.025
"112",64,"F_25-34",0.000290326807896222,0.025
"113",65,"F_25-34",0.000271109776947111,0.025
"114",66,"F_25-34",0.00029140654896659,0.025
"115",10,"F_35-44",0.000243338904485451,0.025
"116",11,"F_35-44",0.000286096223664515,0.025
"117",12,"F_35-44",0.000307849248861546,0.025
"118",13,"F_35-44",0.00035512243297534,0.025
"119",14,"F_35-44",0.000343464540256308,0.025
"120",15,"F_35-44",0.000337102524109635,0.025
"121",16,"F_35-44",0.000422559633356106,0.025
"122",17,"F_35-44",0.000437164345804939,0.025
"123",18,"F_35-44",0.000520613565347847,0.025
"124",19,"F_35-44",0.000457247965715407,0.025
"125",20,"F_35-44",0.000394129192386701,0.025
"126",21,"F_35-44",0.000358095443410965,0.025
"127",22,"F_35-44",0.000361204600201232,0.025
"128",23,"F_35-44",0.000382640277876425,0.025
"129",24,"F_35-44",0.000402245638719994,0.025
"130",25,"F_35-44",0.000279666618605563,0.025
"131",26,"F_35-44",0.000285720808757603,0.025
"132",27,"F_35-44",0.000262215687241548,0.025
"133",28,"F_35-44",0.000269869105424609,0.025
"134",29,"F_35-44",0.00023426166417001,0.025
"135",30,"F_35-44",0.000224469520485301,0.025
"136",31,"F_35-44",0.000202417741313307,0.025
"137",32,"F_35-44",0.00020469943692134,0.025
