"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000261349049167375,0.025
"2",11,"F_15-24",0.000246906957870672,0.025
"3",12,"F_15-24",0.000227445368296553,0.025
"4",13,"F_15-24",0.000300945718435541,0.025
"5",14,"F_15-24",0.000332469655411381,0.025
"6",15,"F_15-24",0.000297367834224366,0.025
"7",16,"F_15-24",0.000730820507374295,0.025
"8",17,"F_15-24",0.000887149014942217,0.025
"9",18,"F_15-24",0.000859354489312883,0.025
"10",19,"F_15-24",0.000898488224585384,0.025
"11",20,"F_15-24",0.00103070822444128,0.025
"12",21,"F_15-24",0.000666900814142961,0.025
"13",22,"F_15-24",0.00029670137160619,0.025
"14",23,"F_15-24",0.000244844083544411,0.025
"15",24,"F_15-24",0.000260432039024616,0.025
"16",25,"F_15-24",0.000177598204923231,0.025
"17",26,"F_15-24",0.000165878859235562,0.025
"18",27,"F_15-24",0.000161305885989987,0.025
"19",28,"F_15-24",0.000170159865874377,0.025
"20",29,"F_15-24",0.000175224629065221,0.025
"21",30,"F_15-24",0.00016196878399258,0.025
"22",31,"F_15-24",0.000142354417654108,0.025
"23",32,"F_15-24",0.000156014394400998,0.025
"24",33,"F_15-24",0.000184841972465205,0.025
"25",34,"F_15-24",0.000126165007761445,0.025
"26",35,"F_15-24",0.000107545400522619,0.025
"27",36,"F_15-24",0.000101803917407045,0.025
"28",37,"F_15-24",0.000105218024671087,0.025
"29",38,"F_15-24",9.21408561885078e-05,0.025
"30",39,"F_15-24",8.54115016310994e-05,0.025
"31",40,"F_15-24",0.000101821223863803,0.025
"32",41,"F_15-24",8.82078768810032e-05,0.025
"33",42,"F_15-24",9.90707181550985e-05,0.025
"34",43,"F_15-24",9.39719501328049e-05,0.025
"35",44,"F_15-24",8.94485616433674e-05,0.025
"36",45,"F_15-24",9.41832093562459e-05,0.025
"37",46,"F_15-24",8.67501424558818e-05,0.025
"38",47,"F_15-24",9.62722245877799e-05,0.025
"39",48,"F_15-24",9.66792227159292e-05,0.025
"40",49,"F_15-24",0.000108687398325856,0.025
"41",50,"F_15-24",0.000102914857843996,0.025
"42",51,"F_15-24",0.000119895062716772,0.025
"43",52,"F_15-24",0.000130011818127932,0.025
"44",53,"F_15-24",0.000117472350260553,0.025
"45",54,"F_15-24",0.000119856673944529,0.025
"46",55,"F_15-24",0.000147209642683738,0.025
"47",56,"F_15-24",0.000169897231302434,0.025
"48",57,"F_15-24",0.000148127568776224,0.025
"49",58,"F_15-24",0.000160160612066222,0.025
"50",59,"F_15-24",0.000169105643884604,0.025
"51",60,"F_15-24",0.000211924332752046,0.025
"52",61,"F_15-24",0.000214623489661892,0.025
"53",62,"F_15-24",0.000183582075216944,0.025
"54",63,"F_15-24",0.000200511633707417,0.025
"55",64,"F_15-24",0.000207497409219158,0.025
"56",65,"F_15-24",0.000237027810157646,0.025
"57",66,"F_15-24",0.000251168050919481,0.025
"58",10,"F_25-34",0.000198921211150831,0.025
"59",11,"F_25-34",0.000225485008240511,0.025
"60",12,"F_25-34",0.000268948013913579,0.025
"61",13,"F_25-34",0.000308605587743043,0.025
"62",14,"F_25-34",0.000292275424674331,0.025
"63",15,"F_25-34",0.000320406303863703,0.025
"64",16,"F_25-34",0.000524358551462607,0.025
"65",17,"F_25-34",0.000601685288643123,0.025
"66",18,"F_25-34",0.000543865039083153,0.025
"67",19,"F_25-34",0.000536722795732653,0.025
"68",20,"F_25-34",0.000562561499304996,0.025
"69",21,"F_25-34",0.000527196298992619,0.025
"70",22,"F_25-34",0.000644699922777084,0.025
"71",23,"F_25-34",0.000429546255585799,0.025
"72",24,"F_25-34",0.000431177289355861,0.025
"73",25,"F_25-34",0.000373540119804288,0.025
"74",26,"F_25-34",0.000277956907368332,0.025
"75",27,"F_25-34",0.000266359863843123,0.025
"76",28,"F_25-34",0.000258428218816347,0.025
"77",29,"F_25-34",0.000251128445542266,0.025
"78",30,"F_25-34",0.000265495342743107,0.025
"79",31,"F_25-34",0.000245565826703172,0.025
"80",32,"F_25-34",0.000199854156647444,0.025
"81",33,"F_25-34",0.000180897235624091,0.025
"82",34,"F_25-34",0.000169151179471152,0.025
"83",35,"F_25-34",0.000112347924405769,0.025
"84",36,"F_25-34",0.000123668778079015,0.025
"85",37,"F_25-34",0.000149872319626603,0.025
"86",38,"F_25-34",0.000123233859406592,0.025
"87",39,"F_25-34",0.00014610278562956,0.025
"88",40,"F_25-34",0.000128313956520806,0.025
"89",41,"F_25-34",0.000125528637297546,0.025
"90",42,"F_25-34",0.000119920061086543,0.025
"91",43,"F_25-34",0.000152223488541986,0.025
