"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000262964684305501,0.025
"2",11,"F_15-24",0.00025977740507294,0.025
"3",12,"F_15-24",0.000270492795557843,0.025
"4",13,"F_15-24",0.000317018493373002,0.025
"5",14,"F_15-24",0.000311025174980198,0.025
"6",15,"F_15-24",0.00033831362090128,0.025
"7",16,"F_15-24",0.000841028634835449,0.025
"8",17,"F_15-24",0.000997300281811702,0.025
"9",18,"F_15-24",0.000914888035725032,0.025
"10",19,"F_15-24",0.000867327273321627,0.025
"11",20,"F_15-24",0.0011125410684976,0.025
"12",21,"F_15-24",0.000773328644239753,0.025
"13",22,"F_15-24",0.000374585274275942,0.025
"14",23,"F_15-24",0.000310801881290865,0.025
"15",24,"F_15-24",0.000307251725062322,0.025
"16",25,"F_15-24",0.000213505308049347,0.025
"17",26,"F_15-24",0.000226459357324074,0.025
"18",27,"F_15-24",0.000232280241894865,0.025
"19",28,"F_15-24",0.000194236191240101,0.025
"20",29,"F_15-24",0.000188049694146098,0.025
"21",30,"F_15-24",0.000198705787476749,0.025
"22",31,"F_15-24",0.000163994826455483,0.025
"23",32,"F_15-24",0.000173150928236113,0.025
"24",33,"F_15-24",0.000242463145995587,0.025
"25",34,"F_15-24",0.000149014429729961,0.025
"26",35,"F_15-24",0.000148274414388573,0.025
"27",36,"F_15-24",0.000147954877413109,0.025
"28",37,"F_15-24",0.000139433104207223,0.025
"29",38,"F_15-24",0.000106625960023677,0.025
"30",39,"F_15-24",0.000118593080681908,0.025
"31",40,"F_15-24",0.000129795218031804,0.025
"32",41,"F_15-24",0.000125161367364806,0.025
"33",42,"F_15-24",0.000133016931481382,0.025
"34",43,"F_15-24",0.000135293427513459,0.025
"35",44,"F_15-24",0.000117106304921666,0.025
"36",45,"F_15-24",0.000119050059660095,0.025
"37",46,"F_15-24",0.000112113025026258,0.025
"38",47,"F_15-24",0.000125727629089774,0.025
"39",48,"F_15-24",0.000157753765175481,0.025
"40",49,"F_15-24",0.000165435491022496,0.025
"41",50,"F_15-24",0.000142833233163566,0.025
"42",51,"F_15-24",0.000158819878740582,0.025
"43",52,"F_15-24",0.000188063496489004,0.025
"44",53,"F_15-24",0.000167105922445215,0.025
"45",54,"F_15-24",0.00015864015379647,0.025
"46",55,"F_15-24",0.000209039476097393,0.025
"47",56,"F_15-24",0.000216351191959478,0.025
"48",57,"F_15-24",0.000228924237443747,0.025
"49",58,"F_15-24",0.000214733919818115,0.025
"50",59,"F_15-24",0.000244772748737902,0.025
"51",60,"F_15-24",0.000285262292926424,0.025
"52",61,"F_15-24",0.000257417549863441,0.025
"53",62,"F_15-24",0.000267347413984161,0.025
"54",63,"F_15-24",0.000248255036012836,0.025
"55",64,"F_15-24",0.000295443770005103,0.025
"56",65,"F_15-24",0.000291277930540592,0.025
"57",66,"F_15-24",0.000261580323552851,0.025
"58",10,"F_25-34",0.000205908337403544,0.025
"59",11,"F_25-34",0.0002694210569188,0.025
"60",12,"F_25-34",0.000264569498243388,0.025
"61",13,"F_25-34",0.000304731790483792,0.025
"62",14,"F_25-34",0.000276348335452482,0.025
"63",15,"F_25-34",0.000283194321813305,0.025
"64",16,"F_25-34",0.00051071862873482,0.025
"65",17,"F_25-34",0.000675810925633302,0.025
"66",18,"F_25-34",0.000577721710195459,0.025
"67",19,"F_25-34",0.000603579729821759,0.025
"68",20,"F_25-34",0.000740143245811383,0.025
"69",21,"F_25-34",0.00060433594722397,0.025
"70",22,"F_25-34",0.000686428483941922,0.025
"71",23,"F_25-34",0.000540359392330843,0.025
"72",24,"F_25-34",0.000448128361814735,0.025
"73",25,"F_25-34",0.000438790849770781,0.025
"74",26,"F_25-34",0.00037669097881488,0.025
"75",27,"F_25-34",0.000315470818888349,0.025
"76",28,"F_25-34",0.000293224746431992,0.025
"77",29,"F_25-34",0.000304239914219296,0.025
"78",30,"F_25-34",0.000268592103115332,0.025
"79",31,"F_25-34",0.000299146290223931,0.025
"80",32,"F_25-34",0.000320493135126793,0.025
"81",33,"F_25-34",0.000227110274086003,0.025
"82",34,"F_25-34",0.000222173199877252,0.025
"83",35,"F_25-34",0.000153945001944757,0.025
"84",36,"F_25-34",0.000161365754145856,0.025
"85",37,"F_25-34",0.000165230936070076,0.025
"86",38,"F_25-34",0.000168198504217174,0.025
"87",39,"F_25-34",0.000191768189474848,0.025
"88",40,"F_25-34",0.000183213699623526,0.025
"89",41,"F_25-34",0.000170679618979561,0.025
"90",42,"F_25-34",0.000148758860212943,0.025
"91",43,"F_25-34",0.000161068249135825,0.025
"92",44,"F_25-34",0.000158111966219768,0.025
"93",45,"F_25-34",0.00016996264583862,0.025
"94",46,"F_25-34",0.000199847763073979,0.025
"95",47,"F_25-34",0.000207140474863845,0.025
"96",48,"F_25-34",0.000221992468455471,0.025
"97",49,"F_25-34",0.000196910368838768,0.025
"98",50,"F_25-34",0.000197674161696282,0.025
"99",51,"F_25-34",0.00023209896952892,0.025
"100",52,"F_25-34",0.00023371925046753,0.025
"101",53,"F_25-34",0.000218703570405207,0.025
"102",54,"F_25-34",0.000247490117920435,0.025
"103",55,"F_25-34",0.000284041679656073,0.025
"104",56,"F_25-34",0.000292324364916257,0.025
"105",57,"F_25-34",0.000301793467227472,0.025
"106",58,"F_25-34",0.000269626554896628,0.025
"107",59,"F_25-34",0.000311938195956666,0.025
"108",60,"F_25-34",0.00035764176510512,0.025
"109",61,"F_25-34",0.000306687293903354,0.025
"110",62,"F_25-34",0.000266401540860137,0.025
"111",63,"F_25-34",0.000268250305166432,0.025
"112",64,"F_25-34",0.00033642898114289,0.025
"113",65,"F_25-34",0.000329444059386472,0.025
"114",66,"F_25-34",0.000315031031368308,0.025
"115",10,"F_35-44",0.000298696048186406,0.025
"116",11,"F_35-44",0.000282260931904054,0.025
"117",12,"F_35-44",0.000282812695861903,0.025
"118",13,"F_35-44",0.000357712508799569,0.025
"119",14,"F_35-44",0.000395657255713706,0.025
"120",15,"F_35-44",0.000390097054693288,0.025
"121",16,"F_35-44",0.000440031019878904,0.025
"122",17,"F_35-44",0.000502095214620701,0.025
