"","month","age_sex","value","quantile"
"1",10,"F_15-24",6.67619653654139e-05,0.025
"2",11,"F_15-24",7.38572233904321e-05,0.025
"3",12,"F_15-24",6.18984606318435e-05,0.025
"4",13,"F_15-24",5.77126312226513e-05,0.025
"5",14,"F_15-24",6.76472157035876e-05,0.025
"6",15,"F_15-24",7.06816216819411e-05,0.025
"7",16,"F_15-24",7.6373327214993e-05,0.025
"8",17,"F_15-24",7.79345128025525e-05,0.025
"9",18,"F_15-24",8.45866904017511e-05,0.025
"10",19,"F_15-24",9.2703994316284e-05,0.025
"11",20,"F_15-24",8.97383386617765e-05,0.025
"12",21,"F_15-24",0.000127330670027063,0.025
"13",22,"F_15-24",0.000116503611456645,0.025
"14",23,"F_15-24",0.000145040120415377,0.025
"15",24,"F_15-24",0.000101465859054047,0.025
"16",25,"F_15-24",0.000102808731240442,0.025
"17",26,"F_15-24",0.000123407767744045,0.025
"18",27,"F_15-24",0.000118804070675466,0.025
"19",28,"F_15-24",0.000110664083096787,0.025
"20",29,"F_15-24",0.000116305345773491,0.025
"21",30,"F_15-24",0.000123402217185777,0.025
"22",31,"F_15-24",0.000130153427322301,0.025
"23",32,"F_15-24",0.000136252307796787,0.025
"24",33,"F_15-24",0.000105227082774995,0.025
"25",34,"F_15-24",0.000127116456562622,0.025
"26",35,"F_15-24",9.82824828366041e-05,0.025
"27",36,"F_15-24",0.000102164589909883,0.025
"28",37,"F_15-24",0.000109578043748726,0.025
"29",38,"F_15-24",0.000158535793998471,0.025
"30",39,"F_15-24",0.000150194164940442,0.025
"31",40,"F_15-24",0.000139691705275176,0.025
"32",41,"F_15-24",0.000166815369042974,0.025
"33",42,"F_15-24",0.000149530798024473,0.025
"34",43,"F_15-24",0.000164570311701444,0.025
"35",44,"F_15-24",0.000146292054028097,0.025
"36",45,"F_15-24",0.000139020306575427,0.025
"37",46,"F_15-24",0.000151552209726569,0.025
"38",47,"F_15-24",0.000203875797397719,0.025
"39",48,"F_15-24",0.000202497837972961,0.025
"40",49,"F_15-24",0.000202842917718951,0.025
"41",50,"F_15-24",0.000186794351736693,0.025
"42",51,"F_15-24",0.000204613378357148,0.025
"43",52,"F_15-24",0.0002153965047792,0.025
"44",53,"F_15-24",0.00022726503565581,0.025
"45",54,"F_15-24",0.000211460997115896,0.025
"46",55,"F_15-24",0.000175336349068521,0.025
"47",56,"F_15-24",0.000189253867152461,0.025
"48",57,"F_15-24",0.000189483344978323,0.025
"49",58,"F_15-24",0.000189715022411348,0.025
"50",59,"F_15-24",0.000184031614858313,0.025
"51",60,"F_15-24",0.000164173153776973,0.025
"52",61,"F_15-24",0.000173274129011235,0.025
"53",62,"F_15-24",0.000157974991245006,0.025
"54",63,"F_15-24",0.000183857308645016,0.025
"55",64,"F_15-24",0.000145620453758759,0.025
"56",65,"F_15-24",0.000129873652184999,0.025
"57",66,"F_15-24",0.000131655154980039,0.025
"58",10,"F_25-34",6.33180625717591e-05,0.025
"59",11,"F_25-34",6.70327354961249e-05,0.025
"60",12,"F_25-34",5.8495100350679e-05,0.025
"61",13,"F_25-34",6.95830562540343e-05,0.025
"62",14,"F_25-34",7.02799509720842e-05,0.025
"63",15,"F_25-34",7.71984120207171e-05,0.025
"64",16,"F_25-34",7.88017355937246e-05,0.025
"65",17,"F_25-34",8.55726536997427e-05,0.025
"66",18,"F_25-34",7.46568929731277e-05,0.025
"67",19,"F_25-34",7.78190189213326e-05,0.025
"68",20,"F_25-34",7.51762744379851e-05,0.025
"69",21,"F_25-34",7.96644799230622e-05,0.025
"70",22,"F_25-34",8.04064380882469e-05,0.025
"71",23,"F_25-34",8.48206890095563e-05,0.025
"72",24,"F_25-34",8.48453311728531e-05,0.025
"73",25,"F_25-34",0.000112006141804823,0.025
"74",26,"F_25-34",0.000106728308312444,0.025
"75",27,"F_25-34",0.000128818273749532,0.025
"76",28,"F_25-34",0.00011939141566171,0.025
"77",29,"F_25-34",0.00012616517783322,0.025
"78",30,"F_25-34",0.000186596976307396,0.025
"79",31,"F_25-34",0.000141288053535385,0.025
"80",32,"F_25-34",0.000158478986646331,0.025
"81",33,"F_25-34",0.000170296583420472,0.025
"82",34,"F_25-34",0.00013746646565862,0.025
"83",35,"F_25-34",0.000135982323188476,0.025
"84",36,"F_25-34",0.000149843260456245,0.025
"85",37,"F_25-34",0.000112433922394374,0.025
"86",38,"F_25-34",0.000141556689883275,0.025
"87",39,"F_25-34",0.000236060414472287,0.025
"88",40,"F_25-34",0.00022832400471758,0.025
"89",41,"F_25-34",0.000206630888603415,0.025
"90",42,"F_25-34",0.000199203687170726,0.025
"91",43,"F_25-34",0.000168620415151148,0.025
"92",44,"F_25-34",0.000167187255806801,0.025
"93",45,"F_25-34",0.000155323804470939,0.025
"94",46,"F_25-34",0.000199400481862329,0.025
"95",47,"F_25-34",0.000163381967291765,0.025
"96",48,"F_25-34",0.000169035497558855,0.025
"97",49,"F_25-34",0.000175259571465845,0.025
"98",50,"F_25-34",0.000151692636153838,0.025
"99",51,"F_25-34",0.000169169195003438,0.025
"100",52,"F_25-34",0.000199631911899724,0.025
"101",53,"F_25-34",0.000228479831472633,0.025
"102",54,"F_25-34",0.000206617168464732,0.025
"103",55,"F_25-34",0.000235667045828204,0.025
"104",56,"F_25-34",0.000239453487566995,0.025
"105",57,"F_25-34",0.000223982765088974,0.025
"106",58,"F_25-34",0.000238537491488198,0.025
"107",59,"F_25-34",0.000228988853847594,0.025
"108",60,"F_25-34",0.000254155213151126,0.025
"109",61,"F_25-34",0.000219618405421636,0.025
"110",62,"F_25-34",0.000230274043426498,0.025
"111",63,"F_25-34",0.000217475182900631,0.025
"112",64,"F_25-34",0.000162595858529993,0.025
