"","month","age_sex","value","quantile"
"1",10,"F_15-24",6.0339962750951e-05,0.025
"2",11,"F_15-24",6.07053837608793e-05,0.025
"3",12,"F_15-24",5.68183791493384e-05,0.025
"4",13,"F_15-24",6.96097432589785e-05,0.025
"5",14,"F_15-24",6.6542776686494e-05,0.025
"6",15,"F_15-24",7.19207075891636e-05,0.025
"7",16,"F_15-24",7.77851648293758e-05,0.025
"8",17,"F_15-24",7.7063039688922e-05,0.025
"9",18,"F_15-24",8.84007928047179e-05,0.025
"10",19,"F_15-24",7.32235316319868e-05,0.025
"11",20,"F_15-24",9.25895303209909e-05,0.025
"12",21,"F_15-24",0.000121999861509799,0.025
"13",22,"F_15-24",0.000110390900136986,0.025
"14",23,"F_15-24",0.000130205315147704,0.025
"15",24,"F_15-24",0.000109226948224431,0.025
"16",25,"F_15-24",0.000100341799061085,0.025
"17",26,"F_15-24",0.000125409399016328,0.025
"18",27,"F_15-24",0.000106680496105462,0.025
"19",28,"F_15-24",0.000115603401847429,0.025
"20",29,"F_15-24",0.000113830237185127,0.025
"21",30,"F_15-24",0.000119754360408229,0.025
"22",31,"F_15-24",0.000113567546649104,0.025
"23",32,"F_15-24",0.000129131862877535,0.025
"24",33,"F_15-24",0.000111636740179456,0.025
"25",34,"F_15-24",0.000111607796166536,0.025
"26",35,"F_15-24",0.000107447231639686,0.025
"27",36,"F_15-24",0.000113652918718313,0.025
"28",37,"F_15-24",0.000110695758892179,0.025
"29",38,"F_15-24",0.000129375172522798,0.025
"30",39,"F_15-24",0.000154782269559222,0.025
"31",40,"F_15-24",0.000154997996683358,0.025
"32",41,"F_15-24",0.000137375557279617,0.025
"33",42,"F_15-24",0.000136882390163797,0.025
"34",43,"F_15-24",0.000147200657480228,0.025
"35",44,"F_15-24",0.000153235764163866,0.025
"36",45,"F_15-24",0.000134608540925537,0.025
"37",46,"F_15-24",0.000137465359654561,0.025
"38",47,"F_15-24",0.00016914091490095,0.025
"39",48,"F_15-24",0.000167163812831953,0.025
"40",49,"F_15-24",0.000210993026800703,0.025
"41",50,"F_15-24",0.000179484516690153,0.025
"42",51,"F_15-24",0.000191356625240252,0.025
"43",52,"F_15-24",0.000192393352413619,0.025
"44",53,"F_15-24",0.000175136171426454,0.025
"45",54,"F_15-24",0.000211683278451271,0.025
"46",55,"F_15-24",0.000190180103237745,0.025
"47",56,"F_15-24",0.000190519785761399,0.025
"48",57,"F_15-24",0.000159487972233359,0.025
"49",58,"F_15-24",0.000162576746616881,0.025
"50",59,"F_15-24",0.000198017913016607,0.025
"51",60,"F_15-24",0.000147989492388329,0.025
"52",61,"F_15-24",0.000135552713559631,0.025
"53",62,"F_15-24",0.000155846283886239,0.025
"54",63,"F_15-24",0.00015362622386356,0.025
"55",64,"F_15-24",0.000136191649082391,0.025
"56",65,"F_15-24",0.000127684775300788,0.025
"57",66,"F_15-24",0.000114923480741614,0.025
"58",10,"F_25-34",5.45612462236197e-05,0.025
"59",11,"F_25-34",6.69684103011273e-05,0.025
"60",12,"F_25-34",6.32291632228299e-05,0.025
"61",13,"F_25-34",6.3233739086285e-05,0.025
"62",14,"F_25-34",6.95584572087195e-05,0.025
"63",15,"F_25-34",6.54963377315793e-05,0.025
"64",16,"F_25-34",7.34013684861217e-05,0.025
"65",17,"F_25-34",7.10457931602897e-05,0.025
"66",18,"F_25-34",7.25700947823641e-05,0.025
"67",19,"F_25-34",7.20028614641759e-05,0.025
"68",20,"F_25-34",7.91768758179744e-05,0.025
"69",21,"F_25-34",8.76865641397233e-05,0.025
"70",22,"F_25-34",8.36570477850054e-05,0.025
"71",23,"F_25-34",7.22703855687886e-05,0.025
"72",24,"F_25-34",8.76346149533617e-05,0.025
"73",25,"F_25-34",0.000116936509151565,0.025
"74",26,"F_25-34",0.000105127431508821,0.025
"75",27,"F_25-34",0.000128406908515157,0.025
"76",28,"F_25-34",0.00010853870723032,0.025
"77",29,"F_25-34",0.000123368166140447,0.025
"78",30,"F_25-34",0.000182890084328558,0.025
"79",31,"F_25-34",0.000164890846875046,0.025
"80",32,"F_25-34",0.00015941371715873,0.025
"81",33,"F_25-34",0.000169095129581888,0.025
"82",34,"F_25-34",0.000126914872609444,0.025
"83",35,"F_25-34",0.000132358855445367,0.025
"84",36,"F_25-34",0.000133421774516889,0.025
"85",37,"F_25-34",0.000133104737464494,0.025
"86",38,"F_25-34",0.000162938129741351,0.025
"87",39,"F_25-34",0.000190726280109817,0.025
"88",40,"F_25-34",0.000177459673268517,0.025
"89",41,"F_25-34",0.000193531977924278,0.025
"90",42,"F_25-34",0.000202454026969393,0.025
"91",43,"F_25-34",0.000159537507504488,0.025
"92",44,"F_25-34",0.000155429416701043,0.025
"93",45,"F_25-34",0.000153622745710817,0.025
"94",46,"F_25-34",0.000190138947909468,0.025
"95",47,"F_25-34",0.000157588561485838,0.025
"96",48,"F_25-34",0.000162893331349551,0.025
"97",49,"F_25-34",0.000148443719317774,0.025
"98",50,"F_25-34",0.000157021844884805,0.025
"99",51,"F_25-34",0.00017796434795781,0.025
"100",52,"F_25-34",0.00020400408562472,0.025
"101",53,"F_25-34",0.000212625542058085,0.025
"102",54,"F_25-34",0.000208167941692762,0.025
"103",55,"F_25-34",0.000196656347766799,0.025
"104",56,"F_25-34",0.000190448084913347,0.025
"105",57,"F_25-34",0.000211825080872739,0.025
"106",58,"F_25-34",0.000194253641153306,0.025
"107",59,"F_25-34",0.000205496311971296,0.025
"108",60,"F_25-34",0.000233833347451528,0.025
"109",61,"F_25-34",0.000224792909555168,0.025
"110",62,"F_25-34",0.000220263406208243,0.025
"111",63,"F_25-34",0.000224135977469604,0.025
"112",64,"F_25-34",0.000153263768657131,0.025
"113",65,"F_25-34",0.000135057500349497,0.025
"114",66,"F_25-34",0.000131491917236546,0.025
"115",10,"F_35-44",7.91178222003656e-05,0.025
"116",11,"F_35-44",8.56679012229195e-05,0.025
"117",12,"F_35-44",8.93662958786626e-05,0.025
"118",13,"F_35-44",7.77939181481297e-05,0.025
"119",14,"F_35-44",8.01497957704551e-05,0.025
"120",15,"F_35-44",8.49558648310147e-05,0.025
"121",16,"F_35-44",9.86278059244712e-05,0.025
"122",17,"F_35-44",0.000105024054850566,0.025
"123",18,"F_35-44",0.000102896560740703,0.025
"124",19,"F_35-44",0.000101345336160447,0.025
"125",20,"F_35-44",9.38870509355146e-05,0.025
"126",21,"F_35-44",0.000101615148406822,0.025
"127",22,"F_35-44",0.000124919936178314,0.025
"128",23,"F_35-44",0.000123125793343357,0.025
"129",24,"F_35-44",0.00012108718793295,0.025
"130",25,"F_35-44",0.000143758677341292,0.025
"131",26,"F_35-44",0.000165887364785931,0.025
"132",27,"F_35-44",0.000153221072852693,0.025
"133",28,"F_35-44",0.000144948110084169,0.025
"134",29,"F_35-44",0.000144146687335635,0.025
"135",30,"F_35-44",0.000136259804442794,0.025
"136",31,"F_35-44",0.0001025046588698,0.025
"137",32,"F_35-44",0.000115774497133783,0.025
"138",33,"F_35-44",0.000121986144004209,0.025
"139",34,"F_35-44",0.000127327029606135,0.025
"140",35,"F_35-44",0.00013748690990317,0.025
"141",36,"F_35-44",0.000131310387914217,0.025
"142",37,"F_35-44",0.000141799809080928,0.025
"143",38,"F_35-44",0.000150804172626817,0.025
"144",39,"F_35-44",0.000152751510324217,0.025
"145",40,"F_35-44",0.000166277225049991,0.025
"146",41,"F_35-44",0.000147062047165344,0.025
"147",42,"F_35-44",0.000130608668709321,0.025
"148",43,"F_35-44",0.000115648385448302,0.025
"149",44,"F_35-44",0.000128689860753061,0.025
"150",45,"F_35-44",0.000120119814336939,0.025
"151",46,"F_35-44",0.000120796674728204,0.025
"152",47,"F_35-44",0.000111720709299482,0.025
"153",48,"F_35-44",0.000152231696590891,0.025
"154",49,"F_35-44",0.000131483086479665,0.025
"155",50,"F_35-44",0.000140294879894111,0.025
"156",51,"F_35-44",0.00017182669077179,0.025
"157",52,"F_35-44",0.000172154244756928,0.025
"158",53,"F_35-44",0.000159800721097046,0.025
"159",54,"F_35-44",0.000156033601357968,0.025
"160",55,"F_35-44",0.000151840289191782,0.025
"161",56,"F_35-44",0.00016248161377347,0.025
"162",57,"F_35-44",0.000166510206707835,0.025
"163",58,"F_35-44",0.000156213603317094,0.025
"164",59,"F_35-44",0.0001614325955287,0.025
"165",60,"F_35-44",0.00019693545195298,0.025
