"","month","age_sex","value","quantile"
"1",10,"F_15-24",6.67665402470344e-05,0.025
"2",11,"F_15-24",6.75518508169704e-05,0.025
"3",12,"F_15-24",6.51423520874469e-05,0.025
"4",13,"F_15-24",6.62843553321351e-05,0.025
"5",14,"F_15-24",6.88831761449654e-05,0.025
"6",15,"F_15-24",7.21550817126768e-05,0.025
"7",16,"F_15-24",7.49754389274276e-05,0.025
"8",17,"F_15-24",7.59664250539657e-05,0.025
"9",18,"F_15-24",8.06111923163099e-05,0.025
"10",19,"F_15-24",8.33141681438225e-05,0.025
"11",20,"F_15-24",9.40528840560625e-05,0.025
"12",21,"F_15-24",0.000127016248447044,0.025
"13",22,"F_15-24",0.000126343177532543,0.025
"14",23,"F_15-24",0.000137855186298654,0.025
"15",24,"F_15-24",0.000103006497927973,0.025
"16",25,"F_15-24",0.000110973834777765,0.025
"17",26,"F_15-24",0.00013445757580801,0.025
"18",27,"F_15-24",0.000136883997256687,0.025
"19",28,"F_15-24",0.000119136581991301,0.025
"20",29,"F_15-24",0.000118213433708594,0.025
"21",30,"F_15-24",0.000131412225909299,0.025
"22",31,"F_15-24",0.000130985759078602,0.025
"23",32,"F_15-24",0.000139774262394319,0.025
"24",33,"F_15-24",0.000112073077787838,0.025
"25",34,"F_15-24",0.000119668965304774,0.025
"26",35,"F_15-24",0.000112064479811008,0.025
"27",36,"F_15-24",0.000117262595253597,0.025
"28",37,"F_15-24",0.000105167994385204,0.025
"29",38,"F_15-24",0.000160108777463574,0.025
"30",39,"F_15-24",0.000166093158868758,0.025
"31",40,"F_15-24",0.000165719814638505,0.025
"32",41,"F_15-24",0.000182196978437565,0.025
"33",42,"F_15-24",0.000171063991733425,0.025
"34",43,"F_15-24",0.0001550977424784,0.025
"35",44,"F_15-24",0.000155061429377744,0.025
"36",45,"F_15-24",0.000157814347243557,0.025
"37",46,"F_15-24",0.00016063059017183,0.025
"38",47,"F_15-24",0.00019616579259123,0.025
"39",48,"F_15-24",0.000212209327609202,0.025
"40",49,"F_15-24",0.000203895935758236,0.025
"41",50,"F_15-24",0.000202058661343814,0.025
"42",51,"F_15-24",0.000212971075792808,0.025
"43",52,"F_15-24",0.00026839708741231,0.025
"44",53,"F_15-24",0.000257894673216487,0.025
"45",54,"F_15-24",0.000282863038108116,0.025
"46",55,"F_15-24",0.000227773145803219,0.025
"47",56,"F_15-24",0.000179437206374505,0.025
"48",57,"F_15-24",0.000214745050799568,0.025
"49",58,"F_15-24",0.000206377273502719,0.025
"50",59,"F_15-24",0.000179664152651272,0.025
"51",60,"F_15-24",0.000166039841268483,0.025
"52",61,"F_15-24",0.000180525287231358,0.025
"53",62,"F_15-24",0.00016755703356561,0.025
"54",63,"F_15-24",0.000185812257077916,0.025
"55",64,"F_15-24",0.000139734141295096,0.025
"56",65,"F_15-24",0.000143340197169066,0.025
"57",66,"F_15-24",0.000120153624572202,0.025
"58",10,"F_25-34",6.5573257081846e-05,0.025
"59",11,"F_25-34",6.47974853079276e-05,0.025
"60",12,"F_25-34",6.26014543554268e-05,0.025
"61",13,"F_25-34",7.21734874468381e-05,0.025
"62",14,"F_25-34",8.01660200558177e-05,0.025
"63",15,"F_25-34",7.9411689561566e-05,0.025
"64",16,"F_25-34",6.95663621572881e-05,0.025
"65",17,"F_25-34",7.5459597564522e-05,0.025
"66",18,"F_25-34",7.50329089598979e-05,0.025
"67",19,"F_25-34",8.4103280348524e-05,0.025
"68",20,"F_25-34",8.24930460289557e-05,0.025
"69",21,"F_25-34",7.15841699749303e-05,0.025
