"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000179339758210805,0.025
"2",11,"F_15-24",0.000211995628410271,0.025
"3",12,"F_15-24",0.000280983795762971,0.025
"4",13,"F_15-24",0.000247648199743629,0.025
"5",14,"F_15-24",0.000361157626354914,0.025
"6",15,"F_15-24",0.000309846372729165,0.025
"7",16,"F_15-24",0.000496966197111205,0.025
"8",17,"F_15-24",0.000668604117045584,0.025
"9",18,"F_15-24",0.0009475830354738,0.025
"10",19,"F_15-24",0.00060151588414463,0.025
"11",20,"F_15-24",0.000461488273853337,0.025
"12",21,"F_15-24",0.000507647530377786,0.025
"13",22,"F_15-24",0.000584972429000383,0.025
"14",23,"F_15-24",0.000424052022352261,0.025
"15",24,"F_15-24",0.000328672076314615,0.025
"16",25,"F_15-24",0.00021984490215392,0.025
"17",26,"F_15-24",0.000206152704535854,0.025
"18",27,"F_15-24",0.00022278532070202,0.025
"19",28,"F_15-24",0.000270274368442087,0.025
"20",29,"F_15-24",0.000227829035339679,0.025
"21",30,"F_15-24",0.000185328510641133,0.025
"22",31,"F_15-24",0.00019541192989958,0.025
"23",32,"F_15-24",0.000172033369321562,0.025
"24",33,"F_15-24",0.000143209312484022,0.025
"25",34,"F_15-24",0.00020174856841161,0.025
"26",35,"F_15-24",0.000202080491161262,0.025
"27",36,"F_15-24",0.000191344089405144,0.025
"28",37,"F_15-24",0.000187369365988953,0.025
"29",38,"F_15-24",0.000198287479099139,0.025
"30",39,"F_15-24",0.000188981977355707,0.025
"31",40,"F_15-24",0.000148236397354935,0.025
"32",41,"F_15-24",0.000132062482083391,0.025
"33",42,"F_15-24",0.000151616335012309,0.025
"34",43,"F_15-24",0.000159268607162885,0.025
"35",44,"F_15-24",0.000162449550496691,0.025
"36",45,"F_15-24",0.000153023479365829,0.025
"37",46,"F_15-24",0.000170630470901622,0.025
"38",47,"F_15-24",0.000171359849626098,0.025
"39",48,"F_15-24",0.000173178729865593,0.025
"40",49,"F_15-24",0.000178605256356681,0.025
"41",50,"F_15-24",0.000185683089806919,0.025
"42",51,"F_15-24",0.000163067439974336,0.025
"43",52,"F_15-24",0.00019952760941875,0.025
"44",53,"F_15-24",0.000176632715658518,0.025
"45",54,"F_15-24",0.000182253607560579,0.025
"46",55,"F_15-24",0.000221238353922846,0.025
"47",56,"F_15-24",0.000230007403223389,0.025
"48",57,"F_15-24",0.000248179396783413,0.025
"49",58,"F_15-24",0.000228678241409909,0.025
"50",59,"F_15-24",0.000209544922848726,0.025
"51",60,"F_15-24",0.000226305125276834,0.025
"52",61,"F_15-24",0.000271573134726347,0.025
"53",10,"F_25-34",0.000162074144915144,0.025
"54",11,"F_25-34",0.000208898765754705,0.025
"55",12,"F_25-34",0.000274300213703095,0.025
"56",13,"F_25-34",0.000205749696425791,0.025
"57",14,"F_25-34",0.00027187171418726,0.025
"58",15,"F_25-34",0.000243347465243102,0.025
"59",16,"F_25-34",0.000316981953555347,0.025
"60",17,"F_25-34",0.000721878388715064,0.025
"61",18,"F_25-34",0.000591725954512274,0.025
"62",19,"F_25-34",0.000604225378252763,0.025
"63",20,"F_25-34",0.000997733498059076,0.025
"64",21,"F_25-34",0.000910844188500126,0.025
"65",22,"F_25-34",0.000623212741257817,0.025
"66",23,"F_25-34",0.000328834820221699,0.025
"67",24,"F_25-34",0.000273119827335924,0.025
"68",25,"F_25-34",0.000256140950828909,0.025
"69",26,"F_25-34",0.000208282990408051,0.025
"70",27,"F_25-34",0.00025145179331225,0.025
"71",28,"F_25-34",0.000256348894042864,0.025
"72",29,"F_25-34",0.000223762357023463,0.025
"73",30,"F_25-34",0.000187990642767229,0.025
"74",31,"F_25-34",0.000171540149707237,0.025
"75",32,"F_25-34",0.000193088320869903,0.025
"76",33,"F_25-34",0.000177173250132307,0.025
"77",34,"F_25-34",0.000196486739476727,0.025
"78",35,"F_25-34",0.000177106406817098,0.025
"79",36,"F_25-34",0.000183756427371506,0.025
"80",37,"F_25-34",0.000190269543751658,0.025
"81",38,"F_25-34",0.000147146920103308,0.025
"82",39,"F_25-34",0.000145655294015252,0.025
"83",40,"F_25-34",0.000145013536103525,0.025
"84",41,"F_25-34",0.000154891042915943,0.025
"85",42,"F_25-34",0.00011963244831255,0.025
"86",43,"F_25-34",0.000134655336849319,0.025
"87",44,"F_25-34",0.000164885603822775,0.025
"88",45,"F_25-34",0.000171478972819101,0.025
"89",46,"F_25-34",0.000164613939937085,0.025
"90",47,"F_25-34",0.000175948873282662,0.025
"91",48,"F_25-34",0.000169878673780702,0.025
"92",49,"F_25-34",0.000176837487622682,0.025
"93",50,"F_25-34",0.000192913818564209,0.025
"94",51,"F_25-34",0.000186540669177533,0.025
"95",52,"F_25-34",0.000198909452353548,0.025
"96",53,"F_25-34",0.000175558288230977,0.025
"97",54,"F_25-34",0.000155960442570489,0.025
"98",55,"F_25-34",0.000209801283522259,0.025
"99",56,"F_25-34",0.000231875761437728,0.025
"100",57,"F_25-34",0.000241633481289255,0.025
"101",58,"F_25-34",0.000199318485300636,0.025
"102",59,"F_25-34",0.000219393760664748,0.025
"103",60,"F_25-34",0.000250904191880415,0.025
"104",61,"F_25-34",0.000256145664490116,0.025
"105",10,"F_35-44",0.000159866299751472,0.025
"106",11,"F_35-44",0.000192716703434378,0.025
"107",12,"F_35-44",0.000262465037064278,0.025
"108",13,"F_35-44",0.000341652811836876,0.025
"109",14,"F_35-44",0.000222972397519689,0.025
"110",15,"F_35-44",0.000273290608821244,0.025
"111",16,"F_35-44",0.000339691590667912,0.025
"112",17,"F_35-44",0.000352038344472252,0.025
"113",18,"F_35-44",0.000708356197153308,0.025
"114",19,"F_35-44",0.000749313684654319,0.025
"115",20,"F_35-44",0.000508956602214367,0.025
"116",21,"F_35-44",0.00064203265732872,0.025
"117",22,"F_35-44",0.000675045275655945,0.025
"118",23,"F_35-44",0.000491126166024583,0.025
"119",24,"F_35-44",0.000423994863238471,0.025
"120",25,"F_35-44",0.000420293553881354,0.025
"121",26,"F_35-44",0.00025876388084467,0.025
"122",27,"F_35-44",0.000252031198603392,0.025
"123",28,"F_35-44",0.000259965153904774,0.025
"124",29,"F_35-44",0.000277986235878207,0.025
"125",30,"F_35-44",0.000221512024421779,0.025
