"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000179406457851699,0.025
"2",11,"F_15-24",0.000219935011725342,0.025
"3",12,"F_15-24",0.000257456542809232,0.025
"4",13,"F_15-24",0.000230322336451987,0.025
"5",14,"F_15-24",0.000310624348887497,0.025
"6",15,"F_15-24",0.000298209675967773,0.025
"7",16,"F_15-24",0.000443162266588423,0.025
"8",17,"F_15-24",0.000692376685415226,0.025
"9",18,"F_15-24",0.000870599303692691,0.025
"10",19,"F_15-24",0.000624793193537828,0.025
"11",20,"F_15-24",0.000498589387594842,0.025
"12",21,"F_15-24",0.000551332202016921,0.025
"13",22,"F_15-24",0.000550913974542299,0.025
"14",23,"F_15-24",0.000363538710875655,0.025
"15",24,"F_15-24",0.000329717036584936,0.025
"16",25,"F_15-24",0.000242998472792832,0.025
"17",26,"F_15-24",0.00021198453505581,0.025
"18",27,"F_15-24",0.000217176002550502,0.025
"19",28,"F_15-24",0.00021912625121492,0.025
"20",29,"F_15-24",0.000189457731780614,0.025
"21",30,"F_15-24",0.000192755592696024,0.025
"22",31,"F_15-24",0.000156463179674291,0.025
"23",32,"F_15-24",0.000157548835027153,0.025
"24",33,"F_15-24",0.000146521048704127,0.025
"25",34,"F_15-24",0.00018197910609995,0.025
"26",35,"F_15-24",0.000198536623094851,0.025
"27",36,"F_15-24",0.00018148912494833,0.025
"28",37,"F_15-24",0.000180770611235011,0.025
"29",38,"F_15-24",0.000157568481285884,0.025
"30",39,"F_15-24",0.000166353700291003,0.025
"31",40,"F_15-24",0.000134195401439618,0.025
"32",41,"F_15-24",0.000128624035271084,0.025
"33",42,"F_15-24",0.000138253469343314,0.025
"34",43,"F_15-24",0.000140258284316665,0.025
"35",44,"F_15-24",0.00013540239892037,0.025
"36",45,"F_15-24",0.000144019905397603,0.025
"37",46,"F_15-24",0.000149451211365507,0.025
"38",47,"F_15-24",0.000154568087059269,0.025
"39",48,"F_15-24",0.000144085662080027,0.025
"40",49,"F_15-24",0.000141432341466106,0.025
"41",50,"F_15-24",0.000164135169966468,0.025
"42",51,"F_15-24",0.000156000307170683,0.025
"43",52,"F_15-24",0.000167679988512329,0.025
"44",53,"F_15-24",0.00017643577763878,0.025
"45",54,"F_15-24",0.000159818022002226,0.025
"46",55,"F_15-24",0.000164867177114095,0.025
"47",56,"F_15-24",0.000196144238936059,0.025
"48",57,"F_15-24",0.000175664957056328,0.025
"49",58,"F_15-24",0.000193560632039571,0.025
"50",59,"F_15-24",0.000171800375598899,0.025
"51",60,"F_15-24",0.00024205166236753,0.025
"52",61,"F_15-24",0.000240218714230247,0.025
"53",10,"F_25-34",0.000165985704948175,0.025
"54",11,"F_25-34",0.000194024532957639,0.025
"55",12,"F_25-34",0.000248027046273809,0.025
"56",13,"F_25-34",0.000204071421805266,0.025
"57",14,"F_25-34",0.000253286467588294,0.025
"58",15,"F_25-34",0.000275456723438151,0.025
"59",16,"F_25-34",0.00029287336134951,0.025
"60",17,"F_25-34",0.000711318910079083,0.025
"61",18,"F_25-34",0.000555617286883245,0.025
"62",19,"F_25-34",0.000571475049276151,0.025
"63",20,"F_25-34",0.000924839308102253,0.025
"64",21,"F_25-34",0.0010322620378173,0.025
"65",22,"F_25-34",0.00052536149963352,0.025
"66",23,"F_25-34",0.000308411517354807,0.025
"67",24,"F_25-34",0.000269682850472886,0.025
"68",25,"F_25-34",0.000247229653461362,0.025
"69",26,"F_25-34",0.000206980257232159,0.025
"70",27,"F_25-34",0.000250891239511671,0.025
"71",28,"F_25-34",0.000233561632473733,0.025
"72",29,"F_25-34",0.000222521298139791,0.025
"73",30,"F_25-34",0.000163031639329568,0.025
"74",31,"F_25-34",0.000134487228076589,0.025
"75",32,"F_25-34",0.000190791559641409,0.025
"76",33,"F_25-34",0.000160600142760044,0.025
"77",34,"F_25-34",0.000160680816581692,0.025
"78",35,"F_25-34",0.000189718770277952,0.025
"79",36,"F_25-34",0.00016936058444674,0.025
"80",37,"F_25-34",0.000160424636876685,0.025
"81",38,"F_25-34",0.000127375560453872,0.025
"82",39,"F_25-34",0.000134071489830593,0.025
"83",40,"F_25-34",0.000142312185053225,0.025
"84",41,"F_25-34",0.000144898773097358,0.025
"85",42,"F_25-34",0.000147695065693935,0.025
"86",43,"F_25-34",0.000146060861286938,0.025
"87",44,"F_25-34",0.000132649171733238,0.025
"88",45,"F_25-34",0.000135704543687002,0.025
"89",46,"F_25-34",0.000127845355932932,0.025
"90",47,"F_25-34",0.000151433615914258,0.025
"91",48,"F_25-34",0.000139337993567998,0.025
"92",49,"F_25-34",0.000156897692449419,0.025
"93",50,"F_25-34",0.000149363531182202,0.025
"94",51,"F_25-34",0.000141312956084137,0.025
"95",52,"F_25-34",0.000145956461976066,0.025
"96",53,"F_25-34",0.000148857322811123,0.025
"97",54,"F_25-34",0.000159048131241932,0.025
"98",55,"F_25-34",0.000155392259202758,0.025
"99",56,"F_25-34",0.000182012937072813,0.025
"100",57,"F_25-34",0.000184168164542795,0.025
"101",58,"F_25-34",0.000146248846960181,0.025
"102",59,"F_25-34",0.000168272124293157,0.025
"103",60,"F_25-34",0.00021222377335558,0.025
"104",61,"F_25-34",0.000238465524380147,0.025
"105",10,"F_35-44",0.000175600231381697,0.025
"106",11,"F_35-44",0.000205239576682659,0.025
"107",12,"F_35-44",0.000261019431837142,0.025
"108",13,"F_35-44",0.000270797705874544,0.025
"109",14,"F_35-44",0.000238959370030915,0.025
"110",15,"F_35-44",0.000236544828267245,0.025
"111",16,"F_35-44",0.000285392496641895,0.025
"112",17,"F_35-44",0.000380175670627223,0.025
"113",18,"F_35-44",0.000643906188391752,0.025
"114",19,"F_35-44",0.000733673602575936,0.025
"115",20,"F_35-44",0.000543022987384241,0.025
"116",21,"F_35-44",0.000750841519809254,0.025
"117",22,"F_35-44",0.000674829685473116,0.025
"118",23,"F_35-44",0.000555952072309498,0.025
"119",24,"F_35-44",0.000443208138382,0.025
"120",25,"F_35-44",0.000348732539033757,0.025
"121",26,"F_35-44",0.000249852057404234,0.025
"122",27,"F_35-44",0.000273543935703724,0.025
"123",28,"F_35-44",0.000251231496716078,0.025
"124",29,"F_35-44",0.000265924999188291,0.025
"125",30,"F_35-44",0.000241994246704535,0.025
"126",31,"F_35-44",0.00022006843721079,0.025
"127",32,"F_35-44",0.000232674734747227,0.025
"128",33,"F_35-44",0.000220952198237038,0.025
"129",34,"F_35-44",0.000225350280436202,0.025
"130",35,"F_35-44",0.00019013847097509,0.025
"131",36,"F_35-44",0.000180902861091364,0.025
"132",37,"F_35-44",0.000187405441255079,0.025
"133",38,"F_35-44",0.000172170785781683,0.025
"134",39,"F_35-44",0.000160662204040838,0.025
"135",40,"F_35-44",0.00015291058097517,0.025
"136",41,"F_35-44",0.000151464307951801,0.025
"137",42,"F_35-44",0.000156494349551592,0.025
"138",43,"F_35-44",0.000143514625608711,0.025
"139",44,"F_35-44",0.000161961774882209,0.025
"140",45,"F_35-44",0.000181213671767805,0.025
"141",46,"F_35-44",0.000148886848847545,0.025
"142",47,"F_35-44",0.000157396167657973,0.025
"143",48,"F_35-44",0.0001804383517551,0.025
"144",49,"F_35-44",0.000156772919306892,0.025
"145",50,"F_35-44",0.000150437692671115,0.025
"146",51,"F_35-44",0.000161582953077691,0.025
"147",52,"F_35-44",0.000159352506062557,0.025
"148",53,"F_35-44",0.000162673241973296,0.025
"149",54,"F_35-44",0.000164444988176155,0.025
"150",55,"F_35-44",0.000188508531377658,0.025
"151",56,"F_35-44",0.000249259095965818,0.025
"152",57,"F_35-44",0.000223075092803109,0.025
"153",58,"F_35-44",0.000231042435535768,0.025
"154",59,"F_35-44",0.000244719180563877,0.025
"155",60,"F_35-44",0.000224378994656482,0.025
"156",61,"F_35-44",0.000254248942898603,0.025
"157",10,"F_45-54",0.000487052264376933,0.025
"158",11,"F_45-54",0.000502702464835295,0.025
"159",12,"F_45-54",0.000446626452284782,0.025
"160",13,"F_45-54",0.000267278581666128,0.025
"161",14,"F_45-54",0.00025656576134978,0.025
"162",15,"F_45-54",0.000227571323703536,0.025
"163",16,"F_45-54",0.000304144447003795,0.025
"164",17,"F_45-54",0.000344557785824354,0.025
"165",18,"F_45-54",0.000337215304450237,0.025
"166",19,"F_45-54",0.000362286153920486,0.025
"167",20,"F_45-54",0.000349320060829885,0.025
"168",21,"F_45-54",0.000294812184285251,0.025
"169",22,"F_45-54",0.000278717802553756,0.025
"170",23,"F_45-54",0.000286599274685638,0.025
"171",24,"F_45-54",0.000296135386044247,0.025
"172",25,"F_45-54",0.000278613411487545,0.025
