"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000171874330452528,0.025
"2",11,"F_15-24",0.00020941815052956,0.025
"3",12,"F_15-24",0.000287341507355141,0.025
"4",13,"F_15-24",0.000238165615460958,0.025
"5",14,"F_15-24",0.000295707551238814,0.025
"6",15,"F_15-24",0.000341812657249479,0.025
"7",16,"F_15-24",0.000465397402706041,0.025
"8",17,"F_15-24",0.000649364803832275,0.025
"9",18,"F_15-24",0.000815331834939649,0.025
"10",19,"F_15-24",0.000625722384331966,0.025
"11",20,"F_15-24",0.000488939373753055,0.025
"12",21,"F_15-24",0.000536013736551919,0.025
"13",22,"F_15-24",0.000618876432097057,0.025
"14",23,"F_15-24",0.000404246850283617,0.025
"15",24,"F_15-24",0.000373127150808715,0.025
"16",25,"F_15-24",0.000230287316971304,0.025
"17",26,"F_15-24",0.000232971620637443,0.025
"18",27,"F_15-24",0.000249414171469924,0.025
"19",28,"F_15-24",0.000258114779880313,0.025
"20",29,"F_15-24",0.000223457787997329,0.025
"21",30,"F_15-24",0.000242914623424514,0.025
"22",31,"F_15-24",0.000205733719518438,0.025
"23",32,"F_15-24",0.000184348015621517,0.025
"24",33,"F_15-24",0.000160117686006255,0.025
"25",34,"F_15-24",0.000215174508619628,0.025
"26",35,"F_15-24",0.000206314445246818,0.025
"27",36,"F_15-24",0.000251663649839048,0.025
"28",37,"F_15-24",0.000230571075462036,0.025
"29",38,"F_15-24",0.000208567160080822,0.025
"30",39,"F_15-24",0.000202158043333804,0.025
"31",40,"F_15-24",0.000161831287625998,0.025
"32",41,"F_15-24",0.000165667212332555,0.025
"33",42,"F_15-24",0.000154525257766417,0.025
"34",43,"F_15-24",0.000186551485363061,0.025
"35",44,"F_15-24",0.000179850069399905,0.025
"36",45,"F_15-24",0.000178536250120433,0.025
"37",46,"F_15-24",0.000158521632458359,0.025
"38",47,"F_15-24",0.000176378487668434,0.025
"39",48,"F_15-24",0.000192141601606895,0.025
"40",49,"F_15-24",0.000205445841222907,0.025
"41",50,"F_15-24",0.000196313648154527,0.025
"42",51,"F_15-24",0.000194530123448713,0.025
"43",52,"F_15-24",0.000222159226205504,0.025
"44",53,"F_15-24",0.000194159266474852,0.025
"45",54,"F_15-24",0.000219714494125327,0.025
"46",55,"F_15-24",0.000208726917574931,0.025
"47",56,"F_15-24",0.000210086189140109,0.025
"48",57,"F_15-24",0.000253420441632578,0.025
"49",58,"F_15-24",0.000232022370701245,0.025
"50",59,"F_15-24",0.000204172141442017,0.025
"51",60,"F_15-24",0.000266276721772763,0.025
"52",61,"F_15-24",0.000239096153308051,0.025
"53",10,"F_25-34",0.000191778007379239,0.025
"54",11,"F_25-34",0.000182702961000403,0.025
"55",12,"F_25-34",0.000277090873570808,0.025
"56",13,"F_25-34",0.000205209392251373,0.025
"57",14,"F_25-34",0.00027741875438166,0.025
"58",15,"F_25-34",0.000257725015845601,0.025
"59",16,"F_25-34",0.000297105584449745,0.025
"60",17,"F_25-34",0.000728667939331932,0.025
"61",18,"F_25-34",0.000630845954440636,0.025
"62",19,"F_25-34",0.000588910256828998,0.025
"63",20,"F_25-34",0.000900319187389078,0.025
"64",21,"F_25-34",0.0010175339635866,0.025
"65",22,"F_25-34",0.000627807905583948,0.025
"66",23,"F_25-34",0.000360123606198926,0.025
"67",24,"F_25-34",0.000287266310561581,0.025
"68",25,"F_25-34",0.000267982770822828,0.025
