"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000147692916645631,0.025
"2",11,"F_15-24",0.000209364586066242,0.025
"3",12,"F_15-24",0.000261566909683361,0.025
"4",13,"F_15-24",0.000255440196404061,0.025
"5",14,"F_15-24",0.000269232644149557,0.025
"6",15,"F_15-24",0.00026792058509016,0.025
"7",16,"F_15-24",0.00035063291552619,0.025
"8",17,"F_15-24",0.000370472856786529,0.025
"9",18,"F_15-24",0.000355026329586355,0.025
"10",19,"F_15-24",0.000323105398965071,0.025
"11",20,"F_15-24",0.000292352034753719,0.025
"12",21,"F_15-24",0.000350578527849817,0.025
"13",22,"F_15-24",0.000323640020999037,0.025
"14",23,"F_15-24",0.000256079679083592,0.025
"15",24,"F_15-24",0.000219135410267669,0.025
"16",25,"F_15-24",0.000200994193535247,0.025
"17",26,"F_15-24",0.000150812832773214,0.025
"18",27,"F_15-24",0.000174919187419007,0.025
"19",28,"F_15-24",0.000157280960157578,0.025
"20",29,"F_15-24",0.000191126506773675,0.025
"21",30,"F_15-24",0.000198744165667379,0.025
"22",31,"F_15-24",0.000168977914915314,0.025
"23",32,"F_15-24",0.000171502230508391,0.025
"24",33,"F_15-24",0.000170611477286798,0.025
"25",34,"F_15-24",0.000149244036382613,0.025
"26",35,"F_15-24",0.000147131371937338,0.025
"27",36,"F_15-24",0.000120635606489197,0.025
"28",37,"F_15-24",0.000144012076313705,0.025
"29",38,"F_15-24",0.00017109519248241,0.025
"30",39,"F_15-24",0.000187368470587293,0.025
"31",40,"F_15-24",0.00017998502360551,0.025
"32",41,"F_15-24",0.000187572267846184,0.025
"33",42,"F_15-24",0.000181701606188788,0.025
"34",43,"F_15-24",0.000211642012652501,0.025
"35",44,"F_15-24",0.000221154145800238,0.025
"36",45,"F_15-24",0.000198627047958718,0.025
"37",46,"F_15-24",0.000203690424841512,0.025
"38",47,"F_15-24",0.000282197927588137,0.025
"39",48,"F_15-24",0.000277351628082503,0.025
"40",49,"F_15-24",0.000233436068653678,0.025
"41",50,"F_15-24",0.000310206210973262,0.025
"42",51,"F_15-24",0.000318832204862083,0.025
"43",52,"F_15-24",0.000321544193905733,0.025
"44",53,"F_15-24",0.000333256276551264,0.025
"45",54,"F_15-24",0.000398110299540005,0.025
"46",55,"F_15-24",0.000285556329104283,0.025
"47",56,"F_15-24",0.000307565631686673,0.025
"48",57,"F_15-24",0.000263715756670002,0.025
"49",58,"F_15-24",0.000278874179064434,0.025
"50",59,"F_15-24",0.000282035066435922,0.025
"51",60,"F_15-24",0.000209562984508076,0.025
"52",61,"F_15-24",0.000224053909507358,0.025
"53",62,"F_15-24",0.000205441352520565,0.025
"54",63,"F_15-24",0.000213603131643159,0.025
"55",64,"F_15-24",0.000242669197146005,0.025
"56",65,"F_15-24",0.000230741367453597,0.025
"57",10,"F_25-34",0.000170855224448371,0.025
"58",11,"F_25-34",0.000174479361383322,0.025
"59",12,"F_25-34",0.000198759161818206,0.025
"60",13,"F_25-34",0.00023644780168599,0.025
"61",14,"F_25-34",0.000221325609136588,0.025
"62",15,"F_25-34",0.000251733686668645,0.025
"63",16,"F_25-34",0.000351640522742336,0.025
"64",17,"F_25-34",0.000355772224466207,0.025
"65",18,"F_25-34",0.000415648656923254,0.025
"66",19,"F_25-34",0.000359501935898139,0.025
"67",20,"F_25-34",0.000601702925953197,0.025
"68",21,"F_25-34",0.000373234386328947,0.025
"69",22,"F_25-34",0.00031893568539945,0.025
"70",23,"F_25-34",0.000297483742844085,0.025
"71",24,"F_25-34",0.000259282846116349,0.025
"72",25,"F_25-34",0.000204463312610137,0.025
"73",26,"F_25-34",0.000220365413196536,0.025
"74",27,"F_25-34",0.000195580320986209,0.025
"75",28,"F_25-34",0.000225782219813238,0.025
"76",29,"F_25-34",0.00017889577795576,0.025
"77",30,"F_25-34",0.00019567341050037,0.025
"78",31,"F_25-34",0.000183720947162852,0.025
"79",32,"F_25-34",0.000181367835055446,0.025
"80",33,"F_25-34",0.000151988582442512,0.025
"81",34,"F_25-34",0.00016274331444096,0.025
"82",35,"F_25-34",0.000189557369812321,0.025
"83",36,"F_25-34",0.000182373217752253,0.025
"84",37,"F_25-34",0.000150085721117232,0.025
"85",38,"F_25-34",0.000194959475601658,0.025
"86",39,"F_25-34",0.000166103267365612,0.025
"87",40,"F_25-34",0.000175668255233646,0.025
"88",41,"F_25-34",0.000177656633285884,0.025
"89",42,"F_25-34",0.000182168282843697,0.025
"90",43,"F_25-34",0.000232185464097984,0.025
"91",44,"F_25-34",0.000222597442714842,0.025
"92",45,"F_25-34",0.000227340158394373,0.025
"93",46,"F_25-34",0.000221981761230876,0.025
"94",47,"F_25-34",0.000226668899298273,0.025
"95",48,"F_25-34",0.000254513323964181,0.025
"96",49,"F_25-34",0.000261494934264075,0.025
"97",50,"F_25-34",0.000275241103989528,0.025
"98",51,"F_25-34",0.00028709167002385,0.025
"99",52,"F_25-34",0.000272205551866622,0.025
"100",53,"F_25-34",0.000264925809296459,0.025
"101",54,"F_25-34",0.000284678560378223,0.025
"102",55,"F_25-34",0.000303354350968885,0.025
"103",56,"F_25-34",0.000369130051750783,0.025
"104",57,"F_25-34",0.00034757565644359,0.025
"105",58,"F_25-34",0.000377717372705912,0.025
"106",59,"F_25-34",0.000376865359251811,0.025
"107",60,"F_25-34",0.000361332412381604,0.025
"108",61,"F_25-34",0.000360511995819518,0.025
"109",62,"F_25-34",0.000381891818112487,0.025
"110",63,"F_25-34",0.00034648432584167,0.025
"111",64,"F_25-34",0.00028366387353346,0.025
"112",65,"F_25-34",0.000240465526864953,0.025
"113",10,"F_35-44",0.000252508694414209,0.025
"114",11,"F_35-44",0.000207752915850808,0.025
"115",12,"F_35-44",0.000177271472436788,0.025
"116",13,"F_35-44",0.000189793419933498,0.025
"117",14,"F_35-44",0.000224141238130215,0.025
"118",15,"F_35-44",0.000205818593025741,0.025
"119",16,"F_35-44",0.000389349410610665,0.025
"120",17,"F_35-44",0.000375375908577197,0.025
"121",18,"F_35-44",0.00033970118139685,0.025
"122",19,"F_35-44",0.000323770887047598,0.025
"123",20,"F_35-44",0.000356760727516981,0.025
"124",21,"F_35-44",0.000421919986770364,0.025
"125",22,"F_35-44",0.000371607605986263,0.025
"126",23,"F_35-44",0.000319977850589091,0.025
"127",24,"F_35-44",0.000312506962390573,0.025
"128",25,"F_35-44",0.000206158071868832,0.025
"129",26,"F_35-44",0.000206218433721317,0.025
"130",27,"F_35-44",0.000199136375093686,0.025
"131",28,"F_35-44",0.000209668554791741,0.025
"132",29,"F_35-44",0.000215624049204062,0.025
"133",30,"F_35-44",0.000197824967190553,0.025
"134",31,"F_35-44",0.000179874407574959,0.025
"135",32,"F_35-44",0.000190379129560598,0.025
"136",33,"F_35-44",0.000200825870635188,0.025
"137",34,"F_35-44",0.000211717985353226,0.025
"138",35,"F_35-44",0.000193709514685053,0.025
"139",36,"F_35-44",0.000226839432557189,0.025
"140",37,"F_35-44",0.000231971012384486,0.025
"141",38,"F_35-44",0.000253921329974179,0.025
"142",39,"F_35-44",0.000267493850366932,0.025
"143",40,"F_35-44",0.000267181243391211,0.025
"144",41,"F_35-44",0.000272657965966768,0.025
"145",42,"F_35-44",0.000237485410330577,0.025
"146",43,"F_35-44",0.000228998876036106,0.025
"147",44,"F_35-44",0.000290456453028245,0.025
"148",45,"F_35-44",0.000245931162926979,0.025
"149",46,"F_35-44",0.000243306042047271,0.025
"150",47,"F_35-44",0.000355528274543615,0.025
"151",48,"F_35-44",0.000322176038010032,0.025
"152",49,"F_35-44",0.000336480347839739,0.025
"153",50,"F_35-44",0.00030840434339303,0.025
"154",51,"F_35-44",0.000325416272577463,0.025
"155",52,"F_35-44",0.000309837379296049,0.025
"156",53,"F_35-44",0.000368615665114459,0.025
"157",54,"F_35-44",0.000363183829639928,0.025
"158",55,"F_35-44",0.000371887098758995,0.025
"159",56,"F_35-44",0.000347773760278152,0.025
"160",57,"F_35-44",0.000357457789283256,0.025
"161",58,"F_35-44",0.000347260653288651,0.025
"162",59,"F_35-44",0.000348239489827769,0.025
