"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000156069187907808,0.025
"2",11,"F_15-24",0.00018622851434931,0.025
"3",12,"F_15-24",0.000229749220381707,0.025
"4",13,"F_15-24",0.000261284906210391,0.025
"5",14,"F_15-24",0.000258218952956715,0.025
"6",15,"F_15-24",0.000280112411759279,0.025
"7",16,"F_15-24",0.000420479062499274,0.025
"8",17,"F_15-24",0.000378886335333902,0.025
"9",18,"F_15-24",0.000358624067319738,0.025
"10",19,"F_15-24",0.000293714936435586,0.025
"11",20,"F_15-24",0.000325421750205485,0.025
"12",21,"F_15-24",0.000300883783167104,0.025
"13",22,"F_15-24",0.000325416703534604,0.025
"14",23,"F_15-24",0.000305631747336066,0.025
"15",24,"F_15-24",0.000257066425127373,0.025
"16",25,"F_15-24",0.00018577424207732,0.025
"17",26,"F_15-24",0.000166686150108618,0.025
"18",27,"F_15-24",0.000150988639385406,0.025
"19",28,"F_15-24",0.000153271033811495,0.025
"20",29,"F_15-24",0.000165291178503394,0.025
"21",30,"F_15-24",0.0002109091981794,0.025
"22",31,"F_15-24",0.000183215632240116,0.025
"23",32,"F_15-24",0.00017354815266872,0.025
"24",33,"F_15-24",0.000152755661729754,0.025
"25",34,"F_15-24",0.000150587879258608,0.025
"26",35,"F_15-24",0.000122910477451095,0.025
"27",36,"F_15-24",0.000128654847851797,0.025
"28",37,"F_15-24",0.000115573278553653,0.025
"29",38,"F_15-24",0.000135887593528498,0.025
"30",39,"F_15-24",0.000180298686278406,0.025
"31",40,"F_15-24",0.000161551069090137,0.025
"32",41,"F_15-24",0.000159522924243044,0.025
"33",42,"F_15-24",0.000172643665018638,0.025
"34",43,"F_15-24",0.000182460365924093,0.025
"35",44,"F_15-24",0.00017978825204722,0.025
"36",45,"F_15-24",0.000166144744421439,0.025
"37",46,"F_15-24",0.000191442619529557,0.025
"38",47,"F_15-24",0.000208815746724671,0.025
"39",48,"F_15-24",0.000195951231993838,0.025
"40",49,"F_15-24",0.000206225487039004,0.025
"41",50,"F_15-24",0.000254610410637959,0.025
"42",51,"F_15-24",0.000268439226824998,0.025
"43",52,"F_15-24",0.000297295864402904,0.025
"44",53,"F_15-24",0.000274002237012843,0.025
"45",54,"F_15-24",0.000310935741240262,0.025
"46",55,"F_15-24",0.000248647540019826,0.025
"47",56,"F_15-24",0.00024709619550974,0.025
"48",57,"F_15-24",0.000227458560659079,0.025
"49",58,"F_15-24",0.000234771285595478,0.025
"50",59,"F_15-24",0.000212341703552504,0.025
"51",60,"F_15-24",0.000208029021860136,0.025
"52",61,"F_15-24",0.000203845584837562,0.025
"53",62,"F_15-24",0.000193967835523269,0.025
"54",63,"F_15-24",0.00018490701688759,0.025
"55",64,"F_15-24",0.000250099083025486,0.025
"56",65,"F_15-24",0.00020728001016471,0.025
"57",10,"F_25-34",0.000181399886644004,0.025
"58",11,"F_25-34",0.000143492612166762,0.025
"59",12,"F_25-34",0.000228764881404244,0.025
"60",13,"F_25-34",0.000205094045111551,0.025
"61",14,"F_25-34",0.000244044330116703,0.025
"62",15,"F_25-34",0.000260377653070945,0.025
"63",16,"F_25-34",0.000394215273662885,0.025
"64",17,"F_25-34",0.000364710208142902,0.025
"65",18,"F_25-34",0.000371377396561247,0.025
"66",19,"F_25-34",0.000370775347223719,0.025
"67",20,"F_25-34",0.000544717494756144,0.025
"68",21,"F_25-34",0.000385510524692429,0.025
"69",22,"F_25-34",0.000306466940158195,0.025
"70",23,"F_25-34",0.000346207162512857,0.025
"71",24,"F_25-34",0.000255870109331245,0.025
"72",25,"F_25-34",0.000223546250216643,0.025
"73",26,"F_25-34",0.000214251948014278,0.025
"74",27,"F_25-34",0.000206146429668525,0.025
"75",28,"F_25-34",0.000192786240036423,0.025
"76",29,"F_25-34",0.000177719338110063,0.025
"77",30,"F_25-34",0.000159756853210962,0.025
"78",31,"F_25-34",0.000152584409736787,0.025
"79",32,"F_25-34",0.000175395223754159,0.025
"80",33,"F_25-34",0.000162071935598369,0.025
"81",34,"F_25-34",0.000160402531158872,0.025
"82",35,"F_25-34",0.000168836863116705,0.025
"83",36,"F_25-34",0.00015048431952375,0.025
"84",37,"F_25-34",0.000150403751287971,0.025
"85",38,"F_25-34",0.0001645066681699,0.025
"86",39,"F_25-34",0.000166673901702035,0.025
"87",40,"F_25-34",0.000164623310225945,0.025
"88",41,"F_25-34",0.000155761576946936,0.025
"89",42,"F_25-34",0.000157818837105809,0.025
"90",43,"F_25-34",0.000229726740420453,0.025
"91",44,"F_25-34",0.000213159168531748,0.025
"92",45,"F_25-34",0.000225927637549013,0.025
"93",46,"F_25-34",0.000213213068349753,0.025
"94",47,"F_25-34",0.000222248047343222,0.025
"95",48,"F_25-34",0.000211813879727786,0.025
"96",49,"F_25-34",0.00022951905356711,0.025
"97",50,"F_25-34",0.000230790149756957,0.025
"98",51,"F_25-34",0.000245387635576255,0.025
"99",52,"F_25-34",0.000246865691043578,0.025
"100",53,"F_25-34",0.000250651989220153,0.025
"101",54,"F_25-34",0.00022071221200589,0.025
"102",55,"F_25-34",0.000250980529157972,0.025
"103",56,"F_25-34",0.000265621563284413,0.025
"104",57,"F_25-34",0.000271094383088694,0.025
"105",58,"F_25-34",0.000283653606701963,0.025
"106",59,"F_25-34",0.000354490325573922,0.025
"107",60,"F_25-34",0.000285801202186391,0.025
"108",61,"F_25-34",0.0003299640341216,0.025
"109",62,"F_25-34",0.000311144524942239,0.025
"110",63,"F_25-34",0.000351713875380476,0.025
"111",64,"F_25-34",0.000239220035430932,0.025
"112",65,"F_25-34",0.000216551987757546,0.025
"113",10,"F_35-44",0.000244819599337741,0.025
"114",11,"F_35-44",0.00018982219885607,0.025
"115",12,"F_35-44",0.000174699060229089,0.025
"116",13,"F_35-44",0.000188884597758052,0.025
"117",14,"F_35-44",0.000190369238771688,0.025
"118",15,"F_35-44",0.000208218400142162,0.025
"119",16,"F_35-44",0.000345446865349791,0.025
"120",17,"F_35-44",0.00030742263771945,0.025
"121",18,"F_35-44",0.000304039259083035,0.025
"122",19,"F_35-44",0.000302454465192605,0.025
"123",20,"F_35-44",0.000415571702313086,0.025
"124",21,"F_35-44",0.000427281356137594,0.025
"125",22,"F_35-44",0.000365357731211864,0.025
"126",23,"F_35-44",0.000323171159948397,0.025
"127",24,"F_35-44",0.000323097045896952,0.025
"128",25,"F_35-44",0.000221672650703094,0.025
"129",26,"F_35-44",0.000229467442003412,0.025
"130",27,"F_35-44",0.000196809021132518,0.025
"131",28,"F_35-44",0.000189872106241753,0.025
"132",29,"F_35-44",0.000199535491255092,0.025
"133",30,"F_35-44",0.000169991528221413,0.025
"134",31,"F_35-44",0.000188880140588435,0.025
"135",32,"F_35-44",0.000170852726534555,0.025
"136",33,"F_35-44",0.00021760058315367,0.025
"137",34,"F_35-44",0.000169994990216239,0.025
"138",35,"F_35-44",0.000204881497877884,0.025
"139",36,"F_35-44",0.000231054172962318,0.025
"140",37,"F_35-44",0.00020502067571305,0.025
"141",38,"F_35-44",0.000226864098495886,0.025
"142",39,"F_35-44",0.000242942240007202,0.025
"143",40,"F_35-44",0.000236911177408439,0.025
"144",41,"F_35-44",0.000251453264581992,0.025
"145",42,"F_35-44",0.000216876123464596,0.025
"146",43,"F_35-44",0.000251479775832005,0.025
"147",44,"F_35-44",0.000248558061900579,0.025
"148",45,"F_35-44",0.000189609152355941,0.025
"149",46,"F_35-44",0.000235178376494882,0.025
"150",47,"F_35-44",0.000259434660837011,0.025
"151",48,"F_35-44",0.00025703205818051,0.025
"152",49,"F_35-44",0.000280239498186657,0.025
"153",50,"F_35-44",0.000275196264478447,0.025
"154",51,"F_35-44",0.000319080201237297,0.025
"155",52,"F_35-44",0.000282887515968587,0.025
"156",53,"F_35-44",0.000282006776069507,0.025
"157",54,"F_35-44",0.000294178015505152,0.025
"158",55,"F_35-44",0.000307256119716644,0.025
"159",56,"F_35-44",0.000317003295935394,0.025
"160",57,"F_35-44",0.00032343689171216,0.025
"161",58,"F_35-44",0.000324040937156083,0.025
"162",59,"F_35-44",0.000264341492719569,0.025
"163",60,"F_35-44",0.000311422141202659,0.025
"164",61,"F_35-44",0.000297510245448132,0.025
"165",62,"F_35-44",0.000356065011383279,0.025
"166",63,"F_35-44",0.00028373613399094,0.025
"167",64,"F_35-44",0.0002985611222872,0.025
"168",65,"F_35-44",0.000275988164830062,0.025
"169",10,"F_45-54",0.000160484667543348,0.025
"170",11,"F_45-54",0.000191639896760814,0.025
"171",12,"F_45-54",0.000264806291389533,0.025
"172",13,"F_45-54",0.000290908322039349,0.025
"173",14,"F_45-54",0.000231803080452236,0.025
"174",15,"F_45-54",0.000242583449061184,0.025
"175",16,"F_45-54",0.000474154947630867,0.025
"176",17,"F_45-54",0.000298654494779624,0.025
"177",18,"F_45-54",0.00031054146030708,0.025
"178",19,"F_45-54",0.000312438808845209,0.025
"179",20,"F_45-54",0.000327259360615382,0.025
"180",21,"F_45-54",0.000296067766782628,0.025
"181",22,"F_45-54",0.000249412436469015,0.025
"182",23,"F_45-54",0.000256141920120137,0.025
"183",24,"F_45-54",0.000200990555903944,0.025
"184",25,"F_45-54",0.000184197125632573,0.025
"185",26,"F_45-54",0.000191012316807558,0.025
"186",27,"F_45-54",0.000212719165607288,0.025
"187",28,"F_45-54",0.000209847327803197,0.025
"188",29,"F_45-54",0.000201329074282249,0.025
"189",30,"F_45-54",0.000304732442697414,0.025
"190",31,"F_45-54",0.000274544655110755,0.025
"191",32,"F_45-54",0.000275356365424716,0.025
"192",33,"F_45-54",0.000259106112276884,0.025
"193",34,"F_45-54",0.000227663370727924,0.025
"194",35,"F_45-54",0.000201105249659274,0.025
"195",36,"F_45-54",0.000216525552429439,0.025
"196",37,"F_45-54",0.000192904199611279,0.025
"197",38,"F_45-54",0.000182373320386707,0.025
"198",39,"F_45-54",0.000186087953938759,0.025
"199",40,"F_45-54",0.000192634712910271,0.025
"200",41,"F_45-54",0.000199261020813874,0.025
"201",42,"F_45-54",0.000208136844204769,0.025
"202",43,"F_45-54",0.000174240055285642,0.025
"203",44,"F_45-54",0.00017008672057393,0.025
"204",45,"F_45-54",0.000177326131830977,0.025
"205",46,"F_45-54",0.000178152690862719,0.025
"206",47,"F_45-54",0.000237630332542491,0.025
"207",48,"F_45-54",0.000192314423452141,0.025
"208",49,"F_45-54",0.000210929242323521,0.025
"209",50,"F_45-54",0.000193627676141839,0.025
"210",51,"F_45-54",0.000216345982076061,0.025
"211",52,"F_45-54",0.000231220695560449,0.025
"212",53,"F_45-54",0.000219781858654595,0.025
"213",54,"F_45-54",0.000234641830275843,0.025
"214",55,"F_45-54",0.000221135972165983,0.025
"215",56,"F_45-54",0.000271627609620306,0.025
"216",57,"F_45-54",0.000260897249546982,0.025
"217",58,"F_45-54",0.000270455565330068,0.025
"218",59,"F_45-54",0.000356054385138062,0.025
"219",60,"F_45-54",0.000258191140746423,0.025
"220",61,"F_45-54",0.000252477660086293,0.025
"221",62,"F_45-54",0.000271798161924837,0.025
"222",63,"F_45-54",0.000249857071597531,0.025
"223",64,"F_45-54",0.000200526544897722,0.025
"224",65,"F_45-54",0.000228514263230616,0.025
"225",10,"F_55-69",0.000147236178242791,0.025
"226",11,"F_55-69",0.000137890115770195,0.025
"227",12,"F_55-69",0.000156113359357794,0.025
"228",13,"F_55-69",0.000155053966029121,0.025
"229",14,"F_55-69",0.000149277090073812,0.025
"230",15,"F_55-69",0.000145583767796721,0.025
"231",16,"F_55-69",0.000150116951547999,0.025
"232",17,"F_55-69",0.0001458904164948,0.025
"233",18,"F_55-69",0.000171625529415565,0.025
"234",19,"F_55-69",0.000141676260335484,0.025
"235",20,"F_55-69",0.00016257193614573,0.025
"236",21,"F_55-69",0.000156168467041776,0.025
"237",22,"F_55-69",0.000169842063197913,0.025
"238",23,"F_55-69",0.000177424275377474,0.025
"239",24,"F_55-69",0.0001674924160535,0.025
"240",25,"F_55-69",0.000152696918585688,0.025
"241",26,"F_55-69",0.000170077587991799,0.025
"242",27,"F_55-69",0.000171777800147827,0.025
"243",28,"F_55-69",0.000166161471847144,0.025
"244",29,"F_55-69",0.000173468429428618,0.025
"245",30,"F_55-69",0.000186363038710506,0.025
"246",31,"F_55-69",0.000168905181247496,0.025
"247",32,"F_55-69",0.000173815483054425,0.025
"248",33,"F_55-69",0.000188457761515511,0.025
"249",34,"F_55-69",0.000164141866487983,0.025
"250",35,"F_55-69",0.000175636125363677,0.025
"251",36,"F_55-69",0.000176521783710402,0.025
"252",37,"F_55-69",0.000145672463181702,0.025
"253",38,"F_55-69",0.000155729862445397,0.025
"254",39,"F_55-69",0.000150745539098291,0.025
"255",40,"F_55-69",0.00016564348738548,0.025
"256",41,"F_55-69",0.000160317081782804,0.025
"257",42,"F_55-69",0.000163482866763634,0.025
"258",43,"F_55-69",0.000155331220474398,0.025
"259",44,"F_55-69",0.000142807820831717,0.025
"260",45,"F_55-69",0.000157622949970131,0.025
"261",46,"F_55-69",0.00013145348778611,0.025
"262",47,"F_55-69",0.000156742022133487,0.025
"263",48,"F_55-69",0.000152363951456377,0.025
"264",49,"F_55-69",0.000172716867604728,0.025
"265",50,"F_55-69",0.000149909430104514,0.025
"266",51,"F_55-69",0.00015870712144302,0.025
"267",52,"F_55-69",0.000182846757226732,0.025
"268",53,"F_55-69",0.000156489819632253,0.025
"269",54,"F_55-69",0.000174759825909003,0.025
"270",55,"F_55-69",0.000144096655387721,0.025
"271",56,"F_55-69",0.000170902089629059,0.025
"272",57,"F_55-69",0.000185456252437125,0.025
"273",58,"F_55-69",0.000181393300664026,0.025
"274",59,"F_55-69",0.000179387118580201,0.025
