"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000136582944825382,0.025
"2",11,"F_15-24",0.000209072165748713,0.025
"3",12,"F_15-24",0.000237670778470059,0.025
"4",13,"F_15-24",0.000284910649310802,0.025
"5",14,"F_15-24",0.000279068333477757,0.025
"6",15,"F_15-24",0.000272205958929928,0.025
"7",16,"F_15-24",0.000327523099865979,0.025
"8",17,"F_15-24",0.000391578261635359,0.025
"9",18,"F_15-24",0.000412313127752406,0.025
"10",19,"F_15-24",0.000352208811692579,0.025
"11",20,"F_15-24",0.000280856446927077,0.025
"12",21,"F_15-24",0.000349011779128951,0.025
"13",22,"F_15-24",0.000344382100826096,0.025
"14",23,"F_15-24",0.000309504798127332,0.025
"15",24,"F_15-24",0.000293711181341713,0.025
"16",25,"F_15-24",0.000223251597676502,0.025
"17",26,"F_15-24",0.000172721118474846,0.025
"18",27,"F_15-24",0.000182269437115852,0.025
"19",28,"F_15-24",0.000165106862989423,0.025
"20",29,"F_15-24",0.00018529345587033,0.025
"21",30,"F_15-24",0.000242189366157403,0.025
"22",31,"F_15-24",0.000201515937135853,0.025
"23",32,"F_15-24",0.000205878992726309,0.025
"24",33,"F_15-24",0.000169824796149431,0.025
"25",34,"F_15-24",0.000148459953598274,0.025
"26",35,"F_15-24",0.000146570496867728,0.025
"27",36,"F_15-24",0.000129306420571703,0.025
"28",37,"F_15-24",0.000139951672817749,0.025
"29",38,"F_15-24",0.000174547209480316,0.025
"30",39,"F_15-24",0.000214803520307119,0.025
"31",40,"F_15-24",0.000187612599447652,0.025
"32",41,"F_15-24",0.000198170852273193,0.025
"33",42,"F_15-24",0.000190417513760839,0.025
"34",43,"F_15-24",0.000235201639381937,0.025
"35",44,"F_15-24",0.000220669048121165,0.025
"36",45,"F_15-24",0.000234706737841151,0.025
"37",46,"F_15-24",0.000255427784972589,0.025
"38",47,"F_15-24",0.000312180398044277,0.025
"39",48,"F_15-24",0.000273206682782214,0.025
"40",49,"F_15-24",0.0002264804313174,0.025
"41",50,"F_15-24",0.00031259732699456,0.025
"42",51,"F_15-24",0.000354103029509371,0.025
"43",52,"F_15-24",0.000357926734612907,0.025
"44",53,"F_15-24",0.000327735541181765,0.025
"45",54,"F_15-24",0.000448761771612085,0.025
"46",55,"F_15-24",0.000252943728924383,0.025
"47",56,"F_15-24",0.00031816465634404,0.025
"48",57,"F_15-24",0.000279821883980481,0.025
"49",58,"F_15-24",0.000321409050664331,0.025
"50",59,"F_15-24",0.000317051035462241,0.025
"51",60,"F_15-24",0.00026702116369669,0.025
"52",61,"F_15-24",0.000222786542325807,0.025
"53",62,"F_15-24",0.000238512737411699,0.025
"54",63,"F_15-24",0.000225949183775846,0.025
"55",64,"F_15-24",0.000278456831393152,0.025
"56",65,"F_15-24",0.000233848149088085,0.025
"57",10,"F_25-34",0.000171412271558658,0.025
"58",11,"F_25-34",0.000141363488980758,0.025
"59",12,"F_25-34",0.00022990707473772,0.025
"60",13,"F_25-34",0.000210798270404456,0.025
"61",14,"F_25-34",0.000265485195198324,0.025
"62",15,"F_25-34",0.000257179650608273,0.025
"63",16,"F_25-34",0.000379177757185147,0.025
"64",17,"F_25-34",0.000389734230214812,0.025
"65",18,"F_25-34",0.000382376121991381,0.025
"66",19,"F_25-34",0.000389569561485534,0.025
"67",20,"F_25-34",0.00058630173287567,0.025
"68",21,"F_25-34",0.000388565345519538,0.025
"69",22,"F_25-34",0.000363706812176404,0.025
"70",23,"F_25-34",0.000345944219125767,0.025
"71",24,"F_25-34",0.000267812838901094,0.025
"72",25,"F_25-34",0.000239373743044426,0.025
"73",26,"F_25-34",0.000224882364168375,0.025
"74",27,"F_25-34",0.000229157069937857,0.025
"75",28,"F_25-34",0.000236013042828934,0.025
"76",29,"F_25-34",0.000196251530891014,0.025
"77",30,"F_25-34",0.000192094742341865,0.025
"78",31,"F_25-34",0.000167312318574821,0.025
"79",32,"F_25-34",0.000195064887382038,0.025
"80",33,"F_25-34",0.000172378519564489,0.025
"81",34,"F_25-34",0.000190739523670925,0.025
"82",35,"F_25-34",0.000190947891646429,0.025
"83",36,"F_25-34",0.000171468777010373,0.025
"84",37,"F_25-34",0.000192994035470233,0.025
"85",38,"F_25-34",0.000193711957689534,0.025
"86",39,"F_25-34",0.000220491440182804,0.025
"87",40,"F_25-34",0.00020959602723277,0.025
"88",41,"F_25-34",0.000186863461961062,0.025
"89",42,"F_25-34",0.000195260963002535,0.025
"90",43,"F_25-34",0.000276782023054857,0.025
"91",44,"F_25-34",0.000244184178147115,0.025
"92",45,"F_25-34",0.000227690646817326,0.025
"93",46,"F_25-34",0.00024304579492336,0.025
"94",47,"F_25-34",0.000305678305747064,0.025
"95",48,"F_25-34",0.000281690434489182,0.025
"96",49,"F_25-34",0.000259776341368095,0.025
"97",50,"F_25-34",0.000285234129515797,0.025
"98",51,"F_25-34",0.000300187577045698,0.025
"99",52,"F_25-34",0.000329114040270986,0.025
"100",53,"F_25-34",0.000301788737897765,0.025
"101",54,"F_25-34",0.000297372336070517,0.025
"102",55,"F_25-34",0.000347707590977301,0.025
"103",56,"F_25-34",0.000413501358021749,0.025
"104",57,"F_25-34",0.000365002500643073,0.025
"105",58,"F_25-34",0.000422209354728678,0.025
"106",59,"F_25-34",0.000419107129722028,0.025
"107",60,"F_25-34",0.000463868895646552,0.025
"108",61,"F_25-34",0.000452990982071748,0.025
"109",62,"F_25-34",0.000374210437006453,0.025
"110",63,"F_25-34",0.000407267193465878,0.025
"111",64,"F_25-34",0.000317122215613888,0.025
"112",65,"F_25-34",0.000297405999695005,0.025
"113",10,"F_35-44",0.000278139338754782,0.025
"114",11,"F_35-44",0.000207178263517612,0.025
"115",12,"F_35-44",0.000190607239605403,0.025
"116",13,"F_35-44",0.000200303558694517,0.025
"117",14,"F_35-44",0.000219562424964069,0.025
"118",15,"F_35-44",0.00022899252932367,0.025
"119",16,"F_35-44",0.000372996618634493,0.025
"120",17,"F_35-44",0.000332470908458326,0.025
"121",18,"F_35-44",0.000371917030441521,0.025
"122",19,"F_35-44",0.000378216233061936,0.025
"123",20,"F_35-44",0.000374740910209703,0.025
"124",21,"F_35-44",0.000396404733242183,0.025
"125",22,"F_35-44",0.000423593043820937,0.025
"126",23,"F_35-44",0.000347845160390908,0.025
"127",24,"F_35-44",0.000317659442097763,0.025
"128",25,"F_35-44",0.000238137499579194,0.025
"129",26,"F_35-44",0.000220310332617504,0.025
"130",27,"F_35-44",0.000228397997086104,0.025
"131",28,"F_35-44",0.000240855134315746,0.025
"132",29,"F_35-44",0.000205755940842071,0.025
"133",30,"F_35-44",0.000201040960193933,0.025
"134",31,"F_35-44",0.000213563756600318,0.025
"135",32,"F_35-44",0.00021643440312839,0.025
"136",33,"F_35-44",0.000233334933491767,0.025
"137",34,"F_35-44",0.000190374520873224,0.025
"138",35,"F_35-44",0.000238499727146504,0.025
"139",36,"F_35-44",0.000244468100165972,0.025
"140",37,"F_35-44",0.000232111537510626,0.025
"141",38,"F_35-44",0.000292699815430688,0.025
"142",39,"F_35-44",0.000293105254140718,0.025
"143",40,"F_35-44",0.000282601576519633,0.025
"144",41,"F_35-44",0.000274914442132046,0.025
"145",42,"F_35-44",0.000252909471579853,0.025
"146",43,"F_35-44",0.000272377957332006,0.025
"147",44,"F_35-44",0.000306279076661195,0.025
"148",45,"F_35-44",0.000278674846443182,0.025
"149",46,"F_35-44",0.000283397090609748,0.025
"150",47,"F_35-44",0.000347125065027683,0.025
"151",48,"F_35-44",0.000328078120289425,0.025
"152",49,"F_35-44",0.000321699382373521,0.025
"153",50,"F_35-44",0.000332745706114962,0.025
"154",51,"F_35-44",0.000389060502098142,0.025
"155",52,"F_35-44",0.000386867509356916,0.025
"156",53,"F_35-44",0.000405984721339423,0.025
"157",54,"F_35-44",0.000364864066600316,0.025
