"","month","value","quantile"
"1",10,0.00307184270683049,0.025
"2",11,0.0079020373816384,0.025
"3",12,0.0122997819327787,0.025
"4",13,0.0171594323423762,0.025
"5",14,0.0221606859359357,0.025
"6",15,0.0272569078650398,0.025
"7",16,0.0326490204539128,0.025
"8",17,0.0382375423108926,0.025
"9",18,0.0439584532249626,0.025
"10",19,0.0497275129995815,0.025
"11",20,0.0562291424320968,0.025
"12",21,0.0625456564358797,0.025
"13",22,0.0689837267958283,0.025
"14",23,0.0754592364091698,0.025
"15",24,0.0815127042837566,0.025
"16",25,0.0868571525620648,0.025
"17",26,0.0922317704104679,0.025
"18",27,0.0975435161870075,0.025
"19",28,0.102937447335679,0.025
"20",29,0.108752719445122,0.025
"21",30,0.114437425268026,0.025
"22",31,0.120168259567771,0.025
"23",32,0.12584111919841,0.025
"24",33,0.1313759484623,0.025
"25",34,0.136672384411711,0.025
"26",35,0.141926314797735,0.025
"27",36,0.147161152314596,0.025
"28",37,0.152326899934947,0.025
"29",38,0.15771203965434,0.025
"30",39,0.16306307266321,0.025
"31",40,0.168422921355677,0.025
"32",41,0.173686789055175,0.025
"33",42,0.17931043641036,0.025
"34",43,0.184611495011692,0.025
"35",44,0.189696957280213,0.025
"36",45,0.194824554312745,0.025
"37",46,0.200051399839579,0.025
"38",47,0.205579363106323,0.025
"39",48,0.210964953211748,0.025
"40",49,0.216327432190679,0.025
"41",50,0.221517511302342,0.025
"42",51,0.226932771960173,0.025
"43",52,0.23223970906063,0.025
"44",53,0.23752109887933,0.025
"45",54,0.243135534787345,0.025
"46",55,0.248957727279914,0.025
"47",56,0.254872382593448,0.025
"48",57,0.260420363408526,0.025
"49",58,0.266154747079946,0.025
"50",59,0.271614107903832,0.025
"51",60,0.277477589534935,0.025
"52",61,0.283099639337935,0.025
"53",62,0.288807578197006,0.025
"54",63,0.294386883800561,0.025
"55",64,0.299958083643577,0.025
"56",65,0.305483179649399,0.025
"57",10,0.00491665636882425,0.25
"58",11,0.0108592202195216,0.25
"59",12,0.0158655284143014,0.25
"60",13,0.0213441596290246,0.25
"61",14,0.0268255511588909,0.25
"62",15,0.0323888756792281,0.25
"63",16,0.0383023770398747,0.25
"64",17,0.044364930002261,0.25
"65",18,0.0504642058278662,0.25
"66",19,0.0566050378817889,0.25
"67",20,0.0634280570737314,0.25
"68",21,0.0701882228687029,0.25
"69",22,0.0768631382383307,0.25
"70",23,0.083533428690442,0.25
"71",24,0.0898159047206814,0.25
"72",25,0.0954111510268361,0.25
"73",26,0.101031190041202,0.25
"74",27,0.106590951611845,0.25
"75",28,0.112223833162831,0.25
"76",29,0.118165158174858,0.25
"77",30,0.124094098536632,0.25
"78",31,0.130012328487674,0.25
"79",32,0.135920253607059,0.25
"80",33,0.141620558197743,0.25
"81",34,0.147225232279973,0.25
"82",35,0.15275523897936,0.25
"83",36,0.158150766840284,0.25
"84",37,0.163567194002074,0.25
"85",38,0.16920059145504,0.25
"86",39,0.17472331243825,0.25
"87",40,0.180265153933505,0.25
"88",41,0.185839705992923,0.25
"89",42,0.191570173134162,0.25
"90",43,0.197103488859942,0.25
"91",44,0.202479158246378,0.25
"92",45,0.207789943421613,0.25
"93",46,0.213215369259838,0.25
"94",47,0.218953372663743,0.25
"95",48,0.224604179934654,0.25
"96",49,0.230238703700523,0.25
"97",50,0.235649322292325,0.25
"98",51,0.241351365327698,0.25
"99",52,0.246999741050436,0.25
"100",53,0.252602696281048,0.25
"101",54,0.258520643402113,0.25
"102",55,0.264669843990533,0.25
"103",56,0.270834739519649,0.25
"104",57,0.276887503640282,0.25
"105",58,0.283018685578543,0.25
"106",59,0.288932656290863,0.25
"107",60,0.295264650471493,0.25
"108",61,0.301332023949909,0.25
"109",62,0.30740815760529,0.25
"110",63,0.313400210881027,0.25
"111",64,0.319512812764429,0.25
"112",65,0.325572728892924,0.25
"113",10,0.00612415362451478,0.5
"114",11,0.0126129420992729,0.5
"115",12,0.0179154482748612,0.5
"116",13,0.0237178966349936,0.5
"117",14,0.0294962653947587,0.5
"118",15,0.0352998905979121,0.5
"119",16,0.0414515759343152,0.5
"120",17,0.0476992784768927,0.5
"121",18,0.0540171624472541,0.5
"122",19,0.0603324679483718,0.5
"123",20,0.0673725134045681,0.5
"124",21,0.0742847581542382,0.5
"125",22,0.0811454211116739,0.5
"126",23,0.0880007667916177,0.5
"127",24,0.0944474414452413,0.5
"128",25,0.10011642391017,0.5
"129",26,0.105828256222511,0.5
"130",27,0.111534995829507,0.5
"131",28,0.117231218244089,0.5
"132",29,0.123293317592214,0.5
"133",30,0.129379702586481,0.5
"134",31,0.135439855025649,0.5
"135",32,0.141442362871095,0.5
"136",33,0.147268004336603,0.5
"137",34,0.152964993800836,0.5
"138",35,0.158610837884488,0.5
"139",36,0.164179496433893,0.5
"140",37,0.169683683890612,0.5
"141",38,0.175356325418539,0.5
"142",39,0.181003583242392,0.5
"143",40,0.186679259589683,0.5
"144",41,0.192346520203837,0.5
"145",42,0.198181306622288,0.5
"146",43,0.203849553693486,0.5
"147",44,0.209296803616715,0.5
"148",45,0.214784855555268,0.5
"149",46,0.220294147467314,0.5
"150",47,0.226164748621332,0.5
