"","month","value","quantile"
"1",10,0.00288608890191465,0.025
"2",11,0.00749365245811349,0.025
"3",12,0.0116681078869961,0.025
"4",13,0.0163489354792176,0.025
"5",14,0.0211653857569157,0.025
"6",15,0.0260731220141582,0.025
"7",16,0.0312861781572683,0.025
"8",17,0.0366097779947168,0.025
"9",18,0.0420892358522813,0.025
"10",19,0.0477756600722466,0.025
"11",20,0.0538852325794868,0.025
"12",21,0.0601013343840647,0.025
"13",22,0.066235484387715,0.025
"14",23,0.0725111232699479,0.025
"15",24,0.0783964544476558,0.025
"16",25,0.083551175326609,0.025
"17",26,0.08868807546352,0.025
"18",27,0.0938587498494674,0.025
"19",28,0.0990174499830178,0.025
"20",29,0.104436508371778,0.025
"21",30,0.109865454412049,0.025
"22",31,0.115140181638206,0.025
"23",32,0.120495336360435,0.025
"24",33,0.125764595495056,0.025
"25",34,0.130742970922519,0.025
"26",35,0.135693239707631,0.025
"27",36,0.140559559502484,0.025
"28",37,0.145474349328404,0.025
"29",38,0.150375587330803,0.025
"30",39,0.155159838008044,0.025
"31",40,0.160119231756514,0.025
"32",41,0.165165412531808,0.025
"33",42,0.170099248780424,0.025
"34",43,0.17496207362231,0.025
"35",44,0.179509072084484,0.025
"36",45,0.184112291080742,0.025
"37",46,0.188924297776184,0.025
"38",47,0.193744043378845,0.025
"39",48,0.19849060275754,0.025
"40",49,0.203267644186019,0.025
"41",50,0.207890071207578,0.025
"42",51,0.212678411165943,0.025
"43",52,0.217491412810185,0.025
"44",53,0.222182154538497,0.025
"45",54,0.227122696166445,0.025
"46",55,0.232286162044339,0.025
"47",56,0.237252554915609,0.025
"48",57,0.242168819708461,0.025
"49",58,0.247319151469739,0.025
"50",59,0.252388671667513,0.025
"51",60,0.257573304427216,0.025
"52",61,0.262803647112563,0.025
"53",62,0.267847221461802,0.025
"54",63,0.272865157703288,0.025
"55",64,0.278063700443819,0.025
"56",65,0.283189164409581,0.025
"57",10,0.00464680664679308,0.25
"58",11,0.0102533788892663,0.25
"59",12,0.015038426523189,0.25
"60",13,0.0202814424438202,0.25
"61",14,0.0256109697206691,0.25
"62",15,0.0310156667096976,0.25
"63",16,0.0366346606005481,0.25
"64",17,0.0424287232841622,0.25
"65",18,0.0483098847664824,0.25
"66",19,0.0542561339858317,0.25
"67",20,0.0608748074541224,0.25
"68",21,0.0673598156193843,0.25
"69",22,0.0738557233425976,0.25
"70",23,0.0803194256070939,0.25
"71",24,0.0863952913554448,0.25
"72",25,0.0917919522605663,0.25
"73",26,0.0972154903007605,0.25
"74",27,0.102581358258693,0.25
"75",28,0.107854991858637,0.25
"76",29,0.113506030479111,0.25
"77",30,0.119088764784332,0.25
"78",31,0.124654724425442,0.25
"79",32,0.130259842720841,0.25
"80",33,0.135640761460167,0.25
"81",34,0.140811310265266,0.25
"82",35,0.146037393263512,0.25
"83",36,0.1510486227169,0.25
"84",37,0.156009440494682,0.25
"85",38,0.161206516297427,0.25
"86",39,0.166319716792111,0.25
"87",40,0.171412715584016,0.25
"88",41,0.176502639109004,0.25
"89",42,0.181713637392425,0.25
"90",43,0.186698274781114,0.25
"91",44,0.191524179835199,0.25
"92",45,0.196353380731918,0.25
"93",46,0.201274823728866,0.25
"94",47,0.206368361574337,0.25
"95",48,0.21142891252821,0.25
"96",49,0.216410803447658,0.25
"97",50,0.221247497013192,0.25
"98",51,0.226253105480951,0.25
"99",52,0.231226790472335,0.25
"100",53,0.236220772622837,0.25
"101",54,0.241498561632969,0.25
"102",55,0.246804693130641,0.25
"103",56,0.252135460621398,0.25
"104",57,0.257530242395371,0.25
"105",58,0.26296466246721,0.25
"106",59,0.268224693571757,0.25
"107",60,0.273813531319298,0.25
"108",61,0.27918647594767,0.25
"109",62,0.284689230371787,0.25
"110",63,0.290167591876516,0.25
"111",64,0.295717650615507,0.25
"112",65,0.301351490824473,0.25
"113",10,0.00580214451509934,0.5
"114",11,0.0119436816776222,0.5
"115",12,0.0170166176921816,0.5
"116",13,0.0225784479181101,0.5
"117",14,0.0281741021314699,0.5
"118",15,0.0337723262420139,0.5
"119",16,0.0396735367624448,0.5
"120",17,0.0456822881475445,0.5
"121",18,0.0517626403115741,0.5
