"","month","value","quantile"
"1",10,0.00145151961449957,0.025
"2",11,0.00368478270173981,0.025
"3",12,0.00595598205680738,0.025
"4",13,0.00829536413659766,0.025
"5",14,0.0106672517247202,0.025
"6",15,0.0130369479357928,0.025
"7",16,0.0155119446046512,0.025
"8",17,0.0180335845091443,0.025
"9",18,0.0206669596983575,0.025
"10",19,0.0232904407979735,0.025
"11",20,0.0260340051753195,0.025
"12",21,0.0288098519018487,0.025
"13",22,0.0317322599044106,0.025
"14",23,0.034630798794648,0.025
"15",24,0.0376319240609366,0.025
"16",25,0.0408541319698717,0.025
"17",26,0.0442232951456114,0.025
"18",27,0.0476329440519402,0.025
"19",28,0.0510338064690939,0.025
"20",29,0.0545321593592648,0.025
"21",30,0.0581833581627846,0.025
"22",31,0.061959617268342,0.025
"23",32,0.0658797703579216,0.025
"24",33,0.0697154558443822,0.025
"25",34,0.0738371285812776,0.025
"26",35,0.0781193788037415,0.025
"27",36,0.0825171676825671,0.025
"28",37,0.0869468726870588,0.025
"29",38,0.0912612468202058,0.025
"30",39,0.0955126973323566,0.025
"31",40,0.0998113131384662,0.025
"32",41,0.104205541058018,0.025
"33",42,0.108613566586501,0.025
"34",43,0.113438980692214,0.025
"35",44,0.118624582314878,0.025
"36",45,0.124011372906893,0.025
"37",46,0.129589794539474,0.025
"38",47,0.135841394956706,0.025
"39",48,0.14215634734644,0.025
"40",49,0.148345377699264,0.025
"41",50,0.154637093112859,0.025
"42",51,0.161007273395522,0.025
"43",52,0.167293995493488,0.025
"44",53,0.173705269100742,0.025
"45",54,0.180255488315188,0.025
"46",55,0.186629249108279,0.025
"47",56,0.19338716604556,0.025
"48",57,0.199794972238554,0.025
"49",58,0.206228566193228,0.025
"50",59,0.212757009979564,0.025
"51",60,0.219745991201771,0.025
"52",61,0.226796616372531,0.025
"53",62,0.234029491771362,0.025
"54",63,0.241315798121942,0.025
"55",64,0.246695535180673,0.025
"56",65,0.251368723720409,0.025
"57",66,0.255830799502157,0.025
"58",10,0.00232960484634416,0.25
"59",11,0.00505818991011732,0.25
"60",12,0.00767366069912749,0.25
"61",13,0.0103023137542789,0.25
"62",14,0.0129126387724355,0.25
"63",15,0.0155439541298334,0.25
"64",16,0.0182193017187334,0.25
"65",17,0.0209599122304765,0.25
"66",18,0.0237938581753362,0.25
"67",19,0.0266231913860582,0.25
"68",20,0.029508355663444,0.25
"69",21,0.0325339890224426,0.25
"70",22,0.0356361499436495,0.25
"71",23,0.038723668870955,0.25
"72",24,0.0419277291126035,0.25
"73",25,0.0453154361149403,0.25
"74",26,0.0488990634088801,0.25
"75",27,0.0524955963414789,0.25
"76",28,0.0561150426676639,0.25
"77",29,0.059792999065563,0.25
"78",30,0.0636781110595882,0.25
"79",31,0.0676767992628231,0.25
"80",32,0.0717229195326337,0.25
"81",33,0.0757682976764612,0.25
"82",34,0.0801144430047148,0.25
"83",35,0.0846509843024708,0.25
"84",36,0.0892342412690065,0.25
"85",37,0.0938265414480505,0.25
"86",38,0.0983499644397347,0.25
"87",39,0.102792836234648,0.25
"88",40,0.107336182577539,0.25
"89",41,0.11184758613372,0.25
"90",42,0.116537410194775,0.25
"91",43,0.121572710971786,0.25
"92",44,0.126999873760861,0.25
"93",45,0.132708746771959,0.25
"94",46,0.138452707396348,0.25
"95",47,0.144996696882492,0.25
"96",48,0.151675939883047,0.25
"97",49,0.158127969037074,0.25
"98",50,0.16460242280269,0.25
"99",51,0.171331004884363,0.25
"100",52,0.177895971102545,0.25
"101",53,0.18454022232204,0.25
"102",54,0.191247823627786,0.25
"103",55,0.197969198543195,0.25
"104",56,0.205155239171789,0.25
"105",57,0.212060234502992,0.25
"106",58,0.218673280049281,0.25
"107",59,0.225576425088777,0.25
"108",60,0.233004705484351,0.25
"109",61,0.240648588635968,0.25
"110",62,0.248235095283268,0.25
"111",63,0.256006001499458,0.25
"112",64,0.261894092594216,0.25
"113",65,0.266855274996455,0.25
"114",66,0.271735153416073,0.25
"115",10,0.00290179339990111,0.5
"116",11,0.00590153824329846,0.5
"117",12,0.00867118270957036,0.5
"118",13,0.0114697852893613,0.5
"119",14,0.0142046255575412,0.5
"120",15,0.0169348732990423,0.5
"121",16,0.0197255223497831,0.5
"122",17,0.0226030393565969,0.5
"123",18,0.0255445575831773,0.5
"124",19,0.0284899904647047,0.5
"125",20,0.0314716095162837,0.5
"126",21,0.0345859802433178,0.5
"127",22,0.037801378949182,0.5
"128",23,0.0410052421660702,0.5
"129",24,0.0442813515970516,0.5
"130",25,0.0478030043358432,0.5
"131",26,0.0514646222830846,0.5
"132",27,0.0551907490924764,0.5
"133",28,0.058896335712078,0.5
"134",29,0.0626948146692502,0.5
"135",30,0.0666787589289786,0.5
"136",31,0.070797480117194,0.5
"137",32,0.0749505909617326,0.5
"138",33,0.0791260514856287,0.5
"139",34,0.0835966627503359,0.5
"140",35,0.0882494579134478,0.5
"141",36,0.0929488209843419,0.5
"142",37,0.0976265817379268,0.5
"143",38,0.102259804762759,0.5
"144",39,0.106842750251044,0.5
"145",40,0.111482534743571,0.5
"146",41,0.116142542138534,0.5
"147",42,0.120920807248581,0.5
"148",43,0.126075675519466,0.5
"149",44,0.131635385427332,0.5
"150",45,0.137405523092475,0.5
"151",46,0.143315245177071,0.5
"152",47,0.150041898781925,0.5
"153",48,0.156840628855021,0.5
"154",49,0.16345576423875,0.5
"155",50,0.170046481506796,0.5
"156",51,0.176905630252216,0.5
"157",52,0.183607570247405,0.5
"158",53,0.190436873874992,0.5
"159",54,0.197456524518199,0.5
"160",55,0.20436994041434,0.5
"161",56,0.211659501690369,0.5
"162",57,0.218719804822766,0.5
"163",58,0.225540472335801,0.5
"164",59,0.232670781104827,0.5
"165",60,0.240328964441556,0.5
"166",61,0.248194758966833,0.5
"167",62,0.255999009829884,0.5
"168",63,0.264095759361758,0.5
"169",64,0.270308294066706,0.5
"170",65,0.275477780876297,0.5
"171",66,0.28058806493995,0.5
"172",10,0.00357231364615451,0.75
"173",11,0.00681746139579189,0.75
"174",12,0.00977277425865202,0.75
"175",13,0.0127312943146504,0.75
"176",14,0.0155936942223813,0.75
"177",15,0.0184523398469018,0.75
"178",16,0.0213638879381077,0.75
"179",17,0.0243292847978911,0.75
"180",18,0.0273969641039597,0.75
"181",19,0.0304338330023283,0.75
"182",20,0.0335410160859123,0.75
"183",21,0.0367796325770942,0.75
"184",22,0.0400854599468199,0.75
"185",23,0.0433897269562603,0.75
"186",24,0.0467461310339072,0.75
"187",25,0.0503635109832311,0.75
"188",26,0.0541723009408,0.75
"189",27,0.0580207154123363,0.75
"190",28,0.0618589647134193,0.75
"191",29,0.0657261130220784,0.75
"192",30,0.069848719338644,0.75
"193",31,0.0740847655240788,0.75
"194",32,0.0783279343003273,0.75
"195",33,0.0826374652718009,0.75
"196",34,0.0872125047282632,0.75
"197",35,0.09194447192133,0.75
"198",36,0.0967567153512468,0.75
"199",37,0.101548895247506,0.75
"200",38,0.106330385348235,0.75
"201",39,0.111016060609161,0.75
"202",40,0.115792279578832,0.75
"203",41,0.12052930104665,0.75
"204",42,0.125411796799714,0.75
"205",43,0.130706589238928,0.75
"206",44,0.136412147936993,0.75
"207",45,0.142302320988138,0.75
"208",46,0.148330029920149,0.75
"209",47,0.15525564225941,0.75
"210",48,0.162181292083693,0.75
"211",49,0.168947758039313,0.75
"212",50,0.175692896140877,0.75
"213",51,0.182691250536044,0.75
"214",52,0.189627425004419,0.75
"215",53,0.196695486354313,0.75
"216",54,0.203826870446471,0.75
"217",55,0.210903364950003,0.75
"218",56,0.218456516613459,0.75
"219",57,0.225700137009576,0.75
"220",58,0.23272237602187,0.75
"221",59,0.240063950648034,0.75
"222",60,0.24803079774303,0.75
"223",61,0.256218831291311,0.75
"224",62,0.264298129541533,0.75
"225",63,0.272693839521389,0.75
"226",64,0.279180408028566,0.75
"227",65,0.284664799004049,0.75
"228",66,0.289968760102494,0.75
"229",10,0.00510092898202294,0.975
"230",11,0.00881465448972256,0.975
"231",12,0.0120944743154577,0.975
"232",13,0.0153389457352835,0.975
"233",14,0.0184632913968361,0.975
"234",15,0.0215656038901407,0.975
"235",16,0.0246948980252335,0.975
"236",17,0.0278574164706954,0.975
"237",18,0.0311502190230427,0.975
"238",19,0.034386388263447,0.975
"239",20,0.0376577124875328,0.975
"240",21,0.0411148884428416,0.975
"241",22,0.0446603206390447,0.975
"242",23,0.0481878032888639,0.975
"243",24,0.0517745215297859,0.975
"244",25,0.0556317880166914,0.975
"245",26,0.0597125537823715,0.975
"246",27,0.0637740413128819,0.975
"247",28,0.0677024237440454,0.975
"248",29,0.0718092598908492,0.975
"249",30,0.076159987516256,0.975
"250",31,0.0806285206622965,0.975
"251",32,0.0851034367172739,0.975
"252",33,0.089632053965923,0.975
"253",34,0.0943475815361114,0.975
"254",35,0.0993385687307063,0.975
"255",36,0.104437655750001,0.975
"256",37,0.109410552518154,0.975
"257",38,0.11439446492054,0.975
"258",39,0.119334512491458,0.975
"259",40,0.124319708553388,0.975
