"","month","value","quantile"
"1",10,0.00778219447550767,0.025
"2",11,0.0189310437392387,0.025
"3",12,0.0361044976856819,0.025
"4",13,0.0545103174076452,0.025
"5",14,0.0737884394084038,0.025
"6",15,0.0945697349799745,0.025
"7",16,0.129887383337898,0.025
"8",17,0.186323719768781,0.025
"9",18,0.246525094191664,0.025
"10",19,0.312446123084773,0.025
"11",20,0.335791512281046,0.025
"12",21,0.353599933967124,0.025
"13",22,0.371490653361803,0.025
"14",23,0.389255308489758,0.025
"15",24,0.403358273906477,0.025
"16",25,0.413361214363341,0.025
"17",26,0.423283263693744,0.025
"18",27,0.433271048263436,0.025
"19",28,0.442947722598523,0.025
"20",29,0.452100225201733,0.025
"21",30,0.460790620102981,0.025
"22",31,0.469338441810966,0.025
"23",32,0.477710231968305,0.025
"24",33,0.486187780561587,0.025
"25",34,0.494726650829029,0.025
"26",35,0.503035417108316,0.025
"27",36,0.511386401460362,0.025
"28",37,0.519836101864644,0.025
"29",38,0.528393463513662,0.025
"30",39,0.536727987848267,0.025
"31",40,0.545418729478513,0.025
"32",41,0.554235912722179,0.025
"33",42,0.562882468277046,0.025
"34",43,0.572095255927766,0.025
"35",44,0.581424767462894,0.025
"36",45,0.590769270200813,0.025
"37",46,0.601205795180352,0.025
"38",47,0.61233191653356,0.025
"39",48,0.623722190958785,0.025
"40",49,0.635162394453918,0.025
"41",50,0.646627945770792,0.025
"42",51,0.661998625438399,0.025
"43",52,0.677542686357603,0.025
"44",53,0.693565203245153,0.025
"45",54,0.709398879006195,0.025
"46",55,0.726427378240402,0.025
"47",56,0.746866782780627,0.025
"48",57,0.767412274318074,0.025
"49",58,0.78886162393063,0.025
"50",59,0.810475029438675,0.025
"51",60,0.829633275251185,0.025
"52",61,0.84754705489131,0.025
"53",62,0.865349103424436,0.025
"54",63,0.880588209919498,0.025
"55",10,0.0121172250312944,0.25
"56",11,0.025456278723594,0.25
"57",12,0.0458090148851349,0.25
"58",13,0.0663914984673223,0.25
"59",14,0.086868632949823,0.25
"60",15,0.10861667326451,0.25
"61",16,0.146684027425525,0.25
"62",17,0.211602564036441,0.25
"63",18,0.272598788508065,0.25
"64",19,0.330366579255338,0.25
"65",20,0.35334096324846,0.25
"66",21,0.371442727692981,0.25
"67",22,0.38919064196059,0.25
"68",23,0.406594979274992,0.25
"69",24,0.420542882492008,0.25
"70",25,0.430865331672234,0.25
"71",26,0.441062301273088,0.25
"72",27,0.451211242209858,0.25
"73",28,0.46105858323765,0.25
"74",29,0.470351353522401,0.25
"75",30,0.479111946357887,0.25
"76",31,0.487944976550533,0.25
"77",32,0.496716834900437,0.25
"78",33,0.505297234445795,0.25
"79",34,0.513949886416742,0.25
"80",35,0.522448669229195,0.25
"81",36,0.531063847067121,0.25
"82",37,0.539690932835939,0.25
"83",38,0.548610036915047,0.25
"84",39,0.557515978898036,0.25
"85",40,0.566333533155553,0.25
"86",41,0.575287928338921,0.25
"87",42,0.584397251955092,0.25
"88",43,0.594199035624457,0.25
"89",44,0.603799160858859,0.25
"90",45,0.613488948070009,0.25
"91",46,0.624232100984642,0.25
"92",47,0.635955574012237,0.25
"93",48,0.647593589096471,0.25
"94",49,0.659395396256207,0.25
"95",50,0.671258374023478,0.25
"96",51,0.687764371982026,0.25
"97",52,0.704067833451941,0.25
"98",53,0.720432663602123,0.25
"99",54,0.737037835722898,0.25
"100",55,0.754441201971487,0.25
"101",56,0.7760574041798,0.25
"102",57,0.797723026458869,0.25
"103",58,0.819951354349613,0.25
"104",59,0.841859652591011,0.25
"105",60,0.861975060474486,0.25
"106",61,0.880481019201567,0.25
"107",62,0.898992327829418,0.25
"108",63,0.915388713215876,0.25
"109",10,0.014804822881902,0.5
"110",11,0.0293960881053473,0.5
"111",12,0.0515050176697255,0.5
"112",13,0.0729480599616139,0.5
"113",14,0.094051395028639,0.5
"114",15,0.116490516581435,0.5
"115",16,0.155868918930934,0.5
"116",17,0.225711654843024,0.5
"117",18,0.286096727140329,0.5
"118",19,0.340048178488804,0.5
"119",20,0.363114985059419,0.5
