"","month","value","quantile"
"1",10,0.00728091064471532,0.025
"2",11,0.0178225340378701,0.025
"3",12,0.033782468743346,0.025
"4",13,0.0507861532731518,0.025
"5",14,0.0691871796276196,0.025
"6",15,0.0895758753148152,0.025
"7",16,0.12419263308276,0.025
"8",17,0.176229170163414,0.025
"9",18,0.23552399859442,0.025
"10",19,0.303703567562216,0.025
"11",20,0.326450961880938,0.025
"12",21,0.343731498003789,0.025
"13",22,0.361192445522056,0.025
"14",23,0.378454688550015,0.025
"15",24,0.392260793554897,0.025
"16",25,0.401857578866143,0.025
"17",26,0.411314312002459,0.025
"18",27,0.420805113184697,0.025
"19",28,0.430117684245062,0.025
"20",29,0.438655892444004,0.025
"21",30,0.446489126092205,0.025
"22",31,0.454463313434791,0.025
"23",32,0.46230629855262,0.025
"24",33,0.469740749215376,0.025
"25",34,0.477239871241888,0.025
"26",35,0.484654306379522,0.025
"27",36,0.492064488049117,0.025
"28",37,0.499609024373309,0.025
"29",38,0.507106844706391,0.025
"30",39,0.514473359539248,0.025
"31",40,0.521966692448073,0.025
"32",41,0.52931184578473,0.025
"33",42,0.536762367161141,0.025
"34",43,0.544515528780263,0.025
"35",44,0.552431925541208,0.025
"36",45,0.560237688347371,0.025
"37",46,0.568635903392402,0.025
"38",47,0.577264287662861,0.025
"39",48,0.586322213217154,0.025
"40",49,0.594930609751094,0.025
"41",50,0.603955593254483,0.025
"42",51,0.615584874705616,0.025
"43",52,0.627057446025845,0.025
"44",53,0.638704181053615,0.025
"45",54,0.650579111002634,0.025
"46",55,0.663089147918248,0.025
"47",56,0.678093846242167,0.025
"48",57,0.693552741349429,0.025
"49",58,0.709051157219323,0.025
"50",59,0.724932314682414,0.025
"51",60,0.740562552327025,0.025
"52",61,0.754792328900641,0.025
"53",62,0.769228910697745,0.025
"54",63,0.782399772524756,0.025
"55",10,0.0112808046811965,0.25
"56",11,0.0239946649754839,0.25
"57",12,0.0428187868628963,0.25
"58",13,0.0620002271310075,0.25
"59",14,0.0815087064034578,0.25
"60",15,0.102940647176929,0.25
"61",16,0.140318940466183,0.25
"62",17,0.201100400400247,0.25
"63",18,0.262295931502952,0.25
