"","month","value","quantile"
"1",10,0.00751035040301415,0.025
"2",11,0.0184355718214908,0.025
"3",12,0.0349816173094057,0.025
"4",13,0.0531992510090713,0.025
"5",14,0.0723201244259857,0.025
"6",15,0.0930712845676701,0.025
"7",16,0.128615020570058,0.025
"8",17,0.18524227600427,0.025
"9",18,0.249111324642861,0.025
"10",19,0.321001972286896,0.025
"11",20,0.34673023565506,0.025
"12",21,0.366635028012249,0.025
"13",22,0.386010930711995,0.025
"14",23,0.405773226359129,0.025
"15",24,0.421122205765322,0.025
"16",25,0.432464020395971,0.025
"17",26,0.443726595667295,0.025
"18",27,0.454656013811026,0.025
"19",28,0.465377843918883,0.025
"20",29,0.475876659127443,0.025
"21",30,0.485953633888013,0.025
"22",31,0.495621423404243,0.025
"23",32,0.505074430937665,0.025
"24",33,0.514748044048562,0.025
"25",34,0.524024572119502,0.025
"26",35,0.53359755364846,0.025
"27",36,0.542724848080622,0.025
"28",37,0.552326270305922,0.025
"29",38,0.56184279193911,0.025
"30",39,0.571447369215204,0.025
"31",40,0.581042050199302,0.025
"32",41,0.590622853517449,0.025
"33",42,0.600416394664263,0.025
"34",43,0.610449955876806,0.025
"35",44,0.6205553055954,0.025
"36",45,0.630806738662907,0.025
"37",46,0.641985363251991,0.025
"38",47,0.654112793884074,0.025
"39",48,0.666287632744569,0.025
"40",49,0.678760045108785,0.025
"41",50,0.691198993796724,0.025
"42",51,0.707939487893258,0.025
"43",52,0.72455471191743,0.025
"44",53,0.741648150538877,0.025
"45",54,0.758655043257367,0.025
"46",55,0.776587538073292,0.025
"47",56,0.798842469511935,0.025
"48",57,0.820858147869518,0.025
"49",58,0.843865697654116,0.025
"50",59,0.86676941527647,0.025
"51",60,0.887301285289983,0.025
"52",61,0.905657496322972,0.025
"53",62,0.924283302011333,0.025
"54",63,0.94026103906662,0.025
"55",10,0.0117390445395115,0.25
"56",11,0.0248125756627529,0.25
"57",12,0.0445777578355193,0.25
"58",13,0.0647311662870136,0.25
"59",14,0.0851918358251053,0.25
"60",15,0.107206847019106,0.25
"61",16,0.14551802306862,0.25
"62",17,0.211361560455373,0.25
"63",18,0.277344725870129,0.25
"64",19,0.339483181462315,0.25
"65",20,0.364694249594543,0.25
"66",21,0.384700495969803,0.25
"67",22,0.40423999509375,0.25
"68",23,0.423597703311688,0.25
"69",24,0.439163218563373,0.25
"70",25,0.450622576006918,0.25
"71",26,0.461991651086199,0.25
