"","month","value","quantile"
"1",10,0.00547437192447497,0.025
"2",11,0.0141692268805854,0.025
"3",12,0.0245405855091482,0.025
"4",13,0.0356719785992675,0.025
"5",14,0.0473246323307156,0.025
"6",15,0.0595260986683001,0.025
"7",16,0.0775918262587797,0.025
"8",17,0.0971590469425637,0.025
"9",18,0.117967055633527,0.025
"10",19,0.139293656229249,0.025
"11",20,0.159915364857932,0.025
"12",21,0.177631175236871,0.025
"13",22,0.193666271041695,0.025
"14",23,0.208491286873117,0.025
"15",24,0.222678775542245,0.025
"16",25,0.233868281148238,0.025
"17",26,0.243949184661569,0.025
"18",27,0.253850747627234,0.025
"19",28,0.263249741418305,0.025
"20",29,0.272464487581729,0.025
"21",30,0.281184795776455,0.025
"22",31,0.289280770047008,0.025
"23",32,0.297360908986447,0.025
"24",33,0.305405757100621,0.025
"25",34,0.312757664092447,0.025
"26",35,0.31964150230101,0.025
"27",36,0.326478789104777,0.025
"28",37,0.332910417104749,0.025
"29",38,0.33926470596864,0.025
"30",39,0.345390473474736,0.025
"31",40,0.351386248898734,0.025
"32",41,0.357329280205154,0.025
"33",42,0.363381569900456,0.025
"34",43,0.36964027502105,0.025
"35",44,0.375726522730255,0.025
"36",45,0.381892608229691,0.025
"37",46,0.388174556542628,0.025
"38",47,0.394599134113191,0.025
"39",48,0.400995770353134,0.025
"40",49,0.407585867830535,0.025
"41",50,0.413822868416979,0.025
"42",51,0.420449479396759,0.025
"43",52,0.427264674273832,0.025
"44",53,0.433783772015584,0.025
"45",54,0.440467697954493,0.025
"46",55,0.447456472444253,0.025
"47",56,0.45475518226726,0.025
"48",57,0.461998743633717,0.025
"49",58,0.469505093243212,0.025
"50",59,0.477498036414527,0.025
"51",60,0.48610579280052,0.025
"52",61,0.494951801076093,0.025
"53",62,0.503656654311767,0.025
"54",63,0.512872656577201,0.025
"55",64,0.521786405275681,0.025
"56",65,0.530872505309909,0.025
"57",66,0.540424121840072,0.025
"58",10,0.00874994844664601,0.25
"59",11,0.0193105499442313,0.25
"60",12,0.0312517414059427,0.25
"61",13,0.0440570645468326,0.25
"62",14,0.0569509565047134,0.25
"63",15,0.0699116412856031,0.25
"64",16,0.0900810586071372,0.25
"65",17,0.111244128278205,0.25
"66",18,0.133057743831457,0.25
"67",19,0.154273014261815,0.25
"68",20,0.174829430117207,0.25
"69",21,0.192838633639535,0.25
"70",22,0.208985268905014,0.25
"71",23,0.223744297326025,0.25
"72",24,0.237950107426705,0.25
"73",25,0.249287735499761,0.25
"74",26,0.259343073560027,0.25
"75",27,0.269188297074478,0.25
"76",28,0.278903626092007,0.25
"77",29,0.288178082513225,0.25
"78",30,0.297082410207533,0.25
"79",31,0.305395342015069,0.25
"80",32,0.313539040933309,0.25
"81",33,0.321638612316778,0.25
"82",34,0.329328983114724,0.25
"83",35,0.336436581151837,0.25
"84",36,0.34341684439345,0.25
"85",37,0.350195663204355,0.25
"86",38,0.356688973983328,0.25
"87",39,0.362986024181278,0.25
"88",40,0.369251680312776,0.25
"89",41,0.37556072852549,0.25
"90",42,0.38180690387526,0.25
"91",43,0.388123222879361,0.25
"92",44,0.394533797876972,0.25
"93",45,0.400832476587958,0.25
"94",46,0.407358683707691,0.25
"95",47,0.413946086745363,0.25
"96",48,0.420628742271605,0.25
"97",49,0.427499136767498,0.25
"98",50,0.434275430669108,0.25
"99",51,0.441090831878713,0.25
"100",52,0.448142170297315,0.25
"101",53,0.455006867086947,0.25
"102",54,0.462094924268474,0.25
"103",55,0.469504238887576,0.25
"104",56,0.477226470820825,0.25
"105",57,0.485019120931515,0.25
"106",58,0.492743845630062,0.25
"107",59,0.500940845611111,0.25
"108",60,0.509992251777534,0.25
"109",61,0.519472477352198,0.25
"110",62,0.529018620224151,0.25
"111",63,0.538401917528622,0.25
"112",64,0.548037321961275,0.25
"113",65,0.557940402362631,0.25
"114",66,0.568036782396123,0.25
"115",10,0.0109180660180483,0.5
"116",11,0.0224708587277599,0.5
"117",12,0.0352541406788332,0.5
"118",13,0.0488764398360379,0.5
"119",14,0.0623407654305351,0.5
"120",15,0.0758636558274104,0.5
"121",16,0.0970765043588526,0.5
"122",17,0.119116637077239,0.5
"123",18,0.141192604193247,0.5
"124",19,0.162468914272428,0.5
"125",20,0.182938575132228,0.5
"126",21,0.201054872110081,0.5
"127",22,0.217405270610119,0.5
"128",23,0.232201130715964,0.5
"129",24,0.246399735053173,0.5
"130",25,0.257713148539015,0.5
"131",26,0.267998850179652,0.5
"132",27,0.277942531042818,0.5
"133",28,0.287678063874544,0.5
"134",29,0.296924816370219,0.5
"135",30,0.305865371647941,0.5
"136",31,0.314218039286074,0.5
"137",32,0.322420551750112,0.5
"138",33,0.330623204890955,0.5
"139",34,0.338441308431395,0.5
"140",35,0.345719723302221,0.5
"141",36,0.352812958195385,0.5
"142",37,0.359630816018309,0.5
"143",38,0.366321257605297,0.5
"144",39,0.372738081665887,0.5
"145",40,0.379172512290416,0.5
"146",41,0.385519570545764,0.5
"147",42,0.391853123518004,0.5
"148",43,0.398364295354389,0.5
"149",44,0.404851123635776,0.5
"150",45,0.41129445570222,0.5
"151",46,0.417876810406126,0.5
"152",47,0.424618937757016,0.5
"153",48,0.431505980374271,0.5
"154",49,0.438552129732922,0.5
"155",50,0.445472615839403,0.5
"156",51,0.452389397067069,0.5
"157",52,0.459549634802678,0.5
"158",53,0.466628643637776,0.5
"159",54,0.473842820595521,0.5
"160",55,0.481506932281267,0.5
"161",56,0.48952296578527,0.5
"162",57,0.497564732894792,0.5
"163",58,0.505478706794064,0.5
"164",59,0.513959184943295,0.5
"165",60,0.523397062857546,0.5
"166",61,0.533113997922368,0.5
"167",62,0.542861036138599,0.5
"168",63,0.552749366431552,0.5
"169",64,0.562746121976268,0.5
"170",65,0.573009743797354,0.5
"171",66,0.583674318450108,0.5
"172",10,0.0133608588446141,0.75
"173",11,0.025848863830667,0.75
"174",12,0.0395096203206688,0.75
"175",13,0.0539315600642012,0.75
"176",14,0.0679932732781416,0.75
"177",15,0.0820316289069307,0.75
"178",16,0.104330723783746,0.75
"179",17,0.127128769549726,0.75
"180",18,0.149465414930149,0.75
"181",19,0.170897145491035,0.75
"182",20,0.191206256658726,0.75
"183",21,0.209497229164753,0.75
"184",22,0.225884311048285,0.75
"185",23,0.24081945951664,0.75
"186",24,0.254939891880715,0.75
"187",25,0.266516366642385,0.75
"188",26,0.276851291457408,0.75
"189",27,0.286894554807535,0.75
"190",28,0.296740491944477,0.75
"191",29,0.306001002745435,0.75
"192",30,0.315097062801316,0.75
"193",31,0.323600656914568,0.75
"194",32,0.331847935332166,0.75
"195",33,0.340079502837336,0.75
"196",34,0.347919030511744,0.75
"197",35,0.355381854832717,0.75
"198",36,0.362602185931425,0.75
"199",37,0.369543960146446,0.75
"200",38,0.376356942776542,0.75
"201",39,0.382910224918326,0.75
"202",40,0.389404981204014,0.75
"203",41,0.395879197521971,0.75
"204",42,0.40244222629662,0.75
"205",43,0.409034609681513,0.75
"206",44,0.415672206831132,0.75
"207",45,0.422257067680354,0.75
"208",46,0.428971128458931,0.75
"209",47,0.435875703361909,0.75
"210",48,0.443114975521936,0.75
"211",49,0.450257987959906,0.75
"212",50,0.457359198021781,0.75
"213",51,0.46454765915749,0.75
"214",52,0.471946033032671,0.75
"215",53,0.479158121325966,0.75
"216",54,0.486681319214523,0.75
"217",55,0.494504618772088,0.75
"218",56,0.50269381526582,0.75
"219",57,0.510825775528321,0.75
"220",58,0.519044183571764,0.75
"221",59,0.527864230425879,0.75
"222",60,0.537655072906983,0.75
"223",61,0.547851338244102,0.75
"224",62,0.557957239579725,0.75
"225",63,0.567987938351366,0.75
"226",64,0.578341635648606,0.75
"227",65,0.58886522182477,0.75
"228",66,0.599999807064729,0.75
"229",10,0.0188957650533453,0.975
"230",11,0.0332737544867247,0.975
"231",12,0.0483679270811014,0.975
"232",13,0.0642584672306109,0.975
"233",14,0.0793475944798748,0.975
"234",15,0.0944557305604412,0.975
"235",16,0.118858124042974,0.975
"236",17,0.143120741897176,0.975
"237",18,0.165965038468654,0.975
