"","month","value","quantile"
"1",10,0.00545591240155482,0.025
"2",11,0.0141847217424315,0.025
"3",12,0.0243532264794268,0.025
"4",13,0.035584483760207,0.025
"5",14,0.0472925124260422,0.025
"6",15,0.0594022634757941,0.025
"7",16,0.0775895605248775,0.025
"8",17,0.0975850061819674,0.025
"9",18,0.119493113030735,0.025
"10",19,0.142006772197932,0.025
"11",20,0.164644619143739,0.025
"12",21,0.184546513252297,0.025
"13",22,0.202314936721218,0.025
"14",23,0.218678086028063,0.025
"15",24,0.234714004489455,0.025
"16",25,0.24707047905608,0.025
"17",26,0.258241231763631,0.025
"18",27,0.269084339016323,0.025
"19",28,0.279570377858106,0.025
"20",29,0.289872036989019,0.025
"21",30,0.299573601078411,0.025
"22",31,0.308662220714524,0.025
"23",32,0.317668857980904,0.025
"24",33,0.326407613147259,0.025
"25",34,0.334947753194145,0.025
"26",35,0.342679704802391,0.025
"27",36,0.350292471743929,0.025
"28",37,0.357633017361194,0.025
"29",38,0.364762241748857,0.025
"30",39,0.371595881638923,0.025
"31",40,0.378363361375663,0.025
"32",41,0.384890308262531,0.025
"33",42,0.391583495679177,0.025
"34",43,0.398299619691709,0.025
"35",44,0.405163489540444,0.025
"36",45,0.411702244286745,0.025
"37",46,0.418533164586258,0.025
"38",47,0.425582200237708,0.025
"39",48,0.432538781994367,0.025
"40",49,0.43957696857843,0.025
"41",50,0.446607735592651,0.025
"42",51,0.453694413434694,0.025
"43",52,0.460979341717717,0.025
"44",53,0.4678811113001,0.025
"45",54,0.475430405657952,0.025
"46",55,0.482934085525884,0.025
"47",56,0.490441133825234,0.025
"48",57,0.498453318908752,0.025
"49",58,0.506292007311262,0.025
"50",59,0.514496738750651,0.025
"51",60,0.523735500027278,0.025
"52",61,0.533474105406164,0.025
"53",62,0.54302099289699,0.025
"54",63,0.552520823943893,0.025
"55",64,0.562101051491986,0.025
"56",65,0.571981355613868,0.025
"57",66,0.582169550518137,0.025
"58",10,0.00874537429587251,0.25
"59",11,0.0193518644704348,0.25
"60",12,0.031208109471605,0.25
"61",13,0.0439436027424257,0.25
"62",14,0.0567803048250254,0.25
"63",15,0.069892309401099,0.25
"64",16,0.0901574306644919,0.25
"65",17,0.112160813119312,0.25
"66",18,0.135148341398173,0.25
"67",19,0.158079370161636,0.25
"68",20,0.18066545549754,0.25
"69",21,0.200589640667737,0.25
"70",22,0.218557012285047,0.25
"71",23,0.235015605806564,0.25
"72",24,0.250917488485245,0.25
"73",25,0.263450283208095,0.25
"74",26,0.274759802535525,0.25
"75",27,0.285711265282185,0.25
"76",28,0.296351037825608,0.25
"77",29,0.306637670125933,0.25
"78",30,0.316622178634063,0.25
"79",31,0.325781219688657,0.25
"80",32,0.334810469439855,0.25
"81",33,0.343821070976121,0.25
"82",34,0.352376900324845,0.25
"83",35,0.360360491939655,0.25
"84",36,0.36814317210181,0.25
"85",37,0.375639066576004,0.25
"86",38,0.382938033853462,0.25
"87",39,0.38992735572686,0.25
"88",40,0.396846764351485,0.25
"89",41,0.403697322306416,0.25
"90",42,0.410514366407539,0.25
"91",43,0.417542344869745,0.25
"92",44,0.424596083703631,0.25
"93",45,0.431434894506358,0.25
"94",46,0.438560529530343,0.25
"95",47,0.445766129258788,0.25
"96",48,0.453084507273633,0.25
"97",49,0.460570778995053,0.25
"98",50,0.467843235592615,0.25
"99",51,0.475200308590252,0.25
"100",52,0.48280662803663,0.25
"101",53,0.490281575953417,0.25
"102",54,0.497893909171361,0.25
"103",55,0.505744230194593,0.25
"104",56,0.513996634152705,0.25
"105",57,0.522325905536993,0.25
"106",58,0.530596821254907,0.25
"107",59,0.539367700986131,0.25
"108",60,0.549035868970491,0.25
"109",61,0.559200119874606,0.25
"110",62,0.569462714694293,0.25
"111",63,0.579587968819709,0.25
"112",64,0.589930253497653,0.25
"113",65,0.600517239387821,0.25
"114",66,0.611399832007239,0.25
"115",10,0.0108919137098069,0.5
"116",11,0.0225212846880161,0.5
"117",12,0.0352464334490431,0.5
"118",13,0.0487685066640349,0.5
"119",14,0.0621459392019325,0.5
"120",15,0.0758324172872678,0.5
"121",16,0.0973952991687289,0.5
"122",17,0.120185544631477,0.5
"123",18,0.143634388080103,0.5
"124",19,0.166659673742489,0.5
"125",20,0.189232785041685,0.5
"126",21,0.209271355501524,0.5
"127",22,0.227391984618226,0.5
"128",23,0.243852239642704,0.5
"129",24,0.259765142723893,0.5
"130",25,0.272465720099949,0.5
"131",26,0.28394404119284,0.5
"132",27,0.295034851840371,0.5
"133",28,0.305795899545335,0.5
"134",29,0.316057997823922,0.5
"135",30,0.326024578398097,0.5
"136",31,0.335275036441646,0.5
"137",32,0.344392825586925,0.5
"138",33,0.353512262529238,0.5
"139",34,0.362186434602885,0.5
"140",35,0.370306190686153,0.5
"141",36,0.378078304171147,0.5
"142",37,0.385740401626631,0.5
"143",38,0.393100945881854,0.5
"144",39,0.400230578777793,0.5
"145",40,0.407316472113092,0.5
"146",41,0.414384081326531,0.5
"147",42,0.421311045856548,0.5
"148",43,0.428428807591248,0.5
"149",44,0.435610528973559,0.5
"150",45,0.442681189755536,0.5
"151",46,0.449933481585852,0.5
