"","month","value","quantile"
"1",10,0.00164130724672283,0.025
"2",11,0.00422929426559205,0.025
"3",12,0.00680871055003071,0.025
"4",13,0.00951132578760574,0.025
"5",14,0.0122367372354432,0.025
"6",15,0.0150599419013949,0.025
"7",16,0.0180227120804314,0.025
"8",17,0.0211150723664041,0.025
"9",18,0.0243228786879459,0.025
"10",19,0.0275291028886488,0.025
"11",20,0.0307711599933111,0.025
"12",21,0.034260076682002,0.025
"13",22,0.0377623221506399,0.025
"14",23,0.0413464310619956,0.025
"15",24,0.0449457857917518,0.025
"16",25,0.0488649040160957,0.025
"17",26,0.052957867392645,0.025
"18",27,0.0571558764202139,0.025
"19",28,0.0613926468840589,0.025
"20",29,0.0655370529074825,0.025
"21",30,0.0699044061079341,0.025
"22",31,0.0743014573163474,0.025
"23",32,0.0787420044775765,0.025
"24",33,0.0832453122702052,0.025
"25",34,0.0875254612323845,0.025
"26",35,0.0917852818839415,0.025
"27",36,0.0961476609243976,0.025
"28",37,0.100507211606955,0.025
"29",38,0.10530185320986,0.025
"30",39,0.110281077635673,0.025
"31",40,0.115288689346337,0.025
"32",41,0.120352643144124,0.025
"33",42,0.125343084151673,0.025
"34",43,0.129976362697005,0.025
"35",44,0.134543294767134,0.025
"36",45,0.139084945335229,0.025
"37",46,0.143854697413844,0.025
"38",47,0.148694054274059,0.025
"39",48,0.153666289178075,0.025
"40",49,0.158728099459541,0.025
"41",50,0.163947410260141,0.025
"42",51,0.169476923693188,0.025
"43",52,0.175118044769007,0.025
"44",53,0.180783088983111,0.025
"45",54,0.186642826883529,0.025
"46",55,0.19234380286997,0.025
"47",56,0.197774804075508,0.025
"48",57,0.2033828683744,0.025
"49",58,0.208988750050766,0.025
"50",59,0.214099768536226,0.025
"51",60,0.21953523934013,0.025
"52",61,0.224890433088348,0.025
"53",62,0.230409501032718,0.025
"54",63,0.235496427698728,0.025
"55",64,0.239756484609715,0.025
"56",65,0.244215600929565,0.025
"57",66,0.248623329070982,0.025
"58",10,0.00264953434332257,0.25
"59",11,0.00579515507843708,0.25
"60",12,0.00869561064210481,0.25
"61",13,0.0117392615254404,0.25
"62",14,0.0148176943377111,0.25
"63",15,0.0179438186463525,0.25
"64",16,0.0211566653498752,0.25
"65",17,0.0245491840141188,0.25
"66",18,0.0280154772939754,0.25
"67",19,0.0314813536401415,0.25
"68",20,0.0349697402883972,0.25
"69",21,0.0386342589381285,0.25
"70",22,0.0423446456026638,0.25
"71",23,0.0461089558210262,0.25
"72",24,0.0500411874841471,0.25
"73",25,0.0542209551960507,0.25
"74",26,0.0585869796411883,0.25
"75",27,0.0630275055553174,0.25
"76",28,0.0674313337639855,0.25
"77",29,0.0717803639284561,0.25
"78",30,0.0763869703822405,0.25
"79",31,0.0810483104578435,0.25
"80",32,0.0857123953411188,0.25
"81",33,0.0903082445139915,0.25
"82",34,0.0948618288682306,0.25
"83",35,0.0994625747323977,0.25
"84",36,0.104000559310801,0.25
"85",37,0.108584704669264,0.25
"86",38,0.113616752468726,0.25
"87",39,0.118855887352998,0.25
"88",40,0.124152655712908,0.25
"89",41,0.129438994704009,0.25
"90",42,0.134560692015475,0.25
"91",43,0.139348138580474,0.25
"92",44,0.144149298346161,0.25
"93",45,0.148986790128087,0.25
"94",46,0.153927447919,0.25
"95",47,0.158888668296706,0.25
"96",48,0.164159069147125,0.25
"97",49,0.169389267263221,0.25
"98",50,0.174894953019675,0.25
"99",51,0.180756679869817,0.25
"100",52,0.186746401649023,0.25
"101",53,0.192748804068342,0.25
"102",54,0.198893923608806,0.25
"103",55,0.204847132152954,0.25
"104",56,0.210752647203639,0.25
"105",57,0.21667014400845,0.25
"106",58,0.222663519770708,0.25
"107",59,0.228163420540132,0.25
"108",60,0.233949304427583,0.25
"109",61,0.239688727814541,0.25
"110",62,0.245496434533977,0.25
"111",63,0.250873964653932,0.25
"112",64,0.255727780005257,0.25
"113",65,0.26049172893237,0.25
"114",66,0.265279108202323,0.25
"115",10,0.00331989913577735,0.5
"116",11,0.00673930323280503,0.5
"117",12,0.00986746228809517,0.5
"118",13,0.013081526902091,0.5
"119",14,0.0163329728671659,0.5
"120",15,0.0195844384534097,0.5
"121",16,0.0229652983953527,0.5
"122",17,0.0264807734354243,0.5
"123",18,0.030053471475277,0.5
"124",19,0.0336605369943765,0.5
"125",20,0.0372855489303189,0.5
