"","month","value","quantile"
"1",10,0.00174601130465227,0.025
"2",11,0.00449647743921629,0.025
"3",12,0.00715141941331719,0.025
"4",13,0.0100275252140224,0.025
"5",14,0.0129812216564015,0.025
"6",15,0.0159687670886911,0.025
"7",16,0.0190986199029545,0.025
"8",17,0.0223299200067604,0.025
"9",18,0.0256877422144847,0.025
"10",19,0.0290972034220467,0.025
"11",20,0.0324909468390404,0.025
"12",21,0.0361601081581209,0.025
"13",22,0.0398118894089715,0.025
"14",23,0.0435117168770494,0.025
"15",24,0.0474364190933023,0.025
"16",25,0.0515032667603001,0.025
"17",26,0.0558238359528326,0.025
"18",27,0.0602855591536652,0.025
"19",28,0.0648277715522492,0.025
"20",29,0.0693051795501336,0.025
"21",30,0.0741398686814715,0.025
"22",31,0.0789598011086644,0.025
"23",32,0.0838395368593165,0.025
"24",33,0.0886316648208727,0.025
"25",34,0.0934149389681709,0.025
"26",35,0.0982268464210514,0.025
"27",36,0.103000281944791,0.025
"28",37,0.107948966669029,0.025
"29",38,0.113330835863671,0.025
"30",39,0.118909494464989,0.025
"31",40,0.124515082773874,0.025
"32",41,0.130154590121604,0.025
"33",42,0.135672820900076,0.025
"34",43,0.14072337254811,0.025
"35",44,0.145908251916289,0.025
"36",45,0.151186430372459,0.025
"37",46,0.156477578431364,0.025
"38",47,0.161852783775477,0.025
"39",48,0.167685519442862,0.025
"40",49,0.173514392277883,0.025
"41",50,0.17961079674605,0.025
"42",51,0.186171187234369,0.025
"43",52,0.192916458190242,0.025
"44",53,0.199878866039817,0.025
"45",54,0.206955398093217,0.025
"46",55,0.213697546116338,0.025
"47",56,0.22017189099765,0.025
"48",57,0.226937985792653,0.025
"49",58,0.233585176701285,0.025
"50",59,0.239622272992359,0.025
"51",60,0.24597041125361,0.025
"52",61,0.252200998352101,0.025
"53",62,0.258577608798703,0.025
"54",63,0.264379114592589,0.025
"55",64,0.269368359672718,0.025
"56",65,0.274284105111187,0.025
"57",66,0.279126410841895,0.025
"58",10,0.00281856997321877,0.25
"59",11,0.00615394244376102,0.25
"60",12,0.00925093651452373,0.25
"61",13,0.0124863860651857,0.25
"62",14,0.0157530884949115,0.25
"63",15,0.019047717131132,0.25
"64",16,0.0224352673009533,0.25
"65",17,0.0259831130899392,0.25
"66",18,0.0295955417034467,0.25
"67",19,0.0332531399594118,0.25
"68",20,0.0369384974211781,0.25
"69",21,0.0408096964718124,0.25
"70",22,0.0447641395115409,0.25
"71",23,0.048754747564461,0.25
"72",24,0.052819768561484,0.25
"73",25,0.0572594539531579,0.25
"74",26,0.0619316907300733,0.25
"75",27,0.0666356695223103,0.25
"76",28,0.0713585920997403,0.25
"77",29,0.0760951409548457,0.25
"78",30,0.0811513151757926,0.25
"79",31,0.0862048407683204,0.25
"80",32,0.0912931118025197,0.25
"81",33,0.0963500005970368,0.25
"82",34,0.101365530638431,0.25
"83",35,0.106442416583284,0.25
"84",36,0.111500566164073,0.25
"85",37,0.116597302085967,0.25
"86",38,0.122209796042075,0.25
"87",39,0.12805745570579,0.25
"88",40,0.133918403274592,0.25
"89",41,0.139872117832134,0.25
"90",42,0.145689530042719,0.25
"91",43,0.15103276046094,0.25
"92",44,0.156532022090487,0.25
"93",45,0.161943439564512,0.25
"94",46,0.167548974575985,0.25
"95",47,0.17323755038363,0.25
"96",48,0.179321871452736,0.25
"97",49,0.185418094327944,0.25
"98",50,0.191875111131882,0.25
"99",51,0.198773661416209,0.25
"100",52,0.205957199618281,0.25
"101",53,0.213187534555604,0.25
"102",54,0.220478247707558,0.25
"103",55,0.227586214778444,0.25
"104",56,0.234522015578796,0.25
"105",57,0.24159667327005,0.25
"106",58,0.248782138699153,0.25
"107",59,0.255212404343537,0.25
"108",60,0.26196399357917,0.25
"109",61,0.268717759368429,0.25
"110",62,0.275497111844484,0.25
"111",63,0.281738185364673,0.25
"112",64,0.287160508507372,0.25
"113",65,0.292522546565099,0.25
"114",66,0.297899253964857,0.25
"115",10,0.00351672240627731,0.5
"116",11,0.00714801546726442,0.5
"117",12,0.0104676521149871,0.5
"118",13,0.0138857161454507,0.5
"119",14,0.017339579526753,0.5
"120",15,0.0207838785136791,0.5
"121",16,0.0243255864081206,0.5
"122",17,0.028005532440737,0.5
"123",18,0.0317861282863699,0.5
"124",19,0.035576005048256,0.5
"125",20,0.0393938620334594,0.5
"126",21,0.0434195154869947,0.5
"127",22,0.0475135969257428,0.5
"128",23,0.0516281307791139,0.5
"129",24,0.0558398574725838,0.5
"130",25,0.0604172723449974,0.5
"131",26,0.065243619620651,0.5
"132",27,0.0700894180415812,0.5
"133",28,0.0749219648195409,0.5
"134",29,0.0798020106929394,0.5
"135",30,0.0850000399804406,0.5
"136",31,0.090196547734549,0.5
"137",32,0.0954494806189876,0.5
"138",33,0.100622912436687,0.5
"139",34,0.105764373777304,0.5
"140",35,0.110966110254655,0.5
"141",36,0.116118340995657,0.5
"142",37,0.121369993495031,0.5
"143",38,0.127100772207802,0.5
"144",39,0.133121705737202,0.5
"145",40,0.139182121594243,0.5
"146",41,0.145255429085109,0.5
"147",42,0.151161654695932,0.5
"148",43,0.156670401249643,0.5
"149",44,0.162282267222665,0.5
"150",45,0.167887930964819,0.5
"151",46,0.173619841152186,0.5
"152",47,0.179457462673533,0.5
"153",48,0.185697370483281,0.5
"154",49,0.191973084412679,0.5
"155",50,0.198588034085547,0.5
"156",51,0.205670056698076,0.5
"157",52,0.213019588207604,0.5
"158",53,0.220429744704494,0.5
"159",54,0.228004388562772,0.5
"160",55,0.235380131643205,0.5
"161",56,0.242555739881961,0.5
"162",57,0.249822225504346,0.5
"163",58,0.257125674860825,0.5
"164",59,0.263755390531856,0.5
"165",60,0.270862315920805,0.5
"166",61,0.277853393698459,0.5
"167",62,0.284969859151951,0.5
"168",63,0.29140015515629,0.5
"169",64,0.297133106609388,0.5
"170",65,0.302802077911434,0.5
"171",66,0.308450153149522,0.5
"172",10,0.00433231350374676,0.75
"173",11,0.00823929731462372,0.75
"174",12,0.0117828969667816,0.75
"175",13,0.0153939444208928,0.75
"176",14,0.0190143187552501,0.75
"177",15,0.0226226735766735,0.75
"178",16,0.0263359686807674,0.75
"179",17,0.0301497210816815,0.75
"180",18,0.0340702004596178,0.75
"181",19,0.0380071041025342,0.75
"182",20,0.0419355194808926,0.75
"183",21,0.0461204484867484,0.75
"184",22,0.0503441187571817,0.75
"185",23,0.0546164707317551,0.75
"186",24,0.058962847586912,0.75
"187",25,0.0636832771412171,0.75
"188",26,0.0686783653477551,0.75
"189",27,0.0736969317452481,0.75
"190",28,0.0787008190995383,0.75
"191",29,0.0836728643484352,0.75
"192",30,0.089048178214121,0.75
"193",31,0.0943516155498281,0.75
"194",32,0.0997124144564542,0.75
"195",33,0.105006436183116,0.75
"196",34,0.11031286085045,0.75
"197",35,0.115669904345352,0.75
"198",36,0.120974672202315,0.75
"199",37,0.12634820559203,0.75
"200",38,0.132270887138006,0.75
"201",39,0.138442838294035,0.75
"202",40,0.144592656281367,0.75
"203",41,0.150779245528234,0.75
"204",42,0.156840459045383,0.75
"205",43,0.162483413977413,0.75
"206",44,0.168254636690568,0.75
"207",45,0.174023531607076,0.75
"208",46,0.179899337410982,0.75
"209",47,0.185904964290569,0.75
"210",48,0.192299762570162,0.75
"211",49,0.198719683592303,0.75
"212",50,0.20558125851013,0.75
"213",51,0.212931563341843,0.75
"214",52,0.220502484407232,0.75
"215",53,0.228188586797186,0.75
"216",54,0.235900904147315,0.75
"217",55,0.243543979024043,0.75
"218",56,0.250936969380668,0.75
"219",57,0.258404509605948,0.75
"220",58,0.265905882822399,0.75
"221",59,0.272739342503932,0.75
"222",60,0.280160158212422,0.75
"223",61,0.28743146566133,0.75
"224",62,0.2947833299503,0.75
"225",63,0.301494251842761,0.75
"226",64,0.307394342925542,0.75
"227",65,0.313258002975284,0.75
"228",66,0.319263157199635,0.75
"229",10,0.00613807137526094,0.975
"230",11,0.0105998493104616,0.975
"231",12,0.0145574393189296,0.975
"232",13,0.0185021244301271,0.975
"233",14,0.0224484533102398,0.975
"234",15,0.0263897063397182,0.975
"235",16,0.0304213165584599,0.975
"236",17,0.034574223193129,0.975
"237",18,0.0387959024816798,0.975
"238",19,0.0429892457935983,0.975
"239",20,0.0471382149484281,0.975
"240",21,0.0516553006354578,0.975
"241",22,0.0561179696172492,0.975
"242",23,0.060704221995629,0.975
"243",24,0.0653133294323944,0.975
"244",25,0.0703287936369768,0.975
"245",26,0.0755401790537847,0.975
"246",27,0.080774393048706,0.975
"247",28,0.0860104787824291,0.975
"248",29,0.091226919070527,0.975
"249",30,0.096875134681682,0.975
"250",31,0.102538579387276,0.975
"251",32,0.108190988036389,0.975
"252",33,0.113706991358664,0.975
"253",34,0.119342040319938,0.975
"254",35,0.125005336749081,0.975
"255",36,0.130589950916293,0.975
"256",37,0.136197376900272,0.975
"257",38,0.142383778785885,0.975
"258",39,0.148679261652016,0.975
"259",40,0.155281869649272,0.975
"260",41,0.161924312969603,0.975
"261",42,0.168187345314656,0.975
"262",43,0.17422007839577,0.975
"263",44,0.18035709977582,0.975
"264",45,0.186275584541717,0.975
"265",46,0.192408616845563,0.975
"266",47,0.198800208769544,0.975
"267",48,0.205598169967408,0.975
"268",49,0.212397888246235,0.975
"269",50,0.219634663052397,0.975
"270",51,0.227210053140862,0.975
"271",52,0.235292721294073,0.975
"272",53,0.243325936702978,0.975
"273",54,0.251529880751366,0.975
"274",55,0.259507693927166,0.975
"275",56,0.267326365766155,0.975
"276",57,0.275456139908883,0.975
"277",58,0.283364631297792,0.975
"278",59,0.290404987250053,0.975
"279",60,0.298206909263266,0.975
"280",61,0.306115041517495,0.975
"281",62,0.314134156901937,0.975
"282",63,0.321237908679337,0.975
"283",64,0.327809445401594,0.975
"284",65,0.334243767895689,0.975
"285",66,0.340903538170033,0.975
