"","month","value","quantile"
"1",10,0.00376680533756987,0.025
"2",11,0.010246630431628,0.025
"3",12,0.0183399248827481,0.025
"4",13,0.0260439694317418,0.025
"5",14,0.0347816910455636,0.025
"6",15,0.0437187169142985,0.025
"7",16,0.0552996692889961,0.025
"8",17,0.0725575432315708,0.025
"9",18,0.0978152315586978,0.025
"10",19,0.126168751114081,0.025
"11",20,0.15329779924833,0.025
"12",21,0.175203362425358,0.025
"13",22,0.193295398895607,0.025
"14",23,0.208610288018428,0.025
"15",24,0.221959852300448,0.025
"16",25,0.233020815157096,0.025
"17",26,0.242402816941504,0.025
"18",27,0.251683086238325,0.025
"19",28,0.260891865919583,0.025
"20",29,0.269815650731442,0.025
"21",30,0.277952280058078,0.025
"22",31,0.28627065943311,0.025
"23",32,0.294540027175244,0.025
"24",33,0.302694617099643,0.025
"25",34,0.310459603149163,0.025
"26",35,0.318093910995222,0.025
"27",36,0.325659002513996,0.025
"28",37,0.33330563821756,0.025
"29",38,0.340576537912189,0.025
"30",39,0.347595567690865,0.025
"31",40,0.354355753365577,0.025
"32",41,0.36108081996782,0.025
"33",42,0.367836017757729,0.025
"34",43,0.374745061221021,0.025
"35",44,0.381558227754417,0.025
"36",45,0.388551057010302,0.025
"37",46,0.395602898138974,0.025
"38",47,0.402813012739032,0.025
"39",48,0.409895377594729,0.025
"40",49,0.417270836568931,0.025
"41",50,0.424596030988731,0.025
"42",51,0.431563954011486,0.025
"43",52,0.43920839697702,0.025
"44",53,0.446722142014969,0.025
"45",54,0.454740422196523,0.025
"46",55,0.463677390904298,0.025
"47",56,0.472712946473427,0.025
"48",57,0.481848200032928,0.025
"49",58,0.490940273544886,0.025
"50",59,0.500284475082156,0.025
"51",60,0.510946121151222,0.025
"52",61,0.520893887618605,0.025
"53",10,0.00607443240194109,0.25
"54",11,0.0139112147491542,0.25
"55",12,0.0231431998766473,0.25
"56",13,0.0317494801059788,0.25
"57",14,0.0414167044677779,0.25
"58",15,0.0511792409536028,0.25
"59",16,0.0638594269918097,0.25
"60",17,0.0829060531904949,0.25
"61",18,0.110428428391633,0.25
"62",19,0.139126145299386,0.25
"63",20,0.165738681703611,0.25
"64",21,0.187476468879169,0.25
"65",22,0.205650863607591,0.25
"66",23,0.220984301057579,0.25
"67",24,0.234398823694004,0.25
"68",25,0.245620875842573,0.25
"69",26,0.255239555274053,0.25
"70",27,0.264748209797268,0.25
"71",28,0.274062591040769,0.25
"72",29,0.283120005210423,0.25
