"","month","value","quantile"
"1",10,0.00370070224114215,0.025
"2",11,0.00990296967517689,0.025
"3",12,0.0177428785914608,0.025
"4",13,0.0252172006023642,0.025
"5",14,0.0337804219868891,0.025
"6",15,0.0425133415033293,0.025
"7",16,0.0540769255751773,0.025
"8",17,0.0705932018856114,0.025
"9",18,0.0942527107898171,0.025
"10",19,0.122150571006572,0.025
"11",20,0.149281454072249,0.025
"12",21,0.170629064964365,0.025
"13",22,0.188252720559837,0.025
"14",23,0.20317842164464,0.025
"15",24,0.216423767470154,0.025
"16",25,0.227265273822559,0.025
"17",26,0.236423082482779,0.025
"18",27,0.245167978867309,0.025
"19",28,0.253975080058639,0.025
"20",29,0.262506276050226,0.025
"21",30,0.270405359919506,0.025
"22",31,0.278091085470825,0.025
"23",32,0.285945704292162,0.025
"24",33,0.29361366135759,0.025
"25",34,0.300836057604669,0.025
"26",35,0.30785888087159,0.025
"27",36,0.314660622804723,0.025
"28",37,0.321559865908196,0.025
"29",38,0.328231259732773,0.025
"30",39,0.334602581378401,0.025
"31",40,0.340706621431231,0.025
"32",41,0.346691139983859,0.025
"33",42,0.352509168018223,0.025
"34",43,0.358504297611926,0.025
"35",44,0.364636933765719,0.025
"36",45,0.370653063595542,0.025
"37",46,0.376796109362396,0.025
"38",47,0.383030669171533,0.025
"39",48,0.389250859738264,0.025
"40",49,0.39570037699784,0.025
"41",50,0.401919161333849,0.025
"42",51,0.408160433256488,0.025
"43",52,0.414796700125033,0.025
"44",53,0.421340261183737,0.025
"45",54,0.428269973793717,0.025
"46",55,0.435879475645311,0.025
"47",56,0.443623197255864,0.025
"48",57,0.451601328055236,0.025
"49",58,0.459546256401945,0.025
"50",59,0.467643800174955,0.025
"51",60,0.476996020891082,0.025
"52",61,0.485867157261919,0.025
"53",10,0.00590266691242446,0.25
"54",11,0.0134594898662596,0.25
"55",12,0.0224300753444779,0.25
"56",13,0.0308637993692655,0.25
"57",14,0.0402698543051871,0.25
"58",15,0.0497528871956681,0.25
"59",16,0.0622158526462713,0.25
"60",17,0.0803947450487758,0.25
"61",18,0.106486152622787,0.25
"62",19,0.134849412106424,0.25
"63",20,0.161547885486179,0.25
"64",21,0.182737887520993,0.25
"65",22,0.200437438750017,0.25
"66",23,0.215525646121889,0.25
"67",24,0.228687630748138,0.25
"68",25,0.239596166402894,0.25
"69",26,0.248943644283215,0.25
"70",27,0.258062998954881,0.25
"71",28,0.267068319749859,0.25
"72",29,0.275755244075899,0.25
"73",30,0.283695708045795,0.25
"74",31,0.291659356638829,0.25
"75",32,0.299826546313237,0.25
"76",33,0.307538498311803,0.25
"77",34,0.314957372172458,0.25
"78",35,0.322224774368759,0.25
"79",36,0.329334059413796,0.25
"80",37,0.336455626431843,0.25
"81",38,0.343226532299294,0.25
"82",39,0.34980897358228,0.25
"83",40,0.356132479233912,0.25
"84",41,0.362377358755226,0.25
"85",42,0.368677776233482,0.25
"86",43,0.375005952270783,0.25
"87",44,0.381379571970197,0.25
"88",45,0.38783547767917,0.25
"89",46,0.394302157473493,0.25
"90",47,0.400871969122901,0.25
"91",48,0.407459180039938,0.25
"92",49,0.414137563158993,0.25
"93",50,0.420787320490165,0.25
"94",51,0.42730587109223,0.25
"95",52,0.434281620919299,0.25
"96",53,0.441275577995233,0.25
"97",54,0.448470551287632,0.25
"98",55,0.456642987245953,0.25
"99",56,0.464949181034843,0.25
"100",57,0.473389953754284,0.25
"101",58,0.481760133066052,0.25
"102",59,0.490397891533938,0.25
"103",60,0.500218777000104,0.25
"104",61,0.510127476350253,0.25
"105",10,0.00735627122043672,0.5
"106",11,0.0156268369965573,0.5
"107",12,0.0251907654823929,0.5
