"","month","value","quantile"
"1",10,0.00337789931659336,0.025
"2",11,0.00853879447160527,0.025
"3",12,0.0147581515791619,0.025
"4",13,0.0217245219396496,0.025
"5",14,0.0293825204501719,0.025
"6",15,0.0371527352779809,0.025
"7",16,0.0486309731498031,0.025
"8",17,0.0613480351665324,0.025
"9",18,0.0749496670015758,0.025
"10",19,0.0892182175456359,0.025
"11",20,0.102562513742829,0.025
"12",21,0.114084429821524,0.025
"13",22,0.124550452611256,0.025
"14",23,0.134621281675804,0.025
"15",24,0.14390047553007,0.025
"16",25,0.152442228059609,0.025
"17",26,0.160442273875689,0.025
"18",27,0.168588814755261,0.025
"19",28,0.176930258586087,0.025
"20",29,0.185152867657442,0.025
"21",30,0.193637070964411,0.025
"22",31,0.201859415642513,0.025
"23",32,0.21049198004996,0.025
"24",33,0.218583761970092,0.025
"25",34,0.225974713710262,0.025
"26",35,0.233350880114872,0.025
"27",36,0.240743234638049,0.025
"28",37,0.248076756715164,0.025
"29",38,0.256148246895267,0.025
"30",39,0.263990142639351,0.025
"31",40,0.272083166511873,0.025
"32",41,0.280187587111612,0.025
"33",42,0.288238739400232,0.025
"34",43,0.296795185467317,0.025
"35",44,0.30543769752027,0.025
"36",45,0.314133065827587,0.025
"37",46,0.322408241388301,0.025
"38",47,0.331561663653951,0.025
"39",48,0.340826695431441,0.025
"40",49,0.350371513404866,0.025
"41",50,0.36022657268263,0.025
"42",51,0.370624957026412,0.025
"43",52,0.381390257173854,0.025
"44",53,0.392351809351653,0.025
"45",54,0.403310626049708,0.025
"46",55,0.413897719017621,0.025
"47",56,0.424979444652788,0.025
"48",57,0.436422150790869,0.025
"49",58,0.4477983634102,0.025
"50",59,0.459046533516497,0.025
"51",60,0.468970353779434,0.025
"52",61,0.479022207635587,0.025
"53",62,0.489442604114384,0.025
"54",63,0.499217437407594,0.025
"55",64,0.508481727900239,0.025
"56",65,0.517574634357588,0.025
"57",10,0.0053854789947363,0.25
"58",11,0.0116393153940986,0.25
"59",12,0.018845796856499,0.25
"60",13,0.0266675927015255,0.25
"61",14,0.0350980649014059,0.25
"62",15,0.0435169356677906,0.25
