"","month","value","quantile"
"1",10,0.00328867712871424,0.025
"2",11,0.00838550941885965,0.025
"3",12,0.0144221335588614,0.025
"4",13,0.0212143019664762,0.025
"5",14,0.0286153690290464,0.025
"6",15,0.0362900382704825,0.025
"7",16,0.0477018929765283,0.025
"8",17,0.0599040374472448,0.025
"9",18,0.073147575476086,0.025
"10",19,0.0871660545004805,0.025
"11",20,0.100588333561407,0.025
"12",21,0.112201681050683,0.025
"13",22,0.122355218834502,0.025
"14",23,0.132502503611949,0.025
"15",24,0.141579652381175,0.025
"16",25,0.149857273591991,0.025
"17",26,0.157697547200287,0.025
"18",27,0.165760588317275,0.025
"19",28,0.173713473868957,0.025
"20",29,0.181761816428525,0.025
"21",30,0.189906632370472,0.025
"22",31,0.197801397737308,0.025
"23",32,0.205832679737446,0.025
"24",33,0.213619112479116,0.025
"25",34,0.220550463561185,0.025
"26",35,0.22752675674815,0.025
"27",36,0.234650112576454,0.025
"28",37,0.241493759855276,0.025
"29",38,0.248832552334544,0.025
"30",39,0.256054650929466,0.025
"31",40,0.263437650290604,0.025
"32",41,0.270748064492147,0.025
"33",42,0.27811498317822,0.025
"34",43,0.286085948279132,0.025
"35",44,0.293900401704075,0.025
"36",45,0.301528404885443,0.025
"37",46,0.309069906669493,0.025
"38",47,0.317214763792556,0.025
"39",48,0.325302710297298,0.025
"40",49,0.333317768552542,0.025
"41",50,0.341955339417148,0.025
"42",51,0.350958343930688,0.025
"43",52,0.359957357071655,0.025
"44",53,0.369093588874817,0.025
"45",54,0.378268752380169,0.025
"46",55,0.387428400177182,0.025
"47",56,0.3968061168501,0.025
"48",57,0.406395421739018,0.025
"49",58,0.415996478939155,0.025
"50",59,0.425779489951816,0.025
"51",60,0.434382826542931,0.025
"52",61,0.443595822252782,0.025
"53",62,0.452470940649514,0.025
"54",63,0.461290296718461,0.025
"55",64,0.469418441676995,0.025
"56",65,0.477862624715085,0.025
"57",10,0.00525067665180327,0.25
"58",11,0.0113593290569085,0.25
"59",12,0.018349258635505,0.25
"60",13,0.0259791317819264,0.25
"61",14,0.0342240264093592,0.25
"62",15,0.0425077115701942,0.25
"63",16,0.0549410727939799,0.25
"64",17,0.0684253104034596,0.25
"65",18,0.0821066755743715,0.25
"66",19,0.0962380095403832,0.25
"67",20,0.109767137589703,0.25
"68",21,0.121480816178476,0.25
"69",22,0.13198349444858,0.25
"70",23,0.142187961736475,0.25
"71",24,0.151382356038922,0.25
"72",25,0.159891559094534,0.25
"73",26,0.168030585388553,0.25
"74",27,0.17618977581137,0.25
"75",28,0.184326798059578,0.25
"76",29,0.192354008747692,0.25
"77",30,0.200686029015868,0.25
"78",31,0.208872507595046,0.25
"79",32,0.217132346846812,0.25
"80",33,0.225045120546517,0.25
"81",34,0.232175091625522,0.25
"82",35,0.239372813257221,0.25
"83",36,0.246539390431867,0.25
"84",37,0.253557143021595,0.25
"85",38,0.26126682516045,0.25
"86",39,0.268863702370223,0.25
"87",40,0.276435519751497,0.25
"88",41,0.284065298566059,0.25
"89",42,0.29157313034014,0.25
"90",43,0.299723790779252,0.25
