"","month","value","quantile"
"1",10,0.00342751358246329,0.025
"2",11,0.00867532396832904,0.025
"3",12,0.0150228924683202,0.025
"4",13,0.0220414290820994,0.025
"5",14,0.0298016274998839,0.025
"6",15,0.0378603398478047,0.025
"7",16,0.0496345026392007,0.025
"8",17,0.0627505008486669,0.025
"9",18,0.0769003974648947,0.025
"10",19,0.0916638641916918,0.025
"11",20,0.105890360703269,0.025
"12",21,0.117884175411742,0.025
"13",22,0.128920994747848,0.025
"14",23,0.139777784187506,0.025
"15",24,0.149584295910609,0.025
"16",25,0.158700289674882,0.025
"17",26,0.167457188998838,0.025
"18",27,0.17617577702189,0.025
"19",28,0.185210890908559,0.025
"20",29,0.193854351455071,0.025
"21",30,0.203021897581495,0.025
"22",31,0.211942172375981,0.025
"23",32,0.221121094202796,0.025
"24",33,0.230008048515089,0.025
"25",34,0.237803495939069,0.025
"26",35,0.24578105275896,0.025
"27",36,0.253536810590281,0.025
"28",37,0.261572969630781,0.025
"29",38,0.270255251322441,0.025
"30",39,0.278955765180278,0.025
"31",40,0.287640393001212,0.025
"32",41,0.29641045283408,0.025
"33",42,0.30517189314771,0.025
"34",43,0.3145367786993,0.025
"35",44,0.323903981455184,0.025
"36",45,0.3329714082946,0.025
"37",46,0.342099531289588,0.025
"38",47,0.351888682224805,0.025
"39",48,0.361994545018163,0.025
"40",49,0.371950193856817,0.025
"41",50,0.382862485388159,0.025
"42",51,0.393950673683592,0.025
"43",52,0.405538148692639,0.025
"44",53,0.417485828467051,0.025
"45",54,0.429212529334131,0.025
"46",55,0.44068679631642,0.025
"47",56,0.452257649587096,0.025
"48",57,0.464610091960491,0.025
"49",58,0.477055046414233,0.025
"50",59,0.488940550866528,0.025
"51",60,0.49973637185296,0.025
"52",61,0.51074478746361,0.025
"53",62,0.52195409694893,0.025
"54",63,0.532497980592893,0.025
"55",64,0.541895276117454,0.025
"56",65,0.551665113685997,0.025
"57",10,0.00545667184152827,0.25
"58",11,0.0118326965228292,0.25
"59",12,0.0191479342218814,0.25
"60",13,0.0270726311285602,0.25
"61",14,0.0356379423199418,0.25
"62",15,0.044325371863259,0.25
"63",16,0.0572503412195431,0.25
"64",17,0.0715078637757195,0.25
"65",18,0.086411807282318,0.25
"66",19,0.101330752002755,0.25
"67",20,0.115675875039643,0.25
"68",21,0.128098282046059,0.25
"69",22,0.139409489150371,0.25
"70",23,0.15035626081898,0.25
"71",24,0.160339263888694,0.25
"72",25,0.169642284397928,0.25
"73",26,0.178569872213924,0.25
"74",27,0.187570692810142,0.25
"75",28,0.196587589407991,0.25
"76",29,0.205492041922677,0.25
"77",30,0.214934352142019,0.25
"78",31,0.224186101728495,0.25
"79",32,0.233660972900036,0.25
"80",33,0.242541576869881,0.25
"81",34,0.250758882454579,0.25
"82",35,0.258830779161765,0.25
"83",36,0.267099520746884,0.25
"84",37,0.275197302860616,0.25
"85",38,0.284142126290304,0.25
"86",39,0.293098455980052,0.25
"87",40,0.302051167691096,0.25
"88",41,0.310988983208962,0.25
"89",42,0.319993024574167,0.25
"90",43,0.329648409964769,0.25
"91",44,0.339305796303241,0.25
"92",45,0.348724438228225,0.25
"93",46,0.358122070234423,0.25
"94",47,0.368332446506907,0.25
"95",48,0.37878758442583,0.25
"96",49,0.389076455593172,0.25
"97",50,0.400250887061838,0.25
"98",51,0.412069844417574,0.25
"99",52,0.424122984928546,0.25
"100",53,0.436266268847815,0.25
"101",54,0.44838514046022,0.25
"102",55,0.460435187476321,0.25
"103",56,0.472775576334551,0.25
"104",57,0.485420765541897,0.25
"105",58,0.498290634001915,0.25
"106",59,0.510813043580449,0.25
"107",60,0.522140852783748,0.25
"108",61,0.533763433900338,0.25
"109",62,0.545472488762161,0.25
"110",63,0.556627345983803,0.25
"111",64,0.566928122666569,0.25
"112",65,0.577468259808671,0.25
"113",10,0.00677470101283935,0.5
"114",11,0.0136824375943681,0.5
"115",12,0.0215355448549377,0.5
"116",13,0.0299628456038865,0.5
"117",14,0.0389145893804623,0.5
"118",15,0.0479095021582041,0.5
"119",16,0.0615016748348371,0.5
"120",17,0.0764395083568426,0.5
"121",18,0.0916849410228758,0.5
"122",19,0.10669882951821,0.5
"123",20,0.121038718177177,0.5
"124",21,0.133645145138843,0.5
"125",22,0.145056754737046,0.5
"126",23,0.156106701497982,0.5
"127",24,0.166222164783111,0.5
"128",25,0.175559367279187,0.5
"129",26,0.184631856542386,0.5
"130",27,0.193756798294812,0.5
"131",28,0.202819616335144,0.5
"132",29,0.211883050050383,0.5
"133",30,0.221503984376447,0.5
"134",31,0.230838588508932,0.5
"135",32,0.24040574932449,0.5
"136",33,0.249476480441102,0.5
"137",34,0.25779674134429,0.5
"138",35,0.266101458291351,0.5
"139",36,0.274417348437566,0.5
"140",37,0.282675820462758,0.5
"141",38,0.291905843654077,0.5
"142",39,0.300949444130001,0.5
"143",40,0.309953008190714,0.5
"144",41,0.319077732565398,0.5
"145",42,0.328150076213297,0.5
"146",43,0.338087976346055,0.5
"147",44,0.347822713620364,0.5
"148",45,0.357415793592414,0.5
"149",46,0.36695066805454,0.5
"150",47,0.377534077306207,0.5
"151",48,0.388069025600469,0.5
"152",49,0.398510684359812,0.5
"153",50,0.409893751132555,0.5
"154",51,0.421949058277355,0.5
"155",52,0.434308376097152,0.5
"156",53,0.446665361748129,0.5
"157",54,0.459090787497669,0.5
"158",55,0.471411610484618,0.5
"159",56,0.48416252592922,0.5
"160",57,0.49704681604305,0.5
"161",58,0.510166299606152,0.5
"162",59,0.523022915184556,0.5
"163",60,0.534719044207144,0.5
"164",61,0.546728308495677,0.5
"165",62,0.558623454144801,0.5
"166",63,0.57001820121741,0.5
"167",64,0.580866880099668,0.5
"168",65,0.591759338203664,0.5
"169",10,0.00824435418163284,0.75
"170",11,0.0157310931661194,0.75
"171",12,0.0241144265124041,0.75
"172",13,0.0329805610712822,0.75
"173",14,0.0423675075782437,0.75
"174",15,0.0517038363730468,0.75
"175",16,0.0659448179944228,0.75
"176",17,0.0815383953602739,0.75
"177",18,0.0969972915143735,0.75
"178",19,0.112093772250335,0.75
"179",20,0.126588268837809,0.75
"180",21,0.139400847942132,0.75
"181",22,0.150935187464645,0.75
"182",23,0.162037592521962,0.75
"183",24,0.172204543100415,0.75
"184",25,0.18178519173411,0.75
"185",26,0.190952534467965,0.75
"186",27,0.200202765631069,0.75
"187",28,0.209357572259036,0.75
"188",29,0.218502690277399,0.75
"189",30,0.228252546995497,0.75
"190",31,0.237728083817146,0.75
"191",32,0.247420134505848,0.75
"192",33,0.256603938996297,0.75
"193",34,0.265111518351933,0.75
"194",35,0.273611524634568,0.75
"195",36,0.281994637170496,0.75
"196",37,0.290479713213669,0.75
"197",38,0.29983613790951,0.75
"198",39,0.30914620121526,0.75
"199",40,0.318350073573036,0.75
"200",41,0.327529116331529,0.75
"201",42,0.336713350923141,0.75
"202",43,0.346963288576929,0.75
"203",44,0.356937325180608,0.75
"204",45,0.366750960284067,0.75
"205",46,0.376370887993718,0.75
"206",47,0.387169514023695,0.75
"207",48,0.397925269947098,0.75
"208",49,0.408534050817932,0.75
"209",50,0.420115354446872,0.75
"210",51,0.432559488579148,0.75
"211",52,0.44507861142122,0.75
"212",53,0.457718635909298,0.75
"213",54,0.470333133962501,0.75
"214",55,0.48297887225572,0.75
"215",56,0.496146573119201,0.75
"216",57,0.509319913729941,0.75
"217",58,0.522617654420299,0.75
"218",59,0.535762537688834,0.75
"219",60,0.547782632199944,0.75
"220",61,0.560201258579047,0.75
"221",62,0.572424582393272,0.75
"222",63,0.584145063451016,0.75
"223",64,0.59530691715348,0.75
"224",65,0.606739439481536,0.75
"225",10,0.0115267585192354,0.975
"226",11,0.0200897318950829,0.975
"227",12,0.0295632268092929,0.975
"228",13,0.0392970967769338,0.975
"229",14,0.0494098454802859,0.975
"230",15,0.0593577997736654,0.975
"231",16,0.0750146470176875,0.975
"232",17,0.0916612488689359,0.975
"233",18,0.10758696669894,0.975
"234",19,0.122959168418733,0.975
"235",20,0.137384615371279,0.975
"236",21,0.150647319805936,0.975
"237",22,0.162583462132045,0.975
"238",23,0.17401867469658,0.975
"239",24,0.184277310931188,0.975
"240",25,0.194136456128729,0.975
"241",26,0.203679593204324,0.975
"242",27,0.213189144004434,0.975
"243",28,0.222544996428537,0.975
"244",29,0.231784906093392,0.975
"245",30,0.241920620785561,0.975
"246",31,0.2516146821764,0.975
"247",32,0.26167576063737,0.975
"248",33,0.271209325177266,0.975
"249",34,0.280056194482795,0.975
"250",35,0.28896853005483,0.975
"251",36,0.297750261322451,0.975
"252",37,0.306308789591318,0.975
"253",38,0.316338937693781,0.975
"254",39,0.325929372943584,0.975
"255",40,0.335476369400713,0.975
"256",41,0.344977613803716,0.975
"257",42,0.354387229967542,0.975
"258",43,0.364941537854451,0.975
"259",44,0.375298633419989,0.975
"260",45,0.385609934790641,0.975
"261",46,0.395501555089914,0.975
"262",47,0.406736913138867,0.975
"263",48,0.417932603534566,0.975
"264",49,0.428961999593022,0.975
"265",50,0.441199912390526,0.975
"266",51,0.454128055381583,0.975
"267",52,0.467158174132034,0.975
"268",53,0.480551008636741,0.975
"269",54,0.493811973614193,0.975
"270",55,0.507083551867472,0.975
"271",56,0.520736900574905,0.975
"272",57,0.534662990707792,0.975
"273",58,0.548864583770503,0.975
"274",59,0.562767034783845,0.975
"275",60,0.575508308054711,0.975
"276",61,0.588541683966971,0.975
"277",62,0.601566042168681,0.975
"278",63,0.613884871864104,0.975
"279",64,0.625898236992409,0.975
"280",65,0.638650675320927,0.975
