"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.00014078570010991,0.025
"2",11,"F_15-24",0.00150584984299343,0.025
"3",12,"F_15-24",0.00369628397065159,0.025
"4",13,"F_15-24",0.00687145071036161,0.025
"5",14,"F_15-24",0.0106658711335521,0.025
"6",15,"F_15-24",0.0150052171999763,0.025
"7",16,"F_15-24",0.0197804297309738,0.025
"8",17,"F_15-24",0.0240028767932655,0.025
"9",18,"F_15-24",0.0290161713212149,0.025
"10",19,"F_15-24",0.0334469257562966,0.025
"11",20,"F_15-24",0.0385090108345498,0.025
"12",21,"F_15-24",0.0446536003713457,0.025
"13",22,"F_15-24",0.0507581459204227,0.025
"14",23,"F_15-24",0.0573949205296431,0.025
"15",24,"F_15-24",0.0651777243783163,0.025
"16",25,"F_15-24",0.0698909052623189,0.025
"17",26,"F_15-24",0.0744019071206412,0.025
"18",27,"F_15-24",0.0794500358057847,0.025
"19",28,"F_15-24",0.0840619348334903,0.025
"20",29,"F_15-24",0.0892527987869438,0.025
"21",30,"F_15-24",0.0942206985227254,0.025
"22",31,"F_15-24",0.0993914576386304,0.025
"23",32,"F_15-24",0.104272909072721,0.025
"24",33,"F_15-24",0.109718347094376,0.025
"25",34,"F_15-24",0.114029533638354,0.025
"26",35,"F_15-24",0.118033944570634,0.025
"27",36,"F_15-24",0.121930404498988,0.025
"28",37,"F_15-24",0.126268489234644,0.025
"29",38,"F_15-24",0.130508427455054,0.025
"30",39,"F_15-24",0.13445887064839,0.025
"31",40,"F_15-24",0.138545576409676,0.025
"32",41,"F_15-24",0.142598053122649,0.025
"33",42,"F_15-24",0.146661215223511,0.025
"34",43,"F_15-24",0.151180036152433,0.025
"35",44,"F_15-24",0.15545735452575,0.025
"36",45,"F_15-24",0.159903889283935,0.025
"37",46,"F_15-24",0.163947309296164,0.025
"38",47,"F_15-24",0.167985507125964,0.025
"39",48,"F_15-24",0.171972183084543,0.025
"40",49,"F_15-24",0.175736117005117,0.025
"41",50,"F_15-24",0.179902516414188,0.025
"42",51,"F_15-24",0.184183231748571,0.025
"43",52,"F_15-24",0.188248515817208,0.025
"44",53,"F_15-24",0.192363200135527,0.025
"45",54,"F_15-24",0.196669355845828,0.025
"46",55,"F_15-24",0.200778036902586,0.025
"47",56,"F_15-24",0.205408539297159,0.025
"48",57,"F_15-24",0.209887307747549,0.025
"49",58,"F_15-24",0.214801068239979,0.025
"50",59,"F_15-24",0.218917685366703,0.025
"51",60,"F_15-24",0.22294973578543,0.025
"52",61,"F_15-24",0.227446766490216,0.025
"53",62,"F_15-24",0.231494329612322,0.025
"54",63,"F_15-24",0.235570442586058,0.025
"55",64,"F_15-24",0.239384378748237,0.025
"56",65,"F_15-24",0.243270153064926,0.025
"57",10,"F_25-34",0.000197213190106973,0.025
"58",11,"F_25-34",0.00212879917353323,0.025
"59",12,"F_25-34",0.005462005276077,0.025
"60",13,"F_25-34",0.00919062244359944,0.025
"61",14,"F_25-34",0.0133971102705342,0.025
"62",15,"F_25-34",0.0181324930836607,0.025
"63",16,"F_25-34",0.0228961402351231,0.025
"64",17,"F_25-34",0.0278718836342619,0.025
"65",18,"F_25-34",0.0334269881881418,0.025
"66",19,"F_25-34",0.0391938064032131,0.025
"67",20,"F_25-34",0.0448189176339941,0.025
"68",21,"F_25-34",0.0504269573938889,0.025
"69",22,"F_25-34",0.056273535076377,0.025
"70",23,"F_25-34",0.0625026226604894,0.025
"71",24,"F_25-34",0.0669738524928554,0.025
"72",25,"F_25-34",0.0710743634917899,0.025
"73",26,"F_25-34",0.0755256176762261,0.025
"74",27,"F_25-34",0.0797550685141077,0.025
"75",28,"F_25-34",0.0841717873717526,0.025
"76",29,"F_25-34",0.0887579213759966,0.025
"77",30,"F_25-34",0.0934173681746836,0.025
"78",31,"F_25-34",0.0983126014964727,0.025
"79",32,"F_25-34",0.103293584770567,0.025
"80",33,"F_25-34",0.107770562200474,0.025
"81",34,"F_25-34",0.112006408803509,0.025
"82",35,"F_25-34",0.115882800070139,0.025
"83",36,"F_25-34",0.119731553883305,0.025
"84",37,"F_25-34",0.123487288555067,0.025
"85",38,"F_25-34",0.128136412753457,0.025
"86",39,"F_25-34",0.132530145935936,0.025
"87",40,"F_25-34",0.137370785084925,0.025
"88",41,"F_25-34",0.142161625440602,0.025
"89",42,"F_25-34",0.147179392706464,0.025
"90",43,"F_25-34",0.151770686800917,0.025
"91",44,"F_25-34",0.156123436752924,0.025
"92",45,"F_25-34",0.1602438689411,0.025
"93",46,"F_25-34",0.165089803512036,0.025
"94",47,"F_25-34",0.169514350859549,0.025
"95",48,"F_25-34",0.174385238968383,0.025
"96",49,"F_25-34",0.179365706950377,0.025
"97",50,"F_25-34",0.183943402875948,0.025
"98",51,"F_25-34",0.189015346984914,0.025
"99",52,"F_25-34",0.193965443055655,0.025
"100",53,"F_25-34",0.198870017398855,0.025
"101",54,"F_25-34",0.203862293320621,0.025
"102",55,"F_25-34",0.208828807456888,0.025
"103",56,"F_25-34",0.213885548354711,0.025
"104",57,"F_25-34",0.21906040607081,0.025
"105",58,"F_25-34",0.22442520106523,0.025
"106",59,"F_25-34",0.229052390935749,0.025
"107",60,"F_25-34",0.23409464114677,0.025
"108",61,"F_25-34",0.239529120782937,0.025
"109",62,"F_25-34",0.245050597015998,0.025
"110",63,"F_25-34",0.249442612234499,0.025
"111",64,"F_25-34",0.253931105861181,0.025
"112",65,"F_25-34",0.257520447400602,0.025
"113",10,"F_35-44",0.000232431689483945,0.025
"114",11,"F_35-44",0.00330508070188222,0.025
"115",12,"F_35-44",0.00665820414782006,0.025
"116",13,"F_35-44",0.00962049784162172,0.025
"117",14,"F_35-44",0.012844159653346,0.025
"118",15,"F_35-44",0.0160269595152377,0.025
"119",16,"F_35-44",0.0196532373612991,0.025
"120",17,"F_35-44",0.0232213692175975,0.025
"121",18,"F_35-44",0.0267829263937402,0.025
"122",19,"F_35-44",0.030338748666736,0.025
"123",20,"F_35-44",0.0334320107168938,0.025
"124",21,"F_35-44",0.0370738346330335,0.025
"125",22,"F_35-44",0.0408353430568641,0.025
"126",23,"F_35-44",0.0446435250169808,0.025
"127",24,"F_35-44",0.0491257718295305,0.025
"128",25,"F_35-44",0.0529165862853869,0.025
"129",26,"F_35-44",0.0570539485201375,0.025
"130",27,"F_35-44",0.0611721448811004,0.025
"131",28,"F_35-44",0.0654633231989437,0.025
"132",29,"F_35-44",0.0703888117443628,0.025
"133",30,"F_35-44",0.0756062351649535,0.025
"134",31,"F_35-44",0.0809588982276899,0.025
"135",32,"F_35-44",0.086201342664972,0.025
"136",33,"F_35-44",0.0915492514478424,0.025
"137",34,"F_35-44",0.0964525672207643,0.025
"138",35,"F_35-44",0.101618221750623,0.025
"139",36,"F_35-44",0.107498946439658,0.025
"140",37,"F_35-44",0.112286682645205,0.025
"141",38,"F_35-44",0.11776596981646,0.025
"142",39,"F_35-44",0.123580278541601,0.025
"143",40,"F_35-44",0.129478197923329,0.025
"144",41,"F_35-44",0.135624831568453,0.025
"145",42,"F_35-44",0.14183925237741,0.025
"146",43,"F_35-44",0.147632349071121,0.025
"147",44,"F_35-44",0.153291265056894,0.025
"148",45,"F_35-44",0.158965919235286,0.025
"149",46,"F_35-44",0.1647879242349,0.025
"150",47,"F_35-44",0.170453780784971,0.025
"151",48,"F_35-44",0.175553718049608,0.025
"152",49,"F_35-44",0.180877485693615,0.025
"153",50,"F_35-44",0.185479101612332,0.025
