"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000118806552225706,0.025
"2",11,"F_15-24",0.0013462909532215,0.025
"3",12,"F_15-24",0.00354752366493351,0.025
"4",13,"F_15-24",0.00664366493196571,0.025
"5",14,"F_15-24",0.0100681345106782,0.025
"6",15,"F_15-24",0.0141616054511528,0.025
"7",16,"F_15-24",0.0187544685308735,0.025
"8",17,"F_15-24",0.0229994461158158,0.025
"9",18,"F_15-24",0.027391258849271,0.025
"10",19,"F_15-24",0.0318409527650175,0.025
"11",20,"F_15-24",0.0366112909900986,0.025
"12",21,"F_15-24",0.0421844330077826,0.025
"13",22,"F_15-24",0.0481898136267261,0.025
"14",23,"F_15-24",0.0544926687015353,0.025
"15",24,"F_15-24",0.061344360078569,0.025
"16",25,"F_15-24",0.0662756730000586,0.025
"17",26,"F_15-24",0.0706885489578751,0.025
"18",27,"F_15-24",0.0752958264860499,0.025
"19",28,"F_15-24",0.0797445885499188,0.025
"20",29,"F_15-24",0.0849048131681207,0.025
"21",30,"F_15-24",0.0897422522262255,0.025
"22",31,"F_15-24",0.0944335777477158,0.025
"23",32,"F_15-24",0.0994632074452066,0.025
"24",33,"F_15-24",0.104519602172484,0.025
"25",34,"F_15-24",0.108861016454308,0.025
"26",35,"F_15-24",0.112599344465312,0.025
"27",36,"F_15-24",0.116081762072801,0.025
"28",37,"F_15-24",0.120079842262859,0.025
"29",38,"F_15-24",0.124065160059309,0.025
"30",39,"F_15-24",0.127802208361593,0.025
"31",40,"F_15-24",0.131442715621277,0.025
"32",41,"F_15-24",0.13517608518782,0.025
"33",42,"F_15-24",0.138953989487444,0.025
"34",43,"F_15-24",0.142775568021618,0.025
"35",44,"F_15-24",0.146591175377191,0.025
"36",45,"F_15-24",0.150489719807662,0.025
"37",46,"F_15-24",0.154178211964801,0.025
"38",47,"F_15-24",0.157685611519202,0.025
"39",48,"F_15-24",0.161224575248318,0.025
"40",49,"F_15-24",0.164705093039159,0.025
"41",50,"F_15-24",0.168310556517745,0.025
"42",51,"F_15-24",0.172133153096043,0.025
"43",52,"F_15-24",0.175544557507165,0.025
"44",53,"F_15-24",0.179128930430054,0.025
"45",54,"F_15-24",0.182735681061922,0.025
"46",55,"F_15-24",0.186551958875554,0.025
"47",56,"F_15-24",0.19033597170698,0.025
"48",57,"F_15-24",0.194000584372275,0.025
"49",58,"F_15-24",0.198002087691507,0.025
"50",59,"F_15-24",0.201568523523515,0.025
"51",60,"F_15-24",0.205511255360543,0.025
"52",61,"F_15-24",0.20923519086564,0.025
"53",62,"F_15-24",0.213000133148622,0.025
"54",63,"F_15-24",0.216622512230555,0.025
"55",64,"F_15-24",0.220263108895913,0.025
"56",65,"F_15-24",0.223679026389191,0.025
"57",10,"F_25-34",0.000203276770545817,0.025
"58",11,"F_25-34",0.00199690286601164,0.025
"59",12,"F_25-34",0.0050450153059735,0.025
"60",13,"F_25-34",0.00832688283150525,0.025
"61",14,"F_25-34",0.012291125528762,0.025
"62",15,"F_25-34",0.0169601113785527,0.025
"63",16,"F_25-34",0.021429964142242,0.025
"64",17,"F_25-34",0.0264395485788761,0.025
"65",18,"F_25-34",0.0316324130760927,0.025
"66",19,"F_25-34",0.0369532756305126,0.025
"67",20,"F_25-34",0.0424394880597423,0.025
"68",21,"F_25-34",0.0477586316751984,0.025
"69",22,"F_25-34",0.0535045773629841,0.025
"70",23,"F_25-34",0.0594753293549568,0.025
"71",24,"F_25-34",0.0641032783417786,0.025
"72",25,"F_25-34",0.0679341160627975,0.025
"73",26,"F_25-34",0.0720461849347443,0.025
"74",27,"F_25-34",0.0764101403542309,0.025
"75",28,"F_25-34",0.0805607689452489,0.025
"76",29,"F_25-34",0.0850892493712203,0.025
"77",30,"F_25-34",0.0895710221150998,0.025
"78",31,"F_25-34",0.0943220124320502,0.025
"79",32,"F_25-34",0.0991266488903582,0.025
"80",33,"F_25-34",0.103213403460392,0.025
"81",34,"F_25-34",0.106768630640659,0.025
"82",35,"F_25-34",0.110312559892379,0.025
"83",36,"F_25-34",0.113932361771193,0.025
"84",37,"F_25-34",0.117709084769836,0.025
"85",38,"F_25-34",0.122043299178703,0.025
"86",39,"F_25-34",0.126396004205224,0.025
"87",40,"F_25-34",0.130531249051603,0.025
"88",41,"F_25-34",0.135185607226202,0.025
"89",42,"F_25-34",0.139769644438357,0.025
"90",43,"F_25-34",0.143636433683591,0.025
"91",44,"F_25-34",0.147408662303774,0.025
"92",45,"F_25-34",0.151008454327275,0.025
"93",46,"F_25-34",0.155177346748335,0.025
"94",47,"F_25-34",0.159123261638602,0.025
"95",48,"F_25-34",0.163187975746218,0.025
"96",49,"F_25-34",0.167578705966773,0.025
"97",50,"F_25-34",0.171419841832349,0.025
"98",51,"F_25-34",0.176016731572745,0.025
"99",52,"F_25-34",0.180465721832653,0.025
"100",53,"F_25-34",0.184754263379631,0.025
"101",54,"F_25-34",0.188951719619298,0.025
"102",55,"F_25-34",0.193108219520013,0.025
"103",56,"F_25-34",0.197408831877095,0.025
"104",57,"F_25-34",0.201779573322602,0.025
"105",58,"F_25-34",0.206269946808037,0.025
"106",59,"F_25-34",0.210688618903659,0.025
"107",60,"F_25-34",0.21527802618226,0.025
"108",61,"F_25-34",0.219863980794892,0.025
"109",62,"F_25-34",0.224615866369735,0.025
"110",63,"F_25-34",0.229036230527615,0.025
"111",64,"F_25-34",0.232727085771084,0.025
"112",65,"F_25-34",0.236553263034132,0.025
"113",10,"F_35-44",0.000222371901599476,0.025
"114",11,"F_35-44",0.00302572548190338,0.025
"115",12,"F_35-44",0.00621732310475055,0.025
"116",13,"F_35-44",0.0091094222981229,0.025
"117",14,"F_35-44",0.0121348070102799,0.025
"118",15,"F_35-44",0.0151646937887334,0.025
"119",16,"F_35-44",0.0189448063014162,0.025
"120",17,"F_35-44",0.022371634936256,0.025
"121",18,"F_35-44",0.0258510865936801,0.025
"122",19,"F_35-44",0.0292658415427248,0.025
"123",20,"F_35-44",0.0323249682283413,0.025
"124",21,"F_35-44",0.0358866402570626,0.025
"125",22,"F_35-44",0.0396126677333003,0.025
"126",23,"F_35-44",0.0434891987474391,0.025
"127",24,"F_35-44",0.0476633143038698,0.025
"128",25,"F_35-44",0.051391624604014,0.025
"129",26,"F_35-44",0.0552823746498342,0.025
"130",27,"F_35-44",0.0592357638761913,0.025
"131",28,"F_35-44",0.0635206254424823,0.025
"132",29,"F_35-44",0.0680388048376615,0.025
"133",30,"F_35-44",0.0730001417714816,0.025
"134",31,"F_35-44",0.0777763526018171,0.025
"135",32,"F_35-44",0.0828129567121598,0.025
"136",33,"F_35-44",0.0879257836129458,0.025
"137",34,"F_35-44",0.0925714687650743,0.025
"138",35,"F_35-44",0.0973987771007571,0.025
"139",36,"F_35-44",0.102509434716508,0.025
"140",37,"F_35-44",0.107190501160586,0.025
"141",38,"F_35-44",0.112231713006486,0.025
"142",39,"F_35-44",0.117457787188396,0.025
"143",40,"F_35-44",0.122796082838838,0.025
"144",41,"F_35-44",0.128645707475233,0.025
"145",42,"F_35-44",0.134478159285886,0.025
"146",43,"F_35-44",0.139563568168934,0.025
"147",44,"F_35-44",0.14469815409349,0.025
"148",45,"F_35-44",0.149837651591787,0.025
"149",46,"F_35-44",0.155013451322501,0.025
"150",47,"F_35-44",0.160034545360254,0.025
"151",48,"F_35-44",0.164454925257868,0.025
"152",49,"F_35-44",0.16903885328823,0.025
"153",50,"F_35-44",0.173235400751435,0.025
"154",51,"F_35-44",0.176809559477732,0.025
"155",52,"F_35-44",0.180462660672398,0.025
"156",53,"F_35-44",0.184004264110181,0.025
"157",54,"F_35-44",0.187853816297683,0.025
"158",55,"F_35-44",0.191249270317515,0.025
"159",56,"F_35-44",0.194840757648138,0.025
"160",57,"F_35-44",0.197958983941966,0.025
"161",58,"F_35-44",0.201591547910148,0.025
"162",59,"F_35-44",0.205076874320262,0.025
"163",60,"F_35-44",0.208450564502545,0.025
"164",61,"F_35-44",0.212009048227566,0.025
"165",62,"F_35-44",0.215428359995426,0.025
"166",63,"F_35-44",0.219151561941632,0.025
"167",64,"F_35-44",0.222705431730317,0.025
"168",65,"F_35-44",0.226749908478033,0.025
"169",10,"F_45-54",0.000101184338341455,0.025
"170",11,"F_45-54",0.00116144973760894,0.025
"171",12,"F_45-54",0.00321464448598605,0.025
"172",13,"F_45-54",0.00541361413984191,0.025
"173",14,"F_45-54",0.00798418986024257,0.025
"174",15,"F_45-54",0.0106376330313898,0.025
