"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000141947257921099,0.025
"2",11,"F_15-24",0.00157023584040186,0.025
"3",12,"F_15-24",0.00375808862390695,0.025
"4",13,"F_15-24",0.00699074854686271,0.025
"5",14,"F_15-24",0.0109969700965257,0.025
"6",15,"F_15-24",0.0155288269683676,0.025
"7",16,"F_15-24",0.0204203239329362,0.025
"8",17,"F_15-24",0.0249211834997935,0.025
"9",18,"F_15-24",0.0297596681943066,0.025
"10",19,"F_15-24",0.0346911566742166,0.025
"11",20,"F_15-24",0.0399378004423566,0.025
"12",21,"F_15-24",0.0460366565951566,0.025
"13",22,"F_15-24",0.0524688394352526,0.025
"14",23,"F_15-24",0.0596610230227053,0.025
"15",24,"F_15-24",0.0678041746725606,0.025
"16",25,"F_15-24",0.0731227331047174,0.025
"17",26,"F_15-24",0.0780718707125778,0.025
"18",27,"F_15-24",0.0829729437724049,0.025
"19",28,"F_15-24",0.0880627763034158,0.025
"20",29,"F_15-24",0.0938870813071121,0.025
"21",30,"F_15-24",0.0992794030007325,0.025
"22",31,"F_15-24",0.104989976042151,0.025
"23",32,"F_15-24",0.11059470935421,0.025
"24",33,"F_15-24",0.116563910290717,0.025
"25",34,"F_15-24",0.121581616391309,0.025
"26",35,"F_15-24",0.126131416497015,0.025
"27",36,"F_15-24",0.130288132697251,0.025
"28",37,"F_15-24",0.13475225492118,0.025
"29",38,"F_15-24",0.139720652318399,0.025
"30",39,"F_15-24",0.144062533907589,0.025
"31",40,"F_15-24",0.148262222896183,0.025
"32",41,"F_15-24",0.152722065482576,0.025
"33",42,"F_15-24",0.157336116803395,0.025
"34",43,"F_15-24",0.162155941497592,0.025
"35",44,"F_15-24",0.166727681843209,0.025
"36",45,"F_15-24",0.171731480039946,0.025
"37",46,"F_15-24",0.1761020969044,0.025
"38",47,"F_15-24",0.180061657803433,0.025
"39",48,"F_15-24",0.184579778728167,0.025
"40",49,"F_15-24",0.188779095551652,0.025
"41",50,"F_15-24",0.193290846792156,0.025
"42",51,"F_15-24",0.197556888784221,0.025
"43",52,"F_15-24",0.201979087542804,0.025
"44",53,"F_15-24",0.206471891633025,0.025
"45",54,"F_15-24",0.211097003893009,0.025
"46",55,"F_15-24",0.215619598218926,0.025
"47",56,"F_15-24",0.220417977160272,0.025
"48",57,"F_15-24",0.225514944084982,0.025
"49",58,"F_15-24",0.230449367397003,0.025
"50",59,"F_15-24",0.235231944472208,0.025
"51",60,"F_15-24",0.240163182863687,0.025
"52",61,"F_15-24",0.244752160868233,0.025
"53",62,"F_15-24",0.249076610759933,0.025
"54",63,"F_15-24",0.253614789695955,0.025
"55",64,"F_15-24",0.257436148136319,0.025
"56",65,"F_15-24",0.261629607717469,0.025
"57",10,"F_25-34",0.000240025435059943,0.025
"58",11,"F_25-34",0.00226452820372512,0.025
"59",12,"F_25-34",0.00562842649684856,0.025
"60",13,"F_25-34",0.00963548715938105,0.025
"61",14,"F_25-34",0.0138492513022599,0.025
"62",15,"F_25-34",0.0187759242234423,0.025
"63",16,"F_25-34",0.0238531526023125,0.025
"64",17,"F_25-34",0.0292176937285318,0.025
"65",18,"F_25-34",0.0345497169845864,0.025
"66",19,"F_25-34",0.0406502217240727,0.025
"67",20,"F_25-34",0.0465118453711118,0.025
"68",21,"F_25-34",0.0527743662424854,0.025
"69",22,"F_25-34",0.059098828136082,0.025
"70",23,"F_25-34",0.0655447681302188,0.025
"71",24,"F_25-34",0.0706222332901819,0.025
"72",25,"F_25-34",0.0749276761319821,0.025
"73",26,"F_25-34",0.0794317256187502,0.025
"74",27,"F_25-34",0.0840170913197084,0.025
"75",28,"F_25-34",0.0887175484059408,0.025
"76",29,"F_25-34",0.0936751504284649,0.025
"77",30,"F_25-34",0.0984059185060272,0.025
"78",31,"F_25-34",0.10385789558605,0.025
"79",32,"F_25-34",0.109162196230008,0.025
"80",33,"F_25-34",0.114130450211535,0.025
"81",34,"F_25-34",0.118233864102171,0.025
"82",35,"F_25-34",0.122290227613476,0.025
"83",36,"F_25-34",0.126484731602174,0.025
"84",37,"F_25-34",0.130709377949367,0.025
"85",38,"F_25-34",0.135810825759322,0.025
"86",39,"F_25-34",0.140749112445181,0.025
"87",40,"F_25-34",0.145747366406841,0.025
"88",41,"F_25-34",0.151147818858529,0.025
"89",42,"F_25-34",0.156541708717569,0.025
"90",43,"F_25-34",0.161439385902447,0.025
"91",44,"F_25-34",0.165819921037274,0.025
"92",45,"F_25-34",0.170440898351419,0.025
"93",46,"F_25-34",0.175551045324575,0.025
"94",47,"F_25-34",0.180983865728327,0.025
"95",48,"F_25-34",0.18617353887032,0.025
"96",49,"F_25-34",0.191989823389159,0.025
"97",50,"F_25-34",0.196931398803698,0.025
"98",51,"F_25-34",0.202545457351615,0.025
"99",52,"F_25-34",0.207718146407679,0.025
"100",53,"F_25-34",0.213390268102471,0.025
"101",54,"F_25-34",0.218314724631694,0.025
"102",55,"F_25-34",0.223798445663765,0.025
"103",56,"F_25-34",0.229062750674001,0.025
"104",57,"F_25-34",0.234531107336258,0.025
"105",58,"F_25-34",0.240436369313606,0.025
"106",59,"F_25-34",0.245341505738574,0.025
"107",60,"F_25-34",0.250983357462277,0.025
"108",61,"F_25-34",0.257009032960383,0.025
"109",62,"F_25-34",0.26310968347046,0.025
"110",63,"F_25-34",0.268400545986707,0.025
"111",64,"F_25-34",0.273136141273745,0.025
"112",65,"F_25-34",0.277528426292711,0.025
"113",10,"F_35-44",0.000269385092458485,0.025
"114",11,"F_35-44",0.00376344794526598,0.025
"115",12,"F_35-44",0.00740229847533143,0.025
"116",13,"F_35-44",0.0104543244318577,0.025
"117",14,"F_35-44",0.0137891633892109,0.025
"118",15,"F_35-44",0.0173814138132214,0.025
"119",16,"F_35-44",0.0212658798422219,0.025
"120",17,"F_35-44",0.024828752170186,0.025
"121",18,"F_35-44",0.0285027917324841,0.025
"122",19,"F_35-44",0.0322115290687707,0.025
"123",20,"F_35-44",0.0354562054620856,0.025
"124",21,"F_35-44",0.0391918718197768,0.025
"125",22,"F_35-44",0.0431755747826585,0.025
"126",23,"F_35-44",0.0472308502055224,0.025
"127",24,"F_35-44",0.0514581332547955,0.025
"128",25,"F_35-44",0.0556646778977583,0.025
"129",26,"F_35-44",0.0599734641638426,0.025
"130",27,"F_35-44",0.0643367992773851,0.025
"131",28,"F_35-44",0.0690802847253239,0.025
"132",29,"F_35-44",0.0739894394006824,0.025
"133",30,"F_35-44",0.0796329461240868,0.025
"134",31,"F_35-44",0.0849684664977012,0.025
"135",32,"F_35-44",0.090774696043889,0.025
"136",33,"F_35-44",0.0966202989167292,0.025
"137",34,"F_35-44",0.101958505595081,0.025
"138",35,"F_35-44",0.107863678014224,0.025
"139",36,"F_35-44",0.113690552161133,0.025
"140",37,"F_35-44",0.119103682118895,0.025
"141",38,"F_35-44",0.124977559867062,0.025
"142",39,"F_35-44",0.131007924494526,0.025
"143",40,"F_35-44",0.137330633332702,0.025
"144",41,"F_35-44",0.144180477990657,0.025
"145",42,"F_35-44",0.151835812658563,0.025
"146",43,"F_35-44",0.158119244486106,0.025
