"","month","age_sex","value","quantile"
"1",10,"F_15-24",6.49362345216714e-05,0.025
"2",11,"F_15-24",0.000714758822071148,0.025
"3",12,"F_15-24",0.00185018752945699,0.025
"4",13,"F_15-24",0.00337768118480271,0.025
"5",14,"F_15-24",0.00518540631580155,0.025
"6",15,"F_15-24",0.00704463670602145,0.025
"7",16,"F_15-24",0.00924761964150249,0.025
"8",17,"F_15-24",0.0117056976076137,0.025
"9",18,"F_15-24",0.0142168158962306,0.025
"10",19,"F_15-24",0.0167532799081539,0.025
"11",20,"F_15-24",0.0192474394976405,0.025
"12",21,"F_15-24",0.021846202099884,0.025
"13",22,"F_15-24",0.0246148996908663,0.025
"14",23,"F_15-24",0.0274911264879548,0.025
"15",24,"F_15-24",0.0305246756823646,0.025
"16",25,"F_15-24",0.0336489992447887,0.025
"17",26,"F_15-24",0.0373710659447246,0.025
"18",27,"F_15-24",0.040731732605769,0.025
"19",28,"F_15-24",0.0442793423387435,0.025
"20",29,"F_15-24",0.0481237555642771,0.025
"21",30,"F_15-24",0.0521909950324656,0.025
"22",31,"F_15-24",0.0563597029711253,0.025
"23",32,"F_15-24",0.0604806180491168,0.025
"24",33,"F_15-24",0.0641919554966583,0.025
"25",34,"F_15-24",0.0680671908297028,0.025
"26",35,"F_15-24",0.0725791442692514,0.025
"27",36,"F_15-24",0.0775875470056741,0.025
"28",37,"F_15-24",0.0825691942546837,0.025
"29",38,"F_15-24",0.0880975439230392,0.025
"30",39,"F_15-24",0.0926758550528903,0.025
"31",40,"F_15-24",0.0974296128982706,0.025
"32",41,"F_15-24",0.102500359021809,0.025
"33",42,"F_15-24",0.107579595017369,0.025
"34",43,"F_15-24",0.112310983228703,0.025
"35",44,"F_15-24",0.117328616411762,0.025
"36",45,"F_15-24",0.122752372840747,0.025
"37",46,"F_15-24",0.128945565017352,0.025
"38",47,"F_15-24",0.135414822909023,0.025
"39",48,"F_15-24",0.143462765530749,0.025
"40",49,"F_15-24",0.151769562271476,0.025
"41",50,"F_15-24",0.160241043331685,0.025
"42",51,"F_15-24",0.166786124108444,0.025
"43",52,"F_15-24",0.173190779718288,0.025
"44",53,"F_15-24",0.179892486730854,0.025
"45",54,"F_15-24",0.186036779963942,0.025
"46",55,"F_15-24",0.192956488813764,0.025
"47",56,"F_15-24",0.200408086468189,0.025
"48",57,"F_15-24",0.207971204067875,0.025
"49",58,"F_15-24",0.215094108521815,0.025
"50",59,"F_15-24",0.223235407704305,0.025
"51",60,"F_15-24",0.23176472073891,0.025
"52",61,"F_15-24",0.239921067753964,0.025
"53",62,"F_15-24",0.248179844157616,0.025
"54",63,"F_15-24",0.255117485148154,0.025
"55",64,"F_15-24",0.260667704672655,0.025
"56",65,"F_15-24",0.264752788001378,0.025
"57",66,"F_15-24",0.269006138984053,0.025
"58",10,"F_25-34",8.18017584381207e-05,0.025
"59",11,"F_25-34",0.000886250908751484,0.025
"60",12,"F_25-34",0.00204916313072854,0.025
"61",13,"F_25-34",0.00341997624640839,0.025
"62",14,"F_25-34",0.0048785281618034,0.025
"63",15,"F_25-34",0.00645149577463811,0.025
"64",16,"F_25-34",0.0080173821559088,0.025
"65",17,"F_25-34",0.00939819408977023,0.025
"66",18,"F_25-34",0.0108816206487033,0.025
"67",19,"F_25-34",0.0124898024145229,0.025
"68",20,"F_25-34",0.0143751431634412,0.025
"69",21,"F_25-34",0.0164735891132775,0.025
"70",22,"F_25-34",0.018466567484081,0.025
"71",23,"F_25-34",0.0204195602957383,0.025
"72",24,"F_25-34",0.0226071349716554,0.025
"73",25,"F_25-34",0.0250329402695728,0.025
"74",26,"F_25-34",0.0276792649539637,0.025
"75",27,"F_25-34",0.0305821647468746,0.025
"76",28,"F_25-34",0.0337302025671854,0.025
"77",29,"F_25-34",0.0370762708985765,0.025
"78",30,"F_25-34",0.0403940094323504,0.025
"79",31,"F_25-34",0.0436385854097534,0.025
"80",32,"F_25-34",0.0470657915259897,0.025
"81",33,"F_25-34",0.0504614635722651,0.025
"82",34,"F_25-34",0.0545969644909369,0.025
"83",35,"F_25-34",0.0591355788385194,0.025
"84",36,"F_25-34",0.0638520888753715,0.025
"85",37,"F_25-34",0.0689329787099421,0.025
"86",38,"F_25-34",0.0733082791043683,0.025
"87",39,"F_25-34",0.0784760339561316,0.025
"88",40,"F_25-34",0.0833953488020858,0.025
"89",41,"F_25-34",0.088992775590957,0.025
"90",42,"F_25-34",0.0947749417530159,0.025
"91",43,"F_25-34",0.100913724269428,0.025
"92",44,"F_25-34",0.10834743237307,0.025
"93",45,"F_25-34",0.116521620355706,0.025
"94",46,"F_25-34",0.124820397285401,0.025
"95",47,"F_25-34",0.134654283873028,0.025
"96",48,"F_25-34",0.143039401984555,0.025
"97",49,"F_25-34",0.152507178514119,0.025
"98",50,"F_25-34",0.161177027289957,0.025
"99",51,"F_25-34",0.171123735440903,0.025
"100",52,"F_25-34",0.18034628132419,0.025
"101",53,"F_25-34",0.19043465228118,0.025
"102",54,"F_25-34",0.203862926317131,0.025
"103",55,"F_25-34",0.213407950574048,0.025
"104",56,"F_25-34",0.224748298242133,0.025
"105",57,"F_25-34",0.23377503690351,0.025
"106",58,"F_25-34",0.242599048690514,0.025
"107",59,"F_25-34",0.252750017498855,0.025
"108",60,"F_25-34",0.264183603885782,0.025
"109",61,"F_25-34",0.276796123783059,0.025
"110",62,"F_25-34",0.288646814371025,0.025
"111",63,"F_25-34",0.299033686188395,0.025
"112",64,"F_25-34",0.305807664889786,0.025
"113",65,"F_25-34",0.31072927164554,0.025
"114",66,"F_25-34",0.315234982928159,0.025
"115",10,"F_35-44",0.000103087117976494,0.025
"116",11,"F_35-44",0.00101011236959089,0.025
"117",12,"F_35-44",0.00257575722021186,0.025
"118",13,"F_35-44",0.00427345436863598,0.025
"119",14,"F_35-44",0.00600871139705675,0.025
"120",15,"F_35-44",0.00781035092159873,0.025
"121",16,"F_35-44",0.00979156701239847,0.025
"122",17,"F_35-44",0.0117987396248475,0.025
"123",18,"F_35-44",0.0142127147560841,0.025
"124",19,"F_35-44",0.0163301953520232,0.025
"125",20,"F_35-44",0.0183010502897547,0.025
"126",21,"F_35-44",0.0204940263448975,0.025
"127",22,"F_35-44",0.0229764367269657,0.025
"128",23,"F_35-44",0.0254305079835948,0.025
"129",24,"F_35-44",0.0280947080544455,0.025
"130",25,"F_35-44",0.0310858996533519,0.025
"131",26,"F_35-44",0.0341071253732818,0.025
"132",27,"F_35-44",0.0372214424117909,0.025
"133",28,"F_35-44",0.0405771018079911,0.025
"134",29,"F_35-44",0.0438178204298858,0.025
"135",30,"F_35-44",0.0472845060119165,0.025
"136",31,"F_35-44",0.0510451551958697,0.025
"137",32,"F_35-44",0.0551997457122312,0.025
"138",33,"F_35-44",0.0595095124159058,0.025
"139",34,"F_35-44",0.0636126398501401,0.025
"140",35,"F_35-44",0.0683906095486557,0.025
"141",36,"F_35-44",0.0732046323919976,0.025
"142",37,"F_35-44",0.0785363145645912,0.025
"143",38,"F_35-44",0.0832021038744072,0.025
"144",39,"F_35-44",0.0876765527598614,0.025
"145",40,"F_35-44",0.0921201511823411,0.025
"146",41,"F_35-44",0.0965285575533228,0.025
"147",42,"F_35-44",0.101147570497993,0.025
"148",43,"F_35-44",0.106494038670889,0.025
"149",44,"F_35-44",0.112743293690268,0.025
"150",45,"F_35-44",0.119217185254745,0.025
"151",46,"F_35-44",0.125870086466361,0.025
"152",47,"F_35-44",0.133494800645001,0.025
"153",48,"F_35-44",0.141951122749416,0.025
"154",49,"F_35-44",0.148737462489925,0.025
"155",50,"F_35-44",0.156184516450781,0.025
"156",51,"F_35-44",0.164585136447631,0.025
"157",52,"F_35-44",0.173401273969359,0.025
"158",53,"F_35-44",0.182438293194037,0.025
"159",54,"F_35-44",0.190309198502033,0.025
"160",55,"F_35-44",0.198622022146509,0.025
"161",56,"F_35-44",0.208629716139234,0.025
"162",57,"F_35-44",0.218822187885547,0.025
"163",58,"F_35-44",0.228714756211533,0.025
"164",59,"F_35-44",0.239645642110877,0.025
"165",60,"F_35-44",0.250947595101717,0.025
"166",61,"F_35-44",0.260292935008251,0.025
"167",62,"F_35-44",0.270665148104086,0.025
"168",63,"F_35-44",0.282127498934759,0.025
"169",64,"F_35-44",0.288864299864704,0.025
"170",65,"F_35-44",0.293624797170781,0.025
"171",66,"F_35-44",0.299083215666766,0.025
"172",10,"F_45-54",5.09881369143746e-05,0.025
"173",11,"F_45-54",0.000490960368084933,0.025
"174",12,"F_45-54",0.00127290920694318,0.025
"175",13,"F_45-54",0.00225996056453492,0.025
"176",14,"F_45-54",0.00345005641836423,0.025
"177",15,"F_45-54",0.00468405216022806,0.025
"178",16,"F_45-54",0.00609487366751861,0.025
"179",17,"F_45-54",0.0075415340713956,0.025
"180",18,"F_45-54",0.00916407091238201,0.025
"181",19,"F_45-54",0.0109059405171902,0.025
"182",20,"F_45-54",0.012691288986648,0.025
"183",21,"F_45-54",0.0145499284185422,0.025
"184",22,"F_45-54",0.0166665192125042,0.025
"185",23,"F_45-54",0.0187519012412079,0.025
"186",24,"F_45-54",0.0209496590577186,0.025
"187",25,"F_45-54",0.0234160124318794,0.025
"188",26,"F_45-54",0.0261387849136154,0.025
"189",27,"F_45-54",0.0289981787036551,0.025
"190",28,"F_45-54",0.0319078905520131,0.025
"191",29,"F_45-54",0.0349832349240547,0.025
"192",30,"F_45-54",0.0383205357680603,0.025
"193",31,"F_45-54",0.0416595767067401,0.025
"194",32,"F_45-54",0.0452204404989721,0.025
"195",33,"F_45-54",0.0491064023037075,0.025
"196",34,"F_45-54",0.0531082489469681,0.025
"197",35,"F_45-54",0.0571142346190759,0.025
"198",36,"F_45-54",0.0610439365186423,0.025
"199",37,"F_45-54",0.0651499224767317,0.025
"200",38,"F_45-54",0.0684887913886695,0.025
"201",39,"F_45-54",0.0715950540873146,0.025
"202",40,"F_45-54",0.0747292658364558,0.025
"203",41,"F_45-54",0.0777911451781271,0.025
"204",42,"F_45-54",0.0810877160301798,0.025
"205",43,"F_45-54",0.0842977281248499,0.025
"206",44,"F_45-54",0.087699126416181,0.025
"207",45,"F_45-54",0.0909119519324643,0.025
"208",46,"F_45-54",0.0944331830341104,0.025
"209",47,"F_45-54",0.0984776833610679,0.025
"210",48,"F_45-54",0.102837335208763,0.025
"211",49,"F_45-54",0.106863973511054,0.025
"212",50,"F_45-54",0.110814965650544,0.025
"213",51,"F_45-54",0.115078967101231,0.025
"214",52,"F_45-54",0.119176860068772,0.025
"215",53,"F_45-54",0.123161825514228,0.025
"216",54,"F_45-54",0.127471233886411,0.025
"217",55,"F_45-54",0.131912422786838,0.025
"218",56,"F_45-54",0.135807787119777,0.025
"219",57,"F_45-54",0.13998521023344,0.025
"220",58,"F_45-54",0.144081502171127,0.025
"221",59,"F_45-54",0.147932935453826,0.025
"222",60,"F_45-54",0.151566148417914,0.025
"223",61,"F_45-54",0.155473123577949,0.025
"224",62,"F_45-54",0.159560343018907,0.025
"225",63,"F_45-54",0.163117710022542,0.025
"226",64,"F_45-54",0.165979535865508,0.025
"227",65,"F_45-54",0.168556161500537,0.025
"228",66,"F_45-54",0.170963064898327,0.025
"229",10,"F_55-69",8.25613855707075e-05,0.025
"230",11,"F_55-69",0.000847783560188063,0.025
"231",12,"F_55-69",0.00216030051976364,0.025
"232",13,"F_55-69",0.00379547230290824,0.025
"233",14,"F_55-69",0.00566588060867401,0.025
"234",15,"F_55-69",0.00762720042592534,0.025
"235",16,"F_55-69",0.00963497277878193,0.025
"236",17,"F_55-69",0.0117414979217742,0.025
"237",18,"F_55-69",0.013796816482254,0.025
"238",19,"F_55-69",0.0158214624548215,0.025
"239",20,"F_55-69",0.0181275493304543,0.025
"240",21,"F_55-69",0.0205145591616829,0.025
"241",22,"F_55-69",0.0230421780032073,0.025
"242",23,"F_55-69",0.0254524877081251,0.025
"243",24,"F_55-69",0.0280678893464971,0.025
