"","month","age_sex","value","quantile"
"1",10,"F_15-24",7.66222395432508e-05,0.025
"2",11,"F_15-24",0.000686288737114576,0.025
"3",12,"F_15-24",0.00183630620844423,0.025
"4",13,"F_15-24",0.00349137246236786,0.025
"5",14,"F_15-24",0.00520727848335334,0.025
"6",15,"F_15-24",0.00699546740155896,0.025
"7",16,"F_15-24",0.00905727296985624,0.025
"8",17,"F_15-24",0.0114851363171765,0.025
"9",18,"F_15-24",0.0139113340496588,0.025
"10",19,"F_15-24",0.0166332636951603,0.025
"11",20,"F_15-24",0.0191457638282613,0.025
"12",21,"F_15-24",0.0216519259127707,0.025
"13",22,"F_15-24",0.0246832751797948,0.025
"14",23,"F_15-24",0.0275104105262359,0.025
"15",24,"F_15-24",0.0304425054735457,0.025
"16",25,"F_15-24",0.0336882812632496,0.025
"17",26,"F_15-24",0.0373012166839976,0.025
"18",27,"F_15-24",0.0408111851429554,0.025
"19",28,"F_15-24",0.0443580606752991,0.025
"20",29,"F_15-24",0.0484583152280199,0.025
"21",30,"F_15-24",0.0524405267845916,0.025
"22",31,"F_15-24",0.0562983777813693,0.025
"23",32,"F_15-24",0.0605770958023694,0.025
"24",33,"F_15-24",0.0645107502965537,0.025
"25",34,"F_15-24",0.0681451649953548,0.025
"26",35,"F_15-24",0.0726692060509358,0.025
"27",36,"F_15-24",0.0773340793662594,0.025
"28",37,"F_15-24",0.0822660807282081,0.025
"29",38,"F_15-24",0.0874336919724116,0.025
"30",39,"F_15-24",0.0919683318841496,0.025
"31",40,"F_15-24",0.0965885123913961,0.025
"32",41,"F_15-24",0.101245978142947,0.025
"33",42,"F_15-24",0.106189237395792,0.025
"34",43,"F_15-24",0.110784733797549,0.025
"35",44,"F_15-24",0.115679016091408,0.025
"36",45,"F_15-24",0.120703055168098,0.025
"37",46,"F_15-24",0.126384561978057,0.025
"38",47,"F_15-24",0.132817686713629,0.025
"39",48,"F_15-24",0.139835064470796,0.025
"40",49,"F_15-24",0.147252480013016,0.025
"41",50,"F_15-24",0.155055099531884,0.025
"42",51,"F_15-24",0.160638878752906,0.025
"43",52,"F_15-24",0.166553312922852,0.025
"44",53,"F_15-24",0.172676157113322,0.025
"45",54,"F_15-24",0.178175216668781,0.025
"46",55,"F_15-24",0.184778749668635,0.025
"47",56,"F_15-24",0.191521391912985,0.025
"48",57,"F_15-24",0.198547594935658,0.025
"49",58,"F_15-24",0.205507192385709,0.025
"50",59,"F_15-24",0.212786674149097,0.025
"51",60,"F_15-24",0.21998438495744,0.025
"52",61,"F_15-24",0.22706509183143,0.025
"53",62,"F_15-24",0.233818030777938,0.025
"54",63,"F_15-24",0.240230035900434,0.025
"55",64,"F_15-24",0.245567702662512,0.025
"56",65,"F_15-24",0.249205659312272,0.025
"57",66,"F_15-24",0.252882839003825,0.025
"58",10,"F_25-34",7.85815527776644e-05,0.025
"59",11,"F_25-34",0.00083460057802697,0.025
"60",12,"F_25-34",0.00197960192380014,0.025
"61",13,"F_25-34",0.00331219337433896,0.025
"62",14,"F_25-34",0.00473953479058378,0.025
"63",15,"F_25-34",0.00633740359405059,0.025
"64",16,"F_25-34",0.00781618608981223,0.025
"65",17,"F_25-34",0.00928213332007515,0.025
"66",18,"F_25-34",0.0109354834897739,0.025
"67",19,"F_25-34",0.0126003949072818,0.025
"68",20,"F_25-34",0.0144248624659721,0.025
"69",21,"F_25-34",0.0165403099999977,0.025
"70",22,"F_25-34",0.0185974505295943,0.025
"71",23,"F_25-34",0.0206606575006761,0.025
"72",24,"F_25-34",0.0229007782743914,0.025
"73",25,"F_25-34",0.0253175152148995,0.025
"74",26,"F_25-34",0.0281975245331363,0.025
"75",27,"F_25-34",0.0312219158305588,0.025
"76",28,"F_25-34",0.0342929368588755,0.025
"77",29,"F_25-34",0.0377666315577339,0.025
"78",30,"F_25-34",0.0409366580298095,0.025
"79",31,"F_25-34",0.0441572911094699,0.025
"80",32,"F_25-34",0.0474002165793405,0.025
"81",33,"F_25-34",0.050787960683416,0.025
"82",34,"F_25-34",0.0547713613048647,0.025
"83",35,"F_25-34",0.0594569257003308,0.025
"84",36,"F_25-34",0.0639894684730844,0.025
"85",37,"F_25-34",0.0688048910376063,0.025
"86",38,"F_25-34",0.0734297384362718,0.025
"87",39,"F_25-34",0.0783573451282153,0.025
"88",40,"F_25-34",0.0834831000716293,0.025
"89",41,"F_25-34",0.0887470396550587,0.025
"90",42,"F_25-34",0.0946007995855972,0.025
"91",43,"F_25-34",0.100757504165062,0.025
"92",44,"F_25-34",0.107957904137616,0.025
"93",45,"F_25-34",0.116091974914924,0.025
"94",46,"F_25-34",0.123922606047522,0.025
"95",47,"F_25-34",0.133083625276991,0.025
"96",48,"F_25-34",0.141173647173789,0.025
"97",49,"F_25-34",0.150255751276799,0.025
"98",50,"F_25-34",0.158281342302928,0.025
"99",51,"F_25-34",0.168114338161576,0.025
"100",52,"F_25-34",0.176351157689208,0.025
"101",53,"F_25-34",0.185635337451978,0.025
"102",54,"F_25-34",0.197750726841155,0.025
"103",55,"F_25-34",0.206854144566804,0.025
"104",56,"F_25-34",0.217478899177511,0.025
"105",57,"F_25-34",0.226003529038155,0.025
"106",58,"F_25-34",0.234497052071864,0.025
"107",59,"F_25-34",0.243783145388541,0.025
"108",60,"F_25-34",0.25466119705068,0.025
"109",61,"F_25-34",0.266030795455362,0.025
"110",62,"F_25-34",0.276781648123328,0.025
"111",63,"F_25-34",0.286556494900205,0.025
"112",64,"F_25-34",0.292773952580547,0.025
"113",65,"F_25-34",0.297684301220849,0.025
"114",66,"F_25-34",0.302428573888883,0.025
"115",10,"F_35-44",0.000108841539276385,0.025
"116",11,"F_35-44",0.000987151773808071,0.025
"117",12,"F_35-44",0.00258641476023329,0.025
"118",13,"F_35-44",0.0041834668227405,0.025
"119",14,"F_35-44",0.00593744708687281,0.025
"120",15,"F_35-44",0.00781169498425733,0.025
"121",16,"F_35-44",0.0098481582507521,0.025
"122",17,"F_35-44",0.011954596471976,0.025
"123",18,"F_35-44",0.01419287051538,0.025
"124",19,"F_35-44",0.0161702414650596,0.025
"125",20,"F_35-44",0.0182788607928667,0.025
"126",21,"F_35-44",0.0205332632401161,0.025
"127",22,"F_35-44",0.0229848771931522,0.025
"128",23,"F_35-44",0.0255722593470742,0.025
"129",24,"F_35-44",0.0282485277596602,0.025
"130",25,"F_35-44",0.0314902271218895,0.025
"131",26,"F_35-44",0.0346196377216797,0.025
"132",27,"F_35-44",0.0377227321478826,0.025
"133",28,"F_35-44",0.040965855646034,0.025
"134",29,"F_35-44",0.0442555496743625,0.025
"135",30,"F_35-44",0.0474374767529953,0.025
"136",31,"F_35-44",0.0513675756777124,0.025
"137",32,"F_35-44",0.0554722744615755,0.025
"138",33,"F_35-44",0.0595912564071583,0.025
"139",34,"F_35-44",0.0637913040144083,0.025
"140",35,"F_35-44",0.0685226055623601,0.025
"141",36,"F_35-44",0.0736888436438728,0.025
"142",37,"F_35-44",0.0784684677780832,0.025
"143",38,"F_35-44",0.0832057097133646,0.025
"144",39,"F_35-44",0.087414920133976,0.025
"145",40,"F_35-44",0.0917757113687578,0.025
"146",41,"F_35-44",0.0960217110908624,0.025
"147",42,"F_35-44",0.100585792780092,0.025
"148",43,"F_35-44",0.105273059380415,0.025
"149",44,"F_35-44",0.111596806886476,0.025
"150",45,"F_35-44",0.117760401724506,0.025
"151",46,"F_35-44",0.124143846441018,0.025
"152",47,"F_35-44",0.131389942505404,0.025
"153",48,"F_35-44",0.138741549483546,0.025
"154",49,"F_35-44",0.145353415065049,0.025
"155",50,"F_35-44",0.152383693171456,0.025
"156",51,"F_35-44",0.160474270181223,0.025
"157",52,"F_35-44",0.168543276141567,0.025
"158",53,"F_35-44",0.176686253077402,0.025
"159",54,"F_35-44",0.183942366517788,0.025
"160",55,"F_35-44",0.1916972241271,0.025
"161",56,"F_35-44",0.200923967318803,0.025
"162",57,"F_35-44",0.210534741434121,0.025
"163",58,"F_35-44",0.219487786678327,0.025
"164",59,"F_35-44",0.229401639812557,0.025
"165",60,"F_35-44",0.239299964562564,0.025
"166",61,"F_35-44",0.247572236330387,0.025
"167",62,"F_35-44",0.256914116122347,0.025
"168",63,"F_35-44",0.267301097787502,0.025
"169",64,"F_35-44",0.273764347713974,0.025
"170",65,"F_35-44",0.278655945151342,0.025
"171",66,"F_35-44",0.282655476484089,0.025
"172",10,"F_45-54",4.75695360964003e-05,0.025
"173",11,"F_45-54",0.000493343665111745,0.025
"174",12,"F_45-54",0.00126894195872033,0.025
"175",13,"F_45-54",0.00222436421665823,0.025
"176",14,"F_45-54",0.00342900619683088,0.025
"177",15,"F_45-54",0.00465837776232514,0.025
"178",16,"F_45-54",0.00608079192743639,0.025
"179",17,"F_45-54",0.007595395683554,0.025
"180",18,"F_45-54",0.0092652599981364,0.025
"181",19,"F_45-54",0.0108990409770885,0.025
"182",20,"F_45-54",0.0126951086635126,0.025
"183",21,"F_45-54",0.0146468449332988,0.025
"184",22,"F_45-54",0.0168012029964301,0.025
"185",23,"F_45-54",0.0189143965075471,0.025
"186",24,"F_45-54",0.0212221898539054,0.025
"187",25,"F_45-54",0.0237941261658342,0.025
"188",26,"F_45-54",0.0264672061621246,0.025
"189",27,"F_45-54",0.0291220649395113,0.025
"190",28,"F_45-54",0.0321804914032277,0.025
"191",29,"F_45-54",0.0351303079010609,0.025
"192",30,"F_45-54",0.0386055642299421,0.025
"193",31,"F_45-54",0.0417742143571865,0.025
"194",32,"F_45-54",0.0453983845978337,0.025
"195",33,"F_45-54",0.0491205083100676,0.025
"196",34,"F_45-54",0.0529042040780369,0.025
"197",35,"F_45-54",0.056586384299713,0.025
"198",36,"F_45-54",0.0602747746224784,0.025
"199",37,"F_45-54",0.0640511320373234,0.025
"200",38,"F_45-54",0.0672241742779264,0.025
"201",39,"F_45-54",0.0700083718733481,0.025
"202",40,"F_45-54",0.0730694527112331,0.025
"203",41,"F_45-54",0.0760986124312546,0.025
