"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000226831398293169,0.025
"2",11,"F_15-24",0.00256305225383295,0.025
"3",12,"F_15-24",0.00785284405115133,0.025
"4",13,"F_15-24",0.0149133748093129,0.025
"5",14,"F_15-24",0.0234776497139154,0.025
"6",15,"F_15-24",0.0338664584898627,0.025
"7",16,"F_15-24",0.0496580013951615,0.025
"8",17,"F_15-24",0.0792074638821743,0.025
"9",18,"F_15-24",0.120466412101335,0.025
"10",19,"F_15-24",0.193320403397417,0.025
"11",20,"F_15-24",0.220855288752449,0.025
"12",21,"F_15-24",0.235530128348365,0.025
"13",22,"F_15-24",0.249379376348795,0.025
"14",23,"F_15-24",0.264841495808661,0.025
"15",24,"F_15-24",0.278220940716984,0.025
"16",25,"F_15-24",0.286657274847429,0.025
"17",26,"F_15-24",0.294973075820294,0.025
"18",27,"F_15-24",0.303707587727107,0.025
"19",28,"F_15-24",0.311073162017654,0.025
"20",29,"F_15-24",0.318872042780674,0.025
"21",30,"F_15-24",0.326354328873417,0.025
"22",31,"F_15-24",0.333909009879149,0.025
"23",32,"F_15-24",0.341977342295635,0.025
"24",33,"F_15-24",0.348657686691018,0.025
"25",34,"F_15-24",0.355419798793068,0.025
"26",35,"F_15-24",0.361233394205991,0.025
"27",36,"F_15-24",0.367466131149908,0.025
"28",37,"F_15-24",0.373633890693167,0.025
"29",38,"F_15-24",0.379374133215811,0.025
"30",39,"F_15-24",0.3853754335167,0.025
"31",40,"F_15-24",0.391636599243684,0.025
"32",41,"F_15-24",0.397429038342908,0.025
"33",42,"F_15-24",0.404192232855974,0.025
"34",43,"F_15-24",0.411558404677544,0.025
"35",44,"F_15-24",0.419187707990167,0.025
"36",45,"F_15-24",0.426497659902181,0.025
"37",46,"F_15-24",0.434924127849868,0.025
"38",47,"F_15-24",0.443643062533375,0.025
"39",48,"F_15-24",0.452842991200537,0.025
"40",49,"F_15-24",0.462533838774968,0.025
"41",50,"F_15-24",0.471967830470088,0.025
"42",51,"F_15-24",0.481891662444015,0.025
"43",52,"F_15-24",0.493422239756622,0.025
"44",53,"F_15-24",0.505056228180378,0.025
"45",54,"F_15-24",0.517658796564776,0.025
"46",55,"F_15-24",0.5322117843255,0.025
"47",56,"F_15-24",0.551521905490366,0.025
"48",57,"F_15-24",0.573031089302712,0.025
"49",58,"F_15-24",0.596409605026675,0.025
"50",59,"F_15-24",0.622243666961516,0.025
"51",60,"F_15-24",0.639040483295397,0.025
"52",61,"F_15-24",0.655456473237833,0.025
"53",62,"F_15-24",0.673271937678994,0.025
"54",63,"F_15-24",0.687468135585409,0.025
"55",10,"F_25-34",0.000779623909547643,0.025
"56",11,"F_25-34",0.00603946843700923,0.025
"57",12,"F_25-34",0.0174859188519678,0.025
"58",13,"F_25-34",0.0351490204104545,0.025
"59",14,"F_25-34",0.0580887029508145,0.025
"60",15,"F_25-34",0.0824348638502771,0.025
"61",16,"F_25-34",0.105953150939164,0.025
"62",17,"F_25-34",0.140985740638607,0.025
"63",18,"F_25-34",0.18607801999397,0.025
"64",19,"F_25-34",0.261905908189855,0.025
"65",20,"F_25-34",0.287476828972748,0.025
"66",21,"F_25-34",0.305634992335829,0.025
"67",22,"F_25-34",0.323999259701373,0.025
"68",23,"F_25-34",0.342525238328849,0.025
"69",24,"F_25-34",0.356505357573522,0.025
"70",25,"F_25-34",0.366598935175613,0.025
"71",26,"F_25-34",0.376706060901888,0.025
"72",27,"F_25-34",0.386618536091158,0.025
"73",28,"F_25-34",0.396591854882555,0.025
"74",29,"F_25-34",0.40462449244175,0.025
