"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000216738769586756,0.025
"2",11,"F_15-24",0.00231021672815238,0.025
"3",12,"F_15-24",0.00713024597038318,0.025
"4",13,"F_15-24",0.0138719129403558,0.025
"5",14,"F_15-24",0.021553699230829,0.025
"6",15,"F_15-24",0.0312733437659013,0.025
"7",16,"F_15-24",0.0461351293934038,0.025
"8",17,"F_15-24",0.073020775841824,0.025
"9",18,"F_15-24",0.114081587210335,0.025
"10",19,"F_15-24",0.183699242181105,0.025
"11",20,"F_15-24",0.212536022959265,0.025
"12",21,"F_15-24",0.226280574481907,0.025
"13",22,"F_15-24",0.23989040695055,0.025
"14",23,"F_15-24",0.254042961610883,0.025
"15",24,"F_15-24",0.268223775855424,0.025
"16",25,"F_15-24",0.277258238239872,0.025
"17",26,"F_15-24",0.28526449760665,0.025
"18",27,"F_15-24",0.293867776592935,0.025
"19",28,"F_15-24",0.30092532724712,0.025
"20",29,"F_15-24",0.308349011971108,0.025
"21",30,"F_15-24",0.315498971758452,0.025
"22",31,"F_15-24",0.322587337684816,0.025
"23",32,"F_15-24",0.32974789163513,0.025
"24",33,"F_15-24",0.33601715731671,0.025
"25",34,"F_15-24",0.341616494593439,0.025
"26",35,"F_15-24",0.347706796300592,0.025
"27",36,"F_15-24",0.353728038335711,0.025
"28",37,"F_15-24",0.359420866691527,0.025
"29",38,"F_15-24",0.364721689749489,0.025
"30",39,"F_15-24",0.370084911900407,0.025
"31",40,"F_15-24",0.375683870056428,0.025
"32",41,"F_15-24",0.381099351515229,0.025
"33",42,"F_15-24",0.386674212350376,0.025
"34",43,"F_15-24",0.392890145515132,0.025
"35",44,"F_15-24",0.399549837253946,0.025
"36",45,"F_15-24",0.406419537174842,0.025
"37",46,"F_15-24",0.413488582321845,0.025
"38",47,"F_15-24",0.420394848707695,0.025
"39",48,"F_15-24",0.427932325170349,0.025
"40",49,"F_15-24",0.436211829681043,0.025
"41",50,"F_15-24",0.444262915741762,0.025
"42",51,"F_15-24",0.452719435028413,0.025
"43",52,"F_15-24",0.462091906374534,0.025
"44",53,"F_15-24",0.470869266591481,0.025
"45",54,"F_15-24",0.480300672777179,0.025
"46",55,"F_15-24",0.491077823804886,0.025
"47",56,"F_15-24",0.506201365559105,0.025
"48",57,"F_15-24",0.522032897514491,0.025
"49",58,"F_15-24",0.539582164096795,0.025
"50",59,"F_15-24",0.557894019692276,0.025
"51",60,"F_15-24",0.571789897243301,0.025
"52",61,"F_15-24",0.585603565552698,0.025
"53",62,"F_15-24",0.599360179591424,0.025
"54",63,"F_15-24",0.611016757441389,0.025
"55",10,"F_25-34",0.000662685807221792,0.025
"56",11,"F_25-34",0.0054234867480378,0.025
"57",12,"F_25-34",0.0157459892739647,0.025
"58",13,"F_25-34",0.0315861067883818,0.025
"59",14,"F_25-34",0.0528113236007562,0.025
"60",15,"F_25-34",0.0759485135747023,0.025
"61",16,"F_25-34",0.0985617902013344,0.025
"62",17,"F_25-34",0.130476367513855,0.025
"63",18,"F_25-34",0.175939480776595,0.025
"64",19,"F_25-34",0.254134373188013,0.025
"65",20,"F_25-34",0.279881756671011,0.025
"66",21,"F_25-34",0.297458532802026,0.025
"67",22,"F_25-34",0.314981210429591,0.025
"68",23,"F_25-34",0.334176486895994,0.025
"69",24,"F_25-34",0.347277093423724,0.025
"70",25,"F_25-34",0.357005914163151,0.025
"71",26,"F_25-34",0.366512093309974,0.025
"72",27,"F_25-34",0.376141887834593,0.025
"73",28,"F_25-34",0.385041095915162,0.025
"74",29,"F_25-34",0.392514216405978,0.025
"75",30,"F_25-34",0.399808241297083,0.025
"76",31,"F_25-34",0.40699884556932,0.025
"77",32,"F_25-34",0.413986660208005,0.025
"78",33,"F_25-34",0.421594397173928,0.025
"79",34,"F_25-34",0.428712445732049,0.025
"80",35,"F_25-34",0.435657545165555,0.025
"81",36,"F_25-34",0.442645727864584,0.025
"82",37,"F_25-34",0.450101369262082,0.025
"83",38,"F_25-34",0.456937157759507,0.025
"84",39,"F_25-34",0.463640644017986,0.025
"85",40,"F_25-34",0.470613808554551,0.025
"86",41,"F_25-34",0.477409978988296,0.025
"87",42,"F_25-34",0.484153105992752,0.025
"88",43,"F_25-34",0.491464629880253,0.025
"89",44,"F_25-34",0.498651143502167,0.025
"90",45,"F_25-34",0.506549658008001,0.025
"91",46,"F_25-34",0.514367501880111,0.025
"92",47,"F_25-34",0.523582600581343,0.025
"93",48,"F_25-34",0.53283368034847,0.025
"94",49,"F_25-34",0.541998261452815,0.025
"95",50,"F_25-34",0.551601578658934,0.025
"96",51,"F_25-34",0.564393869221538,0.025
"97",52,"F_25-34",0.578310067638715,0.025
"98",53,"F_25-34",0.59313676701888,0.025
"99",54,"F_25-34",0.609329142737408,0.025
"100",55,"F_25-34",0.625631315289029,0.025
"101",56,"F_25-34",0.643380805718379,0.025
"102",57,"F_25-34",0.662549995255883,0.025
"103",58,"F_25-34",0.682899124796912,0.025
"104",59,"F_25-34",0.698236528107492,0.025
"105",60,"F_25-34",0.711714566250992,0.025
"106",61,"F_25-34",0.725928431831894,0.025
"107",62,"F_25-34",0.739398319173555,0.025
"108",63,"F_25-34",0.75083512188519,0.025
"109",10,"F_35-44",0.000608557437533385,0.025
"110",11,"F_35-44",0.00499950514334037,0.025
"111",12,"F_35-44",0.0125297721781247,0.025
"112",13,"F_35-44",0.022209665852472,0.025
"113",14,"F_35-44",0.0334674390919433,0.025
"114",15,"F_35-44",0.0472174794962582,0.025
"115",16,"F_35-44",0.069203030532975,0.025
"116",17,"F_35-44",0.102855847382966,0.025
"117",18,"F_35-44",0.147314584538657,0.025
"118",19,"F_35-44",0.215640641277106,0.025
"119",20,"F_35-44",0.241803756205356,0.025
"120",21,"F_35-44",0.261227760318625,0.025
"121",22,"F_35-44",0.282587305764148,0.025
"122",23,"F_35-44",0.3045453559159,0.025
