"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000176526124010562,0.025
"2",11,"F_15-24",0.00237082071425335,0.025
"3",12,"F_15-24",0.00713318195146624,0.025
"4",13,"F_15-24",0.0144594268606277,0.025
"5",14,"F_15-24",0.0223684350945512,0.025
"6",15,"F_15-24",0.0326935299927766,0.025
"7",16,"F_15-24",0.0483365245781589,0.025
"8",17,"F_15-24",0.0771973339074715,0.025
"9",18,"F_15-24",0.121768749030233,0.025
"10",19,"F_15-24",0.199069312114785,0.025
"11",20,"F_15-24",0.23075052477242,0.025
"12",21,"F_15-24",0.245383969881898,0.025
"13",22,"F_15-24",0.26031514543403,0.025
"14",23,"F_15-24",0.276644005308198,0.025
"15",24,"F_15-24",0.291661890806724,0.025
"16",25,"F_15-24",0.300979738128251,0.025
"17",26,"F_15-24",0.310789411453532,0.025
"18",27,"F_15-24",0.31967596248636,0.025
"19",28,"F_15-24",0.327970501763538,0.025
"20",29,"F_15-24",0.33719744866862,0.025
"21",30,"F_15-24",0.345296521065562,0.025
"22",31,"F_15-24",0.353831666745782,0.025
"23",32,"F_15-24",0.362377622108533,0.025
"24",33,"F_15-24",0.369654809130965,0.025
"25",34,"F_15-24",0.37655025474903,0.025
"26",35,"F_15-24",0.383797288269992,0.025
"27",36,"F_15-24",0.390939473484848,0.025
"28",37,"F_15-24",0.397459742695253,0.025
"29",38,"F_15-24",0.403716578732079,0.025
"30",39,"F_15-24",0.410487227613417,0.025
"31",40,"F_15-24",0.417031918582746,0.025
"32",41,"F_15-24",0.423368902454606,0.025
"33",42,"F_15-24",0.430185149849478,0.025
"34",43,"F_15-24",0.438104849961313,0.025
"35",44,"F_15-24",0.446679097543816,0.025
"36",45,"F_15-24",0.454879363850975,0.025
"37",46,"F_15-24",0.463799651237113,0.025
"38",47,"F_15-24",0.473264804397991,0.025
"39",48,"F_15-24",0.483143319180323,0.025
"40",49,"F_15-24",0.493441456630005,0.025
"41",50,"F_15-24",0.503708775179644,0.025
"42",51,"F_15-24",0.514110363878401,0.025
"43",52,"F_15-24",0.525890909523526,0.025
"44",53,"F_15-24",0.539313831967111,0.025
"45",54,"F_15-24",0.551747366007562,0.025
"46",55,"F_15-24",0.567815713091098,0.025
"47",56,"F_15-24",0.589041931265627,0.025
"48",57,"F_15-24",0.612275993233464,0.025
"49",58,"F_15-24",0.637724995438479,0.025
"50",59,"F_15-24",0.665873631715014,0.025
"51",60,"F_15-24",0.684974358030178,0.025
"52",61,"F_15-24",0.702803011431899,0.025
"53",62,"F_15-24",0.72154116232535,0.025
"54",63,"F_15-24",0.736261773240048,0.025
"55",10,"F_25-34",0.000703124776180705,0.025
"56",11,"F_25-34",0.00547712352342123,0.025
"57",12,"F_25-34",0.0164975148336872,0.025
"58",13,"F_25-34",0.0336149823582304,0.025
"59",14,"F_25-34",0.057103368143738,0.025
"60",15,"F_25-34",0.0799062796427216,0.025
"61",16,"F_25-34",0.103463084355667,0.025
"62",17,"F_25-34",0.141157295957577,0.025
"63",18,"F_25-34",0.189839599713499,0.025
"64",19,"F_25-34",0.268693958095064,0.025
"65",20,"F_25-34",0.297811495141186,0.025
"66",21,"F_25-34",0.316852734571682,0.025
"67",22,"F_25-34",0.337092989467743,0.025
"68",23,"F_25-34",0.358237651727059,0.025
"69",24,"F_25-34",0.373283564348858,0.025
"70",25,"F_25-34",0.384147710305903,0.025
"71",26,"F_25-34",0.395793606809447,0.025
"72",27,"F_25-34",0.407025225241161,0.025
"73",28,"F_25-34",0.417730241050732,0.025
