"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000153799671400867,0.025
"2",11,"F_15-24",0.00158542009460914,0.025
"3",12,"F_15-24",0.00395689351648864,0.025
"4",13,"F_15-24",0.00724279247057101,0.025
"5",14,"F_15-24",0.0113067275124835,0.025
"6",15,"F_15-24",0.0160340726927904,0.025
"7",16,"F_15-24",0.0221278096711873,0.025
"8",17,"F_15-24",0.0282335795834622,0.025
"9",18,"F_15-24",0.0358233681038325,0.025
"10",19,"F_15-24",0.0450366691253783,0.025
"11",20,"F_15-24",0.0547753734037535,0.025
"12",21,"F_15-24",0.0647406020671437,0.025
"13",22,"F_15-24",0.0747282813423837,0.025
"14",23,"F_15-24",0.0850857453109386,0.025
"15",24,"F_15-24",0.0970288032331175,0.025
"16",25,"F_15-24",0.109702405245357,0.025
"17",26,"F_15-24",0.119276773535598,0.025
"18",27,"F_15-24",0.128534904609059,0.025
"19",28,"F_15-24",0.138483353417165,0.025
"20",29,"F_15-24",0.148097500003492,0.025
"21",30,"F_15-24",0.155299845773349,0.025
"22",31,"F_15-24",0.160876294314136,0.025
"23",32,"F_15-24",0.167522350106545,0.025
"24",33,"F_15-24",0.173439365709485,0.025
"25",34,"F_15-24",0.179441660048788,0.025
"26",35,"F_15-24",0.18500271914604,0.025
"27",36,"F_15-24",0.190187362739638,0.025
"28",37,"F_15-24",0.195266610679949,0.025
"29",38,"F_15-24",0.199589485413488,0.025
"30",39,"F_15-24",0.203639915283306,0.025
"31",40,"F_15-24",0.207993798254162,0.025
"32",41,"F_15-24",0.212152646895227,0.025
"33",42,"F_15-24",0.216348244284316,0.025
"34",43,"F_15-24",0.220758332657286,0.025
"35",44,"F_15-24",0.224762687323602,0.025
"36",45,"F_15-24",0.228822989108217,0.025
"37",46,"F_15-24",0.232746606735793,0.025
"38",47,"F_15-24",0.237006869056005,0.025
"39",48,"F_15-24",0.2414416997223,0.025
"40",49,"F_15-24",0.24613604789582,0.025
"41",50,"F_15-24",0.250425726164925,0.025
"42",51,"F_15-24",0.255177028454189,0.025
"43",52,"F_15-24",0.259049847447806,0.025
"44",53,"F_15-24",0.263360928462806,0.025
"45",54,"F_15-24",0.267431932709284,0.025
"46",55,"F_15-24",0.271606798880914,0.025
"47",56,"F_15-24",0.275877083434313,0.025
"48",57,"F_15-24",0.279926779977678,0.025
"49",58,"F_15-24",0.284000360572893,0.025
"50",59,"F_15-24",0.288465027638956,0.025
"51",60,"F_15-24",0.292645291301004,0.025
"52",61,"F_15-24",0.297110219659561,0.025
"53",62,"F_15-24",0.302066139981485,0.025
"54",63,"F_15-24",0.306391440420626,0.025
"55",64,"F_15-24",0.311064262639301,0.025
"56",65,"F_15-24",0.315850848027233,0.025
"57",66,"F_15-24",0.32095220463358,0.025
"58",10,"F_25-34",0.000117978108288954,0.025
"59",11,"F_25-34",0.00108518079829966,0.025
"60",12,"F_25-34",0.00302756798240586,0.025
"61",13,"F_25-34",0.00538877728687954,0.025
"62",14,"F_25-34",0.00773695121125944,0.025
"63",15,"F_25-34",0.0103518195134765,0.025
"64",16,"F_25-34",0.0138289188878713,0.025
"65",17,"F_25-34",0.0182947841165216,0.025
"66",18,"F_25-34",0.0236460902283611,0.025
"67",19,"F_25-34",0.0301292637318376,0.025
"68",20,"F_25-34",0.0391019682384254,0.025
"69",21,"F_25-34",0.0478271711825443,0.025
"70",22,"F_25-34",0.0580008428020223,0.025
"71",23,"F_25-34",0.0689933643761711,0.025
"72",24,"F_25-34",0.0815257130487854,0.025
"73",25,"F_25-34",0.0974898622456821,0.025
"74",26,"F_25-34",0.11173954757382,0.025
"75",27,"F_25-34",0.125347495108024,0.025
"76",28,"F_25-34",0.141284507822561,0.025
"77",29,"F_25-34",0.152017204702487,0.025
"78",30,"F_25-34",0.161671773304835,0.025
"79",31,"F_25-34",0.170846740503448,0.025
"80",32,"F_25-34",0.180237459500146,0.025
"81",33,"F_25-34",0.188790535961993,0.025
"82",34,"F_25-34",0.195728784970168,0.025
"83",35,"F_25-34",0.200715753543027,0.025
"84",36,"F_25-34",0.205104502898748,0.025
"85",37,"F_25-34",0.209230365933103,0.025
"86",38,"F_25-34",0.213389984596857,0.025
"87",39,"F_25-34",0.217459100291515,0.025
"88",40,"F_25-34",0.22173706200146,0.025
"89",41,"F_25-34",0.225760156820505,0.025
"90",42,"F_25-34",0.229739787064651,0.025
"91",43,"F_25-34",0.233868569007408,0.025
"92",44,"F_25-34",0.237730427931743,0.025
"93",45,"F_25-34",0.241958651722163,0.025
"94",46,"F_25-34",0.24622514690727,0.025
"95",47,"F_25-34",0.250009386967951,0.025
"96",48,"F_25-34",0.253984151866437,0.025
"97",49,"F_25-34",0.257890417161556,0.025
"98",50,"F_25-34",0.261524351885416,0.025
"99",51,"F_25-34",0.265417103069546,0.025
"100",52,"F_25-34",0.269450811810308,0.025
"101",53,"F_25-34",0.274204253279421,0.025
"102",54,"F_25-34",0.278823845256628,0.025
"103",55,"F_25-34",0.283655406587637,0.025
"104",56,"F_25-34",0.288336321501586,0.025
"105",57,"F_25-34",0.293238632219544,0.025
"106",58,"F_25-34",0.297906645273915,0.025
"107",59,"F_25-34",0.302613784430471,0.025
"108",60,"F_25-34",0.307535277171598,0.025
"109",61,"F_25-34",0.312548072033284,0.025
"110",62,"F_25-34",0.317696774925801,0.025
"111",63,"F_25-34",0.322685211258308,0.025
"112",64,"F_25-34",0.327870280234639,0.025
"113",65,"F_25-34",0.333413231735899,0.025
"114",66,"F_25-34",0.338839425658336,0.025
"115",10,"F_35-44",0.000110616233943255,0.025
"116",11,"F_35-44",0.0010899867801602,0.025
"117",12,"F_35-44",0.00277210371158654,0.025
"118",13,"F_35-44",0.00486757264620212,0.025
"119",14,"F_35-44",0.00777880930670951,0.025
"120",15,"F_35-44",0.0110862038185307,0.025
