"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000161501188417903,0.025
"2",11,"F_15-24",0.00168109258886512,0.025
"3",12,"F_15-24",0.00409142508020755,0.025
"4",13,"F_15-24",0.00749429875132352,0.025
"5",14,"F_15-24",0.0116855712249986,0.025
"6",15,"F_15-24",0.0165736666682435,0.025
"7",16,"F_15-24",0.0233869748997719,0.025
"8",17,"F_15-24",0.0295642143111247,0.025
"9",18,"F_15-24",0.0371774350674828,0.025
"10",19,"F_15-24",0.0465303245773778,0.025
"11",20,"F_15-24",0.0571505172683282,0.025
"12",21,"F_15-24",0.0676506463119331,0.025
"13",22,"F_15-24",0.0793416482595256,0.025
"14",23,"F_15-24",0.0903988643055305,0.025
"15",24,"F_15-24",0.104306475308829,0.025
"16",25,"F_15-24",0.11794245362233,0.025
"17",26,"F_15-24",0.128894487285963,0.025
"18",27,"F_15-24",0.140167800642904,0.025
"19",28,"F_15-24",0.151218478601121,0.025
"20",29,"F_15-24",0.162666679470431,0.025
"21",30,"F_15-24",0.171119118440596,0.025
"22",31,"F_15-24",0.177814415026873,0.025
"23",32,"F_15-24",0.184772377550116,0.025
"24",33,"F_15-24",0.191801455497692,0.025
"25",34,"F_15-24",0.198805739250257,0.025
"26",35,"F_15-24",0.205882370036491,0.025
"27",36,"F_15-24",0.211908375254282,0.025
"28",37,"F_15-24",0.218288240833891,0.025
"29",38,"F_15-24",0.223301846400829,0.025
"30",39,"F_15-24",0.22841628099385,0.025
"31",40,"F_15-24",0.233517710458459,0.025
"32",41,"F_15-24",0.238379995745619,0.025
"33",42,"F_15-24",0.243774176862875,0.025
"34",43,"F_15-24",0.249280661714821,0.025
"35",44,"F_15-24",0.254609013032572,0.025
"36",45,"F_15-24",0.259427691142646,0.025
"37",46,"F_15-24",0.264376329587876,0.025
"38",47,"F_15-24",0.269789250089774,0.025
"39",48,"F_15-24",0.275685704751663,0.025
"40",49,"F_15-24",0.281153375164617,0.025
