"","month","age_sex","value","quantile"
"1",10,"F_15-24",0.000262964684305501,0.025
"2",11,"F_15-24",0.00246172058893547,0.025
"3",12,"F_15-24",0.00646306903214046,0.025
"4",13,"F_15-24",0.0127011133256052,0.025
"5",14,"F_15-24",0.0194999306769841,0.025
"6",15,"F_15-24",0.0280305662498848,0.025
"7",16,"F_15-24",0.0423999631812845,0.025
"8",17,"F_15-24",0.0617304051360368,0.025
"9",18,"F_15-24",0.0881065901368669,0.025
"10",19,"F_15-24",0.120445194633382,0.025
"11",20,"F_15-24",0.164817881321135,0.025
"12",21,"F_15-24",0.196635545866884,0.025
"13",22,"F_15-24",0.211425756748704,0.025
"14",23,"F_15-24",0.223804137882227,0.025
"15",24,"F_15-24",0.23612852868144,0.025
"16",25,"F_15-24",0.245226659696591,0.025
"17",26,"F_15-24",0.252984270069085,0.025
"18",27,"F_15-24",0.261039652263218,0.025
"19",28,"F_15-24",0.269912610302019,0.025
"20",29,"F_15-24",0.277863757416376,0.025
"21",30,"F_15-24",0.286549927013044,0.025
"22",31,"F_15-24",0.294186052940015,0.025
"23",32,"F_15-24",0.302102378416093,0.025
"24",33,"F_15-24",0.312775307304241,0.025
"25",34,"F_15-24",0.318930878380914,0.025
"26",35,"F_15-24",0.325090293266209,0.025
"27",36,"F_15-24",0.330735902397228,0.025
"28",37,"F_15-24",0.335575309363946,0.025
"29",38,"F_15-24",0.34000566304057,0.025
"30",39,"F_15-24",0.344796462218823,0.025
"31",40,"F_15-24",0.349346944531991,0.025
"32",41,"F_15-24",0.353638070077347,0.025
"33",42,"F_15-24",0.358249162831215,0.025
"34",43,"F_15-24",0.363054142985875,0.025
"35",44,"F_15-24",0.367518505509317,0.025
"36",45,"F_15-24",0.371836030457971,0.025
"37",46,"F_15-24",0.375923789892169,0.025
"38",47,"F_15-24",0.380519604442267,0.025
"39",48,"F_15-24",0.386026276520313,0.025
"40",49,"F_15-24",0.391405778622382,0.025
"41",50,"F_15-24",0.396909071842438,0.025
"42",51,"F_15-24",0.402283523005368,0.025
"43",52,"F_15-24",0.408625238934785,0.025
"44",53,"F_15-24",0.414258944486479,0.025
"45",54,"F_15-24",0.419904870081717,0.025
"46",55,"F_15-24",0.426799633394361,0.025
"47",56,"F_15-24",0.433741513525122,0.025
"48",57,"F_15-24",0.440952382097748,0.025
"49",58,"F_15-24",0.447510380756337,0.025
"50",59,"F_15-24",0.454892472583769,0.025
"51",60,"F_15-24",0.463849003806734,0.025
