"","month","age_sex","value","quantile"
"1",10,"F_15-24",6.67619653654139e-05,0.025
"2",11,"F_15-24",0.000611788605146553,0.025
"3",12,"F_15-24",0.00154981512362199,0.025
"4",13,"F_15-24",0.00277239315475195,0.025
"5",14,"F_15-24",0.00425166481030968,0.025
"6",15,"F_15-24",0.00577547086550686,0.025
"7",16,"F_15-24",0.0076450106466209,0.025
"8",17,"F_15-24",0.00966413900483887,0.025
"9",18,"F_15-24",0.0118092397666536,0.025
"10",19,"F_15-24",0.0140670299947696,0.025
"11",20,"F_15-24",0.0167420912035182,0.025
"12",21,"F_15-24",0.0199948503105732,0.025
"13",22,"F_15-24",0.0235821096144292,0.025
"14",23,"F_15-24",0.0274026827856011,0.025
"15",24,"F_15-24",0.0309032602788544,0.025
"16",25,"F_15-24",0.0341318192514516,0.025
"17",26,"F_15-24",0.0376705902402165,0.025
"18",27,"F_15-24",0.0416475599533583,0.025
"19",28,"F_15-24",0.0456631344296617,0.025
"20",29,"F_15-24",0.0491718840473628,0.025
"21",30,"F_15-24",0.0530839413250985,0.025
"22",31,"F_15-24",0.0571710171173773,0.025
"23",32,"F_15-24",0.0615137529156706,0.025
"24",33,"F_15-24",0.06542068304495,0.025
"25",34,"F_15-24",0.0695652229208189,0.025
"26",35,"F_15-24",0.0731391778914654,0.025
"27",36,"F_15-24",0.076867996534995,0.025
"28",37,"F_15-24",0.0808022087950134,0.025
"29",38,"F_15-24",0.0854008874630723,0.025
"30",39,"F_15-24",0.0902908427134852,0.025
"31",40,"F_15-24",0.0955486700567861,0.025
"32",41,"F_15-24",0.100950804120571,0.025
"33",42,"F_15-24",0.106412071173077,0.025
"34",43,"F_15-24",0.111318862401885,0.025
"35",44,"F_15-24",0.116223467855792,0.025
"36",45,"F_15-24",0.121134407096739,0.025
"37",46,"F_15-24",0.126011932271097,0.025
"38",47,"F_15-24",0.13195957925964,0.025
"39",48,"F_15-24",0.137943862883792,0.025
"40",49,"F_15-24",0.144474489072781,0.025
"41",50,"F_15-24",0.151274920366761,0.025
"42",51,"F_15-24",0.157758583598432,0.025
"43",52,"F_15-24",0.164582238484145,0.025
"44",53,"F_15-24",0.172489796064105,0.025
"45",54,"F_15-24",0.181333865433595,0.025
"46",55,"F_15-24",0.187710717500236,0.025
"47",56,"F_15-24",0.193798767234833,0.025
"48",57,"F_15-24",0.19996970600515,0.025
"49",58,"F_15-24",0.20608892553787,0.025
"50",59,"F_15-24",0.212144440591078,0.025
"51",60,"F_15-24",0.217095521242089,0.025
