"","month","age_sex","value","quantile"
"1",10,"F_15-24",6.0339962750951e-05,0.025
"2",11,"F_15-24",0.000610552421459676,0.025
"3",12,"F_15-24",0.00153514463526702,0.025
"4",13,"F_15-24",0.00277321053974485,0.025
"5",14,"F_15-24",0.0042245045657051,0.025
"6",15,"F_15-24",0.00578838467724887,0.025
"7",16,"F_15-24",0.00770255329750451,0.025
"8",17,"F_15-24",0.00968031712864398,0.025
"9",18,"F_15-24",0.0117548700609752,0.025
"10",19,"F_15-24",0.0140653268984539,0.025
"11",20,"F_15-24",0.0166440059688621,0.025
"12",21,"F_15-24",0.0198921073779445,0.025
"13",22,"F_15-24",0.0237094591550557,0.025
"14",23,"F_15-24",0.0275355737305294,0.025
"15",24,"F_15-24",0.0310033028326215,0.025
"16",25,"F_15-24",0.0344210397942567,0.025
"17",26,"F_15-24",0.0381337399783704,0.025
"18",27,"F_15-24",0.0418435179980857,0.025
"19",28,"F_15-24",0.046030814536513,0.025
"20",29,"F_15-24",0.0496830047154532,0.025
"21",30,"F_15-24",0.0535781963371618,0.025
"22",31,"F_15-24",0.0575360320227443,0.025
"23",32,"F_15-24",0.0619214593410516,0.025
"24",33,"F_15-24",0.065496001643817,0.025
"25",34,"F_15-24",0.0695484510834034,0.025
"26",35,"F_15-24",0.0730274154410321,0.025
"27",36,"F_15-24",0.0767120678427433,0.025
"28",37,"F_15-24",0.0806641077500064,0.025
"29",38,"F_15-24",0.0849078963816797,0.025
"30",39,"F_15-24",0.0896517254498786,0.025
"31",40,"F_15-24",0.0944767952928838,0.025
"32",41,"F_15-24",0.0992912100739415,0.025
"33",42,"F_15-24",0.104437254583522,0.025
"34",43,"F_15-24",0.108897668133599,0.025
"35",44,"F_15-24",0.113853340132456,0.025
"36",45,"F_15-24",0.118541872941902,0.025
"37",46,"F_15-24",0.123039299923072,0.025
"38",47,"F_15-24",0.128761380705689,0.025
"39",48,"F_15-24",0.134689377724359,0.025
"40",49,"F_15-24",0.14083712709748,0.025
"41",50,"F_15-24",0.146946027684924,0.025
"42",51,"F_15-24",0.152678604332145,0.025
"43",52,"F_15-24",0.159240677977177,0.025
"44",53,"F_15-24",0.165979755475262,0.025
"45",54,"F_15-24",0.17368312204397,0.025
"46",55,"F_15-24",0.179255097987709,0.025
"47",56,"F_15-24",0.184411098215767,0.025
"48",57,"F_15-24",0.189916800060736,0.025
"49",58,"F_15-24",0.195695681806943,0.025
"50",59,"F_15-24",0.201164033135717,0.025
"51",60,"F_15-24",0.20608340619493,0.025
"52",61,"F_15-24",0.21057171236186,0.025
"53",62,"F_15-24",0.215187757028581,0.025
"54",63,"F_15-24",0.220058674726005,0.025
"55",64,"F_15-24",0.223741434923761,0.025
"56",65,"F_15-24",0.227119799487885,0.025
"57",66,"F_15-24",0.230335957323461,0.025
